@English@|@Scottish Gaelic@
@of  weather (sian)@|@sìne (gen/sing)@
@of / about / concerning@|@mu dhéidhinn (prep)@
@of / off / out of@|@à (prep)@
@of a hole / holes / caves@|@tuill (gen + plr of toll)@
@of age@|@a dh'aois (adv)@
@of faod@|@faoidte (imperf cond-tnse)@
@of her / off her@|@dhith (prep pron) -se@
@of me / off me or from me@|@dhiom (prep pron)  -sa@
@of necessity / glad to / had to@|@buidhe (part)@
@of the / of their@|@den / dhen (with /def art)@
@of the sea@|@mara (gen ~ muir)@
@of time /@|@a thìde (adv)@
@of us / from us / concerning us / from amongst us@|@dhinn  (prep pron) -e@
@of you / off you or from you@|@dhìot (prep pron)  -sa@
@off / out / out of@|@às (à before a def noun)@
@off him / off it / of it@|@dheth  (prep pron) -se@
@off them@|@dhiubh  (prep pron) -san@
@off you  (pol & form)@|@dhibh  (prep pron) -sa@
@office /@|@oifis (f) / oifig -e -ean@
@officer / official@|@oifigeach (m) -ich@
@often / frequent@|@tric (adv) -e@
@oil@|@ùill (v) -idh -eadh@
@old / aged@|@aost (adj) -a@
@old / withered / wrinkled / meagre /thin /niggarly@|@sgruiteach (adj) -eiche@
@old man / oldster / bogey / changling@|@bodach (m) -aich@
@old saying / proverb / adage@|@seanfhacal (m) -ail -an@
@olden times@|@àm bho aois@
@on / by / about /@|@air (prep)@
@on condition that / so that@|@air chor 's (conj)@
@on her@|@oirre (prep prn ~ air) oirrese@
@on him@|@air  (prep pron)  / airsan@
@on loan@|@air iasad (adv)@
@on me@|@orm  (prep prn ~ air)  ormsa@
@on the other sise / beyond / yonder@|@thall (adv)@
@on them@|@orra (prep prn ~ air) orrasan@
@on this side@|@an taobh a-bhos (phr)@
@on us@|@oirnn (prep prn ~ air) oirnne@
@on you@|@ort  (prep pron ~ air) ortsa@
@on you (plr)@|@oirbh  (prep pron)  oirbhse@
@once@|@trup (adv)@
@one / one person@|@aon (m) / aonan@
@one who is too ready to speak / sharp or snappish@|@gab-èasgaidh (m) gaib-èasgaidh@
@onion@|@uinnean (m) -ein -an@
@online@|@air-loidhne (m)@
@only@|@amhàin (adv), aon (adj)@
@only / alone / merely / soley@|@a-mhain (adv)@
@open@|@fosgail (v)@
@openness / publicity / evidentness / clearness@|@follais (f)@
@opinion / attitude / idea / notion / theory@|@beachd (m) -a -an@
@opinion / supposition / theory@|@soilneas (m)@
@opposite@|@mu choinneimh (prep)@
@opposite / over / against@|@mu choinneamh (prep)@
@opposition (party)@|@luchd an agaidh (m)@
@oppressing or harrassing me@|@'gam sharachadh (adj)@
@or@|@no (conj) /neo@
@order / condition / degree / gradation /generosity@|@ordan (m) -ain@
@order / decree / command / array@|@òrdugh (m) -uigh -uighean@
@order / formation / array@|@eagar (m) -air@
@organize@|@cruth-shuidhich (v)@
@originally / front@|@beulaibh (m)@
@ostrich (struthio camelus)@|@struth (f) -a -an@
@other@|@eile  (adj)@
@otherwise / else@|@air neo (conj)@
@ought / should /@|@bu choir@
@ounce@|@ùnnsa (m) -chan -ihean@
@out / outside@|@a-muigh (adv)@
@out of her / out of it@|@aiste (prep pron) -se@
@out of his sense /  mad@|@às a chiall (phr)@
@out of you / from you / in you / on you@|@asad (prep pron) ás + tu, asaibh (prep pron) ás + sibh@
@outburst / laughter@|@lasgan (m) -ain@
@outdoor(s) / al fresco@|@blàr-a-muigh@
@outside@|@taobh a-muigh (m)@
@oven / furnance@|@àmhain (f) -e -ean@
@over (to other side)@|@a-null (adv)@
@over / above@|@os cionn (adv)@
@over / above (old dat. of ceann)@|@os cionn (prep + gen)@
@over- / ultra- / used to intensify statements@|@seachd (adv) / seach / seachad@
@over her / it@|@thairte (prep pron)@
@over him@|@thairis air (prep pron)@
@over me@|@tharam (prep pron)@
@over them@|@tharta (prep pron)@
@over this side@|@a bhos (adv)@
@over you@|@tharad (prep pron)@
@over you (/frml / plr)@|@tharaibh (prep pron)@
@owners@|@luchd-seilbhe (m)@
@pacify  becalm / quiet / reconcile / grow calm@|@sithich (pr pt) a' sìtheachadh@
@pacify / soothe@|@breug (v) -adh@
@paint / colour@|@lì-dhealbh (v) -adh -aidh@
@painted@|@lì-dhealbta (pst tns)@
@painter@|@lì-dhealbadair (m) -ean@
@painting / sketch / draught / map@|@clàr-dhealbh (m) -a -an@
@pale / white / pallid / fair /@|@bàn (m) -ain@
@palm (hand)@|@bas (f) boise -an@
@pancake / little cake /@|@foileag (f) -eige -an@
@paper@|@pàipear  (m) -eir -an@
@parallel / agree@|@co-shìnte (pp)@
@pardon? (thu / sibh)@|@b’aill leat/leibh? (phr)@
@parent@|@pàrant (m) -aint -an@
@parentage@|@pàrantachd (f)@
@parental@|@pàrantach (adj)@
@parish / district / locality@|@sgìre (f) -ean@
@parting / separating / division /divorce /farewell@|@dealachadh (m) -aidh@
@parting drink@|@deoch-an-dorais (f)@
@pas on / go forward@|@gabh air d'agaidh  (phr)@
@pass by@|@gabh seachad (phr)@
@passengers@|@luchd-aiseig  (m)@
@past /@|@seachad   (adv)@
@pasture / grazing / feeding@|@ionaltradh (m) -aidh@
@patience / forebearance@|@foighidinn (f)@
@patient / enduring / forebearing / long-suffering@|@foighidneach (adj) -aiche@
@pavement / paved floor@|@leac-ùrlar (m) -air@
@paw / claw / seize upon@|@spòg (f) a' spògadh@
@peaceful / tranguil / silent / charmed@|@sitheil (adj) -e@
@peat / moss / bog / turf / mossy place@|@mòine (f) mòna / mònach@
@peat / of peat@|@mònadh (gen sing ~mòine)@
@peat-moss / moor / moorland@|@mòinteach (f) -ich -ichean@
@penny@|@sgillinn (f) -e -ean@
@people / community / folk / public / population@|@sluagh (m) -aigh@
@people / folk@|@luchd (m)@
@people / folk / (usually) some /@|@feadhainn (f)@
@pepper / spicery@|@peabar (m+f) -brach -aichean@
@perceive / observe / feel / know / understand@|@mothaich (v) a' mothachadh@
@performing / execution /@|@gnìomhadh (m) -aidh@
@perhaps@|@ma dh'fhaoidte (adv)@
@perhaps / mayhap@|@theagamh (adv)@
@perhaps / most likely / possibly / presumably@|@'s dòcha gu / gum / gur@
@person (any gender) / man / husband / anyone@|@duine (m) /daoine@
@person / (functions same as) fear / bean@|@neach (m)@
@personnel management@|@rianachd luchd-obrach (f)@
@phone@|@fòn (v)@
@phonograph /@|@fuaim-sgrìobhair (m)@
@piano@|@piàna (m) -than (piàno)@
@picnic@|@cuirm-chnuic (f)@
@picture / illustration / photo / draw / design@|@dealbh (f) -an -annan deilbh@
@piece / clout / rag / patch@|@pìseag (f- dim of pìos)@
@piece / morsal / fragment / patch@|@pìos (m) -a -an@
@piece of bread / sandwich@|@ceapaire (m) -an@
@pigsty / sty@|@fàil (f) -e -ean@
@pillow / pin-cushion@|@cluasag (f) -aig -an@
@pinch / sprinkle@|@craiteachan (m)@
@pine / The Scots fir (pinus sylvestris)@|@giuthas (m)@
@pit / den / hollow / gutter / dell / hole@|@sloc (m) -aidh -an@
@pity / compassion / wretchedness / poverty@|@truas (m) -ais@
@pity / woe / regret / folly@|@mairg (f)@
@place / quarter / scene / substitute@|@ionad (m) -aid -an@
@place / spot / tuft /  cluster / bunch / thicket@|@bad (m) -aid -an@
@plan@|@plana (m) -aichean@
@plant potatoes@|@cuir a' bhuntàta  (idiom)@
@play@|@cluich (m) -e -eadh@
@play / ply / use@|@iomair / iomairt (v)@
@playing / enterprise / employing / exercising@|@iomairt (f - vn) -ean@
@pleasant / agreeable / dear / loved@|@toigh (adj) -e@
@pleasant / delightful / fascinating / agreeable@|@taitneach (adj) -aiche@
@pleasant / delightful / lovely / becoming /fitting@|@tlachdmhor (adj) -oire@
@pleasant / pleasing@|@tleachdmhor (adj)@
@pleasure@|@tleachd (f)@
@pledge / mortgage / promise / desire / bet / wager@|@geall (m) gill@
@plenty / enough / galore@|@go lèor (adv)@
@plunder / raid / destruction@|@creach (f) -an creiche@
@plunders@|@luchd nan creach  (m)@
@pocket@|@pòcaid  (f)@
@pocket watch@|@uaireadair-pòca (m)@
@poem / verse / destiny / fate / luck@|@dàn (m) dàin {plr}@
@poet / rhymer / bard@|@bàrd  (m)@
@poetical / satirical@|@bàrdail (adj)@
@poetry / rhyming / satire / lampooning / sarcasm@|@bàrdachd (f)@
@poised / ready / prepared@|@deiseil (a) -e@
@poison / venom@|@puinnsean (m) -in -an@
@polar bear@|@mathan bàn (m)@
@policeman / notary public / policeman@|@earraid (m) -ean@
@politic / prudent / sage / shrewd / wise@|@glic (adj) -e@
@politician@|@luchd-poileataig (m)@
@ponder / chew / reflect / review / gather /collect@|@cnuasaich (v) a' cnuasachadh@
@port / harbour / strait / firth / bay@|@puirt (m) -uirt -an@
@possess / luck / acquire@|@sealbhaich (m) -achadh@
@pot@|@poit  (f) -e -ean@
@potato(es)@|@buntàta (m)@
@potter@|@crèadhadair (m)@
@pottery@|@crèadhadaireachd (f)@
@pound@|@punnd / puinnd (m)@
@power / authority / might / strength / ability@|@cumhachd (m) -an@
@power / virility / weariness  / defeat@|@chur (m) -air@
@praise / applaud / eulogise@|@moladh (m) -aidh a' moladh@
@praise / recommend / advise / exalt@|@mol (v) a' moladh@
@pray / entreat / beseech / wish earnestly@|@guidh (v+n) -e a' guidhe@
@prayer / petition / entreaty / request@|@athchuinge (f)-ean /ath+cuinge@
@precocious / immature / apprehensive /quick-witted@|@luath-aireach (adj) -eiche@
@precociousness / immaturity@|@luath-aireachd (f)@
@prefix that creates (plr forms)@|@luchd- (compnd nouns)@
@prepare@|@ullaich (v)@
@prepare / get ready /@|@deasaich (pr pt) deasachadh@
@prepared / made ready /@|@deasaichte (pt pt of deasaich)@
@preparing / making ready / accommdation@|@ullachadh (m) -aidh@
@Presence / existence / company / sight@|@làthair (f) -e@
@present time / surety / pledge@|@cur (m)@
@presently / instantly@|@air an uair (adv)@
@present-tense@|@trath-lathaireach@
@pretty / elegant / beautiful / charming@|@grinn (adj)@
@prevail / molest / beach@|@cuir air (idiom)@
@price@|@prìs (f)@
@prime / chief / principal / first@|@prìomh (adj)@
@printing / stamping / typography@|@clòdh-bhualadh (m) -aidh@
@prison / gaol@|@prìosan (m) -ain -an@
@prison / place of confinment / gaol / jail@|@gainntir (f) -eir -ean@
@private@|@prìobhaideach (adj)@
@private / mysterious / secret@|@dìomhair (adj) -e@
@private detective@|@lorgaire prìbheideach (m)@
@private grudge@|@cleith-mhiosgais (f)@
@prize / reward / wages@|@duais (f) -e -ean@
@problem /snag / difficulty@|@duilgheadas (m) -ais -an@
@prodigal@|@dìobhlach@
@profile / about me /@|@clàr-aithne (m)@
@project@|@pròiseact (m) -eict -an@
@pronounce / pronouncing / pronounciation@|@fuaimnich (v) -eachadh@
@proof-reader@|@leughadair-dearbhaidh@
@protection / shelter / refuge / shadow / fold@|@fasgadh (m) -aidh -aidhean@
@pruning knife / razor@|@beàrr-sgian (f)@
@public / conspicuous / clear / evident@|@follaiseach (adj) -siche@
@public forum@|@co-labhairt fhosgailte@
@publish / disclosure / display / publishing /@|@foillseachadh (m) -aidh@
@publish / reveal / show / unfold / divulge@|@foillsich (v) -eachadh@
@publisher@|@foillsichear (m) - eir -an@
@pudding@|@marag (f) -aig -an -e@
@punctuation / punctuate@|@puingeachadh (m) -aidh@
@punishment / correction / chastisement@|@peanas (m) -ais -an@
@purchase / buying@|@ceannach (m + vn) -aich@
@purple@|@purpaidh  (adj)@
@purse@|@sporan (m) -ain@
@pursuit / search / chase /@|@tòir (f) -e -each -ichean@
@push / thrust / jostle@|@put (v) a' putadh@
@put / plant / place@|@cuir (v) cur@
@put down@|@cuir a-bhàn (idiom)@
@put on (clothes)@|@cuir air (v phr)  cur air@
@putting / setting / sending / sowing / planting@|@cur (m) -uir@
@quarter@|@cairteal (m)@
@quartet(te) / 4 persons / quadruplets@|@ceathrar (m)@
@queen@|@ban-rìgh (f) -inn@
@question / ask / enquire /@|@faighnich (v) -neachd@
@quick / active  / clever / agile@|@sgiobalta (adj) -ailte@
@quiescent / quiet / peaceful / restful / still@|@sàmhach (adj) -aiche@
@quiet / calm / secure / safe / gentle / tranquil@|@suaimhneach (adj) -eiche@
@quite full / absolutely full / full to brim@|@loma-làn (a)@
@quite so!@|@dìreach sin!@
@rabble / mob / little people@|@pràbar (m) -air -an@
@race / offspring /generation /pedigree / genealogy@|@ginealach (m) -aich -aichean@
@radiator@|@teasadair (m)@
@radish@|@curran-dearg (m)@
@rainbow@|@bogha-froise (m)@
@rainy / showery / dropping / distilling@|@sileadh (adj)@
@raise / build / lift /contruct / brew / distill@|@tog (v) -ail@
@raisin@|@fìon-dhearc chaoinichte (f)@
@ramp / decline / inclination / tendency@|@aomadh (m) -aidh -aidhean@
@raor / bellow / belching noise@|@raoic (f) -eadh / a' raoiceadh@
@rare / strange / delightful / unusual / dainty@|@annasach (adj) -aiche@
@rat / cunning person /@|@radan (m) -ain -an@
@raven@|@fitheach (m) -ich@
@reached@|@ràinig (IND-pst) ruig@
@read@|@leugh (v) -adh@
@reader@|@leugadair (m) -ean@
@reading / a reading@|@leughadh (m&vn) -aidh -aidhean@
@reaping / cutting down / harvest / mowing@|@buain (f) buana@
@rear / bring up / educate / maintain / support@|@araich (v) / àrach@
@rearing a child / fostering / nursing@|@macaladh (m) -aidh@
@reason /  ground / occassion / cause / purpose@|@cionn (m ind)@
@reason / cause / matter / object / purpose / topic@|@adhbhar (m) -air -an@
@rebellious / sedtious / insubordinate / mutinous@|@ceannairceach (adj) -eiche@
@receptive@|@gabhail (adv)@
@red pine@|@piuthas-dearg (m)@
@redness / ruddiness@|@deirge (f)@
@refreshing / renewal / modernisation@|@ùrachadh (m)@
@refrigerator@|@fuaradair (m) -ean@
@refuse / deny@|@diùlt (m) -aidh@
@regarding / according@|@a' thaobh (prep)@
@regarding / with regard to@|@a thaobh (prep)@
@regarding / with regard to / according@|@a thaobh (compound prep)@
@rejoicing / joy@|@gàirdeachas (m) -ais@
@relationship / connection / relevance@|@buinteanas (m) -is@
@relevance / connection(s) by family@|@buinteanas (m) -ais@
@remain / stay / wait@|@fan (v) a'fantainn -ail -tail@
@remark / statement / saying / proverb@|@ràdh (m)@
@removal / changing of residence / emigration@|@imrich (f) -e -ean@
@rent / tribute  tax / subsidy@|@màl (m) -ail@
@repair / mend / affix /@|@càirich (v) a'caradh@
@repeat / say again@|@can a-rithist@
@repentance / penitence / regret@|@aithreachas (m) -ais@
@repetition / corresponds with re-@|@ath- (prefix)@
@reset /  re-appoint@|@ath-shuidhich (v)@
@respectively@|@fa-leth (adv) mu-leth@
@rest / leisure / tranquility@|@fois (f) -e@
@rest yourself@|@gabh fois (phr)@
@restore / deliver / give back@|@aisig (v) / aiseag@
@retinue@|@luchd-airde  (m)@
@return / ferry / deliverance / vomit@|@aiseag (m) -eig -an@
@return / returning / coming back@|@ath-thilleadh (m) -lidh@
@return / reverse / come back / go back@|@till (v) -eadh@
@return / turn again@|@ath-thill (v)@
@reveal / show / present / manifest@|@taisbean (v)@
@revealing / act of revealing / showing /presenting@|@taisneannadh (m) -aidh@
@review / critique@|@léirmheas (m)@
@review / reconsider /@|@ath-breithnich@
@rib@|@aisean (f) -aisne -aisean@
@riddle / enigma / puzzle / parable@|@toimhseachan (m) -ain -an@
@riding / equestrianism / horsemanship@|@marcachd (f)@
@right / correct@|@ceart (adj)@
@right / just / worthy / (ought)@|@còir (f) -e (+do)@
@righteous man / gentleman@|@firean (m) -an@
@ring / circle@|@fàinne (f) -achan -an@
@ring / music (sound)@|@seirm (v)@
@rise@|@èirich (v)@
@river / stream / torrent / brook@|@sruth (m) -a -uith -an -anna@
@road / way / path / passage / inlet@|@slighe (f) -an -achan@
@road accident@|@tubaist-rathaid (f)@
@rock / crag / cliff / precipice@|@creag (f) -an creige@
@rock / stone@|@clach (m) -adh@
@rod / twig / wand / yard@|@slat (f) -an / slaite@
@Rome@|@Ròimh (f) An Ròimh@
@rook / crow@|@ròcas (m) -ais -an@
@rope / cord / string / line / twine@|@còrd (m) -ùird@
@rose@|@ròs (m)@
@round / circular / collected / neat@|@cruinn (adj) -e@
@roundabout / traffic circle@|@cearcall an rathaid  (m)@
@row / series@|@sreath (m)@
@rubbish / trash / garbage / litter / refuse@|@sgudal (m) -ail@
@run / flee / dash / flow@|@ruith (v)@
@ryhme / stanza / verse@|@rann (m) -ainn -an@
@sable@|@dorch (adj) / dorcha@
@sad / sorrowful / mournful / melancholy@|@tùirseach (adj) -aiche@
@sadness / melancholy@|@gruaman (m) -ain@
@sadness / sorrow / grief@|@mulad (m) -aid@
@safe@|@sàbhailte (pp)@
@safety@|@sàbhailteachd  (f)@
@safety / security@|@tèarainteachd (f)@
@said (past tense only)@|@arsa (def v)@
@sail@|@seòl (m) /siùil@
@sake / account / cause /@|@son (m)@
@sale@|@reic  (m)@
@sand@|@gainmheach (f)@
@satiety / fill / adequate /@|@leòr (f)@
@satirical / disgusting /comely /using severe words@|@sgreamhail (adj) -e@
@Saturday@|@Disarthairne (m)@
@sauntering aout the hillocks / walking idly abroad@|@cnocaireach (f)@
@save / guard / observe / guard / maintain / tend@|@glèidh (v) -eidheadh -eidhheil@
@save / rescue@|@sàbhail  (v) -aladh@
@saving / redemption@|@sàbhaladh (m & vn)   -aidh@
@saviour / healer@|@Slànaighear (m) -air@
@saw@|@sàbh  (v)  -adh@
@say (you - plr  used in 2nd pers pl imp)@|@siuthadaibh (v def)@
@say / speak / tell / utter@|@abair (irreg v) ràdh@
@say away / begin / go on / help yourself@|@siuthad (v) -aibh@
@say that again@|@can sin a-rithist (phr)@
@scarecrow@|@bodach-rocais (m)@
@scholar / school-boy / student / man of learning@|@sgoilear (m) -eir -an@
@school@|@clas (m) -aichean@
@school / academy / education / seminary@|@sgoil (f) -tean@
@school teacher@|@bean-teagaisg (f)@
@schoolmaster@|@maighistir-sgoile (m)@
@score (music & sport)@|@sgòr (m) -oir - an@
@Scotland@|@Alba (f)@
@scrapbook@|@leabhar-mhìr   (m)@
@screte / hide / make private@|@dìomhairich (v)@
@sculptor@|@deilbhear (m) -eir -an@
@sculptor / photographer / designer@|@dealbhair (m) -ean@
@sculpture / carving@|@snaigheadh (m) -ghidh /-ean@
@sea-chart / map / compass@|@cairt-iùil (f)@
@seafarer / sailor / seaman@|@maraiche (m)@
@search / track / trail / mark@|@lorg (f) / luirge -an@
@searching / act of confusing things in searching@|@rùdhrachadh (m) -aidh@
@searching / scrambling / groping / straight@|@rùdhrach (adj)@
@searching / scrutinizing / enquiring / reviewing@|@rannsachadh (v) -aidh@
@searching diligently@|@a’ geur-rannsachadh (pr.pt.)@
@season / time / tense@|@tràth (m) -an@
@seat / formula /@|@foirm (m)@
@second@|@dàrna / dara (adj)@
@second (time) / tick (of clock)@|@diog (m) -an@
@second coming / next coming@|@ath-thighinn (m) idh@
@secret / privacy / secrecy@|@priobhaid (f)@
@see / behold / show / taste / try / give@|@a' feuchainn (v)(pr pt feuch)@
@see / look / behold / observe / show@|@faic (irr v) -inn@
@see bi@|@a bheil (v) interr@
@seed / sperm / progeny@|@sìol (m) sìl@
@seldom / rare / scarce / curious@|@ainneamh (adv) -eimhe@
@sell@|@reic  (v)@
@seller / salesman / vendor / auctioneer@|@reicadair  (m) -ean@
@send for@|@cuir a dh'iarraidh  (idiom)@
@sense / reason / understanding@|@ciall (f) -tan cèille@
@sense / understanding / intelligence /common sense@|@tùr (m) -ùir@
@sensible@|@toimhseil (adj)@
@sentence@|@rosg-rann (m)@
@sentence (grammar)@|@seantans (m)@
@separate / part / divide / distinguish / divorce@|@eadar-dhealaich (v)@
@September@|@An t-Sultain@
@sermon@|@searmon (m) -an -oin@
@service / employment@|@muinntireas (m) -eis@
@set crying@|@cuir a ghal (idiom)@
@settle / appoint / arrange / to let  / betrothe@|@suidhich (v) a' suidheachadh@
@seven (a seachd  - noun) dict./C Mark@|@seachd   (adj)@
@seven people@|@seachdnar@
@several / many / frequent / so many@|@lithad (adj/adv)@
@sew / stitch / knit / connect@|@fuaigh (v) a' fuaigheal@
@sewing / stitching@|@fuaigheal (m) -eil@
@shall or will be {Preceded by a subj part as 'ma'}@|@bhitheas (fut. sub of bi)@
@shall or will do / make / equal /@|@nì (fut tns of dean)@
@shall reach@|@ruigidh (IND-fut) ruig@
@share / property / belongings / resources@|@cuid (f) / codach -ean@
@sharp / keen / or penetrating eye@|@geur-shùil (f)@
@sharpener@|@geuradair (m) -ean@
@sharp-sighted / clear-sighted@|@geur-sheallach (adj), geur-sheallach (adj)@
@shaving mirror@|@sgàthan-bearraidh (m)@
@sheep@|@caor (f) / caorach -aich@
@sheet@|@site (f) / sitichean@
@shelf /@|@sgeilp (f) -e -ean@
@shelter / protection / covert / fence@|@dìon (m) -a@
@shine / beam / dazzle / flare / radiate@|@dearrs (vn) -adh@
@shine / beam / gleam / radiate@|@deàrrs (v) a'deàrrsadh@
@shining / glare / shine@|@deàrrsadh (m+vn) -aidh@
@shirt / smock / shift@|@lèine (f) lèintean@
@shoe / foot / hoof@|@bròg (f) -òige -an@
@shoemaker / cobbler-fish / lump-fish / chub@|@greusaiche (m) -an@
@shop / booth /@|@bùth (f)-a -an -annan -ainnean@
@short@|@goirid (adj)@
@shortly / soon / anon / presently / by 'n by@|@dh' aithghearr (adv)@
@shovel@|@sluasaid (f) -ean@
@shovelling@|@sluaisdeach (vn)@
@shower@|@fras (f) -adh froise / frasan@
@shower / rain@|@sil (f) -e -a' sileadh@
@shriek@|@sgriach (m)@
@side / flank@|@taobh (m) -ibh -an@
@sigh / groan / sob@|@osna (f) -ai@
@silence / tranquility / repose / peacefulness@|@sàmhchair (f) -e@
@simultaneous@|@a dh' aon àm (adj)@
@sin / trespass@|@peacadh (m) -aidh -aidhean@
@since@|@on (conj) / bhon@
@since / ago@|@(bh)o chionn (adv), bho chionn (prep phr), o chionn (prep+gen)@
@sincerity / wish / easrnestness / good-will@|@dùrachd (f) -an@
@sing@|@seinn (v)@
@singer@|@neach-seinn (m), seinneadair (m)@
@sir@|@uasail!@
@sister@|@piuthar (f) peathar -hraichean@
@six people@|@sianar@
@size@|@meud (m)@
@sky@|@speur  (m)@
@skylark@|@uiseag  (f) -eig  -an@
@sleep@|@cadal (v) caidail -an@
@sleep / slumber / repose@|@caidil (v) / a'cadal@
@sleepy@|@cadalach (a)@
@sleet@|@fliuch-sneachd@
@slice / shavings / paring / cutting@|@sliseag (f) -aige -an@
@slow / at ease / quiet / tranquil / comfortable@|@socair (a) -e -aiche@
@slow / deliberate / delay@|@mall (f) -aille@
@slowly / slower@|@na bu mhaille (adv)@
@small bit / fragment / tid-bit / mouthful@|@cromag (f) -aige -an@
@small draught / gulp / mouthful@|@strùbag (f) -aig -an@
@small portion / small effects /@|@cuideag (f) -eig -an@
@smell / scent / odour@|@fàile (m) see fàileadh, fàileadh (m) -idh -idhean@
@smile / quick smile@|@snodha-gàire (m) snodhan-@
@smoke / reek / steam@|@toit (f) e@
@smùid ghòrach@|@marjuana@
@snake@|@nathair (f)@
@snow@|@sneachd (m) -a@
@snowy@|@sneachdach (adj)@
@snug / fond of ease@|@sois (adj)@
@so ... that@|@cho ... 's (conj)@
@so be it / so let it be@|@mar sin bitheadh (phr)@
@so much / as much / equal quintity@|@uiread (m)@
@so that / in order that / that@|@a chum 's (conj)@
@society / association / company / guild@|@comann (m) -ainn -an@
@socket / hollow / cavity@|@lag (m) (luig & laig) -an@
@soft drink@|@deoch-lag (f)@
@somber@|@dorch (adj) / dorcha@
@some / few / some people@|@feadhainn (f) feadhna -nach@
@some / portion / share@|@cuid (pron)@
@somebody / someone@|@cuideigin (indef pron)@
@somehow or other@|@air choireigin (adv)@
@something@|@rudegin (ind pron), rudeigin (indef pron)@
@something {pos} / particle / nothing {neg}@|@sìon (m)@
@son@|@mac (m) mic@
@song / poem@|@oran (m) -ain -an@
@son-in-law@|@mac chéile@
@soon / abrupt / quick / short@|@aithghearr (adj)@
@soon / by-and-by / anon@|@a dh-aithghearr (adv)@
@soon / quickly / early@|@luath (adv)@
@sore / painful / grevious / excruitiating@|@cràidhteach (adj)-aidh -teach@
@sore / sour@|@goirt (adj) -e@
@sound / noise@|@fuaim (f) -e -ean@
@soup / broth@|@eanraich (f) -e -ean@
@south /  eady@|@deas (f)@
@space / time / season /@|@tac (f)@
@spawner / female fish@|@bean-iasg (f)@
@speak@|@bruidhinn (v)@
@speak to / address@|@bruidhinn ri (v)@
@speaking / talking / oration / conversation@|@labhairt (f)@
@spearation / detach / part with / insulate@|@dealaich (v) -achadh@
@spectacles@|@speuclair (m) -ean@
@spectacles / glasses /@|@glainnichean (f - plr)@
@spell@|@speilig (v) -eadh@
@spell / while & (a little while)@|@greis (f) -eag -eige@
@spelling@|@speiligeadh (m) -idh (& vn)@
@spelling / orthography@|@litreachadh (m) -aidh@
@spend (time) / wear@|@caith (v) -eamh@
@spend time@|@cuir seachad (v) /cur seachad@
@spider@|@breabadair-ladhrach (m)@
@splinter / flake / chip@|@sgealb (f) -eilbe -an@
@spoil / abuse@|@cuir a dholoaidh  (idiom)@
@spoil / mar / injure / destroy / abuse / ruin@|@mill (v) a' milleadh@
@spoon@|@spàin (f)-e -ean -tean -eachan@
@spoonful@|@làn-spàin (m)@
@spouse / partner / wife / husband@|@céile (m)@
@spring (season)@|@earrach (m) -aich@
@St Andrew's Day@|@Fèill Anndrais@
@St. Andrews@|@Cill Rìmhinn (f)@
@stair@|@staidhre (f) -richean@
@stallion / stable@|@stal (m) -ail (see stalc)@
@stamp@|@stàmpadh (m) a' stàmpadh@
@stand /@|@seas (v) -amh@
@stark / absolute / entire / complete /@|@tur (adj)@
@start (to) / beginning / front / genesis / start@|@tòisich (v) -eachadh (air)@
@start / skip / frisk / hop@|@leum (v) a' leumadh@
@steer / instruction@|@stiùireadh (m)@
@step / pace / grade / phase / stride@|@ceum (m) cèim -a -an -annan@
@stern / rudder / helm@|@stiùir (f)-e -each -ean-ichean@
@stewardess@|@bana-stiùbhard (f)@
@stick / baton / cane / staff / truncheon@|@bata (m)@
@still (whiskey)@|@poit-dhubh  (f)@
@stimulant@|@deoch-bheòthachaidh (f)@
@stir about / mix@|@measg (v)@
@stitched / nailed / sewn / pegged / attached@|@fuaighte  (adj)@
@stop@|@stad (v)@
@stop / cease / terminate / desist / leaving off@|@sguir (v) a' sgur /a' sgurachd@
@stop / restrain / wean / quell / quench@|@casg (v) a' casg / a' cosgadh@
@store (to store)@|@stòir (v) -eadh@
@stored@|@taisgte (pp)@
@storing@|@stòireadh (m+vn of stòir) -idh@
@storm@|@stoirm (f) -e -ean@
@stormy / gusty / boisterous@|@stoirmeil (a) -e@
@stormy / wintry / gloomy / dismal / dark /December@|@dùdlach (adj) -aich@
@story@|@stòiridh (f) -ean@
@story / tale / information@|@sgeul (m + f) -an / sgeòil@
@stove@|@stobha (m) -aichean@
@strange / unusual / curious / peculiar / weird@|@neònach (a) -aiche@
@stranger / guest / traveller /skilful person /hero@|@aoigh (m) -e -ean -eanna@
@stream / burn@|@allt (m) uillt@
@street / lane / walk / promenade / row@|@sràid (f) -e -ean@
@strength / energy / might@|@neart (m) neirt -an@
@stretching  act of stretching / extending@|@sìneadh (m) -idh@
@strongly-worded warning@|@garbh-rabhadh (m)@
@student / learner / pupil / scholar /@|@oileanach (m) -aich -aichean@
@studying@|@a' sgrùdadh, ris an sgoil (adv.phr)@
@stumble / slip / fall / mistake /@|@tuisleadh (m) -lidh -lidhean@
@substance / property / wealth / goods / gear@|@maoin (f) -e -ean@
@such a thing@|@leithid de rud (phr)@
@sudden / rush /hasty / unexpected@|@obann (a)@
@suffer / endure / permit / allow / bear@|@fuiling (pr pt+v) a'fulaing@
@sugar@|@siùcar (m)@
@sulky / sullen@|@sliopair (m) -e -ean@
@sullen / gloomy / morse / shy / dark / sorrowful@|@gruamach (adj) -aiche@
