@English@|@Scottish Gaelic@
@base / establish / found / ground@|@stéidhich (v) -eachadh@
@based / established / founded /@|@séidhichte (pp)@
@bashful / diffident / shy / timid / backward@|@diùid (adj)@
@bask in the sun / expose to the sun@|@grian (v)@
@basket@|@basgaid (f)@
@basketball@|@ball-basgaid (m)@
@batch / crowd / group / number@|@grunn (m) -a -an@
@be accustomed / exercise / practice / use@|@cleachd (v) -adh@
@be in want of / need / must@|@feum (v)@
@be off / leave my presence@|@gabbh chun an dorais! (phr)@
@beach / shore / seabeach@|@tràigh -e / tràghad (f)@
@beach the boat@|@cuir an t-eathar air (idiom)@
@beak / nib@|@gob (m)@
@bear@|@math-ghamhainn (m) -mhna -ean@
@bear / brown bear@|@mathan (m) -ais@
@bear / give birth to / bring forth / lay / litter@|@beir (irreg v) -sinn / breith@
@beard / whisker@|@feusag (f) -aige -an@
@beast / animal@|@beathach (m) -aich@
@beast / brute / brutal person@|@brùid (v) -e -ean@
@beautiful / comely / handsome / stately@|@eireachdail  (adj) -e@
@beautiful / lovely@|@àlainn (a) -e / àille / àilne@
@beautiful / pretty / bonnie@|@bòidheach (adj) -bòidhche@
@beauty / comeliness@|@bòidhchead (f) -chid@
@because / since@|@airson gu (conj)@
@because / since / seeing / that / whereas that@|@a chionn 's gu / gum / gur@
@because /for that reason@|@a chionn (adv & conj)@
@because of / on account of@|@sailleabh (prep+gen)@
@because that@|@a chionn gu@
@become / grow / develop / accrue@|@fàs (v)@
@become / grow / spring / thrive / turn@|@cinn (v) -tinn@
@become grey / pale or green@|@glas (adj) glaise@
@bed@|@leabaidh / leapa / leabadh (f)@
@bed & breakfast@|@lìte 'is leabaidh@
@bedroom@|@seòmar-cadail (m)@
@been a long time!@|@fada bhon uair sin@
@before@|@fa chomhair (prep+gen), ro  (prep)  roimh@
@before / formerly@|@roimhe (adv)@
@before / in case / lest@|@mus (conj) / mun / mum@
@before her@|@roimhpe  (roimhpese)@
@before him@|@roimh  (roimhesan) -e@
@before him or it  / opposite to / in anticipation@|@fa-chomhair (prep+gen)@
@before me@|@romham  (romhamsa)@
@before the@|@ro'n (def art) ro+an@
@before them@|@romhpa  (romhpasan)@
@before us@|@romhainn  (romhainne)@
@before you@|@romhad  (romhadsa)@
@before you (plr)@|@romhaibh  (romhaibhse)@
@begone!@|@gabh romhad! (phr)@
@behind@|@air chùl (prep), air cùlaibh (compound prep)@
@behind / back@|@air ais  (adv)@
@behind / late / last@|@air deireadh (adv)@
@being so ... as@|@leis cho ... 's (conj)@
@belief / creed / faith / religion@|@creideamh (m) -eimh -an@
@believe / credit / feel convinced / trust@|@crèid (v) -sinn@
@bell@|@clag (m) cluig@
@below@|@gu h-ìosal (adv)@
@below / under / beneath / underneath@|@fo (prep. + dat) {lenite}@
@bend / twist / make crooked / pervert / go astray@|@fiar (v) a' fiaradh@
@bending / a squint / slant / at an angle@|@fiaradh (m) /fiariadh@
@benefit / advantage / gain / profit / aquisition@|@buannachd (f)@
@benefit / advantage / good / interest / welfare@|@leas (m)@
@bent / crooked@|@fiar (adj)@
@besides / over & above / either@|@a bharrachd (prep)@
