@to grind@|@chxwar-, garg-il-, mk-, mkv-@
@to grow@|@chan-, nchan-, rd-@
@to growl@|@bundgin-@
@to grunt@|@grut-un-, xrut-un-@
@to guffaw@|@xirxin-, xixin-@
@to gurgle loudly@|@xarxal-@
@to hackle hemp@|@chxot-@
@to hang@|@kid-@
@to have@|@q-, qov-, qv-@
@to hear@|@'uzh-, juzh-, quzh-, sim-, uzh-@
@to hiccup@|@šik-in-@
@to hide@|@mpul-, pul-@
@to hoe@|@berg-@
@to invite@|@chand-@
@to jump@|@st-, stv-@
@to kill@|@cxop-@
@to laugh@|@dic-, dicin-, jic-, jicin-@
@to lay down@|@mpin-, pin-, rch-@
@to lay eggs@|@sk-, sku-, skv-@
@to lead@|@'on-, jon-, on-, qon-@
@to lean on@|@bazhg, bzhen@
@to leave@|@šk-, škv-@
@to lick@|@lok-, losk-, ntkwal-@
@to lie@|@d-, dv-, j-, ju-, z-, zu-@
@to like@|@mcx-, mcxv-@
@to loan@|@cx-@
@to lock@|@käla, kila@
@to look@|@jir-, zir-@
@to lop off branches@|@cxip-@
@to love@|@'or-, kor-, ör-, qor-@
@to make a sound@|@bgar-, mgar-@
@to make an error@|@chul-, šul-@
@to make fire@|@gz-, z-@
@to make salty@|@catx-@
@to make thin@|@ntx-, titx-u, tutx-u, tx-@
@to marry@|@txw-@
@to measure@|@zim-, zum-@
@to meet@|@xv-@
@to melt@|@dgul-, dun-, ndgul-, ndin-, ndun-@
@to mill@|@gr-, ngor-@
@to miss somebody@|@chkind-@
@to mix@|@dgw-al-, tal-@
@to moan quietly@|@kut-@
@to move@|@t-, xt-@
@to ooze@|@cir-, cor-, ncir-, ncor-@
@to paint@|@gap-@
@to pass over with the hand@|@s-, sum-, sv-@
@to peck@|@kax-i@
@to peel@|@prc-@
@to peel bark@|@do-kurch-ol-@
@to peel off splint@|@cxap-@
@to plait@|@gob-, tx-, txoz-, txv-, txv-@
@to plough@|@xon-@
@to pluck@|@cil, cxot-, ncxot-@
@to pluck a bird@|@bundgol-, burdgol-@
@to pound@|@zap-@
@to pour@|@b-@
@to press@|@chinax-, chqip@
@to prick@|@o-cig-@
@to promise@|@kwat-@
@to put in order@|@svar-@
@to put on@|@kun-@
@to quiver@|@tirt-in-@
@to rain@|@chim-, mchim-, nchim-@
@to rave@|@bod-@
@to redden@|@mchit-@
@to remain@|@skad-, sked-, skid-, skud-@
@to remember@|@šu-@
@to remind@|@šin-@
@to report@|@cum-@
@to resemble@|@g-@
@to rest@|@švazh-@
@to ring@|@orakal-u-@
@to ripen@|@chiš@
@to rise@|@pu-, pun-@
@to roast@|@xrak-@
@to rob@|@chv-@
@to rot@|@zhgir-@
@to run@|@mt-, rt-, t-@
@to saw@|@xerx-, xex-, xorx-@
@to scrape@|@xak-@
@to scratch@|@bucx-, pucxol-@
@to scythe@|@cal-, ncal-@
@to see@|@oc-, ock-@
@to seem@|@con@
@to send@|@chk-, chkw-, šk-, škw-@
@to separate hemp into threads@|@o-sul-u@
@to shake@|@patx-@
@to shear@|@xotor-, xutor-@
@to shear completely@|@xochor-@
@to shout@|@kij-, kir-, mkjapu@
@to sift@|@cir-, cor-, ncir-, ncor-@
@to sing@|@bir-@
@to skin@|@xoc-@
@to sleep@|@nzhir-, zhir-@
@to smear@|@chx-@
@to smell@|@šur-@
@to sneeze@|@chxink-ol@
@to snore@|@xrut-in-, xurt-in-, xut-in-@
@to snort@|@purt-in-@
@to sow@|@tas-@
@to speak@|@gagal-, gargal-, god-, zop-, zop-, zop-in-, zop-on-@
@to spill@|@c-, nc-@
@to spit@|@nchkw-al@
@to splash@|@chxap-@
@to squeak@|@ci-@
@to squeal@|@zum-@
@to squeeze out@|@mchk-, mchkw-@
@to stick in@|@cig-@
@to stretch@|@zmor-@
@to stretch out the arm@|@gir-@
@to strike lightly@|@zhazhg-@
@to string on@|@c-, cu-@
@to su@|@cuc-@
@to suck@|@c-, c-, cup-, cv-, gen-, zhen-@
@to swear@|@puch-, purch-@
@to sweep@|@kos-@
@to swim@|@mchvir-, nchir-, nchur-, nchvir-@
@to teach@|@cop-, ncop-@
@to tear@|@brac-, bric-, bruc-, chkid-, chkvad-, chkvid-, plat-@
@to think@|@gon-, zm-@
@to throttle@|@škid-, škvid-@
@to throw@|@qar-@
@to throw away@|@px-up-, pxv-, tkoch-, toch-, x-up-, xv-@
@to thunder@|@girgin-@
@to tickle@|@xitin-@
@to tie@|@b-, mb-, sk'v-, skv-@
@to torment@|@cam-@
@to tremble@|@rax-, zhg-ial-@
@to tweet@|@chkir-al-@
@to understand@|@gn-@
@to urinate@|@psim-@
@to wait@|@qo-n-@
@to wash@|@bon, bon, bor, chx-, mbon, mbon, mbor@
@to weave@|@ngrix-, š-@
@to weed@|@nchvar-@
@to weigh@|@cin-, con-@
@to whet@|@las-@
@to whine@|@ckum-@
@to whirl@|@sur-@
@to whisper@|@purchol-@
@to whistle@|@ši-, st'w-in-, stw-in-@
@to wish@|@ko-, n-@
@to wobble about@|@bandal-@
@to write@|@char-, nchar-@
@to yawn@|@mkor-, nkor-@
@toad@|@mzhvabu@
@tomorrow@|@chumen-@
@tongue@|@nena-@
@tooth@|@kib-, kib-ir-@
@Trabzon@|@T'amt'ra@
@travel@|@gz-al-, gza@
@tree@|@mzha, nzha, nzhal-, zha-, zhal-@
@Turkey@|@Turketi, Turkona@
@twenty@|@eç-@
@twig@|@chino-, chinu-, chunu-@
@twins@|@tkub-, tqub-, tub-@
@twist@|@glik-, grik-, gwelik-@
@two@|@žur-@
@udder@|@tu@
@unclose@|@ntx-, ntx-im-@
@unripe@|@chqint-@
@vegetable garden@|@ontule-@
@vinegar@|@zhum-or-@
@vineyard@|@benex-, binex-@
@vulva@|@chur-@
@waist@|@šk'a, ška@
@wall@|@kida, koda@
@walnut@|@kakal-@
@water@|@car, cka, ckar@
@wave@|@kt-@
@wax@|@chir-, mchir-@
@we@|@cku@
@we love@|@malimberan, maoropenan, p'oromt, p'qorot@
@We will go@|@Cku bidaten@
@welcome@|@Kai moxt'it, kai ten@
@what@|@mu-@
@what is your job?@|@mu dulya ikip?, mu dulya ikom?@
@what is your name?@|@skani coxo muren?@
@wheat@|@dika, mdika@
@where@|@so@
@Where are you from?@|@Sonuri re?@
@white of egg@|@cila@
@who@|@mi, min@
@Who are you?@|@Si minor (e)?@
@Who is he?@|@Heya minoren?@
@wife@|@chil-@
@win@|@g-@
@wine@|@gin-, gwin-@
@wolf@|@gwer-, mge-, mger-, mzhwer-@
@woman@|@kale, oxorca, xorz'a@
@wooden vessel@|@kod-@
@woodpecker@|@kid-, mkud-@
@wrath@|@bad-@
@yard@|@gozh@
@yes@|@ho@
@yesterday@|@goma, goman@
@yoke strap@|@zelve, zevle@
@you@|@si@
@you (pl)@|@tkva@
@you love@|@galimben, gaoropen, orom, qorop@
@you love (pl)@|@galimberan, gaoropenan, oromt, qoropt@
@You say it@|@Tkva usvit@
@your@|@ckan-, skan-, skan (i), skani, tkvan (i), tkwa@

