@bairn@|@bern@
@bait@|@ies@
@bake@|@bakke@
@ball@|@bol, dûnsjen, sfear@
@ballast@|@ballêst@
@ball-bearing@|@bol@
@ballerina@|@balletdûnseres@
@ballet dancer@|@balletdûnseres@
@ballet girl@|@balletdûnseres@
@Baltic Sea@|@Eastsee@
@bandit@|@bandyt@
@bank@|@bank@
@bank-note@|@briefke@
@bankrupt@|@bankerot, fallyt@
@bankruptcy@|@bankerot, fallisemint@
@banner@|@flagge@
@banquet@|@feestmiel@
@bar@|@ôfslute@
@barbaric@|@barbaarsk@
@barber@|@hierknipper, skearbaas@
@bare@|@bleat, neaken@
@barely@|@amper, kwealik@
@bargain@|@ôftingje@
@bark@|@blaffe, bylje@
@barley@|@garst, koarn@
@barn@|@diske, kream, skuorre@
@barometer@|@waarglês@
@baroness@|@baronesse@
@barrack@|@skuorre@
@barrel@|@buis, piip@
@barrier@|@ôfsluting@
@barrister-in-law@|@advokaat@
@barst@|@crack@
@base@|@basearje@
@bashfulness@|@ferlegenens@
@basket@|@marse@
@bass@|@bears@
@bastard@|@bastert@
@bat@|@flearmûs@
@bath@|@baaikûp@
@bathing suit@|@baaipak@
@bathroom@|@baaikeamer@
@battery@|@batterij@
@battle@|@fjochtsjen, striid@
@bay@|@baai@
@bazzaar@|@supermerk@
@be@|@syn@
@be acquianted with@|@kenne@
@be ajar@|@oanstean@
@be alive@|@libje@
@be answerable@|@beänderje@
@be asleep@|@sliepe@
@be bold@|@doare@
@be burnt down@|@ferbaarne, ferbrâne@
@be called@|@hite@
@be considered@|@yn 'e nominaasje komme@
@be detained@|@benefterbliuwe@
@be different@|@ferskele, ferskille@
@be encamped@|@kampearje@
@be hungry@|@hongerlapje@
@be in command@|@befelje@
@be indignant@|@ergerje@
@be kept in@|@benefterbliuwe@
@be late@|@neirinne@
@be liable@|@beänderje@
@be married@|@boaskje@
@be next to@|@neistlizze@
@be on the decline@|@minder wurde@
@be present@|@bywenje@
@be responsible@|@beänderje@
@be willing to@|@wolle@
@beam@|@balke, striel@
@bean@|@bean, beane@
@beane@|@bean@
@bear@|@bear, lijen, opsmite, produsearje@
@beard@|@burd@
@beast@|@bist, dier@
