@to gnaw@|@kirge-, n'eki@
@to go astray@|@këj-, mija-@
@to go forward@|@n'ö-@
@to go mad@|@gori-@
@to go out@|@jü-@
@to gossip@|@chölï-@
@to graze of deer@|@anga-@
@to grip with claws@|@chawarï-@
@to guard@|@etejé-, karama-, karma-@
@to hang@|@loko-@
@to have enough@|@elekche-@
@to hear@|@dóldí-@
@to help@|@bele-@
@to hem a garment@|@kamra-@
@to hide@|@dike-@
@to hit@|@n'echu-@
@to hobble@|@chulupkí-@
@to hope@|@ilkiche-@
@to howl@|@bünï-@
@to hunt@|@goG-, gowzho-@
@to hurry@|@mengiw-, meniw-@
@to increase@|@bara-@
@to jump@|@lelün-, lulunche-, nelihu-, nelün-@
@to kill@|@kare-@
@to kindle@|@nul-@
@to lack@|@abul-@
@to lap@|@dala-@
@to laugh@|@in-@
@to lay planks@|@biri-@
@to lead the way@|@nukiw-@
@to leap@|@durengi-@
@to leave@|@eme-, emen-@
@to let slip@|@burï-@
@to lick@|@chïw-, ile-@
@to live@|@in-@
@to make straight@|@ë'ni-@
@to mince@|@kukurë-@
@to move out@|@lupü-@
@to move warily@|@chukerë-@
@to nag of joints@|@mingnï-@
@to neigh@|@ingil-@
@to open@|@nï-@
@to oppress@|@kama-@
@to overcome@|@kasaGa-@
@to paint@|@dewe-@
@to patch@|@nama-, neme-@
@to peck@|@chongkï-@
@to peel bark@|@murdune-@
@to pierce through@|@kewde-@
@to pinch@|@chomdokolö-@
@to pity@|@mulän-@
@to poach@|@lewë-@
@to poach in dirt@|@aldi-@
@to pole in a boat@|@ga-@
@to praise@|@kën'e-@
@to present a gift@|@anï-@
@to press@|@kamni-, kapkal-@
@to prick@|@lupa-@
@to procure poles@|@gerbe-@
@to prohibit@|@kama-lit-@
@to pull out@|@chuptü-, luptu-@
@to put@|@në-@
@to put aside@|@meku-@
@to put into a stack@|@chumche-@
@to reach@|@is-@
@to revenge@|@keremzhu bi-@
@to ride@|@n'amn'a-@
@to roast@|@dalga-@
@to rot@|@munu-, n'a-@
@to run some distance@|@luktin-@
@to saddle@|@lamba-, nama@
@to save@|@aj-, ajü-@
@to say@|@gün-@
@to scold@|@lëGï-@
@to scrape@|@chipi-@
@to scrape off@|@chir-chï-, n'echü-@
@to see@|@iche-@
@to settle down@|@mënë-@
@to sew in@|@luktu-@
@to shade@|@bu-@
@to shamanize@|@dew-zheki-, jaja-, nimngän-@
@to shave skin@|@n'ül-, n'üli-@
@to shine@|@garpa-@
@to shiver@|@dergi-, dering-@
@to sing@|@ikë-@
@to sink@|@irü-@
@to slander@|@keremï-@
@to slaughter a deer@|@murdul-@
@to sleep@|@ä-@
@to slide@|@bäkerö-@
@to smear@|@bulku-, lipa-@
@to smell@|@ngö-@
@to smoke@|@nuw-@
@to snore@|@ligirï-@
@to soak@|@bilki-@
@to split@|@delki-, delpe-m-, delpe-rge-@
@to split in halves@|@kalta-@
@to spread@|@childi-, girke-@
@to spread out@|@nepte-@
@to sprout@|@chiki-ltu-@
@to squat@|@choko-@
@to squeeze@|@chipka-, mongi-, moni-@
@to stand@|@il-@
@to step@|@gira-kta-@
@to stink@|@chiri-@
@to stop@|@bök-@
@to stretch@|@gilde-@
@to stuff@|@chïpchï-@
@to stumble@|@chelë-@
@to submerge@|@chopo@
@to suffer@|@kesë-@
@to suspect@|@nadi-@
@to swallow@|@nimnge-@
@to sweat@|@n'ë-@
@to swell up@|@kepe-@
@to take@|@ga-@
@to take off@|@luk-, lukti-@
@to tarry@|@n'ädu-@
@to taste@|@amta-@
@to teach@|@alawü-@
@to tear@|@chari-@
@to tickle@|@kachaka-@
@to tie a band@|@gurewu-@
@to tie knots@|@inngi-@
@to tie with a knot@|@botö-@
@to tread a path@|@chaki-@
@to try@|@ilke-@
@to unfasten@|@gurë-@
@to wait@|@ëksit-, eskë-@
@to walk@|@dure-@
@to walk round@|@muru-@
@to wander@|@kichur-, kuchi-@
@to warm of sun@|@dul-@
@to wear out@|@lewgï-@
@to whip up@|@lugdu-@
@to wink@|@korimi-@
@to wrap round@|@kurä-@
@to write@|@duku-@
@together@|@kälbe@
@tongue@|@chólí@
@top@|@dí-@
@top of tree@|@chime@
@touchwood@|@kuchu@
@traces@|@lukšipka@
@tree@|@mö@
@tree juice@|@dilgu@
@trout@|@majma, manma@
@tumour@|@dargä@
@udder@|@zhadan@
@unripe@|@esikin@
@upper part of throat@|@chekekte, cheken@
@uproot@|@kongdot-@
@variegated@|@bugdi, merï-kte, merï-me@
@vessel made of birch bark@|@kurken@
@vice@|@kiski@
@voice@|@dilgan@
@vulva@|@motoko@
@walk@|@ngene-@
@warm@|@-pchu, n'ama@
@water@|@mü@
@wave@|@dawsi-@
@we@|@bu, mit@
@weak@|@ewe-zhekin@
@weak-charactered@|@lemük@
@well@|@naka@
@wet snow@|@lün'e@
@whetstone@|@ägen@
@whirlwind@|@kur-ge-kün@
@white@|@-rin, bagda-ma, gilta-li@
@white clay@|@chapida, chawizha@
@white hare@|@mombokï@
@wild@|@delemï, delmï@
@wild game@|@anga@
@wolf@|@n'eGür@
@wolverine@|@jantakï, keltefkï@
@woman@|@asï@
@wonder@|@mëmbe-@
@wood@|@bugar@
@woodcock@|@kara@
@wooden platform for storing@|@delkën@
@woodpecker@|@kirekte@
@worm@|@kulikän@
@wristband@|@bogjan@
@year@|@annganï@
@yellow@|@-rin, chüri-n@
@young bear@|@bäkeje@
@young elk@|@n'arguchän@
@young grass@|@nalbakta@
@young larch@|@n'ahamna, n'ašamda@
@young man@|@nirawï@
@young of elk@|@mëlan, melele@
@younger relative@|@nekü@
@younger relative-in-law@|@bener@

