@to be@|@bï, wai@
@to be able@|@hda-, šëda-@
@to be able to cut@|@dä-@
@to be ashamed@|@hže-@
@to be born@|@törö-@
@to be damaged@|@xëkër-@
@to be detained@|@sädül-@
@to be full@|@dür-, düre-@
@to be ill@|@wed-@
@to be mistaken@|@engde-@
@to become@|@bol-@
@to become white@|@chei-@
@to belch@|@këgerle-@
@to bend backwards@|@gedï-@
@to bite@|@Gaža-, žü-@
@to blow@|@pïle-@
@to boast@|@bardam (n.)@
@to boil@|@pužalu-@
@to break@|@ebde-@
@to burn@|@telee-@
@to carry on the back@|@orhu-@
@to carve@|@sïl-@
@to catch fire@|@šëdä-, šëdara-@
@to change@|@arälžë-, arälzi-@
@to chew@|@kewë-, žažil-@
@to choke@|@qaGa-@
@to cling to@|@žüra-@
@to clothe@|@mës-@
@to clutch@|@atGë-, atGëm@
@to come@|@ere-@
@to come back@|@xarë-@
@to cover@|@nemle-, qužo-@
@to creep@|@mëlgë-@
@to cry@|@olo-@
@to cut lengthwise@|@chusu-@
@to defecate@|@pä-@
@to die@|@hgu-@
@to dig@|@malta-@
@to dress@|@elde-@
@to drink@|@ü-@
@to eat@|@ede-@
@to embrace@|@tewerde-@
@to enjoy@|@žargë-@
@to enter@|@orö-@
@to finish@|@düs-@
@to flow@|@urus-, urusu-, usuru-, wëlžëwai@
@to foam@|@köwög, küre-, xorRë-@
@to follow@|@taRa-@
@to forbid@|@xorhül-@
@to forget@|@martä-@
@to freeze@|@köldü-, kör-, körgö-@
@to gape@|@anghï-@
@to gather together@|@xambë-@
@to get accustomed@|@dasanna-@
@to get drunk@|@soGdö-, soGtö-@
@to give@|@og-@
@to gnaw@|@kemle-@
@to go out@|@Gar-@
@to go round@|@heregdï-@
@to grow@|@üs-@
@to guess@|@tä-@
@to hang on (smth.)@|@olGo-, uhu-@
@to have a bitter experience@|@Gašar-@
@to heat@|@xalü-dGa-, xalü-ra-@
@to hurry along@|@dabtal-@
@to kill@|@ala-@
@to kneel@|@sögöd-@
@to know@|@mede-@
@to laugh@|@nï-@
@to lead@|@kütel-@
@to lick@|@döl-@
@to lie@|@nä-@
@to make@|@gë-@
@to milk@|@sä-@
@to mix@|@qudGë-@
@to move@|@gödöl-@
@to mow@|@Gadë-@
@to nail@|@Gadë-@
@to nauseate@|@ogiši-@
@to open@|@nï-@
@to order@|@žakë-@
@to paint@|@budë-@
@to pass@|@där-@
@to pick@|@žulGu-@
@to pickle@|@hsë-@
@to pound@|@nudu-@
@to prepare@|@belen@
@to press@|@šëGa-@
@to press down@|@därë-@
@to pull@|@tata-@
@to quarrel@|@kerelde-@
@to reach@|@kur-@
@to read@|@onši-@
@to rest@|@amura-@
@to rise@|@ongdö-@
@to roll@|@körwö-@
@to rot@|@hü-@
@to sacrifice@|@dakë-@
@to saddle@|@toGo-@
@to search@|@tangë-@
@to see@|@eže-@
@to shoot from a bow@|@xarwu-@
@to sit@|@suu-@
@to sleep@|@nda-, ntä-@
@to sneeze@|@naitä-@
@to spin@|@tumu-, xemeri-@
@to stamp@|@chiGë-@
@to step@|@alGë-@
@to step down@|@bü-@
@to stir@|@samër-@
@to stretch out@|@sunä-@
@to stumble@|@budër-@
@to suck@|@šëme-@
@to suffer@|@žöldë-@
@to suffer from cold@|@žinggene-@
@to swallow@|@žalGë-@
@to swell@|@xauda-@
@to take@|@ab-, bar-@
@to take care of@|@asara-@
@to taste@|@amsa-@
@to teach@|@žä-@
@to think@|@bodo-@
@to tie up a horse@|@soi-@
@to urinate@|@šï@
@to walk@|@jawë-@
@to walk submerging into water@|@mbä-, umba-@
@to wash@|@Gua-, Rua-@
@to weave@|@neke-@
@to whisper@|@šabrä-@
@to wrap@|@horö-@
@toe@|@xurün@
@together@|@choG, xamtë@
@tooth@|@šdën, šëdën@
@top of milk@|@öröm@
@town@|@xoto@
@track@|@mör@
@trade@|@Gudäldë-@
@transport@|@žü-@
@tree@|@müdën@
@tremble@|@šögö-@
@trousers@|@mudën@
@trust@|@hdege-@
@turn upside down@|@kömör-@
@twenty@|@xorën@
@two@|@Gür@
@udder@|@deleng@
@unexpected@|@genetele@
@urine@|@šïsën@
@vacant@|@sula@
@variegated@|@alag@
@vegetables@|@nohön@
@vehicle@|@tergen@
@Venus@|@cholbon@
@vertebral gristles@|@nurhusën@
@war@|@dain@
@warm@|@dëlän, dulän@
@warmth@|@hilbër@
@watch@|@xarül@
@water@|@Gusun, qusun@
@weak@|@žülen@
@weep@|@üla-@
@well@|@ža@
@West@|@barün@
@what@|@ima, jän@
@wheel@|@korlo@
@whip@|@munä@
@whirlwind@|@xui@
@white@|@chahän@
@who@|@ken, xa-, xä-@
