@beat@|@čaižyti (čaižo/čaižė), kulti (kulia/kūlė), lupti (lupa/lupo)@
@beat unmercifully@|@sudaužyti (sudaužo/sudaužė)@
@beautiful@|@gražus@
@because@|@kadangi@
@because of@|@dėl@
@become@|@tapti (tampa/tapo)@
@become angry@|@supykti (supyksta/supyko)@
@become angry with e.o.@|@susipykti (pyksta/pyko)@
@become excited@|@susijaudinti (jaudina/jaudino)@
@become gloomy@|@apsiniaukti (niaukia/niaukė)@
@become interested@|@susidomėti (domi/domėjo)@
@become lower@|@sekti (seka/sekė)@
@become mad@|@supykti (supyksta/supyko)@
@become stout/plump@|@eiti (eina/ėjo) į kūną@
@become wet@|@sušlapti (sušlampa/sušlapo)@
@become/be excited@|@susijaudinusiam (būti ~)@
@bed@|@lova@
@bedbug@|@blakė@
@bed-clothes@|@lovos baltiniai@
@bed-linen@|@baltiniai (lovos ~)@
@bee@|@bitė@
@beef@|@jautiena@
@beef-tea@|@sultinys (jautienos ~)@
@bee-hive@|@bičių avilys@
@beekeeping@|@bitininkystė@
@beer@|@alus@
@beet (bot.)@|@burokas@
@beetle@|@vabalas@
@beet-root (bot.)@|@burokas@
@beetroot and cabbage soup@|@barščiai@
@beforehand@|@anksčiau, prieš laiką@
@beggarly@|@skurdas@
@behaviour@|@elgesys@
@Beijing@|@Pekinas@
@being on a visit (to)@|@viešnagė@
@Belgium@|@Belgija@
@Belgrade@|@Belgradas@
@belief@|@tikėjimas@
@believe@|@tikėti (tiki/tikėjo)@
@bell@|@skambutis@
@bell button@|@skambutis (mygtukas)@
@belles lettres@|@grožinė literatūra@
@belt@|@diržas@
@belt-buckle@|@diržo sagtis@
@belt-drive@|@diržas@
@bench@|@staklės, suolas@
@bequeath (to)@|@užrašyti (užrašo/užrašė)@
@Bering Sea@|@Beringo jūra@
@Bering Straits@|@Beringo sąsiauris@
@Berlin@|@Berlynas@
@Berne@|@Bernas@
@berry@|@uoga, uogauti (uogauja/uogavo)@
@berth@|@miegamoji vieta vagone@
@besom@|@šluota@
@bet@|@eiti (eina/ėjo) lažybų, lažybos@
@between@|@tarp@
@between ourselves@|@tarp mūsų kalbant@
@beware (of)@|@saugotis (saugojasi/saugojosi)@
@bewitching@|@žavingas ir žavus@
@beyond@|@anapus@
@bicycle@|@dviratis@
@big@|@didelis@
@bill@|@sąskaita@
@bill of fare@|@valgiaraštis@
@billy-goat@|@ožys@
@bin@|@aruodas@
@bind@|@rišti (riša/rišo)@
@binoculars@|@žiūronas@
@biography@|@biografia@
@biology@|@biologija@
@birch@|@beržinė rykštė@
@birch (bot.)@|@beržas@
@birth@|@kilmė@
