@school@|@schüel@
@school teacher@|@Schüelmãmsell@
@schoolmistress@|@lehrere, schüelmàmsell@
@screwdriver@|@Schrüwezejer@
@sea@|@Meer@
@sea lion@|@Seeleeb@
@seagull@|@Mööf@
@second@|@zweitt@
@september@|@septëmber@
@seven@|@séve@
@seventeen@|@sévezehn@
@seventh@|@sevet@
@seventy@|@sevezig@
@shampoing@|@Schãmpu@
@sheep@|@Hãmmel@
@sheet@|@lindûsch@
@shining@|@gledzeri@
@ship@|@Dãmpfer@
@short@|@kurz@
@shortcoming@|@everzwärisch@
@shortcoming (of it)@|@everzwärisch@
@shrew@|@schendmarre@
@shutter@|@lade@
@silly@|@djockel, simbel@
@since@|@zédder@
@sink@|@waserschdan@
@sister@|@scheschter@
@six@|@sechs@
@sixteen@|@sèschzehn@
@sixth@|@sext@
@sixty@|@sèschzig@
@skinny@|@härisel@
@sledge@|@Schlitte@
@slice of bread@|@flâde@
@slippers@|@schlâbe@
@slow@|@lãngsãm@
@small@|@klaan@
@small last@|@neschdkützer@
@small man@|@knerbs, schdubs@
@snail@|@Schnëck@
@snow@|@Schnee@
@so@|@àlso@
@soap@|@Seif@
@soles of wood@|@gleberle@
@sometimes@|@àls@
@sour@|@süames@
@spay of water@|@Springbrunne@
@speak@|@bàbble@
@speak to yourselves French@|@redde'nr fransesch@
@spirit@|@de Geischt@
@spirits@|@d' Geischter@
@spring@|@friejjohr@
@staircase@|@schdèi@
@star@|@Stërn@
@stick@|@stëcke, stëcke@
@still@|@àllewil@
@strand@|@Ufer@
@strasbourg@|@stëckelbùri, strossbùri@
@stretcher@|@dischel@
@stupid@|@dermel, hornogs@
@summer@|@sùmmer@
@sun@|@Sunn@
@sunday@|@sùnndàà@
@sure@|@sicher@
@suspicious@|@Schepfleffel@
@swallow@|@Schwälmele@
@switch@|@Schãlter@
@sword@|@Sãwel@
@table@|@disch@
@tail@|@Wãddel@
@tall@|@hoch@
@teacher@|@lehrer@
@telephone@|@telefon@
@ten@|@zehn@
