@English@|@Mari@
@to get accustomed@|@tëmejä-, tëmenä-, tunema-@
@to get old@|@šonghë@
@to go@|@kaje-, ke-, keje-, mie-, mije-@
@to go away@|@läktä-, lekta-@
@to grind@|@janghëže-, jongëšte-, jongëže-@
@to grow@|@šacha-, šoca-, šocha-@
@to hang@|@kechaš@
@to harness@|@keldä-, këlde-@
@to have time@|@äšte-, ëšte-, šte-@
@to hear@|@kola-@
@to hit@|@changhe-, chonge-, chucha-, conge-, cuca-, tuca-@
@to hit (1)@|@tuca-@
@to knead@|@lëha-, nüštälä-@
@to laugh@|@šarhëža-@
@to lead@|@wide-, wüde-@
@to let come@|@šokta-, šukte-@
@to lick@|@näle-, nule-@
@to lie@|@kie-, kije-, kuja-@
@to limp@|@chatan@
@to live@|@äle-, ile-@
@to loosen@|@përhedä-@
@to lull@|@lüške@
@to melt@|@šële-, šule-@
@to milk@|@lüšte-@
@to obtain@|@šo-, šu-, šumeš@
@to open@|@pacha-, poca-, pocha-, tara, tora@
@to order@|@läšte-, lëšte-, lište-@
@to peel@|@këdaša-, kudaša-, wakta-, wokta-, wotke-@
@to perceive@|@täšle-@
@to pierce@|@pëška-, püškä-@
@to pinch@|@cäwešte-, cëwëšte-, chëwëštala-@
@to plait@|@pochkänce-, pockänce-, pückänce-@
@to pluck out@|@näktä-, nëkta-@
@to point@|@šue-@
@to pour@|@wela-@
@to press@|@iše-, lazërte-, lëzërte-, lëzërte-, pënze-, puncala-, punce-@
@to press (1)@|@iš-, jëše-, lëzërte-@
@to press together@|@nämärhe-, numorgé-@
@to push@|@šäškä-, šëre-, šure-, šüška-@
@to put together@|@pärde, përde-@
@to rot@|@šü, süj, šüj@
@to row@|@šua-, šue-@
@to run@|@këdala-, kudala-@
@to say@|@mana-@
@to scrape@|@nuže-, nuzëlhe-, nuzulhe-@
@to search@|@kächälä-, këcala-, këchala-, kichala-@
@to see@|@uža-, wäcä-, wuce-, wuche-@
@to sew@|@ërhe-, urhe-, wërhem, wurhem@
@to shake@|@pachke-, pochke-, pocke-@
@to shine@|@cëlhëža-@
@to snuff@|@nëštala-, nüštala-@
@to sour@|@gären, šua-@
@to spin@|@šädër, šëdëre-, šüdër, šüdëre-, šüdür, šüdüre-@
@to spit@|@šäwäl-wät, šäwe-, šüwala-, šüwël, šüwël-wüt@
@to spread@|@tütka-@
@to sprout@|@paše-, poše-@
@to stand@|@šalh-, sänzä-, sänze-, šinca-, šince-, šoh-@
@to step over@|@wanše-, wonce-, wonche-@
@to stretch@|@šänte-, šënte-, šinte-@
@to swallow@|@nela-, nelä-@
@to swim@|@iä-, ija-@
@to throw@|@lüje-, üde-, wachkalt-, wüde-@
@to touch@|@kuške-@
@to urinate@|@këž-wät, këža-@
@to vomit@|@ukšencha-, ukšinca-@
@to wash@|@kšta-, mëška-, muška-, muškaš, šta-@
@to where@|@wül-nö@
@to yawn@|@ušte-@
@tongue@|@jälmä, jëlme, nëlme@
@tooth@|@pü, püj@
@trade@|@uža, užale-, wëžale-, ža@
@trap@|@lödö, lüdä@
@tree fungus@|@šen, šin@
@tremble@|@ärze-, räze-, rüzala-, rüze-@
@trough@|@wachkë, wocko@
@turned over@|@këmala-, këmëk, këmëkte-, kumëk, kumëkte-@
@turned over (1)@|@kumala-@
@twigs@|@karša@
@two@|@kok, koktët@
@udder@|@wadar, wodar@
@uncle@|@chächä, chüchö, cücö, tüchü@
@variegated@|@pach@
@very@|@läng, lëng@
@vicinity@|@den, dene, don, donë, ten, tene, ton, tonë@
@warmth@|@lewe, liwä@
@wart@|@šähäl, šëhële@
@water@|@wät, wüt@
@wave@|@wüt-ko, wüt-kowo@
@wax@|@šäštä, šište@
@we@|@mä, me@
@wetness@|@lëpkata, lup@
@what@|@këce, këdë, këštë, kudo, kušto, kuze, kuže@
@Where is my room?@|@kushto myjym pölemem@
@Where is the bar?@|@kushto bar?@
@Where is the beach?@|@kushto pljazh@
@whet@|@šëma-, šume-@
@while@|@hodëm, kodëm, kot, ošso hodëm@
@white@|@oš, ošë, ošo, walhëdë, wolhëdo@
@who@|@ke, kö, kü@
@whole@|@cält, cëla, cilä@
@wide@|@këmda, kumda@
@wild animal@|@sërmë, šurmanghe, šurmangše, šurmangše@
@wind@|@tul@
@winding@|@üp-pënem@
@winter@|@tel, tele, telë@
@wood@|@pu@
@wood snipe@|@kërmëzak, kurmäzak, kurmëzak@
@wooden mortar@|@šuar, šuer@
@woodpecker@|@šištä, šište, šište-chünhšö@
@woodworm@|@šähä, šühü@
@word@|@mut@
@worm@|@kije, suks, šukš@
@yarn@|@šärtä, šürtö@
@year@|@i, ij@
@yeast@|@šong@
@you@|@tä, te@
@young@|@ihä, ihe@
@young deer@|@šardë, šordo@
@young grass@|@odar@
@young lime tree@|@lamëšte, nemeštä, nemeštä, nëmëšte, nimištä@
@young of deer@|@piche, puchë, püchö, pücö, wüchö@
@younger sister of husband@|@nudë, nudo@

