@to hold@|@awaj-s:i-@
@to itch@|@ug-@
@to kill@|@a=ch:a-@
@to kiss@|@pa aqas@
@to knit@|@rux-@
@to know@|@aha-@
@to laugh@|@ilqI-@
@to lick@|@d-uzha-@
@to lie@|@aq-ux-, aqu xas, ax'u x'ac@
@to lock@|@lat:-ix-@
@to look@|@liwa-, xut:-urf-@
@to lose@|@gul-@
@to make@|@aq-@
@to make an ablution@|@žukül ghušas@
@to milk@|@uz-@
@to mow@|@uc-as@
@to open@|@d-aq-@
@to paint@|@rix-@
@to pick@|@ad-irka-@
@to plane@|@icw-, la-jcw-@
@to plaster@|@ald-ark-@
@to play@|@d-ürüX-@
@to plough@|@uz-@
@to pluck@|@ud-@
@to pour@|@aji-@
@to pour out@|@ada-jzw-@
@to press@|@chuqI-@
@to pull@|@d-iw-@
@to put@|@ije-, ik-, ix-@
@to put on@|@=ubla-s@
@to quarrel@|@al-uxI-@
@to rain@|@ughas@
@to reach@|@ruq-@
@to read@|@rux-@
@to reap@|@ix-es@
@to return@|@aldaq-ark-@
@to rub@|@kit-X-, tiš-@
@to run@|@uk:-@
@to run away@|@hiš-@
@to saw@|@d-irx-@
@to say@|@pas@
@to search@|@ad-ark-@
@to see@|@agvas, agw-, raqI:a-@
@to sell@|@masa jis@
@to sew@|@d-uq-@
@to shear@|@arx-@
@to sift@|@zu-r-fi-@
@to sit@|@'ik'vas, iqwa-@
@to sleep@|@axa-, g'arx'as@
@to speak@|@ghurgh-, wa-xwa-@
@to spin@|@ut:-@
@to stand@|@g'uzanas, gh-uz-@
@to stay@|@ame-xis, ilgw-@
@to suck@|@cufi-, uq-@
@to sweep@|@žik-@
@to swell@|@t-aX-@
@to swim@|@salav ak'as@
@to take@|@aq:a-@
@to tear@|@chaxan-@
@to tear off@|@ch-irxw-@
@to tremble@|@zurz-@
@to turn on an axis@|@ilcan-@
@to understand@|@gha'ur-di arx-@
@to wail@|@rux-@
@to wake up@|@kit-kwa-@
@to want@|@k:an xas@
@to wash@|@'uch:-@
@to wave@|@t:ut:-@
@to weep@|@'aš-@
@to work@|@lux-@
@to wrap@|@ghad-iž-@
@to write@|@likan-@
@toe@|@kumul@
@tom-cat@|@marRu@
@tomorrow@|@baga, sakwa-na@
@tongue@|@mez@
@tooth@|@sileb@
@top@|@kekw, wart:@
@top of boot@|@kek@
@tower@|@cud, gim@
@track@|@xil@
@tree@|@kur@
@tree bark@|@k'ark@
@tremble@|@akak-@
@trough@|@xaxw@
@twenty@|@q:a-d@
@twig@|@tul@
@two@|@gIad, qIu-d@
@udder@|@Xaw@
@urine@|@zur@
@variegated@|@'ürche-f@
@vertebra@|@kac@
@village@|@xur@
@wall@|@cal@
@wall-niche@|@ghul@
@walnut@|@xIaw@
@water@|@xed@
@we@|@chin, xin@
@weasel@|@turk:@
@weed@|@chal@
@weigh@|@alc-@
@what@|@fi@
@wheat grain@|@ek@
@wheel@|@fur@
@wheel set on the spindle top@|@wart@
@when@|@mus@
@whetstone@|@'ulžan@
@whey@|@chwah, mah@
@which@|@hi-na@
@white@|@žagwar-f@
@who@|@fi-š@
@wide@|@arqe-f@
@wild turkey@|@ulusun@
@willow@|@chuIl@
@wind@|@tireb@
@window@|@dagar, tagar@
@wineskin@|@kech@
@wing@|@xil@
@wither@|@tuxa-@
@woman@|@xir@
@woman's breast ornament@|@kulexar@
@women@|@xumb-ar@
@wooden jar@|@chaq@
@wooden shovel@|@irf-ar, kati@
@wooden step@|@chiq@
@woodpecker@|@k:wedk:wedaj@
@wool of sheep@|@xej@
@worm@|@maluqI@
@yard@|@Xan@
@year@|@is@
@yellow@|@qIuqIef@
@yoke@|@k:ur-ax@
@you@|@chu-n, vun@
@young of birds@|@chark:w@
@young of domestic animals@|@keruq@
@young of donkey@|@q:Ianch:@

