@clean (to..)@|@umiti@
@clean oneself (to..)@|@umiti se@
@cleanliness@|@čistoba@
@clear@|@jasen, svetel, vedro@
@clear (v)@|@izbrisati, narediti jasen..čisto, odpraviti@
@clearance@|@razprodaja@
@clef@|@ključ (glasba)@
@click on (v)@|@klikniti@
@climb (v)@|@plezati@
@climbing geranium@|@bršljanka@
@clip@|@sponka@
@cloakroom@|@garderoba@
@clock@|@ura@
@close@|@blizu@
@close (to..)@|@zaključiti, zapreti@
@closed@|@zaprt, zaprto@
@closed circuit@|@sklenjen krog@
@cloth@|@blago@
@cloth seat upholstery@|@sedežne prevleke iz blaga@
@clothes@|@oblačila, oblačilo, obleka@
@clothes (to be washed)@|@perilo@
@clothes or shoe size@|@številka@
@clothes pin@|@klinček@
@cloud@|@oblak@
@cloudiness@|@oblačnost@
@cloudy@|@oblačen, oblačno@
@clue@|@namig@
@clutch@|@sklopka@
@coal@|@oglje, premog@
@coast@|@obala@
@coastline@|@obala@
@coat@|@sloj, sukno@
@coat-of arms@|@grb@
@coco@|@kakav@
@coffee shop@|@kavarna@
@cofffee (drink)@|@kava@
@coil@|@tuljava@
@coil springs@|@vijačne vzmeti@
@coin@|@kovanec@
@cold@|@hladen@
@cold (in general)@|@mrzel@
@cold (temp.)@|@mraz@
@collar@|@ovratnik@
@collect (to..)@|@nabirati@
@collector (elec)@|@kolektor@
@color@|@barva@
@colour@|@barva, barvati@
@colour (v)@|@obarvati@
@colt@|@žrebe@
@comb@|@češelj, glavnik@
@come (to..)@|@priti@
@come about (to..)@|@zgoditi se@
@come back@|@priti nazaj@
@come back (to..)@|@priti nazaj@
@come to (v)@|@znašati@
@comedian@|@humorist@
@comes in affect@|@nastati@
@comes to be@|@nastati@
@comfort (v)@|@tolažiti@
@comical@|@smešen@
@coming (to be..)@|@prihajati@
@comma@|@vejica@
@command@|@naročilo@
@command (army)@|@povelje@
@command line (pc)@|@ukazni poziv@
@commander@|@poveljnik@
@commanding bridge@|@poveljniški most@
@commence (to..)@|@začeti@
@commerce dept.@|@trgovina@
@commercial (rad/TV)@|@reklama@
@commission@|@komisija@
@commit to memory@|@zapomniti si@
@commitment@|@obveznost@
@commune@|@občina@
@communications@|@komunikacije@
@compact construction@|@kompaktna zgradba@
@company@|@firma, podjetje@
@compas@|@kompas@
@compas (geometrical)@|@šestilo@
@compete (v)@|@tekmovati@
@competition@|@tekma, tekmovanje@
@complaint@|@pritožba@
@complete@|@cel@
@complete v.@|@izpolniti@
@complexity@|@zaguljenost, zapletenost@
@compose (v)@|@sestaviti, skladati@
@composer@|@skladatelj@
@composition@|@kompozicija, prosti spis, skladba@
@compote@|@kompot@
@comprehension@|@obseg@
@compress (v)@|@kompresirati, zgostiti@
@compulsory@|@obvezen@
@computer@|@računalnik@
@concerned@|@zaskrbljen@
@concert@|@koncert@
@conclude (to..)@|@zaključiti@
@conclusion@|@sklep, zaključek@
@concordance@|@soglasje@
@condition@|@pogoj@
@conditionally released@|@pogojno odpuščen@
@condo@|@apartma@
@conduct (v)@|@dovajati@
@conductor (elec)@|@dovod (elek)@
@conductor (music)@|@dirigent@
@conduit@|@dovod@
@cone@|@stožec@
@cone shaped@|@stožčasti@
@confectionary@|@slaščičarna@
@confirm@|@potrditi@
@confirmation@|@potrdilo@
@confiscate (v)@|@odvzeti@
@confortable@|@udoben@
@congradulate@|@čestitati@
@connect (v)@|@povezati, priklopiti@
@connected@|@spojen@
@connection@|@povezava, priklop, zveza@
@connectors@|@priključki@
@conscript@|@vojaški obveznik@
@consensus@|@soglasje@
@consequence@|@posledica@
@consientious objection@|@ugovor vesti@
@consist of (v)@|@obsegati@
@consolation@|@tolažba@
@console (in center)@|@sredniška konzola@
@console (v)@|@tolažiti@
@constantly@|@stalno@
@construct (to..)@|@graditi@
@construction@|@konštukcija, sestavljanje@
@consulate@|@konzulat@
@contageous@|@nalezljiv@
@contemporary@|@sodoben@
