@house@|@barq, eb, ev, öj@
@howl@|@ula-, ulu-, uly-@
@hummel@|@toqal@
@hundred@|@jüz@
@hunger@|@aç, až@
@hunting dog@|@iger@
@husband@|@abuçha, avyçha@
@husbands of sisters@|@baça, bažanaq@
@I@|@ben, men@
@ice@|@buz, muz@
@ill@|@sökäl, sökül@
@illness@|@çir, çire-, kem@
@image@|@käp, kep, kip@
@immediately@|@temin@
@in front of@|@aldy@
@in the presence of@|@alny-da@
@inheritance@|@qumar@
@instrument@|@saqyt, saut, sawut@
@insufficient@|@qyt@
@intelligence@|@ang@
@interior of something@|@iç@
@interrogative particle@|@-mu@
@intestines@|@içegü@
@irritate@|@qozha-@
@is not@|@degül@
@island@|@atov, otraç, otruh@
@itching@|@gižik@
@jade@|@qaš@
@jaw@|@çanga, çenge@
@joint@|@bohun@
@judge@|@jarhan@
@jug@|@kündük, qumhan@
@juice in meat@|@söl@
@jujube@|@igde, jigde@
@jungle@|@simek@
@kidney(s)@|@bögrek, bögür@
@knee@|@diz@
@Knee@|@Tiz@
@knife@|@bi@
@knock@|@toqun-@
@knot@|@çik@
@ladle@|@qamyç@
@lair@|@in@
@lake@|@köl@
@lamb@|@qozu, qozy, quzy@
@lamb (6m. old)@|@tohly, toqly@
@land@|@jer@
@language@|@til, tyl@
@lap@|@çabuq@
@larch-tree@|@tyt@
@large bovine@|@syhyr@
@large earthenware vessel@|@jam@
@lasso pole@|@oqruq@
@last year@|@byltyr, bylyr@
@lay an ambush@|@bus-@
@layer@|@qat@
@lazy@|@qašang@
@lead cattle away from pasture@|@küt-@
@leaf@|@japraq, japyryany, jpraq@
@lean@|@turuq@
@lease@|@jaqa@
@leather@|@gön, jary, kön@
@leather belt@|@qajyš@
@leech@|@sülük@
@left@|@sol@
@lentil@|@jasmuq, jasymuq@
@level@|@tekiz, tüz, tüz-@
@lie@|@jalhan, jalqan@
@light@|@jaruq, jenggil, jenik, jöngül, jüngül@
@lightning@|@jašyn@
@lip@|@erin, iren@
@little@|@kiçig, kiçik@
@liver@|@bahyr@
@lizard@|@keles@
@load@|@jük@
@locust@|@sarynçqan@
@lonely@|@ahlaq, jalngus, jalyngyz, jalyqyz@
@Long@|@Uzun@
@long of time@|@ür@
@long time@|@keç@
@loss@|@qor@
@Louse@|@Bit@
@lower part@|@teg@
@luck@|@jom@
@mad@|@mungqul, qutuz@
@magic@|@arvyš@
@magpie@|@saqsahan, saqyzhan@
@male maral@|@sojhun, suhun, syhun, syhyn, syjyn@
@malice@|@kek@
@mallet@|@toqmaq, toqymaq@
@Man@|@Er, erkek@
@mane@|@jel@
@mange@|@qotur@
@mankind@|@eren@
@man's wife's younger sister@|@baldyz@
@many@|@çoq, çoq, köp, telim, üküš@
@mare@|@junad, junt@
@marrow@|@jilik@
@marsh@|@batyh- bathaq@
@matchmaker@|@javçy@
@mate@|@eš@
@mattock@|@ketmen@
@mattress@|@tölet, töšek@
@meal@|@aš@
@measure@|@ölgü, ülgü@
@meat@|@et@
@memory@|@es@
@mended cloak@|@çapan, jamahlyh@
@messenger@|@keleçi@
@method@|@josun@
@midday@|@öjle@
@middle@|@orta, ortu@
@mighty@|@berk@
@mild@|@jumšaq, jymšaq@
@military commander@|@çabuš, çavuš, çawuš@
@milk@|@süd, süt@
@millet@|@qonah, qonaq, tary, taryh, üjür@
@millet beer@|@begni@
@minute@|@ušaq@
@mischief@|@qiran@
@miserly@|@saran@
@mistake@|@jangluq@
@moat@|@qaram, qarym@
@moist@|@öl@
@mole@|@jumran@
@mole on the face@|@meng@
@monkey@|@beçin@
@month@|@aj, an@
@monument@|@sin@
@mood@|@köngül@
@moreover@|@jeme@
@morning@|@jaryn@
@mortar@|@keli@
@mother@|@ene, ög@
@Mother@|@Ana@
@mottled@|@çibar@
@mountain@|@tah@
@mountain forest@|@jyš@
@mountain top@|@qir, qyr@
@mouse@|@syçan, syçhan@
@moustache@|@burut, byh, myh@
@mouth@|@ahaz, ahyz@
@mouth of a river@|@ahyz@
@mouthful@|@awurt, ohurt, owurt@
@move down@|@tüš-@
@mule@|@qatyr@
@musk@|@ipar, jybar, jypar@
@nail@|@kök@
@naked@|@jalan, jalyng, jalynžaq@
@name@|@At@
@name of a country@|@çölig@
@name of the homeland@|@ötüken@
@narrow@|@tar@
@navel@|@kin, kindik, köbek@
@near@|@jahuq, jaqyn, javuq@
@necessity@|@jumuš, kerek, kergek@
@neck@|@bojn, bojun, bojyn@
@needle@|@igne, jingne, sap, sap@
@needle hole@|@jurdu@
@neighbour@|@qonšy, qošny@
@nephew@|@jegen, jegin, jeken@
@nest@|@juwa, uja@
@net@|@ah, ilim@
@net for catching birds@|@tor@
@nettle@|@çalahan@
@new@|@jangy@
@New@|@Yany@
@new-born child@|@çaqa@
@news@|@çaw@
@night@|@geçe, keçe, tün@
@nine@|@dokuz@
@nit@|@sirke@
@nomadize@|@köž-@
@nomadizing@|@köç@
@noon@|@tüš@
@North@|@ir-, jir-, jyr-haru@
@Northern slope@|@quz, quzaj@
@nose@|@burun@
@nose phlegm@|@sümük@
@not@|@-ma-@
@now@|@am-ty, emti, imdi@
@numerous@|@qalyn@
@oar@|@qajyq@
@oath@|@ant@
@obligatory@|@vâcib@
@oblique@|@qyngyr@
@observation@|@sin@
@obstruct@|@tyd-, tyj-@
@occasion@|@ohur, uhur@
@ochre@|@ašy@
@oestrum@|@öjge@
@offended@|@küs-@
@old@|@qary@
@omen@|@irü, yrym@
@one@|@bir@
@one hundred@|@yüz@
@one of a pair@|@syñar@
@onion@|@sohan, sohun@
@only@|@tek@
@ooze@|@sarq-@
@opposite@|@qaršy, utru@
@or@|@azu@
@order@|@jar-lyh@
@origin@|@töz@
@originate@|@töre-, törü-@
@other@|@adyn, öñi, özge@
@outer angle@|@señir@
@outer side@|@taš@
@overthrow@|@jyq-@
@owl@|@bajquš, bajqyz, ügü@
@ox@|@öküz@
@pack saddle@|@kürtün@
@pain@|@sizgi@
@painted ornamentation@|@bediz@
@pair@|@qoš@
@palace@|@ordu@
@palm of hand@|@aja@
@pan@|@saç, saž, saž, tegene, tekene@
@part of a body above the waist@|@bökse@
@part of animal's skin@|@öjek@
@part of horse's leg@|@tahy-h@
@part of loom@|@küzük@
@partridge@|@ular@
@pea@|@burçaq@
@peace@|@baz@
@peel@|@soj-@
@peel off@|@syjyr-@
@peeled skin@|@qav@
@peg@|@qazhuq, qazuq@
@penthouse@|@basturma@
@people@|@bodun, kiši@
@period of time@|@qolu@
@perquisition@|@sorahaq@
@person@|@jalanguq@
@Person@|@kiši@
@pestilence@|@keziv@
@phalanx@|@bew@
@pheasant@|@süglün, sülgün@
@piece@|@tike@
@pig@|@tonguz@
@pile up@|@qala-@
@pillow@|@jastuq@
@pillow-shaped ingot of silver@|@jastuq@
@pimple@|@oqra@
@pine tree@|@çam ahaç@
@pipe@|@düdük@
@pitfall@|@çuqur@
@place@|@orun@
@place between the neck@|@saqaq@
@place of staying@|@orda, ordu@
@placenta@|@umaj@
@plain@|@alang@
@plait@|@tulum@
@plane@|@jon-, jön-@
@plant which grows in damp@|@sarhan@
@play@|@ojun@
@pleasure@|@bengi, mengi@
@plough@|@amaç, saban, sapan@
@plug@|@böken@
@plum@|@erük, örük@
@pock-marked@|@çubar@
@poison@|@ahu@
@poker@|@küsegü@
@pole@|@suruq, syruq, syryq@
@poor@|@çyhaj, çyhan, jarlyh@
@poplar@|@terek, tohraq, turaq@
@porridge@|@butha, ügre@
@portable table@|@tirki@
@possess. suffix (3d person)@|@-sy@
@post station@|@jam@
@pot@|@ajaq@
@power@|@küç@
@precious gift@|@açyh@
@prediction@|@yrk@
@pregnant of animals@|@bohaz, bohuz@
@press in@|@tyq-@
@price@|@deg-ir, jal, jal, teg-iš@
@pride@|@öktem@
@profit@|@assyh, asy, asyh, tusu@
@progeny@|@töl@
@prohibition@|@kesetkü@
@projecting bone at the ear@|@çügte@
@protect@|@qoru-, qory-, saqin-, saqyn-@
@proud@|@küvez@
@pull out@|@sohur-, suwur-@
@punishment@|@qyjn, qyjnyh, qyn qyjyn@
@purple@|@jipgin, jipin@
@pus@|@iring@
@quail@|@byldyrçyn@
@quick@|@bat, evük@
@quiet@|@jabaš, javaš@
@quiver@|@keš, qurman@
@raft made of skins@|@tar@
@rafter@|@sal@
@rag@|@jurun@
@rage@|@qutur-@
@rain@|@jahmur, jamhur@
@raise@|@köter-, kötür-@
@raised up@|@ediz@
@ram@|@qoç, qoçqar, qoçungar@
@rank@|@qur@
@ransom@|@juluh@
@ransom for bride@|@qalyn@
@rash@|@uçuq@
@rasp@|@dörbi@
@raw@|@jaš@
@ray@|@jalqun@
@ready@|@anuq@
@reason@|@dyldah, jon, tyldah@
@recent@|@ting ürki@
@recently@|@baja, baja-qy@
@red@|@qyzyl@
@red clay@|@juša@
@reed@|@çyh, haraw, harqu, qamuš, qamyš, qarhu@
@relative-in-law@|@qadyn, qajyn@
@rely on@|@yna-n-@
@remain@|@qal-@
@research@|@terke-, tirke-@
@resin@|@saqyz@
@rheumatism@|@qujang@
@rib@|@qabar@
@rich@|@baj@
@right@|@ong@
@right after@|@basa@
@road@|@jol, oruq@
@roasted meat@|@sögüš@
@roasted sheep tail@|@çyçyh, çyçyq@
@rock@|@qaja@
@rock crystal@|@sirçä, syrça@
@roe@|@ohulduruq@
@roll together@|@tür-@
@room@|@oda@
@root@|@iltyz, jyltyz, kök, kök, kök, tüb, tüp@
@rope@|@bah, orhan, uruq@
@rope for calves@|@žele@
@rough@|@qal@
@round@|@jumru, qumal, tegirmi, tegirmi, tekirme, tekirmi, topurçaq@
@round thing@|@tofuq, top@
@rug@|@kebiz, kevüz, köwüz@
@rump@|@uça uža@
@rust@|@tat, tot@
@sable@|@kiš@
@sack@|@qap, samar@
@sacred@|@yduq@
@saddle@|@eger@
@saddle straps@|@tergü, terki@
@saddleblanket@|@jona, juna@
@saddlegirth@|@qolah, qolan, qulan@
@saddle-pad for a camel@|@köpen, küpen@
@saliva@|@silik@
@salmon@|@jajyn@
@Salsula@|@qamhaq, qamqaq@
@salt@|@tuz@
@salt steppe@|@qajyr@
@sand@|@cheke, qum@
@saturated@|@qojuh@
@scabbard@|@qyn@
@scarlet@|@al@
@scissors@|@qypty@
@scorpion@|@çajan, çiban, çyjan@
@scrape@|@qyrq-@
@scrotum@|@tašaq@
@scruff@|@jal@
@seam@|@kök@
@second@|@tvirem@
@seed@|@evin, tüš, uruh@
@separate@|@böl-@
@servant@|@qul@
@seven@|@jeddï, jeti, yedi, yeti@
@sexual passion@|@öðüg@
@shadow@|@kölege, köšige@
@shake@|@tepre-@
@shallow@|@kenges, kengez, syq@
@shaman@|@qam@
@shame@|@ubut, ujat@
@shank@|@jota@
@sharp@|@iti, iti-, itik, jiti, qurç@
@sharp stick@|@syš@
@sharp-edged@|@süvri@
@sharpened arrow@|@qovuša-@
@sheaf@|@külte@
@shed@|@aran@
@sheep dung balls@|@qumalah@
@sheep skin@|@bahana@
@shin@|@inžik, qyç, san@
@Ship@|@kemi@
@shirt@|@köjnek, könglek@
@shoe@|@bašmaq@
@short@|@qysha, qysqa@
@shoulder@|@egin, in, kebze, omuz@
@shoulder between the neck@|@çikin@
@shoulderblade@|@jaryn@
@shovel@|@japa@
@side@|@jan, jaq, jön, qaptal@
@side of a mountain@|@jamaç, jamaž@
@sideway@|@sapaq@
@sieve@|@elek@
@sign@|@ym@
@silk brocade@|@ahy@
@sin@|@mün@
@sinciput@|@jimük@
@sinew@|@siñir@
@sing of birds@|@öt-@
@single@|@jangus@
@sister@|@öke@
@six@|@alti@
@skin@|@teri@
@skin container@|@tolquq@
@skin of kid@|@eltirik@
@skin tanned@|@jarhaq@
@sky@|@qalyq@
@Sky@|@kök@
@slander@|@jala, jala, qov, ušaq@
@slave@|@köl, kül@
@sledge@|@qyzaq@
@sleeve@|@jeng@
@small ants@|@çumadu, çümadu@
@small balls as ornaments@|@bunžuq, monçuq, munçaq, mynçah@
@small bird@|@toryha@
@small finger@|@çyçamuq@
@small pieces@|@tohra-@
@small river@|@çaj, oçus, ügüz@
@smear@|@sür-, sürt-@
@smell@|@jyd@
@smock@|@syry-@
@smoke@|@tütsi, tütsüg, tütün@
@snake@|@jylan@
@snare@|@salma@
@snow@|@qar@
@soil@|@tofrah, tofraq, toprah, Topraq@
@sole@|@ölteng, taban, ultang@
@some body part@|@öšün@
@some part of body@|@bögsig@
@somethin belonging to the tent@|@irgene@
@son@|@ohul, ury@
@Son@|@O'gul@
@song@|@jyr, yr@
@son-in-law@|@jeznä, küdegü, küjew@
