@see (.v)@|@-tkahthos@
@seed@|@kanen@
@sell (v.)@|@-tenhninons@
@Seneca nation@|@Shotinontowane'hàka@
@September@|@Sehske'kowa@
@seven@|@tsyatak@
@seventeen@|@tsyatak-yawenre@
@seventy@|@tsyatak-niwahsen@
@sew (v.)@|@-e'nikhons@
@sewing machine@|@ye'nikhonhkwa@
@shady: it is ~@|@yorahkwawerhon@
@sheep@|@siksik@
@shelf@|@yohswen'karohare@
@shoes@|@ahta'@
@shovel@|@karihstohare@
@silk@|@kanheks@
@silver@|@ohwihstakenra@
@sing (v.)@|@-terennotha'@
@sit down (v.)@|@-tyars@
@six@|@yayak@
@sixteen@|@yayak-yawenre@
@sixty@|@yayak-niwahsen@
@skirt@|@kakhare@
@sky@|@karònya@
@sleeting: it is ~@|@yowisarhon@
@smell (v.)@|@-tehswàtha'@
@snake@|@onyare@
@snowing: it is ~@|@yo'keren'onh@
@snowmobile@|@wahsi'kwìserehs@
@snowshoes@|@kahwènkare@
@snowsnake@|@aterahwènta@
@snowstorm: there is a ~@|@tekanyen'kwatase@
@soap@|@yenohrètha@
@socks@|@karis@
@soda@|@kahnekakon@
@soft maple tree@|@kahtha'kenra@
@son@|@-yen'a@
@song@|@karenna@
@soup@|@kanòntara@
@soup bowl@|@yenon'tararahkwa@
@speak (v.)@|@-tatis@
@spear@|@ahsìkwara@
@spoon@|@atokwa@
@spouse@|@rone@
@spruce tree@|@o'sora@
@squash@|@onon'onhsera@
@steel@|@yorihstahniron@
@stomach@|@ohsyehònta@
@stone@|@onenya@
@store@|@tsi yontenhninontha@
@stove@|@yekhonnya'tahkwa, yononhsa'tariha'tahkwa@
@strawberries@|@niyohontehsha@
@stream@|@kahyonha@
@string@|@ahseriye'@
@string beans@|@orhotsheri@
@strong wind@|@kawera'shatste@
@study (v.)@|@-terinwayenhstha'@
@sugar bowl@|@yetsikhe'tarahkwa@
@sugar maple tree@|@wahtha@
@summer: in the ~@|@akennha'kène@
@Sunday@|@Yawentatokenhton@
@sunny: it is ~@|@yorahkite@
@swim (v.)@|@-tawenhs@
@table@|@atekhwàra@
@take (v.)@|@-hnyotakwas@
@taste (v.)@|@-tkènse's@
@tea@|@oti@
@tea kettle@|@yohoronte@
@teapot@|@yotitsheronnyàtha@
@teeth@|@onawira@
@telephone@|@yontewennata'ahstha@
@television@|@kaya'tarha@
@ten@|@oyeri@
@tent@|@atosera@
@thirteen@|@ahsen-yawenre@
@thirty@|@ahsen-niwahsen@
@three@|@ahsen@
@three hundred@|@ahsen-tewn'nyawer@
@three thousand@|@ahsen-tewen'nyawe'ehseron@
@throat@|@ohnyàsa@
@thumb@|@oweyonhkara@
@thundering: it is ~@|@yoweron@
@Thursday@|@Kayerihatont@
@tin@|@karihstakenra@
@today@|@kenh wenhniserate@
@toe@|@ohyakwira@
@tomatoes@|@wahyakhahon@
@tomorrow@|@enyorhenne'@
@tongue@|@en'nahsa@
@tornado: there is a ~@|@tekaweratase@
@towel@|@yontya'tokewàtha@
@town@|@kanata@
@train@|@teyo'seretsheràka@
@tree@|@kerhite@
@trunk@|@karonta@
@try (v.)@|@-te'nyentenhs@
@Tuesday@|@Tekenihatont@
@turkey@|@skawerowane@
@turn around (v.)@|@-tkarhatenyes@
