@though@|@-ki@
@three@|@xiby-d@
@threshing@|@jig@
@threshing-floor@|@rat@
@throat@|@qaqar-ak@
@tick@|@xic@
@tinder@|@cümäs, cymäs@
@to ask@|@u=kwa-@
@to bake@|@zhirzhe@
@to bark@|@=erqwa-@
@to be@|@a, i', w-išir@
@to be hooked@|@chu=kwe-@
@to be round@|@rughwa-s@
@to beat@|@=äta-, darxa-s@
@to boil@|@l-a=rsa-@
@to burn@|@u=xwa-@
@to burst@|@tu=qwe-@
@to buy@|@l-ä=šwa-@
@to carry@|@=ixe-s@
@to change@|@k-yrxIy ha'as@
@to come@|@jy=qa-, ru'u-@
@to come in@|@ä=chwa-@
@to copulate@|@-egge-s@
@to cut@|@h-a=twa-, u=gwa-@
@to dance@|@=iga-, h-ulqwa-s@
@to dig@|@a=qIwa-@
@to do@|@-a'-@
@to drink@|@raghIa-@
@to drive@|@hi=iga-@
@to drop behind@|@qigh-i=xw-@
@to eat@|@=ile-@
@to embroider@|@u=qa-@
@to expel@|@h-e=ga-@
@to fall@|@lukwa-, s-i=xwa-@
@to fear@|@giche-@
@to fidget@|@gha-chi=xa-@
@to forget@|@u=xwa-@
@to gnaw@|@cha=rkwa-, e=che-@
@to go@|@=yryx@
@to go away@|@qI-u=ghIu-@
@to go out@|@s-a-qIa-s@
@to grow@|@l-e=g-@
@to hang@|@k-e=xa-@
@to hide@|@gi=irka-@
@to jump@|@l-a=che-@
@to keep silence@|@g-i=xe-@
@to knit@|@xy=rxwa-@
@to know@|@=aca-@
@to lick@|@t-u=je-@
@to lie@|@lukwa-@
@to limp@|@a-rka-s@
@to lose@|@s-u=ga-@
@to milk@|@=äz-@
@to pick@|@h-i=ka-@
@to plough@|@=äza-@
@to pour of rain@|@k-e=z-@
@to praise@|@=irza-@
@to pull@|@=e'e-@
@to put@|@l-i=xe-@
@to rain@|@hughwas@
@to ripen@|@h-i=qa-@
@to roar@|@q:Iyrgh wa'as@
@to rot@|@s-i=ce-@
@to rub@|@a=xIa-@
@to run@|@=axa-@
@to say@|@=uxwa-@
@to see@|@h-a=gwa-@
@to sell@|@masy wys@
@to shear@|@ra=xIa-@
@to sit@|@s-uqwa-@
