@filter@|@georeuda@
@finger@|@songarak@
@finger nail@|@sontop@
@finger print@|@jimun@
@fingernail@|@sontop@
@fire@|@bul@
@fire escape@|@bisanggu@
@fire extinguisher@|@sohwagi@
@fireman@|@sobanggwan@
@firm (n.)@|@hoesa@
@fish@|@saengseon@
@fisherman@|@eobu@
@fishing@|@gogijapi@
@five (C)@|@o@
@five (K)@|@daseot@
@flag@|@gi@
@flavour@|@mat@
@flea@|@byeoruk@
@float@|@ddeuda@
@floor@|@chung, mitbadak@
@flour@|@milgaru@
@flower@|@ggot@
@flower pot@|@hwabun@
@flu@|@yuhaengseong kamgi@
@fly (flight)@|@bihaeng@
@fly (insect)@|@pari@
@fog@|@angae@
@foil@|@eunbakji@
@food@|@eumsik@
@foot@|@bal@
@football@|@putbol@
@forehead@|@ima@
@foreigner@|@oegukin@
@forest@|@sup@
@fork@|@samchang@
@forty (C)@|@sasip@
@forty (K)@|@maheun@
@four (K)@|@net@
@fourteen (C)@|@sipsa@
@fourteen (K)@|@yeolnet@
@fox@|@yeo-u@
@fraction (mathematics)@|@bunsu@
@fragrance@|@hyanggi@
@free@|@muryo@
@freedom@|@chayu@
@freeze@|@eolda@
@Friday@|@geumyoil@
@fridge@|@naengjanggo@
@friend@|@chingu@
@frog@|@gaeguri@
@frost@|@seori@
@frozen@|@areumsum@
@fruit@|@gwail@
@fry@|@twigida@
@frying pan@|@peuraingpaen@
@full@|@moon boreumdal@
@fume@|@yeongi@
@fun@|@jaemi@
@funeral@|@jangnaesik@
@funny@|@jaemi-itneun@
@fur@|@mopi@
@furnishings@|@segan@
@furniture@|@gagu@
@fuse@|@pyujeu@
@future@|@mirae@
@gallery@|@hwarang@
@gamble@|@tobak@
@game@|@orak@
@garbage@|@sseuregi@
@garden@|@jeongweon@
@gardener@|@jeongweonsa@
@garlic@|@maheul@
@garnish@|@jangsik@
@gas (natural)@|@cheonyeongaseu@
@gasoline@|@hwibalyu@
@gauze@|@ga-aje@
@gem@|@boseok@
@gentleman@|@sinsa@
@geography@|@jirihak@
@geology@|@jijilhak@
@geometry@|@gihahak@
@German language@|@dokireo@
@German person@|@dokilsaram@
@Germany@|@dokil@
@ghost@|@yuryeong@
@gift@|@seonmul@
@ginger@|@saenggang@
@ginseng@|@insam@
@giraffe@|@girin@
@girl@|@sonyeo@
@glass (drinking)@|@keop@
@glasses (spectacles)@|@angyeong@
@glove@|@janggap@
@glue@|@pul@
@go@|@gada@
@goat@|@yeomso@
@gold@|@geum@
@goldfish@|@geumbungeo@
@golf@|@golpeu@
@goose@|@geowi@
@government@|@jeongbu@
@governor@|@tongchija@
@grand daughter@|@son-nyeo@
@grand father@|@harabeoji@
@grand mother@|@halmeoni@
@grand son@|@sonja@
@grape@|@podo@
@grapevine@|@pododeonggul@
@grasshopper@|@meddugi@
@grave@|@mudeom@
@gravestone@|@myobi@
@graveyard@|@myoji@
@gravy@|@gogi gukmul@
@gray@|@hoesaek@
@great grand daughter@|@jeungson-nyeo@
@great grand father@|@jeungjobu@
@great grand mother@|@jeungjomo@
@great grand son@|@jeungsonja@
@green@|@choroksaek@
@green (colour)@|@chorok@
@greenhouse@|@onsil@
@grey@|@hoesaek@
@groceries@|@siknyopum@
@group@|@ban@
@grow@|@jarada@
@guard@|@pasugun@
@guest@|@sonnim@
@guide@|@annaeja@
@guidebook@|@yeohaeng@
@gum (chewing)@|@ggeom@
@gymnasium@|@cheyukgwan@
@gymnastics@|@chejo@
@habit@|@beoreut@
@hair@|@teol@
@hairbrush@|@meorisol@
@half-moon@|@bandal@
@ham@|@haem@
@hammer@|@mangchi@
@hand@|@son@
@handbag@|@songabang@
@handkerchief@|@sonsugeon@
@handshake@|@aksu@
@handsome@|@jalsaenggin@
@hangar@|@gyoknapgo@
@hanger@|@ot geori@
@happy@|@haengbokhan@
@harp (Korean)@|@geomungo@
@harvest@|@suhwak@
@hat@|@moji@
@hawk@|@mae@
@hay@|@geoncho@
@haystack@|@geoncho gari@
@hazy (weather)@|@heurinnalssi@
@head@|@meori@
@headache@|@dutong@
@healthy@|@geonganghan@
@hear@|@deutda@
@hearing@|@deutgi@
@heart@|@simjang@
@heart disease@|@simjang byeong@
@heartburn@|@gaseumari@
@heater@|@nanbangjangchi@
@heaven@|@cheonguk@
@heavenly@|@cheollaeui@
@heavy@|@mugeoun@
@heel@|@dwiggumchi@
@height@|@nopi@
@heirloom@|@gabo@
@helicopter@|@helrikopteo@
@hello (greeting)@|@annyeonghaseyo@
@hello (telephone)@|@yeoboseyo@
@help@|@doum@
@hemisphere@|@bangu@
@hen@|@amtak@
@henhouse@|@dakjang@
@herb@|@chobon@
@herb (medical)@|@yakcho@
@hiccup@|@ddalggukjil@
@highway@|@gosoktoro@
@hike@|@dobo yeohaeng@
@hill@|@eondeok@
@hire@|@geyong@
@history@|@yeoksa@
@hives@|@dudeureogi@
@hobby@|@chwimi@
@hoe@|@gwaengi@
@hole@|@gumeong@
@holiday@|@hyuil@
@home@|@gajeong@
@home (native land)@|@bonguk@
@homesick@|@hyangsubyeong@
@homework@|@sukje@
@honey@|@ggul@
@honeymoon@|@milweol@
@horse@|@mal@
@horse race@|@gyeongma@
@hospital@|@byeongweon@
@hot (spicy)@|@maeun@
@hot (temperature)@|@doun@
@hot spring@|@oncheon@
@hotel@|@hotel@
@house@|@jip@
@hundred@|@baek@
@hungry@|@baegopun@
@hurricane@|@pokpung@
@hurry@|@bbali@
@husband@|@nampyeon@
@ice@|@eoreum@
@ice cream@|@aiseukeurim@
@ice house@|@eoreum changgo@
@ice water@|@eoreum-mul@
@iceberg@|@bingsan@
@icicle@|@godeureum@
@ID card@|@sinbunjeung@
@identification card@|@sinbunjeung@
@ill (sick)@|@byeongdeun@
@illegal@|@bulbeop@
@immigrant@|@imin@
@immigrate@|@ijuhayeo-oda@
@immigration office@|@cheulipgukgwalriso@
@import@|@suiphada@
@important@|@jungyohan@
@incense@|@hyang@
@inch@|@inchi@
@incline (angle)@|@giulda@
@income@|@suip@
@incubator@|@buhwagi@
@India@|@indo@
@indigestion@|@sohwa bulryang@
@industrial@|@saneopui@
@industry@|@saneop@
@infant@|@yua@
@infantry@|@bobyeong@
@infect@|@jeonyeomsikida@
@infection@|@jeonyeom@
@influenza@|@yuhaengseong gamgi@
@information@|@jisik@
@ingredient@|@seongbun@
@inhabit@|@gojuhada@
@inhabitant@|@jumin@
@inherit@|@sangsokhada@
@injection@|@jusa@
@injure@|@dachida@
@ink@|@ingkeu@
@inlet@|@ipgu@
@inoculate@|@yebangjeopjong@
@inoculation@|@jeopjong@
@insect@|@gonchung@
@insecticide@|@salchungje@
@inspect@|@josahada@
@inspection@|@geomsa@
@inspector@|@geomsagwan@
@institute@|@hyeophoe@
@instructor@|@gyosa@
@international@|@gukjejeokin@
@interpret@|@haeseokhada@
@interpreter@|@haeseolja@
@interrogation@|@jilmun@
@invent@|@balmyeonghada@
@invention@|@balmyeongpum@
@inventor@|@balmyeongga@
@invitation@|@chodae@
@invite@|@chodaehada@
@ironing@|@darimijil@
@irrigation@|@muldaem@
@island@|@seom@
@itch@|@garyeoum@
@itinerary@|@yeohaeng iljeong@
@ivy@|@damjaengi@
@jacket@|@jaket@
@jade@|@bichwi@
@January@|@ilweol@
@Japan@|@ilbon@
@Japanese language@|@ilbonmal@
@Japanese person@|@ilbonsaram@
@jar@|@danji@
@jaw@|@teok@
@jazz@|@jaejeu@
@jelly@|@jelri@
@jellyfish@|@haepari@
@Jesus@|@yesu@
@jet plane@|@jeteugi@
@jewel@|@boseok@
@jeweller@|@boseoksang@
@job@|@jikeop@
@journal (diary)@|@ilgi@
@journal (magazine)@|@japji@
@journalist@|@gija@
@juice@|@ju-useu@
@July@|@chilweol@
@June@|@yuweol@
@jungle@|@jeonggeul@
@kangaroo@|@kaenggeoru-u@
@keepsake@|@yupum@
@kerosene@|@deungyu@
@key@|@yeolsoe@
@key money@|@bojeunggeum@
@keyhole@|@yeolsoe gumeong@
@kidnap@|@yugoehada@
@kidney@|@sinjang@
@kilometre@|@kilromiteo@
@Kim chi@|@kimchi@
@kindergarten@|@yuchiweon@
@king@|@gukwang@
@kingdom@|@wangguk@
@kiss@|@kiseu@
@kitchen@|@jubang@
@kite@|@yeon@
@kitten@|@goyangi saeggi@
@knapsack@|@baenang@
@knee@|@mureup@
@knife@|@kal@
@Korea@|@hanguk@
@Korean harp@|@geomungo@
@Korean language@|@hangukmal@
@Korean person@|@hanguksaram@
@laboratory@|@yeonguso@
@lace@|@reiseu@
@lady@|@suknyeo@
@lake@|@hosu@
@lamb@|@eorin yang@
@lamp@|@deung@
@landlady@|@yeojajuin@
@landlord@|@jipjuin@
@landowner@|@jiju@
@lantern@|@chorong@
@latrine@|@byeonso@
@laundry@|@setakmul@
@lavatory@|@hwajangsil@
@lawyer@|@byeonhosa@
@leaf (tree)@|@namutip@
@leak@|@saeda@
@learn@|@baeuda@
@learning@|@hakseup@
@lease@|@imdae@
@leash@|@gajukggeun@
@leather@|@gajuk@
@left@|@wenjjok@
@left-handed@|@wensonjapi@
@leg@|@dari@
@lemon@|@remon@
@lemonade@|@remonsu, saida@
@lens@|@renjeu@
@leopard@|@pyobeom@
@lesson (school)@|@sueop@
@letter (alphabet)@|@munja@
@letter (message)@|@pyeonji@
@lettuce@|@sangchu@
@librarian@|@doseogwanweon@
@library@|@doseogwan@
@life preserver@|@gumyeonggu@
@lifeboat@|@gujoseon@
@light@|@bul kyeoda@
@lighthouse@|@deungdae@
@lightning@|@beongaetbul@
@lilac@|@railrak@
@lily@|@baekhap@
@lion@|@saja@
@lip@|@ipsul@
@lipstick@|@ipsulyeonji, ripseutik@
@liquid@|@aekche@
@liquor@|@alko-ol@
@literature@|@munhak@
@litre@|@riteo@
@little (amount)@|@jeokeun@
@little (size)@|@jakeun@
@liver@|@ganjang@
@lizard@|@domabaem@
@lobby@|@hyugesil@
@lobster@|@badagajae@
@locomotive@|@gigwancha@
@locust@|@meddugi@
@lodging house@|@hasukjip@
@lose (defeated)@|@jida@
@lost (items)@|@ireun@
@lotion@|@hwajangsu@
@lounge@|@sagyosil@
@love@|@sarang@
@lucky@|@haengun@
@luggage@|@yeohaenghamul@
@lukewarm@|@mijigeunhan@
@lullaby@|@jajangga@
@lunar eclipse@|@weolsik@
@lunch@|@jeomsim@
@lung@|@heopa@
@luxurious@|@sachiseureoun@
@luxury@|@sachi@
@machine@|@gigye@
@mackerel@|@godeungeo@
@mad (angry)@|@hwaganan@
@magazine@|@japji@
@maggot@|@gudeogi@
@magnet@|@jaseok@
@magnetic@|@jaseokeui@
@magnolia@|@mokryeon@
@maid (servant)@|@hanyeo@
@mail@|@upyeonmul@
@mainland@|@bonto@
@make-up@|@hwajangpum@
@malaria@|@hakjil@
@male@|@namseong@
@mamma@|@eomma@
@mammal@|@poyu tongmul@
@man@|@namja@
@management@|@gwalli@
@manager@|@jibaein@
@manicure@|@maenikyueo@
@mansion@|@daejeotaek@
@manual (book)@|@sochaekja@
@manufacture@|@jejo@
@manufacturer@|@jejo-eopja@
@map@|@jido@
@maple@|@danpung@
@maple tree@|@danpungnamu@
@marble@|@daeriseok@
@March@|@samweol@
@marine corps@|@haebyeongdae@
@market@|@sijang@
@market (small store)@|@sikpumjeom@
@mask@|@gamyeon@
@massage@|@masa-aji@
@mathematics@|@suhak@
@mattress@|@chimdaeyong@
@May@|@oweol@
@mayor@|@sijang@
@maze@|@migung@
@mealtime@|@siksa sigan@
@measles@|@hongyeok@
@meat@|@gogi@
@medicine@|@yak@
@melon@|@chamoe, melron@
@melt@|@nokda@
@menstruation@|@menseu@
@merchandise@|@sangpum@
@merchant@|@sangin@
@metre@|@miteo@
@microphone@|@hwakseonggi@
@microscope@|@hyeonmigyeong@
@midnight@|@yaban@
@military@|@gunin@
@milk@|@uyu@
@million@|@baekman@
@millionaire@|@baekmanjangja@
@minister (priest)@|@moksa@
@mirror@|@geoul@
@missionary@|@seongyosa@
@mist@|@angae@
@mistake@|@silsu@
@molasses@|@tangmil@
@mole (body)@|@samagwi@
@Monday@|@weoryoil@
@money@|@don@
@money changer@|@hwanjeonsang@
@monk@|@sudoja, sudoseung@
@monkey@|@weonsungi@
@monsoon@|@jangmacheol@
@month@|@dal@
@moonlight@|@dalbit@
@mosquito@|@mogi, mogi@
@mosquito net@|@mogi jang@
@moth@|@nabang@
@mother@|@eomeoni@
@motorcycle@|@otobai@
@mountain@|@san@
@mouse@|@saengjwi@
@moustache@|@kotsuyeom, kotsuyeom@
@mouth@|@ip@
@movie@|@yeonghwa@
@mule@|@nosae@
@multiplication@|@gopsem@
@multiply@|@gopsemhada@
@murder@|@sarin@
@museum@|@bakmulgwan@
@mushroom@|@beoseot@
@music@|@eumak@
@musician@|@eumakga@
@mustard@|@gyeoja@
@myself@|@nachasin@
@nail@|@mot@
@name@|@ireum@
@nap@|@natjam@
@napkin@|@naepkin@
@national@|@anthem gukga@
@nationality@|@gukjeok@
@natural gas@|@cheonyeongaseu@
@nature@|@jayeon@
@navigate@|@hanghaehada@
@navigation@|@hanghae@
@navy@|@haegun@
@nearsighted@|@geunsi@
@neck@|@mok@
@necklace@|@mokgeori@
@necktie@|@nektari@
@needle@|@baneul@
@needle work@|@baneuljil@
@new year@|@saehae@
@news@|@nyu-useu@
@newspaper@|@sinmun@
@nickname@|@byeolmyeong@
@night@|@bam@
@nightgown@|@jamot@
@nightmare@|@akmong@
@nine (C)@|@gu@
@nine (K)@|@ahop@
@nineteen (C)@|@sipgu@
@nineteen (K)@|@yeolaihop@
@ninety (C)@|@gusip@
@ninety (K)@|@aheun@
@no@|@anio@
@noisy@|@siggeureoun@
@noodles@|@guksu@
@north@|@bukjjok@
