@English@|@Finnish@
@affirmed@|@vannoi, vannoivat@
@affix@|@kiinnittää, kytkeä, lisätä perään@
@afflict@|@piinata, satuttaa@
@affliction@|@koettelemus, kärsimys, onnettomuus, piina, suru, vastoinkäyminen@
@afflictive@|@kipeä, kivulias, tuskallinen@
@affluent@|@vauras@
@afford@|@antaa, avautua, liietä, olla varaa, suoda, tuottaa@
@affordable@|@edullinen@
@affright@|@kauhistuttaa, pelottaa@
@affront@|@kohdella huonosti, kohdella kaltoin, loukata, loukkaus, panetella, solvata, solvaus@
@affronted@|@loukattu, loukkasi, loukkasivat, solvasi, solvasivat, solvattu@
@afire@|@tulessa@
@aflame@|@liekeissä, punainen, tulessa@
@aflare@|@hulmuava, liehuva@
@afoot@|@jalan, jaloin, käynnissä, liikkeellä, tekeillä, vireillä@
@aforesaid@|@mainittu@
@afraid@|@huolestunut, huolissaan, peloissaan, pelokas@
@Africa@|@Afrikka@
@African@|@afrikkalainen@
@aft body@|@takarunko, takaruumis@
@after@|@ahteri, jälkeen, jälkeen päin, jälkikäteen, myöhemmin, päästä, taa, taakse@
@after a short time@|@kohta, piakkoin, pian@
@after all@|@kuitenkin, sittenkin@
@after an hour@|@tunnin kuluttua, tunnin päästä@
@after body@|@takarunko, takaruumis@
@after midnight@|@aamuyö@
@after part@|@ahteri, perä@
@afterlife@|@tuonpuoleinen@
@aftermath@|@jälkimainingit, mainingit, seuraukset@
@afternoon@|@iltapäivä@
@afterward@|@jälkeen, jälkeen päin, jälkikäteen, myöhemmin@
@afterwards@|@jälkeen, jälkeen päin, jälkeenpäin, jälkikäteen, myöhemmin, sitten@
@Ag@|@hopea@
@again@|@jälleen, taas, taasen, taaskin, toistamiseen, uudelleen, uudestaan@
@again and again@|@ehtimiseen, monesti, taas, toistuvasti, yhä uudelleen@
@against@|@turvata, vastaan, vasten, vastoin@
@age@|@aika, ajanjakso, ikä@
@age bracket@|@ikäluokka@
@age class@|@ikäluokka@
@age difference@|@ikäero@
@age group@|@ikäluokka@
@age of consent@|@naimaikä@
@aged@|@ikäinen, ikääntynyt, vanha, vanhahko, vanhempi@
@aged man@|@vanhus@
@aged woman@|@vanhus@
@ageless@|@ainainen, ikuinen@
@agency@|@toiminta, toimisto, touhu, vaikutus, virasto@
@agenda@|@agenda, esityslista, ohjelma, toimintaohjelma@
