@English@|@Finnish@
@territory@|@ala, alue, elinpiiri, maa-alue, maaperä, reviiri, territorio@
@terror@|@hirmuvalta, hirveys, kammo, kauhu@
@terrorism@|@hirmuvalta, terrori, terrorismi@
@terrorist@|@terroristi@
@terse@|@kompakti, lyhyt, lyhyt ja ytimekäs, suppea, tiivis, tyly@
@tessellated@|@mosaiikki-@
@test@|@arvosteluperuste, koe, koeaika, koemenettely, koestaa, koestus, koetella, koetinkivi, koettaa, koetulos, koetus, koitos, kokeellinen, kokeilla, kokeilu, mitta, mittapuu, mittaus, peruste, tarkastus, tentata, tentti, testi, tutkimus@
@test drive@|@koeajo@
@test piece@|@koepala, näytepala@
@test result@|@koetulos@
@testament@|@testamentti@
@tested@|@kokeiltu@
@tester@|@kuulustelija, tenttijä@
@testicle@|@kives, palli@
@testify@|@todistaa, todistaa oikeudessa@
@testimony@|@lausuma, tunnustus@
@testing@|@kokeilu, testaus@
@testy@|@kärttyinen, kärttyisä, äkäinen, äreä, ärtyinen, ärtyisä@
@tetchy@|@kärttyinen, kärttyisä, äkäinen, äreä, ärtyinen, ärtyisä@
@tether@|@kytkeä@
@text@|@kirjoitus, teksti@
@text message@|@tekstari (informal), tekstiviesti@
@textbook@|@oppikirja@
@textile@|@kangas, tekstiili@
@textual@|@teksti-, tekstin mukainen@
@texture@|@kuvio, kuviointi, laatu, pintakuviointi@
@tgm@|@sähke@
@Th@|@torium@
@thallium@|@tallium@
@than@|@kuin@
@thank@|@kiittää@
@thank you@|@kiitoksia, kiitos@
@thank you very much@|@kiitos paljon@
@thank you very much indeed@|@kiitoksia oikein paljon@
@thank you!@|@kiitos!@
@thankful@|@kiitollinen@
@thankfulness@|@kiitollisuus@
@thanks@|@kiitokset, kiitos, kiitti (informal)@
@thanks!@|@kiitos!@
@thanksgiving@|@ruokarukous@
@that@|@että, joita, joka, josta, jota, jotka, ken, kuka (person), mikä, mistä, mitä, se, sen, sitä, toi (informal), tuo@
@that (plural)@|@joita@
@that (there)@|@toi (informal), tuo@
@that ... not@|@ettei@
@that for@|@sen tähden, sen vuoksi, sentähden, senvuoksi, siitä syystä, siksi@
@that is@|@eli, jota, siis, toisin sanoen, ts.@
@that kind of@|@moinen, sellainen, sellaista, semmoinen@
@that particular@|@kyseinen@
@that person@|@toi (informal)@
@that sort@|@moinen, sellainen@
@that way@|@noin, siten@
@thatch@|@katto-oljet, olki@
@thatched@|@olkikattoinen, olkinen@
@that's@|@jota@
@that's it@|@no niin!, se siitä@
@that's settled@|@asia on päätetty@
@that's the ticket/stuff@|@niin sitä pitää@
@thaw@|@lauha, lauhtua, sulaa, sulattaa, suoja, suojakeli, suojasää@
@thawed@|@sula@
@thawing@|@lauha, sulaminen, suoja, suojakeli, suojasää@
@the@|@(määräinen artikkeli), moinen, ne, nuo, se, sellainen, sitä, tuo@
@the ... the@|@mitä ... sitä@
@the ... the ...@|@kuta ... sitä ..., mitä ... sitä ...@
@the ABC's@|@alkeet@
@the Alpha and the Omega@|@a ja o@
@the Alps@|@Alpit@
@the aristocracy@|@aateli, aatelisto@
@the authorities@|@esivalta@
@the best@|@paras, parhain@
@The Book@|@Raamattu@
@the bottomless pit@|@horna@
@the broad and flat part of a sword or bat@|@lapa@
@the career ratrace@|@uraputki@
@the crowd@|@joukko, sakki@
@the crucial/main/indispensable point@|@a ja o@
@the day after tomorrow@|@ylihuomen, ylihuominen@
@the day before yesterday@|@toissapäivä, toissapäivänä@
@the day when@|@sinä päivänä@
@the day's receipts@|@päivän kassa@
@the establishment@|@järjestelmä@
@the far east@|@Kaukoitä, kauko-itä@
@the fear of God@|@jumalanpelko@
@the Finnish parliament house@|@eduskuntatalo@
@the fish rises@|@kala syö@
@the fuse blew out@|@sulake paloi@
@the Grim Reaper@|@viikatemies@
@the hardest@|@kovin@
@the high sea@|@ulappa@
@the history of ideas@|@aatehistoria@
@the key@|@a ja o@
@the latest thing@|@viimeistä huutoa@
@the lead@|@pääosa@
@the least@|@vähin@
@the least powerful chessman@|@sotamies, sotilas@
@the longest@|@pisin@
@the lowest@|@alin@
@the maffia@|@mafia@
@the main point@|@pääasia@
@the masses@|@joukko@
@the men@|@miehet@
@the modern period@|@uusi aika@
@the morning hour@|@aamuhetki@
@the morning star@|@kointähti@
@the most@|@enin@
@the most immense@|@valtavin@
@the most important@|@tärkein@
@the Netherlands@|@Alankomaat@
@The Netherlands@|@Hollanti@
@the news@|@uutiset, uutislähetys@
@the nobility@|@aateli, aatelisto@
@the oldest@|@vanhin@
@the one or the other@|@jompikumpi, kumpi tahansa, kumpi vaan@
@the open sea@|@ulappa@
@the other half@|@puolikas@
@the past@|@menneisyys, mennyt@
@the peerage@|@aateli, aatelisto@
@the Pill@|@e-pilleri@
@the pit@|@helvetti, kadotus@
@the poor@|@köyhälistö@
@the powers-that-be@|@esivalta@
@the press@|@julkinen sana, lehdistö@
@the rabble@|@roskaväki@
@the reaper@|@tuoni, viikatemies@
@the rest@|@muu@
@the right way@|@asianmukaisesti, kunnolla, kunnollisesti, oikein@
@the rooster pictured on some Finnish primers@|@aapiskukko@
@the rushes@|@kaislikko@
@the sack@|@irtisanominen@
@the same@|@ennallaan, sama@
@the same as@|@sama kuin@
@the same to you@|@samaa sinulle@
@the Sermon on the Mount@|@vuorisaarna@
@the shivers@|@horkka@
@the slowest@|@hitain@
@the smallest@|@pienin@
@the smart set@|@joukko-oppi@
@the sun@|@Aurinko@
@the time to be on medication@|@kuuri@
@the tropics@|@tropiikki@
@the underworld@|@tuonela@
@the universe@|@maailmankaikkeus@
@the very last@|@vihoviimeinen@
@the vulgar@|@alhaiso@
@the wee hours@|@aamuyö@
@the whole@|@koko@
@the whole kit and caboodle@|@hela hoito@
@the widest@|@levein@
@the wild@|@erämaa, takamaa@
@the wilds@|@erämaa, salo, takamaa@
@the wind@|@vainuta@
@the wisest@|@viisain@
@the women@|@naiset@
@the worst@|@aallonpohja, huonoin, pahin@
@the wrong side@|@nurja puoli@
@the year before last@|@toissa vuonna@
@the year when@|@sinä vuonna@
@theater@|@teatteri@
@theatre@|@teatteri@
@thee@|@sinua@
@theft@|@varkaus@
@their@|@heidän, heidän (persons)@
@their (not persons)@|@niiden@
@their (persons - informal)@|@niiden@
@theirs@|@heidän, niiden@
@thelalgia@|@nännikipu@
@them@|@he, heitä (persons), ne, niitä@
@theme@|@aihe, kantasana, teema@
@themselves@|@itse, itsensä, itseänsä@
@then@|@siis, silloin, sitten@
@thence@|@niistä, sen tähden, sen vuoksi, sentähden, senvuoksi, sieltä, siitä, siitä syystä, siksi@
@thenceforth@|@sen jälkeen, sittemmin@
@theological@|@jumaluusopillinen, teologinen@
@theology@|@jumaluusoppi@
@theorem@|@lause@
@theoretical@|@opillinen, teoreettinen@
@theoretician@|@teoreetikko@
@theoriser@|@teoreetikko@
@theorist@|@teoreetikko@
@theorizer@|@teoreetikko@
@theory@|@oletus, teoria@
@therapist@|@parantaja, terapeutti@
@therapy@|@terapia@
@there@|@kas niin, siellä, siinä, siitä, sinne, tuolla@
@there to@|@tuonne@
@thereafter@|@sen jälkeen, siksi, sittemmin@
@thereby@|@sen kautta, siten@
@therefore@|@joten, niin muodoin, puolestaan, sen takia, sen tähden, sen vuoksi, sentähden, senvuoksi, seurauksena, siis, siitä syystä, siksi, sillä, täten@
@therefrom@|@niistä, sieltä, siitä@
@therein@|@siellä, siinä, tässä@
@thereof@|@niistä, sieltä, siihen, siitä, tähän@
@thermal@|@lämpö-@
@these@|@näitä, nämä@
@thesis@|@opinnäyte, opinnäytetyö@
@thespian@|@näyttelijä@
@they@|@he, he (persons), ne, noi (informal)@
@thick@|@paksu, rehevä, sakea, tanakka, tiheä, tiuha, tuhti, vanttera@
@thick and fast@|@tiuhaan@
@thick-billed warbler@|@paksunokkakerttunen@
@thicket@|@jorpakko, pusikko, pöheikkö, risukko, ryteikkö, varvikko, vesakko, viita@
@thicket of saplings@|@vesakko@
@thickness@|@paksuus, tiheys@
@thick-set@|@tanakka@
@thief@|@varas, voro@
@thieve@|@rosvota@
@thigh@|@reisi@
@thighbone@|@reisiluu@
@thigh-slapper@|@hauska vitsi@
@thimble@|@sormustin@
@thin@|@hajanainen, harva, hintelä, hälvetä, kapea, laiha, laimea, laimentaa, mieto, ohut, solakka, sutjakka@
@thin out@|@laimentaa@
@thine@|@sinun@
@thing@|@asia, esine, juttu, kapine, kapistus, olento, olio, otus, seikka, tarvike, varuste, vehje, väline@
@thingamajig@|@vehje, vekotin@
@think@|@ajatella, arvella, funtsata (slang), funtsia (slang), harkita, hämmästellä, luulla, miettiä, muistaa, pohtia, tuumata, tuumia, tykätä, uskoa@
@think about@|@leikitellä@
@think hard@|@pähkäillä@
@think of@|@keksiä, leikitellä, pitää@
@think of that!@|@kas vain!@
@think over@|@miettiä, pohtia@
@think strange@|@oudoksua@
@think to oneself@|@miettiä@
@think up@|@keksiä@
@think well of@|@kunnioittaa@
@thinker@|@ajattelija, älykkö@
@thinking@|@ajatteleva, ajattelu, alykäs, aprikoiva, järjellinen, järkevä, miete, mietintä, miettivä, miettiväinen, pohdinta, tuumaileva, tuumiskeleva, älykäs, älyllinen@
@thinking process@|@järkeily@
@thinner@|@kapeampi, tinneri@
@thinning@|@leikkaaminen, ohennus, ohentaminen@
@third@|@kolmas, kolmonen, kolmos-@
@third house@|@lobbaajat, painostusryhmä@
@thirst@|@himoita, himottaa, jano@
@thirster@|@janoaja, kaipaaja@
@thirsty@|@janoinen@
@thirteen@|@kolmastoista, kolmetoista@
@thirty@|@kolmekymmentä@
@this@|@tällä, tämä, tämän, tästä, tätä@
@this day@|@tämä päivä@
@this far@|@tähänastinen@
@this kind of@|@tällainen, tämmöinen@
@this one@|@tämän, tästä@
@this way@|@näin, tällälailla, tänne@
@thistle@|@orjantappura@
@thither@|@sinne@
@thong@|@hihna, remmi@
@thorax@|@rintakehä@
@thorium@|@torium@
@thorn@|@neulanen, oka, orapihlaja, orjantappura, piikki@
@thornbush@|@orjantappura@
@thorny@|@kiperä, piikikäs, tukala, vaivalloinen@
@thorough@|@jämpti, läpikotainen, perusteellinen@
@thoroughbred@|@jalorotuinen, puhdasrotuinen, puhdasverinen@
@thoroughfare@|@läpiajo@
@thoroughgoing@|@perusteellinen, syvällekäyvä, täydellinen, täysi@
@thorough-going@|@läpikotainen@
@thoroughly@|@juurta jaksaen, juurta jaksain, kauttaaltaan, läpeensä, läpikotaisin, perin juurin, perin pohjin, perinpohjaisesti, perusteellisesti@
@those@|@ne, niitä, noi (informal), noita, nuo@
@those (there)@|@nuo@
@those people@|@noi (informal)@
@thou@|@sinä@
@though@|@jos kohta, kuitenkin, silti, tosin, vaikka, vaikkapa@
@thought@|@aate, aatos, aivoitus, ajatteli, ajattelivat, ajattelu, ajatus, kaavailu, luulo, mielipide, miete, mietti, miettivät, pohti, pohtivat, tuuma, tuumasi, tuumasivat, tuumi, tuumivat@
@thought process@|@ajatustoiminta@
@thoughtful@|@tarkka@
@thoughtless@|@ajattelematon, huolimaton, välittämätön@
@thousand@|@tuhat@
@thousandth@|@tuhannes@
@thrash@|@hakata, pieksää, piestä, puida, suomia@
@thrash out@|@puida@
@thrashing@|@puinti@
@thread@|@kiemurrella, kiertyä, kuitu, lanka, naru, nuora, nyöri, pujottaa@
@thread (comp.)@|@säie@
@thread maker@|@kehrääjä@
@threadbare@|@ajansyömä, arkinen, arkipäiväinen, kulunut, käytöstä kulunut@
@threadbare down@|@nukkavieru@
@threaded@|@kierteinen@
@threat@|@kauhu, uhka, uhkaus@
@threaten@|@uhata, uhkailla@
@threatening@|@pahaenteinen, pilvien tummentama, tummapilvinen, uhkaava, uhkaavuus@
@three@|@kolme, kolmonen@
@three hundred@|@kolmesataa@
@three times@|@kolmasti, kolme kertaa, kolmesti, kolminkertaiseksi@
@threefold@|@kolminkertaiseksi@
@threesome@|@kolmikko@
@three-toed woodpecker@|@pohjantikka@
@threnody@|@itkuvirsi, surulaulu, suruvirsi@
@thresh@|@huitoa, piestä, puida@
@threshing@|@puinti@
@threshold@|@kynnys, oviaukko, raja-alue, sisäänkäynti, tuntemiskynnys@
@threw@|@heitti, heittivät@
@thrice@|@kolmasti, kolme kertaa, kolmesti@
@thriftiness@|@säästäväisyys@
@thrill@|@elämys, hytinä, jännitys, kutkutus, potku@
@thrilling@|@jännittävä, kutkuttava, viimeisen päälle (colloq)@
@thrive@|@kukoistaa, rehottaa, viihtyä@
@thriving@|@kukkea@
@throat@|@kurkku, nielu@
@throaty@|@käheä@
@throb@|@jyskyttää@
@throne@|@nousta valtaan, valtaistuin, wc-istuin@
@throne of grace@|@armoistuin@
@throng@|@joukko, kuhista, tungeksia, tungos, tunkea, tunku@
@through@|@halki, kautta, läpeensä, läpi, valmis@
@through and through@|@läpeensä@
@through passage@|@läpikulku@
@through train@|@kaukojuna@
@throughly@|@läpikotaisin@
@throughout@|@halki, läpeensä, läpi, läpikotaisin@
@throughout a period of time@|@ajan@
@throughput@|@läpimenoarvo, suorituskyky, suoritusteho@
@throughway@|@moottoritie@
@throw@|@antaa, heitto, heittää, hämmentää, järjestää, lähettää, muovata, paiskata, paiskoa, pitää, pitää (juhlat), sekoittaa, suistaa, syytää, syöstä, viskata@
@throw away@|@ajaa tiehensä, haaskata, heittää menemään, tuhlata@
@throw down@|@suistaa@
@throw in@|@laittaa väliin, tokaista@
@throw into disorder@|@panna sekaisin@
@throw off@|@varistaa@
@throw off your chains@|@irrotella@
@throw off your yoke@|@irrotella@
@throw one's weight about@|@rehennellä@
@throw out@|@esittää, heittää menemään, häätää@
@throw up@|@antaa ylen, laatata (slang), oksentaa, ylenantaa@
@throw your weight around@|@mahtailla@
@throw yourself@|@heittäytyä@
@throwaway@|@mainoslehtinen@
@thrown@|@heitetty, heittänyt, kehrätty, kudottu, pudonnut, viskattu@
@thrush@|@rastas@
@thrush nightingale@|@satakieli@
@thrushes@|@varpuslinnut@
@thrust@|@iskeä, lykätä, pistää, sysätä, sysäys, tunkea, työntää, työntövoima@
@thruway@|@moottoritie@
@thug@|@roisto@
@thulium@|@tulium@
@thumb@|@peukalo, plarata@
@thump@|@jyskyttää, kolahtaa, ryskyttää@
@thumping@|@hillitön, suunnaton@
@thunder@|@huutaa, jylinä, jyly, jyminä, jyrinä, jyske, karjaista, karjua, kiljua, kumu, mylviä, möly, möykkä, pauhu, pauke, ryske, ukkonen, ukkosilma, ärjyntä, ärjyä, ärjäistä@
@thundering@|@hillitön, suunnaton@
@thunderous@|@hirmuinen@
@thunderstorm@|@ukkonen, ukkosmyrsky@
@Thursday@|@torstai@
@thus@|@joten, sen takia, sen tähden, sen vuoksi, sentähden, senvuoksi, siis, siitä syystä, siksi, sillä, siten, täten@
@thus far@|@tähän asti, vielä@
@thwart@|@kukistaa, pilata, pilata suunnitelmat, tehdä tyhjäksi, tuhto@
@thy@|@sinun@
@thylacinus@|@pussihukka@
@Ti@|@titaani@
@Tibet@|@Tiibet@
@tibia@|@sääriluu@
@tick@|@puutiainen, rasti@
@tick off@|@merkata, merkitä, rastittaa, ruksata@
@ticket@|@lippu, matkalippu, piletti, pääsylippu, sakko, sisäänpääsylippu@
@ticking@|@tikitys@
@tickle@|@huvittaa, kutina, kutittaa@
@tickling@|@kutina@
@tidal wave@|@hyökyaalto@
@tiddler@|@lapsi@
@tiddley@|@känninen (informal)@
@tiddly@|@känninen (informal)@
@tide@|@ajautua, kulku, käännekohta, virta, vuorovesi@
@tidily@|@siististi@
@tidiness@|@puhtaus@
@tidy@|@siisti, siivota@
@tidy sum@|@paljon@
@tidy up@|@siistiä, siivota@
@tie@|@kravatti, kytkeä, köyttää, side, sidos, sitoa, solmia, solmio, suhde, yhteys@
@tie rod@|@raidetanko@
@tie the knot@|@mennä vihille@
@tie up@|@kytkeä, sitoa@
@tier@|@penkkirivi, rivi@
@ties@|@suhteita@
@tie-up@|@suhde@
@tiff@|@kina, sanaharkka, tappelu@
@tiger@|@tiikeri@
@tight@|@ahdas, ihonmyötäinen, kireä, kovasti, känninen (informal), lujaa, lujassa, lujasti, myötäinen, tiivis, tiuha, tiukassa, tiukasti, tiukka, tiukkaan, vartalonmyötäinen, visu@
@tight jeans@|@pillifarkut@
@tighten@|@jännittyä, jännittää, kiristyä, kiristää, tiukentaa@
@tightened@|@kiristetty, kiritty@
@tightener@|@kiristin@
@tightening@|@kiristys, kiristäminen, pingotus@
@tighter@|@ahtaampi@
@tight-fisted@|@itara, pihi@
@tight-fitting@|@ihonmyötäinen, tyköistuva, vartalonmyötäinen@
@tightly@|@kovasti, lujaa, lujasti, tiiviisti, tiukasti, visusti@
@tightly closed@|@tiivis@
@tightly sealed@|@tiivis@
@tightness@|@jännitys, kireys, pingotus, tiheys@
@tights@|@sukkahousut@
@tike@|@lapsi@
@til now@|@tähän asti, vielä@
@tile@|@kaakeli, kaakeloida, kattotiili, laatoittaa, laatta, lattialaatta@
@till@|@asti, hamaan, kassa, kassalipas, kunnes, mennessä, muokata maata, rahalipas, saakka@
@tillage@|@viljely@
@tiller@|@ruori, ruoritanko@
@tilt@|@ajautua, heilunta, heittelehtiä, huojunta, kallistaa, kallistuma, kaltevuus, keikahtaa, keinunta, kupsahtaa, riita, vietto@
@tilted@|@keno@
@tilter@|@kiikku, kilpailija, turnaaja@
@timber@|@hirsi, lankku, luonteenlaatu, metsä, parru, puu, puusto, puut, puutavara, sahatavara@
@timbered@|@hirsi, hirsinen@
@timberman@|@metsuri, metsätyömies, sarvijaakko, sarvijäärä@
@timberman beetle@|@sarvijäärä@
@timbre@|@sointi, sointiväri, äänenväri@
@time@|@aika, aikakausi, ajanjakso, ajankohta, ajoittaa, kerta, ottaa aikaa, tahti, tahtilaji@
@time after time@|@monesti@
@time in office@|@virkaikä@
@time interval@|@aikaväli@
@time off@|@joutoaika, vapaa-aika@
@time out@|@tauko@
@time to come@|@tuleva, tulevaisuus@
@timeless@|@ajaton@
@timely@|@ajankohtainen, hyvin ajoitettu, otolliseen aikaan@
@timer@|@ajastin@
@times@|@kertaa@
@times past@|@entisaika@
@timescale@|@aikaväli@
@timetable@|@aikataulu@
@timeworn@|@ajansyömä, kulunut, käytöstä kulunut@
@timid@|@arka, ujo@
@timing@|@aika, ajanmittaus, ajanotto, ajastaminen, ajastava, ajoittaminen, ajoittava, ajoitus@
@timothy@|@timotei@
@timothy grass@|@timotei@
@tin@|@kääriä tinapaperiin, pelti, pönttö, raha, tina, tinata@
@tin plate@|@pelti@
@tine@|@pii@
@ting@|@helinä, kilinä, pimputus@
@tinge@|@häivähdys, värjätä@
@tingle@|@hytinä@
@tink@|@helistellä, helistä, helistää, helisyttää, helkkyä, kilahtaa, kilistellä, kilistä, kilistää, kilisyttää, kilkattaa, kilkuttaa@
@tinkle@|@helinä, helistellä, helistä, helistää, helisyttää, helkkyä, kilahtaa, kilinä, kilistellä, kilistä, kilistää, kilisyttää, kilkattaa, kilkuttaa, pimputtaa, pimputus@
@tinkling@|@kilkutus@
@tinning@|@tinaus@
@tinny@|@kehno@
@tin-plate@|@tinata@
@tiny@|@pienoinen, pikkuinen, piskuinen@
@tip@|@antaa tippiä, hela, heloittaa, huippu, kaataa, keikahtaa, kipata, kippiauto, kärki, laki, vihje@
@tip lorry@|@kippiauto@
@tip over@|@kaataa, keikahtaa@
@tipped@|@keno@
@tipper@|@kippiauto@
@tipper body@|@kippilava@
@tipple@|@juomatarjoilu, ryyppy@
@tippling@|@juominen, juopottelu, kännääminen, ryyppääminen@
@tipsiness@|@huppeli, pöhnä@
@tipsy@|@känninen (informal)@
@tiptop@|@viimeisen päälle (colloq)@
@tire@|@autonrengas, pyöränkumi, päällyskumi, rengas, tympäistä, ulkorengas, uupua, uuvuttaa, voipua, väsyttää, väsyä@
@tired@|@ajansyömä, kulunut, kyllästynyt, käytöstä kulunut, tympääntynyt, uninen, uupunut, uuvuksissa, voipunut, väsynyt@
@tiresome@|@ikävä, pitkäveteinen, rasittava, väsyttävä@
@tiring@|@kova, rankka, rasittava, raskas, uuvuttava, väsyttävä@
@tiro@|@vasta-alkaja@
@tissue@|@kangas, kudos@
@tit@|@nisä, nänni@
@titanium@|@titaani@
@titillating@|@kutkuttava@
@titillation@|@kutina, kutkutus@
@title@|@aatelisarvo, arvonimi, asiakirja, luovutuskirja, mestaruus, myöntää arvonimi, nimi, nimike, nimittää, nimiö, oikeus, omistusoikeus, oppiarvo, otsake, otsikko, saanto, saantokirja, sotilasarvo, tehtävänimike, titteli@
@titles@|@tekstit, tekstitys@
@tits@|@bosat (slang), daisarit (slang), daisat (slang), hinkit (slang), kannut (slang), ryntäät, tissit@
@titty@|@tissi@
@tizzy@|@häly, kohu@
@Tl@|@tallium@
@TLX@|@kaukokirjoitin@
@Tm@|@tulium@
@to@|@hamaan, kanssa, luo, luokse, pakeille, tykö, vailla, varten@
@to a degree@|@sikäli@
@to a faraway place@|@kauas@
@to a greater extent@|@enemmän@
@to a T@|@pilkulleen@
@to and fro@|@edestakaisin, eestaas, eteen ja taakse@
@to be cold@|@palella@
@to be continued...@|@jatkuu...@
@to begin with@|@aluksi, ensiksikin@
@to between (of two)@|@väliin@
@to defy description@|@olla mahdoton kuvailla@
@to excess@|@ylettömästi@
@to find odd@|@oudoksua@
@to here@|@tähän, tänne@
@to home@|@kotiin@
@to me@|@minulle@
@to myself@|@itselleni@
@to one's liking@|@mieleinen@
@to ski@|@suksia@
@to smithereens@|@säpäleiksi@
@to some extend@|@jonkin verran@
@to some place@|@jonnekin@
@to somewhere@|@jonnekin@
@to start with@|@aluksi@
@to that@|@siihen, sille@
@to that degree@|@mitä ... tulee@
@to that extent@|@mitä ... tulee, sikäli@
@to that place@|@sinne, tuonne@
@to that place (near you)@|@sinne@
@to the best of my knowledge@|@tietääkseni@
@to the center@|@keskelle@
@to the core@|@läpikotaisin@
@to the extent@|@siinä määrin, sikäli@
@to the front@|@eteen@
@to the middle@|@keskelle@
@to the opposite side@|@poikki@
@to the place@|@sinne@
@to the point@|@sikäli@
@to the power of@|@potenssiin (math.)@
@to the respect@|@sikäli@
@to the same degree@|@yhtä@
@to this@|@tähän, tälle@
@to what person@|@kelle, kenelle@
@to what persons@|@keille@
@to what place@|@jonne, minne@
@to which@|@mille@
@to which person@|@kelle, kenelle@
@to which persons@|@keille@
@to which place@|@jonne, minne@
@to whom@|@keille, kelle, kenelle@
@toad@|@konna, rupikonna, rupisammakko@
@toady@|@hännystellä, liehakoida@
@toast@|@juoda jonkun kunniaksi, kilistää, malja, paistaa@
@tobacco@|@tupakka@
@tobacco pipe@|@piippu@
@toboggan@|@kelkka@
@today@|@nykyisin, nykypäivä, nykyään, näinä aikoina, tämä päivä, tänä päivänä, tänään@
@to-day@|@tänä päivänä, tänään@
@today's@|@päivän, tämänpäiväinen@
@today's youth@|@nykynuoriso@
@toddle@|@tepastella@
@toddler@|@muksu, napero, pallero, pikkulapsi, taapero, vekara@
@to-do@|@hälinä, hässäkkä, melske, sekamelska@
@toe@|@varvas@
@toffee@|@toffee@
@toffy@|@toffee@
@tog@|@pukea, pukeutua, vaatettaa@
@together@|@kanssa, yhdessä, yhdistettynä, yhteen, yhteistuumin, yhteistyönä, yhtä matkaa@
@together with@|@ohella@
@toggle@|@kaista, katkaisin, kippikytkin, kytkin, piena, vipukatkaisin, vipukytkin@
@toggle switch@|@katkaisin, kippikytkin, kytkin, vipukatkaisin, vipukytkin@
@toil@|@aherrus, ahertaa, ahertaminen, huhkia, puurtaa, raadanta, raataa, riehua, tehtävä, työ@
@toilet@|@käymälä, WC, wc-istuin@
@toilet bowl@|@pönttö@
@toiling@|@aherrus, ahertaminen@
@toilsome@|@työläs, vaivalloinen@
@token@|@ele, erityispiirre, esiintymä, ilmaisu, ilmaus, merkki, mitätön, muisto, muistoesine, muistutus, muodollinen, nimellinen, näyttö, osoitus, piirre, rahake@
@token coin@|@rahake@
@tokenish@|@mitätön, muodollinen, nimellinen@
@Tokyo@|@Tokio@
@told@|@kerrottu@
@tolerable@|@tyydyttävä@
@tolerance@|@kestokyky, sieto, sietokyky, sietäminen, suvaitsevaisuus, toleranssi@
@tolerance test@|@rasituskoe@
@tolerant@|@avarakatseinen, avaramielinen, ennakkoluuloton, harkitseva, hillitty, humaani, kärsivällinen, liberaali, maltillinen, sietävä, suvaitseva, suvaitsevainen, vapaamielinen, ymmärtäväinen@
@tolerate@|@jaksaa, kestää, sietää@
@tolerated@|@kestetty, kesti, kestivät, kestänyt@
@tolerating@|@kestäminen@
@toleration@|@sieto, sietokyky, toleranssi@
@toll@|@hinta@
@tomato@|@tomaatti@
@tomb@|@hauta@
@tomboy@|@rasavilli@
@tombstone@|@hautakivi@
@tomcat@|@koiraskissa, kolli, kollikissa@
@tom-cat@|@koiraskissa, kolli, kollikissa@
@tome@|@kirja, opus, teoksen osa@
@tomfoolery@|@typeryys@
@tommy rot@|@pöty@
@tomorrow@|@huomen, huomenna, huominen@
@tomorrow's@|@huominen@
@ton@|@tonni@
@tone@|@nuotti, sävel, sävy, vire@
@tone down@|@pehmentää@
@tone pager@|@piippari@
@tongue@|@kieli, uloke@
@tongue-in-cheek@|@kieli poskessa@
@tonight@|@tänä iltana, tänä yönä@
@tonight's guest@|@illan esiintyjä@
@tonight's guest star/performer@|@illan esiintyjä@
@tonne@|@tonni@
@tonsil@|@kitarisa, nielurisa@
@too@|@-kin, kanssa, liiaksi, liian, lisäksi, myös@
@too much@|@liiaksi@
@took@|@otti, ottivat, toi, toivat@
@took back@|@otti takaisin, perui@
@took in@|@imi, imivät@
@took off@|@lähti, läksi@
@took place@|@kävi@
@tool@|@kalu, koje, kätyri, tarvekalu, terä, työkalu, työväline, väline@
@toolbox@|@työkalupakki@
@toolkit@|@työkalupakki@
@tools@|@välineet@
@toot@|@juomingit@
@tooth@|@hammas, pii, pykälä@
@tooth doctor@|@hammaslääkäri@
@toothache@|@hammassärky@
@toothbrush@|@hammasharja@
@tooth-brush@|@hammasharja@
@toothed wheel@|@ratas@
@toothpaste@|@hammastahna@
@tooth-paste@|@hammastahna@
@toothpick@|@hammastikku@
@toothsome@|@herkullinen@
@top@|@huippu, hyrrä, katto, kruunata, laki, latva, naatti, paras, parhain, varsi, viimeisen päälle (colloq), ylittää@
@top and tail@|@perata@
@top executive@|@pohatta@
@top hat@|@silinteri@
@tope@|@juopotella, kännätä, ryypätä@
@top-hat@|@silinteri@
@top-hole@|@viimeisen päälle (colloq)@
@topic@|@aihe, puheenaihe@
@topical@|@aihekohtainen, ajankohtainen, paikallinen@
@topical anesthesia@|@paikallispuudutus@
@topically@|@paikallisesti@
@top-notch@|@viimeisen päälle (colloq)@
@topology@|@topologia@
@toppingly@|@ihmeellisesti@
@topple@|@kaataa, kaatua, keikahtaa, kukistaa, syrjäyttää, syöstä@
@toppled@|@kaatui, kaatuivat, kaatunut@
@toppling@|@horjuva@
@topsail@|@latvapurje@
@topsoil@|@ruokamulta@
@topsy-turvy@|@nurin@
@torch@|@puhalluslamppu, soihtu, taskulamppu@
@tore@|@repi, repivät@
@torment@|@ahdistelu, kiduttaa, kärsimys, piina, piinata, vainota, ärsyttää jatkuvasti@
@torn@|@repineet, revitty@
@tornado@|@pyörremyrsky@
@torpedo@|@torpeedo, täytetty sämpylä@
@torpidity@|@tylsyys@
@torpor@|@tylsistyminen, tylsyys@
@torrent@|@kaatosade, koski, ryöppy, virta, vuolle@
@torrential@|@rankka, rankka-, vuolas@
@torrential rain@|@rankkasade@
@torrid@|@intohimoinen, kiihkeä, paahtava@
@torso@|@torso, vartalon keskiosa@
@tortuous@|@kiemurainen, koukeroinen@
@tortuousness@|@monimutkaisuus@
@torture@|@kiduttaa, piina, piinata, vääristely, vääristäminen@
@torturer@|@kiduttaja@
@torturous@|@piinallinen@
