@widow@|@atraitne@
@widower@|@atraitnis@
@wife@|@sieva@
@willow@|@vītols@
@wind (subst)@|@vējš@
@windmill@|@vējdzirnavas@
@window@|@logs@
@wine@|@vīns@
@wing@|@spārns@
@winter@|@ziema@
@wintry@|@ziemas@
@wire@|@stieple@
@wisdom@|@gudrība@
@wisdom tooth@|@gudrības zobs@
@wise@|@gudrs@
@witch@|@burve, ragana@
@witchcraft@|@burvestība@
@witchery@|@burvība@
@witches' broom@|@raganas slota@
@witch-hunt@|@raganu medības@
@with@|@ar@
@without work@|@bez darba@
@wizard@|@burvis@
@wolf@|@vilks@
@woman@|@sieviete@
@womb@|@dzemde@
@wood (matter)@|@koks@
@wood (place)@|@mež@
@woodbine (chèvrefeuille)@|@sausserdis@
@woodcock@|@sloka@
@wooded@|@mežains@
@wooded country@|@mežains apvidus@
@woodpecker@|@dzenis@
@wool@|@vilna@
@wooly@|@vilnains@
@word@|@vārds@
@wordless@|@bez vārdiem@
@wordplay@|@vārdu spēle@
@work (subst)@|@darbs@
@work of art@|@mākslas darbs@
@worker@|@strādnieks@
@worker bee@|@darba bite@
@world war@|@pasaules karš@
@worldly@|@pasaulīgs@
@wormy@|@tārpains@
@worth (adj)@|@vērts@
@worth (subst)@|@vērtība@
@worthless@|@nevērtīgs@
@worthy@|@cienīgs@
@wrinkle (subst)@|@grumba@
@write@|@rakstīt@
@writer@|@rakstnieks@
@wrought iron@|@kaļamā dzels@
@yard@|@sēta@
@yarn@|@dzija@
@yarrow (achillée)@|@pelašķi@
@year@|@gads@
@yeast@|@raugs@
@yellow (adj)@|@dzeltens@
@yellow fever@|@dzeltenā kaite@
@yellowish@|@dzeltenīgs@
@yes@|@ja@
@yesterday@|@vakar@
@yew@|@īve@
@yield@|@stiepe@
@yoke@|@jūgs@
