@clan@|@banis, bisnis, lain, lain@
@clan brother@|@mismis@
@clan or group; of common origin@|@wanlain@
@class@|@fom, klas, standet@
@classification@|@namba@
@clay@|@graun, strongpela graun@
@clean@|@klin, klinpela@
@clear@|@kela, klia@
@clerk@|@kuskus, kuskus@
@clever@|@kleva@
@clinic@|@dispenseri, klinik@
@clock@|@klok@
@close to@|@klostu@
@closed@|@pas, pas, pas pinis@
@cloth@|@laplap, saket@
@clothes@|@klos@
@clothing@|@klos@
@cloud@|@klaut@
@cloud burst@|@klautbruk@
@clouds@|@sno@
@cloudy@|@klaut i pas@
@club@|@klap@
@club house@|@klap@
@clumsy@|@kranki@
@coal tar@|@kolta@
@coast@|@nabis, nambis@
@coat@|@kot, saket@
@cock@|@paul man@
@cockatoo@|@kakatu, koki@
@cockroach@|@kakalak, kokoros@
@cocoa@|@kakau@
@coconut@|@drai (ripe), kokonas@
@coconut palm@|@kokonas@
@coconut tree@|@kakao@
@codpiece@|@kambang@
@coffee@|@kopi@
@coffee mill@|@wilwil@
@coffee pot@|@kopipot, sospen blong kopi@
@cognak@|@koniak@
@coin@|@sens, siling@
@cold@|@kol, kolpela@
@cold (catarrh)@|@kus@
@cold (illness)@|@kus@
@colleague@|@wanwok@
@collection@|@kolekta@
@collision@|@bam@
@color@|@kala@
@colored@|@tulait@
@comb@|@kom, kom@
@committee@|@komiti@
@common@|@wanlain@
@common name@|@biknem@
@communal name@|@wan nem@
@communion@|@komunyon@
@companion@|@pren@
@company@|@kampani@
@compass@|@kompas@
@compassion@|@sori@
@compatriot@|@wantok@
@completely@|@olgera@
@comrade@|@poman, pren@
@conch shell@|@kramsel@
@conclusion@|@pinis@
@conference@|@konprens@
@confirmation@|@konfemesen@
@confused@|@longlong@
@congregation@|@kongrigesen@
@conscience@|@tok insait@
@constable@|@ofisa@
@constipated@|@bel i pas, no ken pekpek@
@contagious disease@|@sik nogut@
@contented@|@bel isi@
@contest@|@resis@
@continuous@|@oltaim oltaim@
@continuously@|@oltaim oltaim@
@contract@|@kontrak, pepa, pepa@
@contrition@|@sori@
@convict@|@kalabusman, man i gat kot@
@cook@|@kuk, kukboi@
@cooked@|@krungut, tan@
@cookie@|@bisket, kuki@
@cooking pot@|@sospen@
@cool@|@kol@
@copper@|@bras@
@copper sulfate@|@bluston@
@copra@|@kopra@
@coral@|@rip@
@coral gravel@|@karanas@
@coral tree@|@palpal@
@cord@|@rop, string@
@core of something@|@bun@
@cork@|@koak, kok, kok, tuptup@
@corn@|@kon, mais@
@corner@|@kona@
@cornerstone@|@konaston@
@corporal@|@kopil@
@corpse@|@bodi bilong man i dai pinis, daiman, skin@
@correct@|@stret, stretpela@
@cot@|@bet sel@
@cotton@|@kapok, katen@
@cough@|@kus@
@council@|@kaunsil@
@country@|@kantri@
@couples@|@manmeri@
@course@|@kos@
@course of life@|@wok@
@court@|@kot@
@cousin@|@kasen@
@cousin (same sex)@|@brada@
@cover@|@karamap, tuptup@
@covering@|@bilum@
@covering of buttox@|@tanget@
@cow@|@bulmakau meri, kau@
@co-worker@|@wanwok@
@cowrie shell@|@komokomo@
@cowrie shell used as decoration@|@girigiri@
@crab@|@kindam, kuka@
@cradle@|@sling@
@crane@|@winis@
@crash@|@pairap@
@crayfish@|@kindam@
@crazy@|@longlong, longlong@
@creek@|@buswara@
@crest feathers@|@kangal@
@crew@|@boskru@
@crocodile@|@pukpuk@
@crook@|@krum, krungutman@
@crooked@|@krum, krungut@
@cross@|@diwai kros@
@crow@|@kotkot@
@crowbar@|@kroba@
@crowded@|@i pas@
@crown@|@kraun@
@cry@|@krai@
@cucumber@|@kukamba@
@cup@|@kap@
@cupboard@|@kapot, sarang@
@current@|@tait, tait@
@curry@|@kari@
@custard@|@kastat@
@custom@|@lo, pasin, pesin@
@customs@|@takis@
@customs house@|@kastam@
@cut@|@kat@
@cutting edge@|@sap@
@cyclone@|@raunwin@
@cylinder@|@rola@
@daily@|@olde, olde, olgera de, wande wande@
@damaged@|@bagarap@
@damp@|@wet@
@dance@|@singsing, singsing@
@dance (ritual)@|@singsing tambaran@
@dance (with masks)@|@singsing tumbuan@
@dark@|@blakpela, tudak@
@darkness@|@tudak@
@daughter@|@pikinini, pikinini meri@
@dawn@|@bikmoning, tulait@
@day@|@de, san@
@day after tomorrow@|@haptumora@
@day before yesterday@|@asde bipo@
@day of rest@|@sande@
@day off@|@sande@
@daybreak@|@tulait@
@daylight@|@lait blong de@
@daytime@|@san@
@deacon@|@pris@
@dead@|@dai, dai, i dai pinis@
@deadman@|@daiman@
@deaf@|@iapas, yaupas@
@deaf-mute@|@ngong@
@dear@|@dia@
@death@|@indai@
@debts@|@dinau@
@decayed matter@|@sting@
@December@|@Desemba@
@deck@|@dek@
@decoration@|@bilas@
@deep@|@daun@
@defeat@|@daunim@
@delegate@|@deliget@
@delicious@|@swit, switpela@
@delight@|@abus, amamas@
@denomination@|@lotu@
@denotator@|@kep@
@dense@|@i pas@
@dental pain@|@mauspen@
@dentist@|@dentis@
@department of education@|@edukesen@
@descendant@|@pikinini@
@design@|@mak@
@desire@|@lewa@
@desk@|@desk@
@despite@|@maski@
@dessert@|@kaikai behain, switpela kaikai@
@detour@|@abrisim@
@devil@|@dewel@
@devotion@|@divosen@
@dialect@|@tokples@
@diarrhea@|@pekpek wara@
@dice@|@dais, satu@
@dictionary@|@diksineri@
@die@|@dai, i dai@
@different@|@arakain, narakain@
@different country@|@tokples@
@difficult@|@hat, hatwok, hevi@
@difficulty@|@trabel@
@diligence@|@bisipasin@
@dinner@|@kaikai long apinum, kaikai long belo@
@diploma@|@setifiket@
@directly@|@stret@
@director@|@bikpos, direkta@
@dirt@|@doti, pipia, sit, sting, sting@
@dirty@|@dati, dotipela@
@disagreement@|@tok pait@
@disciple@|@skulboi@
@disease@|@sik, sik@
@dish@|@dis, plet@
@disinfectant@|@pomat@
@disliked person@|@kakalak@
@disobedient@|@bikhet, no save harim tok@
@dispensary@|@dispenseri@
@display@|@so@
@dispute@|@tok pait@
@distance@|@longwe@
@distance behind@|@longbek@
@distant@|@longwe@
@district@|@distrik@
@ditch@|@baret@
@diver@|@daiva@
@divination@|@tok profet@
@dizzy@|@raun@
@dock-hand@|@kagoboi@
@doctor@|@dokta@
@document@|@pepa@
@dog@|@dok@
@dollar@|@dola@
@done@|@pinis, tan@
@donkey@|@donki, esel@
@don't (command)@|@yu no (+verb)@
@door@|@dua@
@double@|@dabol@
@dove@|@balus, balus@
@down@|@daun@
@downtrodden@|@rabis@
@dozen@|@dasan@
@drain pipe@|@paip@
@dramatisation@|@piksa@
@dream@|@driman@
@dreamer@|@driman@
@dress@|@klos, klos meri@
@dried coconut@|@kopra@
@dried up@|@drai@
@drill@|@boamasin@
@drill bit@|@boa@
@drilling machine@|@boamasin@
@drink@|@dring, drink, drinkim@
@drinking coconut@|@kulau@
@drippings (from cooked meat)@|@gris bilong bulmakau@
@driver@|@draiva, draivaboi, stiaman@
@drop@|@drop@
@drowsy@|@ai i hevi, ai i slip@
@drugs@|@marasin@
@drum@|@garamut, kas, kundu@
@drum (steel drum/barrel)@|@dram@
@drunk@|@long wiski, longlong, longlong, spak@
@dry@|@drai, nogat wara@
@dry dock@|@draidok@
@dry season@|@santaim@
@duck@|@pato@
@dugout canoe (without outrigger)@|@por@
@dung@|@pekpek, pekpek@
@during@|@long, long, taim bilong@
@dush@|@das@
@dust@|@das@
@duster@|@brum@
@duty@|@duti, wok@
@dwelling@|@haus@
@dye@|@pen, pen@
@dynamite@|@danamat@
@each@|@wanpela wanpela@
@each one (of any)@|@wan wan@
@eagerness@|@bisipasin@
@eagle@|@taragau, tarangau@
@ear@|@ia, yau@
@earache@|@iapen@
@early@|@bipotaim@
@early afternoon@|@belo bek@
@early in the morning@|@moningtaim@
@early morning@|@bikmoning@
@earring@|@bilas blilong yau, kalang@
@earth@|@graun, graun@
@earthen@|@blong graun@
@earth-oven steam-cooking@|@mumu@
@earthquake@|@graun i guria, guria, guria@
@east@|@hap san i kamap, is@
@East@|@sankamap@
@Easter@|@ista@
@easy@|@asan-asan, isi@
@edge@|@arere@
@edible@|@gutpela bilong kaikai@
@educated@|@het klia@
@educated person@|@saveman@
@eel@|@maleo@
@egg@|@kiau@
@eight@|@et@
@eight (of)@|@etpela@
@eighteen@|@eitin, wanpela ten eit@
@elbow@|@skru blong han@
@elderly@|@lapun@
@election@|@ileksin@
@electric@|@lektrik, listrik@
@electrical switch@|@swis@
@electrician@|@listrik@
@electricity@|@lektrik, listrik, pawa@
@eleven@|@eleven, wanpela ten wan@
@embarrass@|@semim@
@embarrassment@|@sem@
@emperor@|@sisa@
@employee@|@wokboi, wokman@
@emporer@|@kaisa@
@empty@|@emti, nating, nating, stap nating@
@enclosure@|@banis@
@end@|@pinis@
@end of a sack@|@yau@
@end of the world@|@lasde@
@ending@|@pinis@
@enemy@|@birua@
@energetic@|@hatpela@
@engine@|@ensin, masin@
@engineer@|@ensinia, mekanik@
@England@|@Englan@
@English@|@inglis, ingris@
@enough@|@inap, skel, skel@
@entertainment@|@pilai@
@enthusiastic@|@hot, hot long@
@entrails@|@bel@
@entrance@|@dua, maus@
@envelope@|@skinpas@
@envy@|@mangal@
@Epiphany@|@Epifeni@
@epson salts@|@solmarasin@
@equal@|@wainkain, wanmak@
@equality@|@wantaim@
@eraser@|@gumi@
@essence@|@bun@
@estate@|@plantesin@
@eternal reward@|@kago@
@eucalyptus tree@|@gamtri, kumurere@
@Europe@|@Yurop@
@European@|@waitman, waitskin@
@European woman@|@misis@
@European/White person@|@masta@
@evangelist@|@evanselis@
@even@|@stret@
@evening@|@apinum, ivening, nait, sandaun@
@eventually@|@baimbai@
@ever@|@oltaim@
@every@|@olgera, olgeta, olgeta@
@every day@|@wande wande@
@evil@|@nogut, samting nogut@
@evil spirit@|@bambaran, batpela dewel, satan, Seten@
@exact@|@stret@
@exactly@|@stret, stret@
@example@|@eksampel@
@except@|@mas@
@exclusive of audience)@|@mitupela@
@excrement@|@pekpek@
@executive@|@eksekutiv@
@exercise@|@asasait@
@exhaust of motor@|@eksos@
@exhaust pipe@|@eramaut, mambu@
@exiled@|@tarangu@
@expensive@|@dia@
@expert@|@saveman@
@exterior@|@ausait@
@exterior of coconut blossoms@|@galimbong@
@extremity@|@pinga@
@eye@|@ai@
@eye (of needle)@|@maus blong nil@
@eyeglasses@|@aiglas@
@fable@|@tok bilong bipo@
@face@|@pes@
@factory@|@faktori@
@fair@|@so@
@faith@|@bilip@
@faithful@|@trupela@
@fake@|@hambak@
@false@|@giaman@
@family@|@famili@
@famous@|@bikpela, man i gat biknem@
