@English@|@Indonesian@
@a kick; men-@|@depak@
@a little@|@agak, sedikit@
@a lot of@|@banyak, banyak@
@a lunge; slamming action@|@tubruk@
@a measurement for paper; a carton (of cigarettes)@|@rim@
@a moan@|@rintih@
@a moment@|@jenak@
@a moment/instant@|@sebentar, sejenak@
@a muzzle@|@selongsong@
@a pair@|@rakit@
@a part (separuh@|@paro(h)@
@a piece of paper@|@carik@
@a pin@|@tusuk@
@a pinch@|@colek@
@a plaited mat@|@tikar@
@a race@|@lomba@
@a second@|@kejap@
@a short moment later@|@selang@
@a single -@|@batang@
@a slap@|@tampar@
@a slug/drink; me-@|@reguk@
@a smear (of butter)@|@oles@
@a smear; ber-@|@lumur@
@a splatter of@|@percik@
@a swallow/gulp; men-@|@teguk@
@a sweet@|@jajan@
@a tour; ber-@|@pariwisata@
@a wedge/prop/support; meng-(i)@|@ganjal@
@a while@|@sebentar@
@a word used to urge/offer@|@silakan@
@a yell/scream;ber-@|@teriak@
@aback@|@heran, taken ~:terkejut@
@abacus@|@sipoa@
@abandon@|@batal, putus asa@
@abase@|@menghina, menurunkan martabat@
@abasement@|@penghinaan@
@abashed@|@bingung, malu@
@abate@|@berkurang, meghapuskan, membatalkan, mengurangi, reda@
@abattoir@|@tempat penjagalan hewan@
@abbess@|@kepala (asrama) biarawati@
@abbey@|@masyarakat biarawan/biarawati gereja@
@abbott@|@kepala biarawan/biara@
@abbreviate@|@menyingkat, singkat@
@abbreviation@|@singkat, singkatan@
@abdicate@|@turun/menyerahkan tahta@
@abdomen@|@perut & isinya@
@abduct@|@penculikan@
@aberasi@|@sesatan/stray dr jln yg sebenarnya@
@aberration@|@kesalahan, salah@
@abet@|@aid & ~:membantu & menghasut, bantu, membantu@
@abeyance@|@dlm kead non aktif utk sementara wkt@
@abhor@|@benci/jijik thd/pd sesuatu/seseorg, jijik/benci pd seseorg/sesuatu@
@abhorence@|@kebencian@
@abhorent@|@mengerikan@
@abhorrent@|@mengerikan@
@abide@|@derita ... menderita, harapkan, mengharapkan, menunggu, rumah tinggal, tunggu@
@abide by@|@menepati janji, tahan/suka, tinggal/diam@
@abject@|@dlm kead sengsara, hina, keji, terbuka, terus terang@
@abjure@|@batalkan, bersumpah di hadapan umum akan melepaskan jabatan, membatalkan@
@ablaze@|@terang bernyala2, terbakar@
@able@|@bijak, sanggup@
@able; se-@|@pintar@
@able; well to do@|@mampu@
@ablution@|@penyucian diri (dlm upacara keagamaan)@
@ably@|@dgn cakap@
@aboard@|@dlm kendaraan (kapal/pesawat/bis)@
@abode@|@=abide, rumah tinggal@
@abolish@|@batalkan, hapuskan, membatalkan, mengakhiri, menghapuskan, meniadakan.menghapuskan@
@abolition@|@pembatalan@
@abominable@|@mengerikan, menjijikkan@
@abominate@|@merasa jijik@
@aboriginal@|@asli@
@aborigines@|@pribumi@
@abort@|@gagal@
@abortion@|@pengguguran kkandungan@
@abortion; discharging (of athletes@|@gugur@
@abortive@|@keluar sebelum wktnya, tdk sempurna@
@abortive attempt@|@gagal@
@abound@|@berlimpah-limpah@
@about@|@lebih kurang, mengenai, sekitar, tentang, tentang@
@about on@|@di mana2@
@about turn@|@berbalik ke belakang@
@above@|@terlalu sukar@
@above all; what else@|@apalagi@
@above.@|@atas@
@aboveboard@|@terus terang@
@above-board@|@jujur@
@abrade@|@=scrape@
@abrasive@|@bahan spt amplas@
@abreast@|@~ of the time:mengikuti jaman, ~ of:sejajar@
@abridge@|@menyingkat, menyingkat, meringkas, singkat@
@abridgement@|@ringkasan, singkatan@
@abroad@|@di dlm kapal/pesawat, luar negeri@
@abrogate@|@batalkan, hapuskan, membatalkan, menghapuskan, menghapuskan/membatalkan(UU/adat)@
@abrogation@|@pembatalan@
@abrupt@|@bicara tanpa basa-basi, kasar, mendadak, tak-, terduga, tiba2@
@abscess@|@bisul@
@abscond@|@pergi diam2 krn merasa salah@
@abscss@|@bisul@
@absent@|@absen, tidak hadir@
@absent (from work@|@bolos@
@absentee@|@org yg tdk hadir@
@absentminded@|@linglung@
@absentminded/preoccupied/confused/dazed@|@linglung@
@absolute@|@lengkap@
@absolute/unconditional; me-kan@|@mutlak@
@absolutely wiped out@|@tandas@
@absolution@|@pengampunan dosa@
@absolve@|@membebaskan diri@
@absorb@|@asyik, memahami, menyerap, meresapi@
@absorb; pervade (- jiwa@|@serap@
@absorbed@|@cerna@
@absorbent@|@bahan yg dpt menyerap air@
@absorbing@|@menarik, mengasyikkan@
@abstain@|@berpantang, tdk memberi suara@
@abstemious@|@hemat dlm pemakaian, penggunaan barang yg menyenang@
@abstention@|@pengecualian diri dr sesuatu(tdk memakai haknya)@
@abstinence@|@pantangan@
@abstract@|@inti@
@abstracted@|@tdk memperhatikan@
@abstruse@|@arti/jawaban tersembunyi, sukar dimengerti@
@absurd@|@konyol, lucu (~ly), mustahil@
@absurdity@|@sesuatu yg mustahil/lucu@
@abundant/affluent/overflow/plentiful/profuse; me-(i/kan)@|@limpah@
@abuse@|@caci maki, damprat, gunakan, menyalah-, perlakuan kasar & merugikan, sewenang2@
@abuse s.o. esp w/ vulgar language; -an@|@maki@
@abuse verbally (mengumpat = curse@|@caci@
@abuse/-ive words@|@maki@
@abusively@|@=abuse@
@abysmal ignorance@|@kebodohan yg keterlaluan@
@abyss@|@lubang yg dlm, neraka@
@ac aktus@|@bertindak, melakukan, perbuatan@
@academic@|@pelajar@
@academy@|@kumpulan cendekiawan@
@accede@|@memangku jabatan penting, naik tahta, setuju, setuju@
@accelerator@|@persneling@
@accent@|@aksen, logat, tanda e pepet, tekanan pd suku kata@
@accentuate@|@menekankan, mengutamakan@
@accept@|@menerima, terima@
@accept s.t. w/ ...@|@ikhlas@
@accept; men-@|@terima@
@acceptance@|@penerimaan, penerimaan yg diberikan/ditawarkan@
@access@|@jln masuk@
@accessary@|@membantu berbuat jahat, sekongkol@
@accession@|@mendpt kedudukan/kekuasaan, tambahan/kenaikan@
@accident@|@celaka, kecelakaan, malapetaka, tdk sengaja@
@accidentally cut o.s. with s.t.@|@beler@
@acclaim@|@menobatkan, menyambut dgn sorak@
@acclamation@|@menyambut dgn sorak@
@acclimatize@|@menyesuaikan dgn iklim baru@
@accolade@|@penghargaan, penghormatan, pujian@
@accomodate@|@bantu ... membantu, menampung, menyediakan, menyesuaikan, menyetujui@
@accomodating@|@mau mengalah@
@accompaniment@|@pengiringan musik solo@
@accompanist@|@pengiring musik@
@accompany@|@antar ... mengantar, menemani, mengiringi@
@accompany (obj.); meng-kan@|@antar@
@accompany in a procession@|@arak@
@accompany s.o.@|@teman@
@accompanying@|@ikut@
@accomplice@|@sekongkol, tangan kanan dlm kejahatan@
@accomplish@|@capai, mencapai, menyelesaikan dgn baik@
@accomplished@|@ahli, berbakat@
@accomplishment@|@dpt diselesaikan dgn baik, keahlian@
@accord@|@beri sambutan, kemauan, mem-, persejutuan, sependapat dgn, serasi dgn@
@accordance@|@persetujuan@
@according@|@menurut, sesuai dgn@
@according to; - saya@|@turut@
@accordingly@|@oleh sebab itu@
@accordion@|@harmonika@
@accost@|@menegur, menyapa@
@account@|@alasan/sebab, cerita/gambaran, guna, membukukan, menjelaskan, on ~:dlm cicilan, on one's own ~:utk & oleh dirinya sendiri, pentingnya, perhitungan, rencana, take into ~:menimbang2, take no ~ of:jangan diperhatikan, untungnya@
@account for@|@membukukan, menerangkan, menganggap, menjelaskan@
@accountable@|@bertgjwb@
@accountancy@|@pekerjaan pembukuan@
@accredit@|@mengirim ke luar negeri dgn membawa surat keperca-, yaan (duta)@
@accrue@|@uang berbunga@
@accumulate@|@mengumpulkan, menimbun@
@accumulator@|@aki, batere@
@accuracy@|@saksama@
@accurate@|@selidik@
@accurate; thrifty@|@cermat@
@accursed@|@celaka, kutuk, terkutuk@
@accurst@|@celaka, terkutuk@
@accusation@|@tuduhan@
@accuse@|@dakwa ... mendakwa, menuduh, the ~d:tertuduh@
@accuse (men-) mutual recrimination@|@tuduh@
@accuser@|@penuduh@
@accustom@|@membiasakan diri@
@accustomed@|@biasa, biasa@
@ace@|@hampir saja"@
@acetic@|@asam, cuka@
@acetylene@|@gas karbit@
@ache@|@nyeri, sakit@
@achieve@|@mencapai, menyelesaikan dgn baik@
@achieved@|@jangkau@
@achievement@|@hasil yg dicapai, sukses@
@aching (- hati@|@pedih@
@achre@|@warna coklat kekuningan@
@acid@|@asam, cuka@
@acid test@|@sesuatu yg membuktikan nilai yg sebenarnya@
@acidity@|@keasaman@
@acknowledge@|@membenarkan, memberitahu, memberitakan menerima sesuatu, mengakui, mengakui@
@acknowledge/admit/confess/recognize/acknowledge@|@aku@
@acknowledgement@|@pemberitahuan bhw tlh menerima, pengakuan, pernyataa@
@acme@|@puncak, ttk tertinggi@
@acorn@|@buah/biji pohon oak@
@acoustic@|@mengenai pendengaran, suara@
@acoustics@|@pengetahuan ttg suara (dlm gedung)@
@acquaint@|@memberitahukan, membiasakan diri, mengenalkan@
@acquaintance@|@kenalan, sedikit pengetahuan ttg@
@acquiencence@|@persetujuan@
@acquiesce@|@setuju tanpa protes, sudi@
@acquiesce in@|@rela@
@acquiescent@|@sepakat, setuju@
@acquire@|@mendpt (gelar), mjd pemilik, pemilik (sah)@
@acquirement@|@keahlian, sesuatu yg diperoleh@
@acquisition@|@pendptan, sesuatu yg diperoleh@
@acquisitive@|@biasa memperoleh, ingin memperoleh@
@acquit@|@membebaskan dr tuduhan kejahatan, mengerjakan tugas@
@acquital@|@pembebasan@
@acre@|@daerah seluas 4000 m2@
@acrid@|@bau/rasa kurang sedap, tajam@
@acrimonious@|@(kata2) yg pahit & pedas@
@across@|@lintang, lintang, seberang@
@across (street); side; facing (dir.); meng-i@|@hadap@
@across from@|@lawan@
@act@|@tindak, ulah, undang2@
@act -ly & -ly; break out violently (of disease)@|@rajalela@
@act of devotion; religious service@|@ibadah@
@act stupid (fool s.o.); ke-an@|@bodoh@
@act/action; ber-@|@tindak@
@acting manager@|@wakil manajer@
@action@|@mwmbawa ke pengadilan, tindak@
@action; handsome@|@aksi@
@active@|@aktif, giat@
@actor@|@peran, tonton@
@actor; ber-@|@peran@
@actual@|@benar2 tjd@
@actually@|@sebenarnya, utk sementara waktu@
@actuate@|@mendorong, menggerakkan@
@acute@|@cekatan, cerdas, cermat, nyeri, perasaan halus, perasaan tajam@
@acute angle@|@sudut tumpul@
@ad@|@adpertensi, iklan, pemberitahuan@
@adage@|@pepatah, peribahasa@
@adamant@|@kukuh, teguh@
@adapt@|@menyadur, menyesuaikan@
@adapter@|@penyadur@
@add@|@menambah, tambah@
@add up@|@menambah, tambah@
@add; in addition@|@tambah@
@added for emphasis or urging@|@deh@
@added for indication that you should already know answer@|@dong@
@addendum@|@tambahan@
@adder@|@ulat kecil yg sangat berbisa@
@addict@|@~ed:mencandu, ketagihan@
@addicted@|@candu@
@addicted; collect one's debts; -an@|@tagih@
@addiction@|@candu@
@addition@|@in ~ to:selain itu, lebih lanjut, tambahan@
@additional@|@ekstra, tambahan@
@addle@|@tdk dpt dimakan lagi@
@address@|@alamat, cara bicara/tingkah laku, menyampaikan pesan, menyibukkan diri, pidato, sangat memperhatikan@
@address s.o. to open conversation@|@tegur@
@address s.t.@|@alamat@
