@English@|@Haitian creole@
@to get moving@|@renka kò, sekwe kò, souke kò, yaya kò@
@to get on someones nerves@|@agase 2@
@to get out@|@sot, sòti@
@to get revenge@|@pran revanch@
@to get s.o. accustomed; to get accustomed with@|@abitue@
@to get s.o. accustomed; to get accustomed; habit@|@abitwe, abitye@
@to get some fresh air@|@pran lè@
@to get to or reach (a place)@|@rive 2@
@to get transformed@|@pran fòm@
@to get very angry@|@fè move san@
@to get well@|@geri@
@to get worse@|@anvenimen, anvlimen@
@to give@|@bay, fout, rann 2@
@to give a bad name@|@bay non@
@to give a bad reception to@|@mal akeyi@
@to give a better price (for merchandise)@|@fè pri fe jis pri@
@to give a blow with the knuckles@|@bay zoklo@
@to give a chance@|@fè pa@
@to give a hint@|@pouse you pyon@
@to give a ride in a car@|@bay roulib@
@to give an answer@|@rann yon repons@
@to give back@|@rann@
@to give birth@|@akouche, fè pitit, met atè, mete ba@
@to give in@|@reziyen 2@
@to give in to someones request or insistence@|@pran priyè@
@to give or get a haircut@|@koupe cheve@
@to give plenty@|@blende@
@to give the alarm@|@bay alam@
@to give up@|@abandonnen, abandonnen, bandonnen, bandonnen, bay legen@
@to glance@|@voye je@
@to glorify@|@glorifye@
@to go@|@pral, rive 2@
@to go aboard@|@monte abò@
@to go all around@|@vironnen@
@to go away@|@ale, sefre, sefwe@
@to go back@|@tounen 2@
@to go backwards@|@bak 3@
@to go by@|@pase 6@
@to go by plane@|@flay@
@to go down the drain@|@tonbe nan tyouboum@
@to go fast@|@kouri 2@
@to go first@|@pran devan@
@to go for a jaunt@|@fè you ti vire@
@to go for a moment to a specified place@|@fè yon rive@
@to go in a hurry@|@prese pati@
@to go into a convent@|@antre nan mè@
@to go into reverse@|@bak 3@
@to go off@|@ale@
@to go on@|@kontinye@
@to go out@|@pran lari, sot, sòt 2, sòti@
@to go out of bounds@|@wè mò@
@to go slumming for lowly pleasur@|@charonyen@
@to go somewhere@|@fè you so rive@
@to go somewhere fast@|@kouri ale@
@to go through@|@pase 3@
@to go through hard time or tough times@|@pase pa@
@to go to@|@janbe, rive 3@
@to go to the polls@|@al vote@
@to go under@|@fè fon@
@to go up@|@monte 2, moute@
@to go up in flames@|@flanbe@
@to go with@|@ale ak@
@to govern@|@administre@
@to grab@|@akapare, mete lapat sou, razibis@
@to grab by handfuls@|@ponyen@
@to grab everything@|@fè dappiyanp@
@to grab s o by back of trousers@|@fouke@
@to grant@|@akòde@
@to grin@|@rikannen@
@to grope@|@tatonnen@
@to grow@|@grandi@
@to grow a head as in cabbage@|@ponmen@
@to grow big@|@profite 2@
@to grow fast@|@profite@
@to gush blood@|@ponpe 3@
@to hack@|@fè yon antay@
@to hail@|@rele@
@to halt@|@alte, rete 2@
@to hammer down@|@fonse 2@
@to hamper@|@jennen@
@to hand@|@lonje algo bay@
@to handle@|@agi ak, aji ak, okipe@
@to handle brutally@|@fougonnen@
@to hang on@|@vejete@
@to hang up in public@|@afiche@
@to happen@|@fèt 2, pase 5, rive@
@to harden@|@ven di@
@to harness@|@hanache@
@to harness a horse or mule@|@anache@
@to hate@|@pa vle wè@
@to have@|@gen, genyen 2, pot, pote, pòte@
@to have a bowel movement@|@fè tata@
@to have a disagreeable odor (feet)@|@santi mayas@
@to have a foul tongue@|@gen bouch, gen lang@
@to have a hold on@|@gen priz sou@
@to have a mind to@|@gen anvi@
@to have a runny or stuffy nose@|@enrimen@
@to have a stroke from an angry outburst@|@fè kout san@
@to have a vision@|@vizyonnen@
@to have an accident@|@fè aksidan@
@to have an affair@|@annafè ak@
@to have an appetite for@|@gen anvi@
@to have children here and there@|@simen pitit@
@to have gone crazy@|@foke@
@to have just@|@fèk, sot 2, sòt 3, soti 2, sòti 2@
@to have lost it@|@foke@
@to have people on your side@|@gen moun pa@
@to have potential@|@promèt, pwomèt@
@to have sex@|@fè 3@
@to have the nerve to@|@pèmèt 2@
@to have the right to@|@an dwa, andwa, gen dwa@
@to have the upper hand@|@gen rezon@
@to have to@|@dwe, gen pou@
@to have value@|@gen valè@
@to head toward@|@mete kap sou@
@to heal@|@geri@
@to heap up@|@fè pil@
@to hear@|@koute, tande@
@to hear (find out)@|@konnen@
@to heat@|@chofe@
@to hell with@|@vouzan pou@
@to help@|@abreje, abreje, asiste, ende, ide, jende, rende, ride@
@to hex@|@anvoute@
@to hire@|@anboche, frete@
@to hit@|@frape@
@to hoe@|@voye 2@
@to hold an event@|@reyalize 3@
@to honor@|@onore@
@to hook or close a door@|@krochèt la@
@to hop@|@voltije@
@to humble@|@rabese@
@to humiliate@|@fè ront@
@to hunt@|@chase@
@to hurl@|@voye anlè@
@to hurry@|@ale prese@
@to hurry to leave@|@prese pati@
@to hurry up@|@depeche@
@to hurt@|@fe lapenn, fè mal@
@to idle long@|@flannen@
@to ignore@|@vag@
@to imitate@|@pran vwa, swiv@
@to immerse@|@plonje 2@
@to impeach@|@anpeche@
@to implicate@|@antrave@
@to impregnate@|@ansent@
@to incite@|@agase, pouse 2, pouse dife@
@to incite Peter against Paul@|@monte Pyè kont Pòl@
@to include@|@mete ladan@
@to increase@|@grandi@
@to indict@|@akize@
@to inflate@|@ponpe 2@
@to inform@|@mete okouran, voye pale@
@to inhabit@|@abite, viv@
@to inhabit; to live@|@abite@
@to initiate@|@tanmen@
@to inquire@|@fè ankèt, pran ransèyman@
@to instigate a quarrel@|@chèche kont@
@to instruct@|@fòmen@
@to insult@|@vekse@
@to interest@|@enterese@
@to interest ones self in@|@enterese@
@to invent@|@fòje@
@to investigate@|@fè ankèt@
@to invite@|@envite@
@to isolate@|@izole@
@to issue a marriage certificate in civil ceremony@|@pase ak sivil@
@to jail@|@anprizonnen@
@to joke@|@blage@
@to jump@|@vole, vole sou@
@to jump on@|@fè yon va sou, fonse, fonse sou, vare sou@
@to jump rope fast@|@pran vinèg@
@to keep@|@antretni, gade 3@
@to keep prowling@|@rodaye, wodaye@
@to keep warm@|@chofe@
@to kick@|@tire pye, voye pye@
@to kid someone@|@bay albè@
@to kill@|@abat, abat, ansasinen, asasinen, sasinen, tchwe, tìye, touye@
@to kneel@|@ajenouye, jenouye@
@to knit@|@fonse 2@
@to knock down@|@abat, etale@
@to knock down(yo abat li  they killed him@|@abat@
@to know@|@konn, konnen@
@to know a lesson thoroughly@|@konnen yon leson kou dlo@
@to know how@|@konn, konnen@
@to lash@|@rigweze@
@to last@|@dire, rete 3@
@to laugh@|@rikannen@
@to laugh at@|@ri@
@to lay@|@poze 3@
@to lay eggs@|@ponn@
@to lay hands on@|@mete lapat sou@
@to lead@|@mennen, pran devan@
@to leak out news or a story@|@vante 3@
@to lean@|@apiye, apuiye, piye@
@to lean (over)@|@panche@
@to lean on@|@apiye sou@
@to leap@|@vole sou@
@to learn by heart@|@aprann pa kè@
@to lease@|@afèmen, anfèmen, frete, lwe@
@to lengthen@|@lonje@
@to let@|@lwe@
@to let in@|@fè antre@
@to let someone off@|@bay lougal@
@to level@|@plani, planni@
@to levil@|@aplani@
@to lie@|@poze@
@to lift@|@soulve@
@to like@|@renmen@
@to limp@|@brete, bwate, bwete@
@to line up@|@aliyen@
@to listen@|@koute@
@to listen attentively@|@alekout@
@to live@|@viv@
@to live in with such as a servant@|@rete avèk@
@to load@|@chaje 2@
@to loaf@|@valkande, valtourinen@
@to loaf around@|@flannen 2@
@to lodge a complaint@|@pote plent kont@
@to loiter@|@flannen 2@
@to look@|@founi je gade, voye je@
@to look after@|@pran swen@
@to look for@|@boske, bouske@
@to look for trouble@|@chèche kont@
@to lose@|@anfouraye@
@to lose ones appeal@|@vante 3@
@to lose weight@|@megri@
@to lounge@|@lonje kò@
@to lure@|@andjoze, andyoze@
@to mail@|@poste@
@to maintain@|@antretni, gade 3@
@to make@|@mete 2, rann@
@to make a fresh start@|@fèk kare@
@to make a move@|@pouse you pyon@
@to make a movement@|@fe rimay@
@to make a payment@|@vèse@
@to make a private arrangement@|@maltaye 2@
@to make a reservation@|@fè rezèvasyon@
@to make a show of@|@afiche 2@
@to make a stop over@|@rete 3@
@to make a vow@|@fè yon ve@
@to make after@|@kouri dèyè@
@to make allusions@|@tire pwent@
@to make fun of someone@|@pran you moun fe fas@
@to make good use of@|@profite@
@to make insinuations@|@voye pwent@
@to make it@|@reyisi@
@to make love@|@fè lanmou@
@to make matters worse@|@mete klou sou abse, Mete klou sou abse, mete lemetik sou lepika@
@to make movements@|@fè jès@
@to make one feel better@|@refè 2@
@to make ones way@|@fofile kò@
@to make someone talk by indirect questions@|@bat vant yon moun@
@to make the sign of the cross@|@fè onodipè@
@to make up@|@rebyen@
@to make worse@|@agrave, angrave@
@to manage@|@administre, aranje, debouye, degaje 2, dirije@
@to manufacture@|@fè 2@
@to mash@|@pije, prije@
@to master@|@metriz@
@to masturbate@|@bat laponyèt@
@to match@|@ale ak, mache ansanm@
@to materialize@|@reyalize@
@to matter@|@enpòtan, gen valè@
@to mature@|@abouti, bouti@
@to me only@|@chè mèt chè mètrès@
@to mean@|@antann, vle di@
@to measure woodetc@|@twaze@
@to meddle@|@foure bouch, mete bouch@
@to meet@|@brake ak, jwenn 2@
@to meet out something@|@file 4@
@to meet unexpectedly@|@tonbe sou@
@to meet up with@|@bare ak, jwenn ak@
@to melt@|@fonn@
@to milk a cow@|@tire bèf@
@to miscalculate@|@twonpe 2@
@to mishandle@|@fougonnen@
@to misplace@|@anfouaye, anfouraye, anfouye, fouraye@
@to miss@|@anvi 2, fè flay@
@to mistreat@|@sapata@
@to moan@|@plenn, pouse plent@
@to mock@|@pase nan betiz, pase nan jwèt, pase nan rizib, pase nan tenten@
@to model@|@bay fòm@
@to mop@|@pase twal mouye@
@to mourn@|@pran dèy@
@to move toward@|@fe rimay@
@to mumble@|@mamonnen@
@to myself@|@nan kè m@
@to note an appeal@|@fè apèl (legal)@
@to note down@|@pase ekriti@
@to notice@|@konstate, remake@
@to notify@|@annonse@
@to obey@|@obeyi@
@to oblige@|@oblije@
@to observe@|@fè remak, obsève@
@to occur@|@fèt, pase 5@
@to offend@|@ofanse, vekse@
@to offer@|@ofri@
@to officially recognize an ilegit child as yours@|@rekonèt 2@
@to omit@|@pa mete@
@to open@|@ouvè@
@to open fire@|@mete tire@
@to operate@|@opere@
@to order@|@òdone@
@to orient@|@oryante@
@to out smart@|@vlope 2@
@to overcome@|@gen laviktwa, netwaye 2@
@to overcome difficulties@|@rezoud@
@to overheat@|@chofe tròp@
@to overpay@|@achte trò chè@
@to overpower@|@metriz@
@to overwhelm@|@ble 2@
@to overwhelm with money@|@simen pitit 2@
@to owe@|@dwe 2@
@to pack@|@anbale@
@to panhandle using hardluck story@|@bay kout sèl@
@to pardon (a prisoner)@|@grasye@
@to pass@|@lonje algo bay, pase 3@
@to pass away@|@al 2, ale 2@
@to pass by@|@pase 6@
@to pass for@|@pase pou@
@to pass in a card game or sports@|@pase 4@
@to pass worms@|@jete vè, rann vè@
@to pawn@|@mete lekòl@
@to pay a visit@|@vizite@
@to peel@|@pile 2@
@to penetrate@|@antre@
@to perceive@|@apèsi@
@to perform surgery@|@opere@
@to perfume@|@anbonmen, bonmen@
@to permeate with a bad odor@|@anpeste@
@to perplex@|@anbarase@
@to pester@|@trakase, vire tounen 2@
@to pick@|@tchake@
@to pierce@|@tchaktchak@
@to pierce with a spear@|@vare@
@to pile up@|@anpile, antase, antipile, foule@
@to pitch@|@tange@
@to pity@|@plenn@
@to place@|@fout, plase, poze 2@
@to plane a board@|@taode, tarode@
@to plaster@|@andui, randui@
@to play cards@|@tire kat@
@to please@|@satisfè@
@to plot against@|@maniganse kont@
@to plug in@|@ploge@
@to point a finger at@|@lonje dwèt sou@
@to poison@|@anpwazonnen, pwazonnen@
@to poke@|@foure@
@to polish@|@agreye, foubi, poli, poli@
@to possess@|@gen 3@
@to post@|@afiche@
@to post as in a letter or sentry@|@poste@
@to pound@|@pile 2, toupizi@
@to pour@|@vèse@
@to pout@|@lonje dyòl@
@to practice@|@antrene, fè repetisyon@
@to praise@|@lwanje, vante@
@to preach@|@preche@
@to precede@|@pran devan@
@to prefer@|@pito, prefere@
@to prepare@|@pare 2@
@to prepare to catch a crook@|@file 4@
@to prescribe@|@prèskri@
@to press@|@prese@
@to pretend@|@pran pòz@
@to prime@|@amòse@
@to proceed@|@kontinye@
@to produce@|@rann 2@
@to profit by@|@profite@
@to proliferate@|@djondjonnen, dyondyonnen@
@to promise@|@promèt, pwomèt@
@to promote@|@ankouraje@
@to propagate@|@fè pitit 2@
@to provoke@|@boske, bouske@
@to pull@|@redi@
@to pull to and fro@|@vire tounen 2@
@to purse@|@plise@
@to put@|@fout, met, poze 3@
@to put a stop to@|@mete fren@
@to put down@|@depoze@
@to put in gear@|@anbreye@
@to put in school@|@mete lekòl@
@to put in the oven@|@anfounen@
@to put inside@|@antre 3@
@to put more than there is@|@mete pase genyen@
@to put on airs@|@poze 2@
@to put on weight@|@vin pi lou@
@to put out@|@etenn, tenyen@
@to put s o in an embarassing situatn@|@antrave@
@to put to shame@|@fè ront@
@to rage@|@fè move san 2@
@to raise@|@kanpe, moute 2, soulve@
@to raise (poker)@|@reze@
@to ramble@|@jèjè@
@to rave@|@divage, jebede@
@to ravel@|@anbouye@
@to reach@|@abouti 2, ba 2, ban 2, bay 3, jwenn, lonje, rive jwenn@
@to reach puberty@|@fòme, fòmen@
@to react@|@reyaji@
@to realize@|@reyalize 2@
@to rebel@|@revolte, revòlte@
@to recall@|@sonje 2@
@to receive@|@akeyi@
@to receive a poor reception@|@move akèy@
@to receive a thrashing@|@pran you je baton@
@To receive.@|@akeyi@
@to recharge@|@rechaje@
@to reckon@|@konte@
@to recognize@|@rekonèt@
@to record@|@anrejistre@
@to reduce@|@redwi@
@to reel in@|@photonnen@
@To reel in pain@|@Kòde yòyò@
@to refer@|@voye 2@
@to reflect@|@reflechi@
@to refuse@|@fè rebèl, ve pa, vepa@
@to refuse to obey@|@fè rondonmon, fè wondonmon@
@to regain consciousness@|@revini@
@to register@|@anrejistre@
@to rehearse@|@fè repetisyon@
@to reheat@|@chofe@
@to reject@|@derefize, nye, rejete, rejte@
@to relive@|@reviv@
@to remember@|@sonje, souvni@
@to remind@|@raple@
@to remove@|@pote ale@
@to render a service@|@rann yon sèvis@
@to render dull@|@angoudi@
@to render profit@|@profite 2@
@to renounce@|@rejete@
@to renounse s o as satan@|@abonocho, abwenotcho@
@to repeat once again@|@rebise@
@to report@|@rapòte 2@
@to reprimand@|@obsève@
@to reproach@|@reproche, repwoche@
@to reserve@|@rezève@
@to reshuffle@|@rebat@
@to resist@|@derefize@
@to resolve@|@rezoud@
@to resound@|@rezone, rezonnen@
@to rest@|@poze, rete@
@to restrain oneself@|@jennen 3@
@to result in@|@abouti, bouti@
@To result in; to succeed@|@bouti@
@to return@|@voye tounen@
@to revive@|@revini, revni@
@to revolt@|@revolte, revòlte@
@to ride@|@moute 2@
@to rise@|@kanpe@
@to rise against@|@revolte, revòlte@
@to roar@|@rele fò@
@to rob@|@vòlè, vòlò@
@to roll up@|@photonnen@
@to roll up one's sleves ready for work@|@touse ponyèt@
@to rub (down)@|@foubi@
@to rubber stamp it@|@tanponnen@
@to ruin@|@anfoudraye, anfoudwaye, fougonnen@
@to rummage@|@fouraje@
@to run@|@kouri@
@to run across@|@kouri travèse@
@to run away@|@bwaze, bweze@
@to run fast@|@galope@
@to run into@|@bare ak, tonbe sou@
@to run or walk around@|@rodaye, wodaye@
@to run out@|@fin 2, fini 2@
@to runn of@|@netwaye 2@
@to rush@|@ale prese, fè prese, prese@
@to rush upon@|@vide sou@
@to satisfy@|@satisfè@
@to say@|@di 2@
@to say the rosary@|@pase chaple@
@to scale@|@grenpe@
@to scare@|@alame@
@to scheme@|@bay kout sèl@
@to scintillate@|@myoukmyouke@
@to scold@|@foubi, obsève@
@to scoop@|@tire dlo@
@to screw@|@vise@
@to sedate@|@andòmi@
@to seduce@|@agante, sedui@
@to see@|@apèsevwa, gade 3, konnen, vwa@
@to see red@|@wè mò 2@
@to seek@|@boske, bouske@
@to seem@|@parèt@
@to seize@|@anpòte, fè dappiyanp@
@to sell for a price though it is not for sale@|@sede 2@
@to send for@|@voye chèche, voye pran@
@to serve@|@sèvi pou@
@to serve as a witness@|@sèvi temwen@
@to set@|@pare 2@
@to settle@|@poze 2@
@to settle down@|@etabli, tabli@
@to shame@|@fè ront@
@to shape wood@|@agreye@
@to sharpen@|@file@
@to sharpen (pencil)@|@taye 3@
@to shimmy (car tires for example)@|@chimi@
@to ship@|@voye 2@
@to shit@|@tata@
@to shoo (chickens)@|@chi@
@to shoot@|@fiziye, fizye, tire@
@to shoot marbles w thumb@|@teke 2@
@to shout@|@fè you rèl@
@to shout at@|@rele sou@
@to shove in@|@foure 2@
@to show@|@vann@
@to show in@|@fè antre@
@to show kindness to@|@fè yon bèl ak@
@to show off@|@bay payèt, fè chèlbè@
@to show one's self@|@parèt@
@to shrug@|@ose, rose@
@to shrug your shoulders@|@ose zepòl, rose zepòl@
@to shudder@|@tranble@
@to shut a door tight with a hook@|@krochte@
@to sigh@|@pouse soupi@
@to signify@|@vle di@
@to singe@|@flanbe@
@to sink@|@fè fon, tonbe 3@
@to slander@|@bay non@
@to slap@|@tape@
@to sleep on the floor@|@dòmi atè@
@to slip away@|@chape 2, file 2@
@to smell (sniff) a dish of food@|@pran fre yon manje@
@to smell bad@|@santi fò, santi move@
@to smell good@|@santi bon@
@to smooth@|@poli, poli@
@to snub noticeably@|@koupe kout je@
@to sock it to s o@|@blende wawa@
@to sow dissention@|@pouse dife@
@to sow wild oats@|@simen pitit@
@to speak evil of@|@afiche 2, medi@
@to speak evil of others@|@gen lang@
@to speak evil of someone@|@pale yon moun mal@
@to speak ill of@|@lage vèni, pale mal@
@to speak in code@|@pale andaki@
@to speak in parables@|@abou@
@to speak incoherently@|@jèjè@
@to speak loudly@|@pale fò@
@to speak to@|@adrese@
@to speak with a nasal twang@|@wannenm@
@to speed up@|@akselere@
@to spin yarn@|@file 2@
@to split@|@fann@
@to sprain@|@foule@
@to spray insecticide with a flit@|@flite@
@to spread@|@etale, voye 2@
@to sprout@|@jèmen, jèmen@
@to spy on@|@veye 3@
@to squeak@|@kriye 2@
@to squeeze@|@pije, prije@
@to stab@|@ponyade@
@to stain@|@tenn@
@to stand for@|@rete pran@
@to stand guard@|@fè pòs@
@to stand someone up@|@bay poto, buy poto@
@to stand up@|@kanpe@
@to starch@|@anmidonnen, anpeze@
@to stare@|@gade 2@
@to start@|@tanmen, tonbe 5@
@to start dancing@|@tonbe danse@
@to start to@|@mete 2@
@to start with@|@an patan, anpatan@
@to start with renewed vigor@|@fèk kare@
@to stay@|@abite, abite@
@to stay somewhere during a trip@|@fè ladesant@
@to steal@|@razibis@
@to step in@|@antre 2@
@to step on@|@pile@
@to step out@|@sot, sòti@
@to step up@|@ogmante@
@to stick (in)@|@foure 2@
@to stick through (thread)@|@file 3@
@to sting@|@boule 3@
@to stink@|@santi move@
@to stomp ones feet@|@frape pye@
@to stop@|@alte, mete ola@
@to stop and go on a bike@|@valeryann 2@
@to stop by@|@pase 6@
@to stop walking@|@kanpe 2@
@to straddle@|@janbe@
@to strain or force oneself@|@fòse@
@to stretch out@|@etann, lonje kò, tann@
@to strike@|@frape 2@
@to string animals together@|@akwe@
@to strut@|@fè chèlbè@
@to study@|@etidye@
@to study hard@|@bat bèt@
@to stuff@|@anpaye, foure 2, paye@
@to stump@|@wete nanm@
@to stun@|@vapore@
@to submit@|@reziyen@
@to subscribe (newspaper@|@abòne, abònen@
@to subscribe to anything that is delivered regular@|@abònen@
@to succeed@|@abouti, bouti, pase 4, resi, reyalize 2, rive 2@
@to suffer@|@andire@
@to suffer from bad treatment or from poverty@|@pase mizè@
@to supress@|@aboli@
@to surround@|@antoure, vironnen@
@to survey land@|@apante@
@to survive@|@chape 2@
@to suspend@|@sispann@
@to swear@|@jire@
@to swear off or abstain from@|@m krache twa fwa@
@to sweep@|@pase bale 1@
@to sweet talk@|@amadwe, ammadwe, anmadwe, bay priyè@
@to swell@|@anfle, anvenimen, anvlimen@
@to tack@|@fofile@
@to take@|@tire 2@
@to take a chance or risk@|@oze@
@to take a little@|@fè yon ti@
@to take a look at@|@vizite you kay@
@to take a picture@|@tire pòtre@
@to take a run over@|@fè you so rive@
@to take a short run over@|@fè yon kout pye rive@
@to take a stroll@|@fè yon vireron@
@to take a trip@|@vwayaje@
@to take advantage@|@profite 2@
@to take advantage of@|@abize, fè abi@
@to take after@|@pran bò kote, pran kote@
@to take away@|@mennen@
@to take away one's spirit@|@wete nanm@
@to take care of@|@okipe 2, swen@
@to take it easy@|@kalme@
@to take liberties@|@pa jennen@
@to take off@|@pran vòl@
@to take offense@|@fòmalize@
@to take on@|@tonbe nan@
@to take ones soul@|@pran nanm 2@
@to take part in@|@fè pati@
@to take place@|@fèt 2@
@to take possession of@|@akapare, anpare@
@to take refuge@|@refije, refijye@
@to take shelter@|@pare lapli@
@to take sides with@|@mete avèk, mete avèk@
@to take steps@|@pran dispozisyon@
@to take thread@|@pran fil@
@to talk@|@blage, fè tapaj@
@to talk nonsense@|@ablabla, blabla, blablabla, jebede, rablabla, tchanse, tyanse@
@to tan (hide)@|@tannen@
@to tangle@|@makònen, makonnen@
@to target@|@vize@
@to teach@|@anseye, aprann@
@to tell@|@tire 2@
@to tell someone to behave@|@rele dèyè@
@to tell storiesto tell tales and riddles@|@tire kont@
@to tell the truth@|@dizon di@
@to tempt@|@bay tantasyon@
@to that@|@sou li@
@to the@|@anvè, nan 2@
@to the brim@|@ra bòday@
@to the devil@|@o diab@
@to the devil with you@|@ale ou voum@
@to the east@|@a lès, alès@
@to the left@|@agoch, agòch@
@to the limit@|@jis mwen pa konnen@
@to the point where@|@opwen, opwenke@
@to the right@|@adwat@
@to the rim@|@ra bò@
@to the very edge@|@ra bò@
@to the west@|@a lwès, alwès@
@to think@|@kwè, panse@
@to this very day@|@jouk jounen jodi a@
@to thrash@|@voye 2@
@to thread a pipe@|@taode, tarode@
@to throw@|@voye@
@to throw away@|@voye jete@
@to throw the light on someone@|@flache@
@to throw up@|@rejte@
@to tie an animal in preparation for slaughter@|@akwe 2@
@to tie together@|@makònen, makonnen@
@to tolerate@|@admèt@
@to topple down@|@fondre@
@to torment@|@toumante@
@to touch@|@tate@
@to touch down@|@poze 2@
@to train@|@antrene, fòmen@
@to transport@|@charye@
@to travel@|@vwayaje@
@to treat@|@agi ak, aji ak@
@to trip@|@tonbe 2@
@to trouble@|@chifonnen@
@to trust@|@konfyans@
@to try to convince with nice words@|@bay priyè 2@
@to tumble down@|@anfondre@
@to tune an instrument@|@akòde@
@to turn@|@tounen, vire@
@to turn (to)@|@adrese@
@to turn and look@|@vire gade@
@to turn eyelids inside out@|@kale je@
@to turn off@|@etenn, tenyen@
@to turn out@|@tchwe 2, tìye 2, touye 2@
@to turn sour@|@tounen 3@
@to turn the jump rope slowly@|@bay siro@
@to turn your back on someone@|@vire do@
@to twinkle@|@myoukmyouke@
@to twist@|@foule, vire 2@
@to uncover@|@dekouvri@
@to undertake@|@antreprann@
@to until@|@jis@
@to urge@|@pouse@
@to urinate@|@jete yon dlo@
@to urinate (also pise@|@rinen@
@to use bad words@|@di gro mo@
@to utilize@|@itilize@
@to utter a cry@|@fè you rèl@
@to vacillate@|@tange@
@to vanish@|@fonn@
@to varnish@|@vèni 2@
@to vary    seldom used@|@varye@
@to vegetate@|@vejete@
@to vex@|@vekse@
@to visit@|@rann vizit, rann yon visit, vizite@
@to vomit@|@rann 2, vèse, vonmi, vromi, vronmi@
@to vulcanize tires@|@vilganize@
@to wait for@|@tann@
@to wake@|@veye@
@to wake up@|@reveye@
@to walk ahead@|@pran devan@
@to walk elegantly@|@taye banda@
@to walk hurridly@|@mache prese@
@to walk together@|@mache ansanm@
@to waltz@|@valse@
@to wander about@|@valkannen, valtourinen@
@to want@|@anvi 2, vle@
@to want  rarely used@|@ve@
@to ward off@|@pare@
@to ward off a blow@|@pare kou@
@to warm up@|@chofe@
@to waste time@|@vale van@
@to watch@|@file 3@
@to watch over@|@gade 2, veye 3@
@to watch to keep an eye on@|@voye je@
@to wave at@|@voye men@
@to wear@|@frape 3, mete@
@to wear mourning clothes@|@pote dèy@
@to welcome@|@byen akeyi@
@to whip@|@rigweze@
@to whisper@|@chichote@
@to widen@|@agrandi@
@to win@|@gen 3, gen laviktwa, genyen@
@to wind@|@photonnen@
@to wink@|@bat je@
@to winnow@|@vannen@
@to wish@|@swete@
@to withhold@|@refize bay@
@to witness@|@sèvi temwen@
@to work@|@fonksyonnen@
@to work at a blacksmith shop@|@fòje 2@
@to worry s o@|@alame@
@to worsen@|@anpire@
@to worship@|@adore, sèvi@
@to wrap@|@vlope@
@to wrap around@|@photonnen@
@to wrinkle@|@chifonnen, fonse 2@
@to write@|@ekri@
@to yell@|@fè you rèl, kriye@
@to yell at@|@rele sou@
@to yield@|@ba 2, ban 2, rann 2, rapòte@
@to your hearts content@|@adibitòm 2, adlibitòm 2@
@toast@|@pen grye@
@today@|@jodi, jounen jodi a@
@toe@|@zòtèy@
@together@|@ansanm@
@together with@|@ansanm avèk@
@toil@|@travay di, trimen@
@toiled seat@|@bouch latrin@
@toilet@|@watè a, watè klozèt la@
@token@|@fich la@
@tolerate@|@aksepte@
@tomato@|@tomat@
@tomb@|@fòs la, tonm@
@tomorrow@|@demen@
@tongue@|@lang@
@tonight@|@aswè@
@tonsilitis@|@chè lan gòj@
@tonsils@|@amidal la, amigdal la@
@too@|@tou, tro, trò, twò@
@too bad@|@tanpi@
@too busy@|@anbarase 3@
@too familiar@|@sou moun@
@too small@|@trò piti, twò piti@
@tool@|@aparèy la, zouti@
@tooth@|@dan@
@toothache@|@moldan@
@toothless@|@flòbòp, fobo, fòbòp@
@toothpick@|@bwa dan@
@top@|@anlè, anro, do, tèt@
@top hat worn by higher echelon@|@koma, konma@
@tops@|@fò pa plis, fòpaplis@
@topsy-turvy@|@anboulatcha, anboulvès@
@torch@|@tòch@
@torment@|@touman@
@tormented@|@toumante@
@torrential rain@|@lavalas@
@tortoise@|@tòti@
@torture@|@malmennen@
@total@|@total@
@touch@|@manyen, touche@
@touchy@|@fouradò, fouradon, fouyadò@
@tough@|@rèd@
@toughen up  speaking to a man@|@met gason sou ou@
@toughen up female@|@met fanm sou ou@
@tour@|@tou, vire 4@
@tourist@|@touris@
@tout voum se do anything will do@|@voum@
@toward@|@alegra, anvè, nan sans@
@toward the@|@anvè@
@towards@|@anvè, vè@
@towards the@|@anvè@
@towel@|@sèvyèt@
@town@|@lavil, vil@
@toy@|@jwèt@
@trace@|@tras, trase@
@track@|@larout, rout, suiv, wout@
@tract@|@chemen, chimen an, fich la@
@tractor@|@traktè a@
@trade@|@djòb la, dyòb la, metye@
@trade off@|@maltaye@
@traffic@|@trafik@
@traffic jam@|@anbouteyay la@
@train@|@fòme, tren@
@trained@|@fòme 2@
@trainer@|@antrenè a@
@training@|@antrènman an, fòmasyon@
@traitor@|@trèt@
@trample@|@foule, pile@
@transfer@|@transfè, transfere@
@translate@|@tradui@
@translator@|@tradiktè a@
@transparent@|@klè 2@
@transportation@|@transpè@
@trap@|@nas la@
@trapped@|@pri 2@
@trappings@|@anachman an@
@trash@|@fatra, tòchonnen@
@travel@|@vwayaj@
@traveler@|@vwayajè a@
@treacherous@|@move 2@
@treacherous person@|@move moun@
@tread@|@pile@
@treasure@|@trèzo, trezò@
@treasury@|@trèzo@
@treat@|@trete@
@tree@|@pyebwa@
@tremble@|@tranble@
@trembling@|@tranbleman an@
@trench@|@rigòl la@
@tress@|@très@
@trials and tribulations@|@eprèv la, zeprèv@
@trick@|@tou@
@tricked@|@te pran tèt@
@trickster@|@foub la, mètdam@
@tricky female@|@rizèz@
