@dealings@|@ferð, sameign, skipti, viðreign, viðskipti@
@dear@|@dýrr, kærr@
@dearth@|@óáran@
@death@|@andlát, bani, dauði, fjǫrlag@
@death_blow@|@banahǫgg@
@death_day@|@dauðadagr@
@debt@|@skuld@
@deceit@|@flærð@
@deceitful@|@fláráðr@
@deck@|@þilja@
@declare (v)@|@kveða@
@deed@|@verk@
@deeds@|@far@
@deep@|@djúpr@
@defence@|@vǫrn, viðrtaka@
@defend (v)@|@varði, verja@
@delay@|@dvǫl@
@delight@|@fǫgnuðr, gaman@
@demeanor@|@yfirbragð@
@deny (v)@|@neita, synja, þræta@
@depopulation@|@landauðn@
@depose (v)@|@reka@
@depressed@|@ókátr@
@depression@|@ógleði@
@Deprive of (v)@|@ræna@
@descendants@|@kynkvísl@
@descended@|@ættaðr@
@descent@|@ætt@
@desire@|@fyst, hugr, vili@
@desire (v)@|@fysa, lysta, þreyja, tíða@
@desolate@|@óvistuligr@
@despair@|@æðra@
@destiny@|@forlǫg@
@destitution@|@válað@
@destroy (v)@|@brjóta, hata, spilla@
@destroyer@|@fárbjóðr@
@devise (v)@|@finna@
@dew@|@dǫgg@
@die (v)@|@andask, deyja@
@difference@|@munr@
@difficult@|@erfiðr, óhœgr, þungr, torsóttr, vándr@
@difficulty@|@vandræði@
@dig (v)@|@grafa@
@dimension@|@vegr@
@diminish (v)@|@réna, þverra@
@diminished@|@skarðr@
@diminution@|@þurðr@
@direct (v)@|@styra, vísa@
@direction@|@vegr@
@dirty@|@ókræsilegr, óþokkuligr@
@disagreement@|@deila@
@discomfort@|@óhægindi@
@discussion@|@umrœða@
@disease@|@mein@
@disgrace@|@læging, óvirðing, sneypa, svívirðing@
@dishonor@|@ósœmd, ósómi@
@dismissal@|@brottkvaðning@
@display (v)@|@birta@
@displease (v)@|@mislíka@
@disposition@|@skapleikr, skaplyndi, skapsmunir, vili@
@dissuade (v)@|@letja@
@distress@|@nauð@
@distress (v)@|@angra@
@district@|@herað, sveit@
@ditch@|@grǫf@
@ditty@|@kviðlingr@
@divide (v)@|@deila, skipta@
@Do harm (v)@|@saka@
@Do harm to (v)@|@skaða@
@dog@|@bikkja, hundr, rakki@
@doomed@|@feigr@
@door@|@dyrr, hurð@
@door_keeper@|@dyrvǫrðr@
@doorway@|@dyrr@
@doughtiness@|@dugr@
@doughty@|@þrúðugr@
@down@|@niðr, niðri, ofan@
@downcast@|@hnipinn@
@draught@|@drykkr@
@dread@|@ótti@
@dream@|@draumr@
@dream (v)@|@dreyma@
@dregs@|@órval@
@dress (v)@|@binda@
@drift (v)@|@hrinda@
@drink@|@drykkr, mungát@
@drink (v)@|@drekka@
@drinker@|@drykkjumaðr@
@drinking@|@drykkja@
@drinking_horn@|@horn, hvítingr@
@drip (v)@|@drjúpa@
@drive@|@støkkva@
@drive (v)@|@aka, drifa, hrinda, reka@
@Drive away (v)@|@hrekja@
@drizzle@|@úr@
@droop (v)@|@drúpa@
@drop (v)@|@detta@
@droppings@|@tros@
@drowsiness@|@hǫfgi@
@dry@|@þurr@
@duel@|@einvigi@
@duty@|@knǫð@
@dwarf@|@dvergr@
@dwell (v)@|@byggva@
@dwelling@|@bú, bygð, staðr, tún@
@dwelling_place@|@bústaðr, garðr@
