@English@|@Latin@
@after@|@a ab abs (prep + abl), post, post (+ acc.), postquam (conj.), praeter, secundum (+ inf.), secundum (adv.)@
@after that@|@exinde@
@after the fashion of@|@instar@
@after this@|@hinc@
@afternoon@|@meridianus@
@afterwards@|@deinde, post modum, postea, postea@
@again@|@denique, denuo, iterum, rursus@
@again and again@|@etiam atque etiam, identidem, quater, saepenumero@
@against@|@adversus (prep. + acc.), contra, contra (+ acc.), in (+ acc.)@
@against one's will@|@invitus@
@against whom he struggled@|@quas (fem. pl. acc.)@
@age@|@ætas, aevum, saecula saeculorum@
@aged@|@grandaevus, provectus, seneo@
@aged man@|@senilis@
@agent@|@procurator@
@aggravate@|@ingravo, tendo@
@aggressive@|@infestus@
@agitate@|@concitare, concutio, permoveo@
@agitated@|@sollicitus@
@agitation@|@commotio@
@ago@|@abhinc@
@agree@|@acquiesco, congruo@
@agree upon@|@pango@
@agreeable@|@acceptus, dulcis, facilis, iucundus, libet, suavis@
@agreeably@|@volup@
@agreed upon@|@compaciscor@
@agreed-upon@|@pactus@
@agreeing@|@congruus, conveniens@
@agreement@|@competentia, compositio, concordia, consensio, foedus, lex legis, pactum, placitum@
@agressive@|@infensus@
@agricultural@|@georgicus@
@ah@|@ah@
@ah!@|@proh@
@ahead@|@ante@
@aid@|@adiutorium, adiuvo, adminiculum, auxilium, auxilium, faveo (+ dat.), iuvo, praesidium, proficio, succurro, suffragium@
@aim@|@calx, intendo, intentio@
@aim at@|@concupisco@
@air@|@ær@
@aisle@|@andron@
@alarm@|@concutio, timor@
@alarmed@|@trepidus@
@alas!@|@heu@
@alb@|@alba@
@alder@|@alnus, alnus@
@ale@|@cerevisia, cervisia@
@alert@|@erectus@
@alga@|@alga@
@alien@|@advena, alienus, allophylus, barbaricus@
@alienate@|@mancipo@
@alienation@|@abalienato, alienatio@
@alike@|@pariter@
@all@|@cunctus, omnis, quamtotius, quislibet, totus@
@all collectively@|@cunctus@
@all of a sudden@|@abrupte, repente, subito@
@all the way@|@usque@
@all together@|@universi@
@all togther@|@toto@
@allay@|@sedo@
@allege@|@refer@
@allegiance@|@famulatus@
@alleviate@|@relevo@
@alleviation@|@fomentum, lenimentus, levamen, levamentum, levatio@
@alliance@|@amicitia, foedus@
@allied@|@socius@
@allied troops@|@alarius@
@allot@|@loco, tribuo@
@allotment@|@sors@
@allow@|@concedo, exhibeo exibeo, fateor, permitto, sino@
@allowed@|@licitus@
@all-powerful@|@omnipotens@
@allure@|@pertraho, prolecto@
@allured@|@illectus@
@allurement@|@blanditia, blanditium, illecebra, lenocinium@
@allurements@|@deliciae@
@ally@|@socius@
@almighty@|@omnipotens@
@almond@|@amygdalum@
@almoner@|@elemosinarius@
@almost@|@fere, fere, ferme, fere, pæne, paene, pene, prope@
@alms@|@elemosina@
@aloft@|@sublime@
@alone@|@incomitatus, securus, singularis, solum, solum (adv), solus, solus, unus@
@alone of its kind@|@singularis@
@along that path@|@illac@
@aloud@|@viva voce@
@alphabet@|@abecedarium@
@Alps@|@Alpes@
@already@|@iam, iam@
@also@|@autem, etiam, morsus, quoque@
@also foot@|@crur, cruris@
@altar@|@ara, ara@
@alter@|@muto, novo@
@altera@|@transitus@
@alteration@|@mutatio, vicissitudo@
@altercation@|@iurgium@
@altered@|@mutatus@
@alternating speeches@|@alternis sermonibus@
@alternation@|@vicissitudo@
@although@|@cum (with subjunctive), etiamsi, etsi, etsi (acsi), licet, licet (as conj.), quamquam, quamvis (conj), tametsi@
@altoget@|@undique@
@altogether@|@omnino@
@always@|@juge, semper, semper, usquequaque@
@amass@|@accumulo@
@amazement@|@exstasis@
@amazing@|@prodigiosus@
@amazingly@|@prodigialiter@
@ambassador@|@legatus, legatus, orator@
@amber@|@electrum, lacrima Heliandum@
@ambiguity@|@duplicitas@
@ambiguous@|@ambiguus, amphibolus@
@ambition@|@cupiditas@
@amble@|@spatior@
@ambush@|@dolus@
@ambushes@|@insidiae (plural)@
@ameliorate@|@mitesco@
@amelioration@|@consolatio@
@amercement@|@miseratio@
@amicably@|@amicabiliter@
@among@|@apud (prep. + acc.), inter (+ acc.)@
@among many other meanings@|@conduco@
@amount@|@summa@
@ample@|@amplus, amplus, spatiosus@
@amputate@|@amputare@
@amulet@|@phylacterium@
@an accusation@|@crimen@
@an addition@|@eptheca@
@an age@|@aetas@
@an announcement@|@editio@
@an attack@|@incursus, incursus@
@an attempt@|@molimen@
@an attendant of a nobleman@|@stipator@
@an embracing@|@amplexus@
@an enemy of the state@|@hostis@
@an entering@|@ingressio@
@an eruption@|@eruptio@
@an exaggerator@|@quadruplator@
@an extablishment of@|@famulatus@
@an invoking@|@invocatio@
@an oak grove@|@quercetum@
@an old man@|@senilis@
@an opening@|@aperito, apertio@
@an oral statement@|@viva vox@
@an ounce@|@uncia@
@an outlet@|@effluvium@
@an overly full stomach@|@cruditas@
@an overturning@|@eversio@
@ancestor@|@atavus, progenitor@
@ancestors@|@maiores (pl.)@
@anchor@|@ancora@
@ancient@|@altus, antiquus, priscus, pristinus@
@and@|@ac, atque, et, itaque (adv.), quod (beginning sentence)@
@and also@|@necnon@
@and furthermore@|@etiam@
@and indeed@|@sed@
@and much else@|@fero tuli latum@
@and not@|@nec, neque nec@
@and not yet@|@necdum (neque dum)@
@and oak forest@|@quercetum@
@and then@|@tunc@
@and yet@|@atqui (conj.)@
@and yet (beginning a sentence)@|@quamquam@
@and yet .. not@|@nec tamen@
@anew@|@denuo@
@angel@|@angelus@
@anger@|@ira, ira@
@angered@|@turbatus@
@angle@|@angulus@
@Angles [from England]@|@Angli@
@angry@|@iratus@
@anguish@|@acerbitas@
@animal@|@animal, bestia, fera@
@animation@|@alacritas@
@anise@|@anethum@
@ankle bone@|@talus@
@annihilate@|@adnihilo, annullo, corrumpo, deleo@
@annihilation@|@letum@
@annotations@|@notitia@
@announce@|@annuntiare, denuncio, denuntio, indico, pronuntio, refer, renuntio@
@annoy@|@laedo ledo, pungo pupugi punctum, vexo@
@annoyalce@|@molestia@
@annoying@|@incommodo (-are), molestus@
@annual render@|@census@
@annul@|@aboleo, abrogare, abrogo, casso@
@annull@|@rumpo@
@annull/disprove@|@infirmo@
@another@|@alius@
@answer@|@reddo, refero, respondere, responsum@
@answerable@|@reus@
@answering letter@|@responsiva@
@ant@|@formica@
@anticipate@|@praevenio@
@antique@|@priscus@
@anus@|@culus@
@anxiety@|@metus, sollicitudo@
@anxious@|@erectus, intentus, sollicitus, sollicitus@
@anxiously@|@sollicite@
@any@|@aliquis, quislibet, ullus@
@any drapery@|@pallium@
@any whatever@|@qualiscumque@
@anybody@|@aliquis, quis, quislibet@
@anyone@|@aliquis, quilibet, quis, quispiam, quisquam@
@anything@|@aliquid, aliquis, quilibet, quis, quispiam, quisquam@
@anything at all@|@quicquid, quisquis@
@anything eaten with bread@|@pulmentum@
@anything made or reed -- pen@|@calamus@
@anywhere@|@alicubi, usquam@
@apart@|@distinctus, seorsum@
@apathy@|@lentitudo, lethargus@
@ape@|@cercops, clura@
@apex@|@cacumen@
@apostle@|@apostolus@
@apparent@|@promptus@
@appear@|@appareo, apparere, comparere, exorior, exsisto, exsisto existo, exsto, orior, orior oriri ortus, prodeo, videor@
@appear vile@|@sordeo@
@appearance@|@exortus, facies, forma, vulticulus, vultus@
@appease@|@placo@
@appeased@|@placatus@
@appellation@|@nomen@
