@English@|@Latin@
@suited to@|@consentaneus@
@sum@|@summa, summa@
@sum up@|@consummo@
@summary@|@epitoma, epitome@
@summer@|@æstas, aestas estas@
@summer camp@|@castra aestiva@
@summing up@|@consummatio@
@summit@|@apex, culmen@
@summon@|@appello, arcesso, accerso, invito, postulo, vocare, voco@
@summoned@|@accersitus@
@summons@|@citatio, citatus@
@sumptuous food@|@epulo@
@sun@|@Phoebus, sol, sol solis, stella@
@sunk@|@seputus@
@sunset@|@occasus@
@superb@|@eximius@
@superfluous@|@exuberans, supervacuus, susicivus@
@superior@|@excellens, supernus@
@supernal@|@superna@
@supervision@|@procuratio@
@supple@|@lentus@
@suppliant@|@supplex@
@supplicatingly@|@suppliciter@
@supplication@|@litania (med.)@
@supplied@|@instructus (from instruo)@
@supplies@|@copiae copie, penus, us, venalia, victualia@
@supply@|@copia, exorno, ministro, orno, paro, sufficio, suggero@
@support@|@alo, auxilium, faveo (+ dat.), firmamentum, patrocinor, solacium, solor, subsidium, suscipio, suscipio@
@support aid@|@suffragium@
@support life@|@vivo@
@support oneself@|@nitor@
@supported@|@subnixus subnisus@
@supported by@|@subnixus@
@supporter@|@defensor, fautor, fultus, solator@
@suppose@|@reor, sentio, volo@
@suppose.@|@reputo@
@suppress@|@conculco@
@supress@|@confuto@
@sure@|@certus, certus@
@surely@|@nam@
@suretor@|@promissor@
@surety@|@obses, obses (obsidis), pignus, securitas@
@surface@|@superficies@
@surgeon@|@chirurgus@
@surgery@|@chirurgia@
@surname@|@cognomen@
@surpass@|@excello, praesto, supero, vinco vici victum@
@surplus@|@cumulus@
@surprise@|@admiratio@
@surrender@|@reddo, trado@
@surround@|@amplector, circumvenio, coerceo, contineo, impedio, includo, redimio@
@surrounded@|@constipatus@
@surrounding@|@amplexus@
@survey@|@contemplatio, contemplor, perlustro, pervideo@
@surviving@|@superstes@
@survivor of another's death@|@superstes@
@suspected@|@suspectus@
@suspension of hostilities@|@indutiae@
@sustain@|@alo, sustento, sustineo, tolero@
@sustenance@|@victus@
@sut the hair@|@pilo@
@swaddling clothes@|@pannus@
@swallow up@|@voro@
@swallowed up@|@epotus@
@swamp@|@palus@
@swampy@|@paludosus, paluster@
@swan@|@cycnus@
@swarm out (like bees)@|@effervo@
@swarthy@|@aquilus@
@sway@|@inflecto@
@swaying@|@inflexio@
@swddling clothes@|@incunabula@
@swear@|@iurare@
@sweat@|@sudo@
@sweepings@|@purgamentum@
@sweet@|@dulcis, dulcis, suavis@
@sweet as honey@|@mellitus@
@sweetly@|@dulcidine@
@sweetmeats@|@cuppedia@
@sweetness@|@dulcedo@
@swell@|@inflo, tumeo, tumesco@
@swell up@|@tumesco@
@swell with anger@|@intumesco@
@swelling@|@offa, tumor@
@swerve@|@declino@
@swift@|@celer, celox, levis, pennipes, velox, volatilis@
@swiftly@|@celeriter, velociter@
@swiftly flying@|@citivolus@
@swiftness@|@celeritas@
@swim@|@natare@
@swine@|@sus@
@swollen@|@inflatus, tumidus, turgida@
@sword@|@chalybs, ensis, ferrum, ferrum, gladius, mucro@
@sword-belt@|@scapulare@
@sword-fish@|@xiphias@
@sword's point@|@mucro@
@sworn@|@conjuratus@
@sycophancy@|@adulatio@
@sycophant@|@adulator, assentator@
@symbolic@|@typicus@
@synagogue@|@synagoga@
@Syracuse@|@Syracusae@
@Syria@|@Syria@
@system@|@ratio@
@table@|@mensa, traba@
@tail@|@cauda, penis, penis@
@tail of comet@|@crinis@
@taint@|@inficio infeci infectum@
@take@|@accipere, accipio, capere, excipio (excepi exceptum ), preoccupo@
@take a walk@|@spatior@
@take annoyance@|@moleste@
@take away@|@abrogo, abscido, asporto, decerpo, emoveo, removeo, tollo@
@take back@|@recipero@
@take by storm@|@expugno@
@take by surp@|@opprimo@
@take delight@|@gaudeo (gavisus)@
@take firmly@|@comprehendo@
@take for granted@|@praesumo presumo, sumo@
@take in@|@accipere, concipio@
@take into custody@|@intertio@
@take lightly@|@floccipendo@
@take notice of@|@animadverto@
@take out@|@amoveo, desumo, eximo@
@take pains@|@operor@
@take part in@|@intereo@
@take place@|@exsisto@
@take pleasure in@|@gaudeo@
@take possession@|@habito@
@take prisoner@|@comprehendo@
@take refuge@|@confugo, decurro@
@take revenge@|@persequor persequi persecutus@
@take together@|@comprehendo@
@take up@|@ascisco, sumo, suscipere, suscipio@
@take vengeance on@|@ulciscor@
@take violent action@|@saevio@
@take with moderation@|@moderor@
@taken@|@captus@
@taking@|@captus@
@taking booty@|@expilatio@
@taking by force@|@creptio, ereptio@
@taking of booty@|@praedatio, praedatus@
@tale@|@fabula@
@talent@|@indoles, ingenium, talentum@
@talented@|@ingeniosus@
@talk@|@fama, sermo@
@talkative@|@garrulus, garrulus@
@talkativeness@|@garrulitas@
@tall@|@altus, arduus, procerus@
@tame@|@cicur@
@tame [again]@|@redomo@
@tangle@|@chaos@
@tank@|@lacus@
@tap@|@vestis@
@taper@|@candela@
@tardy@|@tardus@
@tarry@|@demoror@
@tart@|@acerbus@
@task@|@negotium, negotium@
@taste@|@gustus, sapor@
@tattered@|@pannosa@
@taught@|@doctus, instructus@
@taunt@|@velico@
@tavern@|@tabernus@
@tax@|@census, miseratio, vectigal@
@teach@|@doceo docui doctum, docere, erudio, paecipio, prodoceo@
@teacher@|@doctor, magister@
@teacher of rhetoric@|@rhetor@
@teaching@|@disciplina, doctrina, eruditio@
@teachings@|@sensa@
@tear@|@lacrima@
@tear apart@|@diripio@
@tear off@|@abscindere, avello@
@tear to pieces@|@diripio@
@tearful@|@lacrimosus@
@tearing apart@|@discidium@
@tears@|@fletus, lacrima@
@tease@|@fatigo@
@teat@|@mamma, papilla@
@technique@|@ars (artis)@
@tell@|@dicere, dico (dictum ), fero tuli latum, propono@
@Tell it TO THOSE (Marines)@|@illis (masc. plur. dat.)@
@tell someone to do@|@iubeo iussi iussum@
@temerity@|@audacia, temeritas@
@temper@|@moderor, tempero@
@temperate@|@siccus@
@tempest@|@procella, procella@
@tempestuous@|@procellosus@
@temple@|@sedes, templum, templum@
@Templeuve@|@Templovium@
@temporal@|@terrenus@
@temporary fortification@|@castra@
@temprance@|@temperantia@
@tempt@|@abducere@
@temptation@|@temptatio, tentatio@
@ten@|@decem@
@tenacious@|@lentus@
@tend towards@|@specto@
@tendency@|@indoles@
@tender@|@dulcis, suavis, tener, tener tenera tenerum@
@tense@|@intentus@
@tent@|@tentorium@
@tenth@|@decimus@
@tenure@|@tenura@
@tepid@|@egelidus, tepidus@
@tergam] turn@|@verto@
@teribly@|@formidilose@
@termination@|@terminatio@
@terms@|@condicio@
@terrible@|@atrox@
@terrifically@|@magnificabiliter@
@terrified@|@exterritus@
@terrify@|@terreo, territo@
@territory@|@fines, fines finium, tractus@
@terror@|@formidilosus, terror@
@terrorize@|@concutio@
@test@|@experior (experiri, expertus, probatur, tento@
@testament@|@voluntas@
@tested@|@exertus@
@than@|@quam (adv. and conj.)@
@thanks@|@gratia@
@that@|@ille illa illud, is ea id, iste ista istud, quatenus/quatinus@
@THAT (house)@|@ille (masc. nom. sing.)@
@THAT (monastery)@|@illud (neut. sing. nom.)@
@THAT (sword)@|@illa (fem. sing. nom.)@
@that .. not@|@ne (conj.)@
@that is right@|@sic@
@that is so@|@sic@
@that is to say@|@scilicet@
@that old black magic has ME in its spell@|@me (acc.)@
@that old dream of OURS@|@noster nostri@
@that remaining@|@caetera@
@that which can be imitated@|@imitabilis@
@that which is entrusted@|@commissum@
@that which is woven@|@tela@
@that which spins@|@turbo@
@that which will endure@|@mansurus@
@thawed@|@egelidus@
@the ability to walk@|@gressus@
@the act of kissing@|@basiatio@
@the age of youth (20-40 years)@|@juventus@
@the alder tree@|@alnus@
@the ancients@|@antiquitas@
@the ankle@|@talus@
@the aristocratic party@|@optimates@
@the arms WITH WHICH he won Rome@|@quibus (neut. pl. abl.)@
@the army@|@quorum (masc. pl. gen.)@
@the back@|@tergus@
@the beards@|@quibus (fem. pl. abl.)@
@the beginning (especially of a speech)@|@exordium@
@the best people@|@optimates@
@the Big Dipper@|@plaustrum@
@The cattle OF THESE (monsters)@|@horum (neut. plur. gen), illorum (neut. plur. gen)@
@the chase@|@venatio@
@The city wall had four OF THESE (gates)@|@harum (fem. plur. gen.)@
@The city wall had four OF THOSE (gates)@|@illarum (fem. plur. gen.)@
@the color of rust@|@ferrugo@
@the common good@|@medium@
@the common herd@|@multi@
@the common people@|@plebs, vulgus@
@the crimes FOR WHICH he was executed@|@quibus (neut. pl. dat.)@
@the crowd@|@plebs@
@the dead@|@inferi, silenti etc@
@the desire to fight@|@pugnacitas@
@the direction south@|@cancer@
@the Earth@|@orbis terrarum@
@the elbow@|@cubitum@
@the elk@|@alces@
@the enemy@|@hostes hostium@
@the eye@|@lumen@
@the fact that@|@quod@
@the famous@|@ille illa illud@
@the fates@|@quas (fem. pl. acc.)@
@the first man@|@prothoplastus@
@the fist@|@pugnus@
@the flea@|@pulex@
@the former@|@ille illa illud@
@the godfather of a man's child@|@compater@
@the good fortune@|@quibus (fem. pl. dat.)@
@the gospel@|@evangelium@
@the greater@|@quantum@
@the groin@|@inguen@
@the harvest@|@messis@
@the heel@|@calx@
@the herb fennel@|@ferula@
@the herb savory@|@thymbra@
@the herb thyme@|@thymum@
@the highest part@|@summa@
@The horses OF THESE (soldiers)@|@horum (masc. plur. gen.)@
@The horses OF THOSE (soldiers)@|@illorum (masc. plur. gen.)@
@the itch@|@scabies@
@the juniper tree@|@iuniperus@
@the keel of a ship@|@carina@
@the kingfisher@|@alcedo, alcyon@
@the kingfisher's time@|@alcedonia (neuter pl.)@
@the lark@|@alauda@
@the laurel@|@laurus@
@the left hand@|@laevus levus@
@the liver@|@iecur@
@the Lower World@|@orcus@
@the lung@|@pulmo@
@the main point@|@firmamentum@
@the main verb for weaving of cloth@|@texo@
@the making@|@fiendo@
@the masses@|@plebs@
@the middle of@|@medius@
@the Milky Way@|@galactinus, orbis lacteus@
@the mob@|@plebs@
@the monastery IN WHICH he was intered@|@quibus (masc. pl. dat.)@
@the more@|@quantum@
@the morrow@|@crastinus@
@the north wind@|@aquilo@
@the one .. the other@|@alter .. alter@
@the only@|@solus@
@the other@|@ceterus@
@the other one@|@alter altera alterum@
@the others@|@ceteri@
@the people@|@populus@
@the point of the ear@|@arista@
@the point that@|@quod@
@the pointed end@|@cuspis@
@the poop@|@puppis@
@the public eye@|@medium@
@the publishing of a book@|@editio@
@the remaining@|@ceteri@
@the rest@|@caetera, ceteri, ceterus@
@the right hand@|@dextera@
@the rising sun@|@oriens@
@the rush@|@iuncus@
@the same@|@idem eadem idem@
@the sea@|@profundum@
@the second@|@alter altera alterum@
@the shoulder@|@scapulus@
@the signer of a document@|@suscriptor@
@the spruce tree@|@picea@
@the starting-place of a race course@|@carceres@
@the state of being mortal@|@mortalitas@
@the steep@|@arduum@
@the tail of an animal@|@cauda@
@the throat@|@iugulum iugulus@
@the underworld@|@barathrum@
@the upper@|@optimates@
@the upper arm@|@lacertus@
@the use of something@|@ususfructus@
@the very greatest@|@permaximum@
@the vices OF WHOM were many@|@cuius (fem. sing. gen.)@
@the waiting for@|@praestolatio prestolatio@
@the west@|@occasus@
@the whole@|@cunctus, universitas@
@the wild grape@|@labruscum@
@the word incarnate@|@Sarcalogos@
@the work of a hangman@|@carnificina@
@the world@|@orbis terrarum, universum@
@the world belongs to US@|@nobis (dat.)@
@the x the better@|@quod (+ comparative)@
@the Zodiac@|@orbis signifer@
@theater@|@theatrum@
@theater space reserved for the Senate@|@orchestra@
@their@|@suus@
@their envy and jealousy@|@quarum (fem. pl. gen.)@
@theme@|@lemma, thema, thema thematis@
@theme of discourse@|@propositum@
@then@|@deinde, ergo (adv.), exinde, mox, tum, tum, tunc@
@thence@|@exinde, exinde, inde@
@theologian@|@theologus@
@theory@|@ratio@
@there@|@ibi, ibi, illic@
@There is a statue IN THAT (abbey)@|@illi (fem sing. dat.)@
@There is a statue IN THIS (abbey)@|@huic (fem sing. dat.)@
@thereafter@|@deinde, inde@
@therefore@|@ergo (adv.), ideo, igitur, igitur, itaque (adv.), proinde@
@therein@|@illic, inibi@
@there'll be no one as happy as US@|@nobis (abl.)@
@thereupon@|@exinde, mox, tum@
@Therouanne@|@Taruennam@
@THESE (men)@|@hi (masc. plur. nom.)@
@THESE (speeches)@|@hae he (fem. plur. nom)@
@thesis@|@thesis@
@They are fond OF THAT (change)@|@illius (fem. sing. gen.)@
@They are fond OF THIS (change)@|@huius (fem. sing. gen.)@
@They burned THESE (houses)@|@hos (masc. plur. acc.)@
@They burned THOSE (houses)@|@illos (masc. plur. acc.)@
@They gave THESE (their lives)@|@has (fem. plur. acc.)@
@They gave THOSE (their lives)@|@illas (fem. plur. acc.)@
@They passed BY THESE (roads)@|@his (masc. plur. abl.)@
@They passed BY THOSE (roads)@|@illis (masc. plur. abl.)@
@they say@|@aiunt@
@they tried to tell US we're too young@|@nos@
@thick@|@creber, profundus@
@thicket@|@lucus@
@thickness@|@densitas@
@thief@|@ereptor, furs, raptor@
@thievish@|@furtificus@
@thigh@|@bracchium@
@thin@|@exilis, infrequens, levidensis, macer, macilentus, macresco, rarus, tenuis@
@thin gold leaf@|@bracteola@
@thin skin@|@membrana@
@thiness@|@macies@
@thing@|@quendam, res, res rei@
@things dictated@|@dictata@
@things needed@|@necessarius@
@think@|@cogitare, puto, reputo@
@think of@|@recordor@
@think out@|@incogito@
@think over@|@pensito@
@think up@|@imbibo@
@thinly@|@rare@
@thinness@|@ieiunium@
@third@|@tertius@
@thirst@|@sitis@
@thirsting for@|@sitiens@
@thirsty@|@siccus@
@thirteen@|@tredecim, tredecim (indecl.)@
@thirty@|@riginta (indecl.), triginta@
@this@|@is ea id@
@THIS (house)@|@hic (masc. nom. sing.)@
@THIS (monastery)@|@hoc (neut. sing. nom.)@
@THIS (sword)@|@haec hec (fem. sing. nom.)@
@this side@|@hac@
@this way@|@hac@
@thistle@|@carduus@
@thither@|@illuc@
@thong@|@lorum@
@thorn@|@spina@
@thorn-bush@|@vepres@
@thorny@|@scrupulosa@
@thorough@|@intentus@
@thorough consideration@|@cogitatio@
@thoroughfare@|@pervium@
@thoroughly@|@penitus (adverb)@
@THOSE (arms)@|@illa (neut. plur. nom.)@
@THOSE (men)@|@illi (masc. plur. nom.)@
@THOSE (women)@|@illae ille (fem. plur. nom.)@
@those down below@|@inferi@
@those things WHICH we must have@|@quae (neut. pl. acc.)@
@those WHOM he accused of treachery@|@quos (masc. pl. acc.)@
@though@|@etsi, quamquam@
@thoughful@|@memor@
@thought@|@cogitatus, mens mentis, sententia@
@thoughtful@|@benevolens@
@thoughtless@|@improvidus, incogitatus@
@thoughtlessly@|@inconsiderate@
@thoughtlessness@|@incogitania@
@thoughts@|@sensa@
@thousand@|@mille@
@thousands@|@milia (pl.)@
@thrash (to card wool)@|@pecto@
@thrashing@|@verbera (in pl.)@
@thread@|@acia, ligamen@
@threaten@|@immineo, impendeo@
@threats@|@minae@
@three@|@tres, tres tria@
@three days' duration@|@triduanus@
@three times@|@ter, ter@
@thresh@|@tritico@
@thrice@|@ter@
@thrifty@|@parcus@
@throat@|@gutter@
@throb@|@palpito@
@throne@|@sedes, solium@
@throng@|@turma@
@through and through@|@penitus (adv.)@
@throw@|@conicio@
@throw away@|@abicere@
@throw in someone's teeth@|@obicio obieci obiectum@
@throw into confusion@|@conturbo@
@throw into disorder@|@turbo@
@throw out@|@eructo (-are), everto@
@throw up@|@eructo (-are), vomare, vomito@
@thrust@|@ictus, ictus@
@thrust away@|@depulso@
@thrust forward@|@exsertus exertus@
@thrust out@|@exturbo@
@thumb@|@pollex@
@thunderstruck@|@attonitus@
@thunder-struck@|@attonbitus@
@thus@|@ita, sic@
@thus far@|@eatenus@
@Tiber@|@Tiber@
@tide@|@aestus estus@
@tides@|@aestus maris@
@tie@|@ligo, vinculum, vinculum@
@tiger@|@tigris@
@tight@|@angustus@
@tighten@|@adstringo@
@till@|@exaro@
@till now@|@adhuc@
@till then@|@adhuc@
@tiller of fields@|@agricola (masc.)@
@tiller of the soil@|@colonus@
@timber@|@lignum@
@time@|@aetas, hora, hora, tempus, tempus temporis, tractus, vicis@
@time - from@|@a ab abs (prep + abl)@
@timid@|@timidus@
@tin@|@plumbum album, stannum@
@tiny@|@parvulus, pusillus, vegrandis@
@tired@|@defessus, fessus@
@tissue@|@tela@
@title@|@lemma, titulus@
@titmouse@|@parus@
@to@|@ad, gratia, procul, tenus (prep. with abl)@
@to [+ abl.] be distinguished for@|@floreo@
@to [+ abl.] discharge@|@fungor@
@to [+ abl] obtain@|@potior@
@to [+ acc.] to keep silent@|@silentio@
@to [+ acc] incur@|@incurro@
@to [+ contra] dispute@|@litigo@
@to [+ dat] attend closely to@|@inhio@
@to [+ dat] lie in wait for@|@insidior@
@to [+ dat] persist in@|@insisto@
@to [+ gen] give thanks for@|@gratulatio@
@to [+ inf] to long to@|@gestio@
@to [+ ne] shudder at@|@horreo@
@to [+ negative] care nothing for@|@curo@
@to [crines] to cut hair@|@spargo@
@to [-egi@|@subigo@
@to [stealthily] approach@|@subeo@
@to a certain extent@|@aliquatenus@
@to a greater extent@|@magis@
@to abandon@|@desero, destituo@
@to abase@|@humilio@
@to abhor@|@abominor@
@to abide@|@converso, resideo@
@to abound in@|@exubero@
@to absent oneself from@|@careo (+ abl.)@
@to abuse@|@abutor, conculco@
@to accompany@|@comito@
@to accomplish@|@perficio@
@to accost@|@congredior@
@to accuse@|@accuso, criminor@
@to accuse falsely@|@calumnior@
@to accustom@|@assuesco (-sueui, -suetum), consuefacio, consuesco@
@to accustom oneself@|@assuesco (-sueui, -suetum)@
@to acknowledge@|@profiteor@
@to acquire@|@acquiro, adipiscor@
@to act@|@actio@
@to act a part@|@personam gero@
@to act as a support@|@furcillo@
@to act foolishly@|@desipio@
@to add@|@adjicio, subinfero@
@to add something@|@appono@
@to add to a heap@|@accumulo@
@to add together@|@consummo@
@to address@|@allocutio, alloquor@
@to adhere@|@inhaero@
@to adhere to@|@inhaeresco inheresco@
@to adjust@|@accommodo, compono@
@to administer@|@exerceo@
@to admire@|@intueor@
@to admit@|@admitto@
@to adornment@|@ornatus@
@to advance@|@eo, prodeo@
@to affect@|@adficio@
@to affect deeply@|@percuto@
@to afford@|@sufficio@
@to affright@|@territo@
@to aggravate@|@exulcero@
@to agitate@|@turbo@
@to agree@|@condico, consentio@
@to agree to refer to arbitration@|@compromitto@
@to aid@|@adservio@
@to all eternity@|@saecula saeculorum@
@to allow@|@annuo, sino@
@to allure@|@lacto@
@to ally@|@foedero@
@to amass@|@conglobo@
@to amend@|@emendo@
@to anguish@|@anxio@
@to animate@|@vigoro@
@to announce@|@edico, intimo, nuntio@
@to announce officially@|@denuntio@
@to annoy@|@aggravo@
@to anoint@|@delibuo@
@to another place@|@alio@
@to answer for@|@praesto presto@
@to anticipate@|@praesumo presumo, precipio@
@to appeal@|@interpellatio@
@to appear@|@ebullio, exorior, pareo@
@to apply marl to the soil@|@maro@
@to apply oneself@|@incumbo@
@to appoint a person@|@appono@
@to apportion@|@distribuo@
@to approach@|@accedo, adeo, appropinquo, succedo@
@to appropriate unlawfully@|@usurpo@
@to approve@|@approbo@
@to approve fully@|@comprobo@
@to arise@|@consurgo, proficiscor, surgo@
@to arise in succession@|@suborior@
@to arouse@|@erigo@
@to arrange@|@constituo, dirigo, dispono@
@to arrive@|@supervenio@
@to ascend@|@conscendo, scando@
@to ascertain@|@scisco@
@to ask@|@inquiro, postulo, rogo, sciscitor@
@to ask for@|@erogo, peto, requiro@
@to ask someone to do something@|@rogo eum ut +subjunctive@
@to ask the advice of@|@consulto@
@to assail@|@invado@
@to assemble@|@concilio, congrego@
@to assert@|@autumo, contendo, firmo, obtestor@
@to assign@|@loco@
@to assist@|@adsum, succurro@
@to associate with@|@coutor, utor@
@to assume it shall be@|@oportet@
@to at once@|@extemplo@
@to attack@|@impeto, impugno, infenso, infesto, invado, prosequor (prosecutus)@
@to attack first@|@preoccupo@
@to attempt [+ inf.]@|@molior@
@to attend@|@famulo, ministro@
@to attract@|@delecto@
@to authorize@|@licentio@
@to avenge@|@vindico@
@to avoid@|@devito, vito@
@to await@|@exspecto@
@to awake@|@incedo@
@to awaken@|@evigilo, excito, expergefacio@
@to balance@|@trutino@
@to bark@|@latro (-are)@
@to barter [away]@|@paciscor@
@to bathe@|@lavo@
@to batter@|@quasso@
@to bawl out for@|@clamito@
@to bcome cold@|@algesco@
@to be@|@sum fui futurus@
@to be a consequence or result of@|@orior@
@to be a servant@|@famulor@
@to be a slave@|@inservio@
@to be a slave to@|@servio (+ dat.)@
@to be able@|@possum, possum posse potum, queo@
@to be able to@|@ualeo@
@to be above@|@supero@
@to be absent@|@absum@
@to be accustomed@|@soleo@
@to be accustomed to@|@solito@
@to be active@|@operor@
@to be afflicted@|@crucio@
@to be affluent@|@sufficio@
@to be afraid@|@vereor@
@to be after@|@continuo@
@to be an informant@|@quadruplor@
@to be appropriate@|@competo@
@to be ashamed@|@pudeo@
@to be astounded@|@stupeo@
@to be at the head of@|@praesum presum@
@to be awake@|@vigilo@
@to be before@|@praesum@
@to be boiling hot@|@ferveo@
@to be born@|@generasco, nascor nasci natus, orior@
@to be born again@|@regenero@
@to be borne@|@traduco in passive@
@to be bound by@|@debeo@
@to be brought to a standstill@|@haero@
@to be built on@|@insigniter@
@to be capable@|@possum@
@to be classed among@|@deputari@
@to be clear@|@pateo@
@to be cold@|@algeo (-ere, alsi, algens)@
@to be deceived@|@frustra esse@
@to be delighted@|@laetor@
@to be determined@|@delibero@
@to be diifferent@|@discrepo@
@to be diligent@|@studeo@
@to be dirty@|@sordeo@
@to be disgusted at@|@taedet se@
@to be distrustful@|@diffido@
@to be dreaming@|@dormito@
@to be earnestly engaged in@|@insto@
@to be established@|@consto@
@to be failed by@|@fefello@
@to be formed of@|@consisto (+ abl. etc.)@
@to be free from work@|@vaco@
@to be hard@|@obduro@
@to be horrified@|@exhorresco@
@to be hungry@|@esurio@
@to be ignorant@|@ignoro, nescio@
@to be impossible@|@nequeo@
@to be in an uproar@|@tumultuor@
@to be in heat@|@subo@
@to be in one's service@|@facio servitium@
@to be in the habit of using@|@usitor@
@to be in want@|@deficio, deficio (defectum)@
@To be inclined to do@|@faveo (+ inf.)@
@to be irritated@|@succenseo@
@to be laid open@|@patesco@
@to be like@|@exaequo exequo@
@to be mastered@|@dominor@
@to be mindful of@|@recordo@
@to be mistaken@|@frustra esse@
@to be morally bound to@|@debeo@
@to be moved@|@cito@
@to be near@|@subsum subesse@
@to be obedient to@|@pareo (+ dat.)@
@to be of the opinion of@|@opinor@
@to be old@|@seneo@
@to be one's own master@|@esse suae potestatis@
@to be open@|@pateo@
@to be pained@|@doleo@
@to be pleasing@|@libet@
@to be pompous@|@tumeo@
@to be produced@|@generasco@
@to be prominent@|@emineo@
@to be punished@|@plector@
@to be reduced to@|@redeo@
@to be renowned@|@nominor@
@to be revealed@|@pateo, patesco@
@to be rich in@|@polleo@
@to be ruined@|@concido@
@to be sad@|@tristor@
@to be seen@|@videor@
@to be set over@|@praesum@
@to be silent@|@conticeo, taceo, taceo tacuitacitum@
@to be sluggish@|@torpeo@
@to be sold@|@venalis@
@to be still@|@sileo@
@to be strong@|@confortari, polleo@
@to be subject to@|@subservio@
@to be sufficient@|@sufficio@
@to be superfluous@|@supersum@
@to be sure@|@quippe, sane, vero@
@to be taken across a strait@|@transfreto@
@to be terrified@|@formido@
@to be there@|@subsisto@
@to be thirsty@|@sitio@
@to be told (Herimann cap. 39@|@didico@
@to be troublesome@|@incommodo (-are)@
@to be unknown@|@latet@
@to be unlike one's kind@|@degenero@
@to be unsure@|@hesito (haesito)@
@to be useful@|@prosum (profuturus), prosum (with dat.)@
@to be valued at@|@liceo@
@to be very abundant@|@superabundo-avi@
@to be very pleasing to@|@complaceo@
@to be vexed@|@moleste fere@
@to be warmed@|@caleo@
@to be well@|@salveo, salveo@
@to be without hope@|@despero@
@to beam forth@|@irradio@
@to bear@|@defero, perfero@
@to beat@|@battuo@
@to beat ones breast@|@plango@
@to becloud@|@caligo@
@to become@|@existo@
@to become acquainted with@|@nosco@
@to become bright again@|@relucesco@
@to become calm@|@quieto@
@to become dirty@|@sordesco@
@to become dry@|@exaresco@
@to become hot@|@fervesco@
@to become know@|@innotesco@
@to become known@|@innotesco@
@to become lean@|@macresco@
@to become sick at the same time@|@coaegresco@
@to become soft@|@lentesco@
@to become stiff@|@derigesco@
@to become tired@|@lasesco@
@to become very much afraid@|@pertimesco@
@to become vigorous@|@vigesco@
@to become violent@|@crudesco@
@to become visible@|@appareo@
@to become white@|@albeo@
@to beg@|@posco@
@to beg by entreaty@|@deprecor@
@to beget@|@genero, procreo, sero@
@to begin@|@coepio, coepto, exordior, ineo@
@to begin to blossom@|@floresco@
@to begin to bristle@|@inhorresco@
@to begin to shake@|@horresco@
@to begin to shine@|@nitesco@
@to begn to shine@|@nitesco@
@to behead@|@decollo (-are)@
@to behold@|@specto@
@to believe@|@credo, credo, reputo@
@to believe unconditionally@|@accredo@
@to bellow@|@rudo@
@to bend@|@curvo, inclino, inclino, incurvo (-are), inflecto inflexi inflectum, lento, vergo@
@to benefit@|@prosum@
@to bequeath@|@trado@
@to beseech@|@precor@
@to beset@|@circumsto, circumvenio@
@to besiege@|@fulcio@
@to besmear@|@linio@
@to bestir@|@expergescor@
@to bestow@|@impertior, tribuo@
@to betroth@|@spondeo@
@to bewail@|@defleo, defleo@
@to bewail as lost@|@conclamo@
@to bewitch@|@fascino@
@to bind@|@colligo, constringo constrixi constric, ligo, subnecto@
@to bind below@|@subligo@
@to bind fast@|@praestringo@
@to bind on beneath@|@subnecto@
@to bind together@|@constrictio, iugo@
@to blam@|@culpo@
@to blame@|@arguo, reprehendo@
@to blaze@|@flagro@
@to bleat@|@balo@
@to bleed (someone)@|@minuo@
@to bless@|@beo, fortuno@
@to block@|@preoccupo@
@to bloom@|@verno@
@to blossom@|@effloresco@
@to blow@|@inflo, spiro@
@to blow through or over@|@perflo@
@to blunt@|@hebeto@
@to blush to@|@erubesco (+ inf.)@
@to boil@|@ferveo@
@to boil down@|@decoquo@
@to boil up@|@ebullio, effervo@
@to bolt@|@obfirmo@
@to bore@|@foro@
@to bore through@|@terebro@
@to borrow@|@mutuo@
@to both sides@|@utroque@
@to bow@|@curvo@
@to break@|@redomo@
@to break an oath@|@perjuro@
@to break down@|@frango@
@to break off@|@abrumpo@
@to break open@|@erumpo@
@to break out@|@erumpo@
@to break through@|@perfringo@
@to break to pieces@|@dirumpo, frusto@
@to break up@|@corrumpo, dimitto, discedo (discessum ), distraho (associations)@
@to breathe@|@respiro@
@to breathe out@|@efflo@
@to breathe upon@|@inhalo@
@to bridle@|@infreno@
@to bring@|@arcesso, accerso, defero, induco@
@to bring again@|@refero@
@to bring as expected@|@refero@
@to bring back@|@redigo@
@to bring forth@|@effero, gigno (genuit)@
@to bring forward@|@offero@
@to bring into disorder@|@confundo@
@to bring into the world@|@produco@
@to bring news@|@adfero affero@
@to bring or reduce to a condition@|@redigo (redactum)@
@to bring to completion@|@expletio@
@to bring to naught@|@casso@
@to bring to nothing@|@adnihilo@
@to bring to pass@|@efficio, facio + inf.@
@to bring together@|@concieo, confero, construo@
@to bring up@|@enutrio, suggero@
@to bristle@|@inhorreo@
@to brood over@|@incubo@
@to bruise@|@obtero@
@to build@|@molior@
@to build beneath@|@substruo@
@to built in@|@instruo@
@to burn@|@ustilo ustulo@
@to burn up@|@comburo, peruro, peruro perussi perustum@
@to burn with desire@|@aestuo@
@to burst upon@|@irrumpo@
@to bury@|@tumulo@
@to bustle about@|@satago@
@to buy@|@emo emi emptum@
@to buy up@|@emercor@
@to calculate@|@duco@
