@English@|@Serbian@
@aggressive@|@agresivan, borben, energičan, napadački, nasrtljiv@
@aggressor@|@agresor, napadač, podstrekač@
@aggrieve@|@ožalostiti, učiniti nažao@
@aghast@|@prestravljen, užasnut, zbunjen@
@agile@|@brz, hitar, okretan@
@agility@|@hitrina, spretnost@
@agitate@|@agitirati, mešati, mućkati, pokrenuti, potrresti, raspravljati, razmatrati, rovariti, tresti, uzbuniti, uzrujati@
@agitation@|@agitacija, mućkanje, pometnja, raspravljanje, razmatranje, rovarenje, uznemirenost@
@agnail@|@zanoktica@
@ago@|@pre@
@agog@|@nestrpljivo, uzbudjeno@
@agonize@|@biti u agoniji, mučiti se@
@agony@|@agonija, jaki bolovi, mučenje, patnja, ropac@
@agrarian@|@agrarni, poljoprivredni@
@agree@|@pristati, pristati (uz), slagati se, složiti se, ugovarati nešto, uskladiti, živeti u slozi@
@agreeable@|@drag, prijatan, saglasan, ugodan@
@agreement@|@slaganje, sporazum, ugovor@
@agricultural@|@poljoprivredni, zemljoradnički@
@agriculture@|@poljoprivreda, zemljoradnja@
@agriculturist@|@zemljoradnik@
@agronomic(al)@|@poljoprivredni, zemljoradnički@
@agronomist@|@agronom@
@agronomy@|@nauka o poljoprivredi@
@aground@|@koji se nasukao@
@ahead@|@ispred, na čelu, napred@
@aid@|@novčana pomoć, pomoć, pomoćnik, potpora@
@aide-de-camp@|@ađutant@
@aider@|@jova (drvo)@
@ail@|@boleti, bolovati, bolovati, tištati@
@ailing@|@bolan, nezdrav@
@ailment@|@slabost@
@aim@|@cilj, ciljati, meta, nišan, nišanjenje, smerati, težiti, težnja@
@air@|@arija, atmosfera, aviacioni, izneti u javnost, izraz lica, medlodija, napev, povetarac, provetravati, sušiti rublje, vazduh, vazdušan, vetrić, vetriti@
@air gap@|@procep@
@air-balloon@|@vazdušni balon@
@air-base@|@vazdušna baza, vazdušno uporište@
@aircraft@|@avijacija, avion, vazduhoplovni, vazduhoplovstvo@
@airdrome@|@aerodrom, uzletište@
@airdrop@|@vazdušni desant@
@airfield@|@aerodrom, uzletište@
@airgauge@|@manometar@
@air-hostess@|@stjuardesa@
@airless@|@aparan, bez povetarca, bez vazduha@
@airlock@|@plinski rezervoar@
@airmail@|@vazdušna pošta@
@airman@|@avijatičar@
@airplane@|@avion@
@air-pocket@|@vazdušna jama@
@airport@|@aerodrom@
@air-raid@|@napad iz vazduha@
@airship@|@dirižabl, vazdušna lađa@
@air-space@|@vazdušno prostranstvo@
@air-stop@|@hermetičan@
@air-tight@|@hermetičan@
@airy@|@lakomislen, vazdušast, vetrenjast@
@aisle@|@krilo zgrade, pobočna lađa, prolaz@
@ajar@|@odškrinut, poluotvoren@
@akimbo@|@podbočen@
@akin@|@srodan@
@alacrity@|@hitrina, pripravnost, živahnost@
@alarm@|@dizati uzbunu, nemir, uzbuditi, uzbuna, uzbuniti, uzrujati@
@alarm-clock@|@budilnik@
@alas@|@avaj, teško meni@
@albanian@|@albanac, albanski, albanski jezik@
@albeit@|@čak i ako@
@album@|@album@
@albumen@|@belance jajeta, belančevina@
@alcohol@|@alkohol@
@alder@|@jelša, jova@
@alderman@|@odbornik, većnik@
@ale@|@vrsta piva@
@alehouse@|@pivnica@
@ale-house@|@pivnica@
@alert@|@hitar, spreman, znak na uzbunu@
@alga@|@alga, morska trava@
@algebra@|@algebra@
@algebraic@|@algebarski@
@algol@|@programski jezik@
@alias@|@alternativni ulaz, inače (zvani), izmišljeno ime, usvojeno ime@
@alibi@|@alibi@
@alien@|@dalek, inozemni, stran, tuđinac@
@alienate@|@odvraćati, otuđiti, udaljiti@
@alienation@|@duševna poremećenost, otuđenje, udaljavanje@
@alight@|@aterirati, izići, osvetljen, osvetljen, sići, sjašiti, sleteti (ptice), spustiti se, u vatri, zpaljen@
@align@|@poravnati se, poređati, postrojiti, svrstati se@
@alignment@|@linija stroja, podešavanje, poravnjanje, postrojavanje, regulacija, svrstavanje@
@alike@|@isto tako, jednako, na isti način, nalik na, sličan, slično@
@aliment@|@hrana, izdržavanje, podrška@
@alimentary@|@hranljiv, prehrambeni@
@alimony@|@alimentacija, hranjenje@
@alive@|@bodar, koji radi, koji vrvi, pod pritiskom, prijemljiv, sa strujom, u životu, živ, živahan@
@alkali@|@lužični, lužina@
@alkaline@|@od alkalija@
@all@|@celi, i pored toga, potpuno, sasvim, sav, svaki, sve, svuda@
@allay@|@smanjiti, ublažiti (bol)@
@allegation@|@navod, navođenje, tvrđenje@
@allege@|@izjaviti, pozvati se na@
@allegiance@|@odanost, vernost@
@allegoric@|@alegorija, amblem@
@allegory@|@alegorija, amblem@
@alleviate@|@olakšati@
@alleviation@|@olakšanje@
@alley@|@drvored, kuglana, prilaz kući, prolaz kući, sokak, staza, uska ulica@
@alliance@|@bračna zajednica, pobratimstvo, rodbinstvo, savez@
@allied@|@rodbinski, savezni@
@all-inion@|@savezni@
@allocate@|@dodeliti, doznačiti, postaviti, pridodati@
@allocation@|@doznaka, odobrenje@
@allocution@|@beseda, svečani govor@
@allot@|@dodeliti, označiti, razdati, razdeliti@
@allotment@|@dodeljivanje, raspodela, udes@
@allow@|@dopustiti, doznačiti, dozvoliti, isplaćivati, izraziti mišljenje, složiti se, tvrditi@
@allowance@|@dopuštenje, dozvola, isplata, obrok, pristanak, sledovanje@
@alloy@|@legura, mešati, smesa@
@all-round@|@svestran@
