@English@|@Serbian@
@soapy@|@laskav, sapunast, ulagivački@
@soar@|@dizati se, jedrenje, kovitlati se, lebdeti, uzletanje, vinuti se, visoko leteti@
@sob@|@jecanje, jecati, plakati, ridanje@
@sober@|@koji ne pije, miran, trezven@
@sober up@|@otrezniti se@
@sobriety@|@treznost, trezvenost, uravnoteženost@
@sobriquet@|@nadimak@
@so-called@|@takozvani@
@soccer@|@fudbal@
@sociability@|@društvenost, druževnost@
@sociable@|@društven, druževan@
@social@|@društven, druževan, socijalan, socijalistički@
@socialism@|@socijalizam@
@socialist@|@socijalistički@
@socialization@|@podruštvljavanje@
@society@|@društveni život, društvenost, društvo, opštenje, udrženje, viši krugovi@
@sock@|@izlemati, kratka čarapa, lemeš, raonik, težak udarac, uložak za cipele@
@socket@|@duplja, štek, šupljina, udubljenje@
@sod@|@busen, busenje, nitkov, obložiti, podlac, zemlja@
@soda@|@bezalkoholno piće, kaustična soda, natrijum karbonat, soda, soda bikarbona@
@soda pop@|@sladak gazirani sok@
@sodden@|@nakvašen, natopljen, prokisao, vlažan@
@sodium@|@natrij@
@sofa@|@divan, kanabe, sofa@
@soft@|@bez sjaja, blag, kratkotrajan, mek, miran, nejasan, prijatan, raspevan, topao@
@soften@|@raznežiti se, smekšati, umeškšati@
@soft-headed@|@glupav, priglup@
@soft-hearted@|@mekog srca, saosećajan@
@soft-soap@|@blagi sapun@
@softy@|@slabić@
@soggy@|@gnjecav, mokar, pokisao, vlažan@
@soil@|@blato, gnjecav, mokar, pokisao, prljavština, vlažan, zaprljati se@
@soil-pipe@|@kanalizacije, odvodna cev@
@sojourn@|@boravište, boraviti, poseta@
@sol@|@g, peta nota@
@solace@|@ohrabrenje, uteha, utešiti@
@solar@|@sunčani@
@sold@|@proš. od sell@
@solder@|@lem, lemljenje, lotanje@
@soldier@|@biti vojnik, ratnik, služiti vojsku, vojnik@
@soldierly@|@hrabar, muževan@
@sole@|@don, isključivi, jedini, neženja, podnožje nečega, sam, taban@
@solemn@|@dostojanstven, svečan, uzvišen, zvaničan@
@solemnity@|@formalnost, svečani obred, svečano držanje, svečanost, svečanosti@
@solemnize@|@svečano proslava@
@solicit@|@dosađivati, moliti, nametati se, preklinjati, tražiti, zauzimati se@
@solicitation@|@dosađivanje, nametljivo ponašanje, traženje, zahtev, zauzimanje@
@solicitor@|@advokat, molitelj, zaštitnik@
@solicitous@|@brižan, koji teži, koji želi, poklanja pažnju, zabrinut@
@solicitude@|@brige, starenje, zabrinutost, zauzimanje@
@solid@|@bez primesa, celokupan, čvrst, izdržljiv, solidan, trajan, tvrd, ubedljiv, zdrav@
@solidarity@|@jednodušnost, složnost, solidarnost@
@solidify@|@udružiti se, zgusnuti se@
@solidity@|@čvrstoća, otpornost, pouzdanost@
@soliloquy@|@monolog@
@solitary@|@jedini, pojedinačan, pust, usamljen, zabačen@
@solitude@|@pustinja, samoća, usamljenost, zabito mesto@
@solo@|@solistička partija, solistički, solo@
@soloist@|@solista@
@solstice@|@solsticij, sunčeva prekretnica, suncostaj@
@solubility@|@rastvaranja, topivost@
@soluble@|@rastvorljiv, razjašnjiv, rešiv, topljiv@
@solution@|@otapanje, preokret, rastvor, rešavanje, rešenje@
@solvable@|@rastvorljiv, razjašnjiv, rešiv@
@solve@|@objasniti, rešiti@
@solvency@|@solventnost, sposobnost@
@solvent@|@koji rastvara, rastvarač, solventan@
@somber@|@mračan, sumoran, utučen@
@some@|@donekle, malo, nekakav, neki, nešto, oko, otprilike, poneko, priblično@
@somebody@|@neko, važna osoba@
@somehow@|@na neki način, nekako@
@someone@|@neko, važna osoba@
@somersault@|@potpuni preokret, prevrtanje@
@something@|@nešto@
@sometime@|@bivši, jednom, nekad, nekada, nekadašnji, raniji@
@sometimes@|@katkad, ponekad@
@somewhat@|@donekle, neki deo, nešto, pomalo@
@somewhere@|@bilo gde, negde, nekuda@
@somnambulist@|@mesečar@
@somniferous@|@koji donosi san, uspavljujući@
@somnolence@|@pospanost, snenost@
@somnolent@|@dremljiv, pospan, uspavljujući@
@son@|@sin, zet@
@song@|@pesma, pevanje@
@songster@|@pevač, ptica pevačica@
@son-in-law@|@zet, zet@
@sonny@|@sinčić, sinko@
@sonority@|@zvučnost@
@sonorous@|@nadmen, sonoran, visokoparan, zvučan@
@soon@|@domalo, domalo, rano, ubrzo, uskoro@
@soot@|@čađ, gar@
@sooth@|@istina@
@soothe@|@odobravati, olakšati, utešiti@
@soother@|@cucla, duda@
@soothsayer@|@prorok, vrač@
@sooty@|@čađav, crn kao čađ, garav@
@sop@|@nakvasiti, natopiti, sitan poklon, umnokac, upijati@
@sophism@|@sofizam, varljiv zaključak@
@sophisticated@|@prefinjen@
@sophistication@|@lažan zaključak, prefinjenost@
@sophomore@|@druga godina fakulteta@
@soporific@|@narkotik, sredstvo za uspavljivanje@
@soppy@|@kišovit, mokar, plačljiv, sentimentalan, vlažan@
@soprano@|@sopran, sopran@
@sorb@|@oskoruša@
@sorcerer@|@čarobnjak@
@sorceress@|@čarobnica@
@sorcery@|@čarobnjaštvo, čarolije, vračanje@
@sordid@|@cicijaški, gadan, koristoljubiv, nizak, podao, prljav@
@sore@|@bol, bolan, osetljiv, patanja, pozleđen, tuga@
@soreness@|@bol, osetljivost@
@sorrel@|@crvenkastosmeđ, kiseljak, konj dorat, loboda@
@sorrow@|@čemer, jad, ožalošćenost, tugovati@
@sorrowful@|@koji rastužuje, ožalošćen, rastužen@
@sorry@|@jadan, nesrećan, ožalošćen, tužan, utučen, žalostan@
@sort@|@klasa, kvalitet, razvrstati, sorta, sortirati, vrsta@
@sot@|@pijanica@
@sough@|@hujanje, hujati, zavijanje, zavijati@
@sought@|@proš. od seek@
@soul@|@biće, čovek, dobrodušnost, duh, duša, oličenje, osoba, utelovljenje@
@soul-less@|@bezdušan@
@sound@|@dubok, ispravan, izmeriti, odjekivati, oskulirati, šum, svirati, valjan, zvoniti, zvučati, zvuk@
@soundbite@|@kratak govor (u medijima)@
@sound-film@|@zvučni film@
@sounding@|@zvučan@
@soup@|@čorba, juha, supa@
@soup up@|@pojačati (slang)@
@soup-plate@|@duboki tanjir@
@soupy@|@maglovit@
@sour@|@gorak, kiseo, ljut, mrzovoljan, ozlojediti se, prokisnuti, ukiseliti se@
@source@|@mlaz, početak, vrelo, zdenac@
@sourdough@|@koji traži zlato (slang)@
@sourpuss@|@mrzovoljna osoba (slang), namćorast@
@south@|@jug, južni@
@southeast@|@jugoistok@
@south-east@|@jugoistočni, jugoistok@
@southerly@|@okrenut jugu@
@southern@|@južni@
@southerner@|@južnjak, stanovnik juga@
@southernmost@|@najjužniji@
@southward@|@južno, okrenut jugu, prema jugu@
@southwards@|@u pravcu juga@
@southwest@|@jugozapad@
@souvenir@|@uspomena@
@sovereign@|@bezgraničan, delotvoran, nezavisna država, uspešan, viši, vladar, vrhovni@
@sovereignty@|@nezavisnost, vrhovna vlast@
@soviet@|@sovjet, sovjetski@
@sow@|@krmača, posejati, poškropiti, posuti, sejati@
@sowing@|@usev@
@sowing-machine@|@sejačica@
@sown@|@p.pr. od sow@
@spa@|@banja, lečilište, mineralno vrelo@
@space@|@kosmos, međuprostor, mesto, obim, prostor, razdeliti, razdvojiti, razmaknuti, sedište, širina@
@space-man@|@kosmonaut@
@spaceship@|@kosmički brod@
@spacious@|@obiman, obiman, opsežan, pristran@
@spade@|@ašov, lopata, pik (u kartama)@
@span@|@časak, izmeriti, izračunati, kratak razmak, luk, pedalj, prebaciti, raspon, širina, spojiti, svod, trenutak, zagrliti@
@spangle@|@blistava kapljica, šljokica@
@spaniard@|@španjolac, španjolka@
@spanish@|@španjolci, španski jezik@
@spank@|@pljesak, udarac dlanom@
@spanner@|@matični ključ@
@spar@|@boks, boksovati, greda, jarboli, pesničiti se, potporanj krila, svađa, traverza@
@spare@|@mršav, odvojiti, pozajmiti, rezerva, slobodan, suvonjav, uštedeti, zalihi@
@sparing@|@snishodljiv, štedljiv, umeren@
@spark@|@iskra, kicoš, svetlucanje, tračak, udvarač, varnica@
@sparkle@|@blistanje, iskra, sijanje, živost@
@sparkling@|@iskričav, penušav@
@sparrow@|@vrabac@
@sparse@|@raštrkan, rasturen, redak@
@spasm@|@grč, napad gneva@
@spasmodic@|@grčevit@
@spat@|@ćuška, gamaše, istući, pljuska, posvađati se, proš. od spit, razmirica@
@spate@|@bujica, iznenadna poplava, nagli pljusak@
@spatial@|@prostorni@
@spatter@|@prskanje, sitne kapljice, štrcanje, vodena prašina@
@spawn@|@bacati ikru, ikra, izleći, izrod, mrestiti se, okotiti, razmnožavati se, žgadija@
@speak@|@dijalekt, držati govor, govoriti, istupiti, izraziti, narečje, razgovarati, znati@
@speaker@|@govornik, predsednik, spiker@
@spear@|@harpun, izdanak, kopljanik, mladica, nabosti na koplje, ostve, sulica, vlat@
@spearhead@|@voditi (kampanju)@
@spearmint@|@nana@
@special@|@naročit, određen, poseban, specijalan, vanredno izdanje@
@specialist@|@stručnjak@
@specialize@|@izdvojiti, usavršiti se@
@specialty@|@izvanrednost, naročitost, specijalitet, specijalnost, stručnost@
@species@|@klasa, podvrsta, rod, tip, vrsta@
@specific@|@koji označuje, naročiti lek, osoben, specifičan, specifičan, svojstven, vanredan izveštaj@
@specification@|@detaljni opis, pojedinosti, specifikacija@
@specify@|@dati detaljan opis, navesti, opisati, pojedinačno@
@specimen@|@ličnost, obrazac, primerak, subjekt, uzorak@
@specious@|@izgleda, nalik na istinu, prividan, prividno ubedljiv@
@speck@|@čestica, mrlja, pegica, sitan delić@
@speckle@|@išarati pegama, pega, posuti mrljama@
@spectacle@|@norčari, predstava, priredba, prizor@
@spectacled@|@sa naočarima@
@spectacles@|@naočari@
@spectacular@|@efektan, tragičan, zanosan@
@spectator@|@gledalac, očevidac, posmatrač, svedok@
@spectral@|@avetinjski, sablastan, spektralan@
@spectre@|@avet, sablast@
@spectrum@|@spektar@
@speculate@|@istraživati, razmišljati, špekulisati, umovati@
@speculation@|@mozganje, nesiguran posao, razmatranje, razmišljanje, špekulacija@
@speculative@|@misaon, nesiguran posao, sklon razmišljanji, sumnjiv@
@speculator@|@mislilac, špekulant@
@sped@|@proš. od speed@
@speech@|@beseda, govor, propoved@
@speechless@|@nem, zanemeo@
@speed@|@brzina, dijalekt, govor, govor, govorenje, javno nastupanj, narečja, ubrzati, usmeni izveštaj, žuriti@
@speed-limit@|@dozvoljena brzina@
@speedy@|@hitan, hitar, neodložan, užurban@
@spell@|@čari, čarolija, izgovarati, mađije, nagovestiti, napraviti, nastup, opčiniti, vračanje, vreme@
@spellbound@|@potresen, začaran, zapanjen@
@spelling@|@pravopis, sricanje po slovima@
@spelling-book@|@bukvar, početnica@
@spelt@|@proš. od spell@
@spelunker@|@koji istražuje pećine@
@spen@|@meriti, pedalj, vezivati@
@spend@|@iscrpsti se, istrošiti se, potrošiti, provesti, rasipati, utišati se, utrošiti@
@spending@|@potrošnja@
@spendthrift@|@rasipnik, raspikuća@
@spent@|@iscrpljen, iznuren, utrošen@
@sperm@|@sperma@
@sphere@|@globus, kompetencija, kugla, lopta, nadležnost, područje, područje reda, sfera, zemljina lopta@
@spherical@|@kuglast, loptast@
@spice@|@draž, mirođija, privlačan miris, sporedan ukus, začiniti@
@spick@|@doteran@
@spicy@|@duhovit, mirisan, naprasit, začinjen mirođijom@
@spider@|@pauk, tronogi roštilj@
@spigot@|@prsten, slavina, tulac@
@spike@|@klinac, kuka, šiljak, štaka, zabiti klinac@
@spiky@|@šiljast, zaoštren@
@spill@|@cepka, ispadanje, luč, pad, prosuti se, prskanje, rasipati se, savijen komadić, treska@
@spin@|@brzo trčati, čigra, okretati, plesti, presti, pričati, sukati, uvrteti, vrteti, zapletati, zavrteti@
@spinach@|@spanać@
@spinal@|@kičmeni@
@spindle@|@čekrk, dizati se, osovina, vretenast, vreteno@
@spine@|@bodlja, drveni ukras, greben, kičma, leđa, trn@
@spineless@|@beskičmen, koji nema kičmu, kolebljiv, nesiguran@
@spinster@|@neudata, prelja, usedelica, usedelica@
@spiny@|@bodljikav, pun trnja, trnovit@
@spiral@|@naglo rasti, spirala, spiralan, uvojit, zavojnica@
@spire@|@igla, izdanak, mladica, spirala, toranj, uvojak, vrh, zavojnica@
@spirit@|@biće iz bajke, duša, svet, telenat, utvara, vila, živahnost@
@spirit off@|@način, tajanstven, učiniti da nestane@
@spirited@|@duhovit, odlučan, smeli, spreman, srčan, vatren@
@spirit-lamp@|@grejalica na špiritus@
@spiritless@|@malodušan, mlitav, pokunjen@
@spiritual@|@crkveni, duhovan, nadahnut, posvećen, produhovljen, svet@
@spirituous@|@alkoholan, opojan@
@spit@|@frktati, ispljuvak, izmaglica, koopneni jezik, pljunuti, pljuvačka, prskati, ražanj, rt@
@spite@|@inat, kivnost, ljutiti nekoga, pakost, prkos, prkositi, zloba@
@spiteful@|@pakostan, zlurad@
@spittle@|@pljuvačka@
@spittoon@|@pljuvaonica@
@spiv@|@prepredenjak, proobisvet@
@splash@|@kapljice, mrlja, prskanje, rasprskavanje, šikanje, sitni zraci, uprskati se, vodena prašina@
@spleen@|@duševno stanje, potišteno, slezina, splin, sumornost@
@splendid@|@blistav, izuzetan, izvrstan, klasan, odličan, velelepan@
@splendor@|@divota, sjaj@
@splendour@|@blistanje, rascepiti se, raskoš, razdvojiti se, sijanje, slikovitost, velelepnost@
@splenetic@|@hipohonder, žučljiv@
@splint@|@dapčica, liko, pozder, šina, uložak@
@splinter@|@cepati, cepčica, iver, krhotina, odlomiti se, rascepiti@
@split@|@naprslina, odvojiti nešto, otkinuti, prekid, prelom, rascep, rascep, rascepiti se, razdvojiti se, slagati na slogove@
@splodge@|@prljati@
@splodgy@|@upraljan, urljan@
@splotch@|@mrlja, prljati@
@splutter@|@cvrčanje, cvrčati, jurnjava, nerazumljiv, poprskati, prepirka, prskati, vreva@
@spoil@|@kvariti, plen, pljačkati, pokvariti se, položaji, ratni trofeji@
@spoke@|@prečka, proš. od speak, žbica@
@spokesman@|@govornik, govornik, izaslanik, predstavnik@
@sponge@|@brisanje, čišćenje, obrisati, pranje, spužva, sunđer, trut@
@sponger@|@čankoliz@
@spongy@|@porozan, sunđerast@
@sponsor@|@jamac, pokrovitelj, preduzeće, priređivač, sponzor@
@sponsorship@|@pokroviteljstvo@
@spontaneous@|@dobrovoljan, neposredan, neusiljen, spontan, spontan@
@spool@|@kalem, kotur, motati, špula@
@spoon@|@kašika, lopatica, naivan čovek, zaljubljen čovek, žlica, zvekan@
@spoonful@|@u kašiki@
@spoony@|@budala, ludo zaljubljen@
@spoor@|@ići po tragu@
@sporadic@|@mestimičan, raštrkan, sporadičan@
@spore@|@spora@
@sport@|@gornji, navijač, razonoda, sport, sportski, trčati, zabava@
@sporting@|@baviti se sportom@
@sportive@|@nestašan, sportski, u šali@
@sportsman@|@dobričina, sportista, veseljak@
@sportsmanlike@|@sportski, viteški@
@sportswoman@|@sportiskinja@
@spot@|@obeležiti, pega, primetiti, prljati, tačka, zaprljati@
@spotless@|@besprekoran, neokaljan@
@spotlight@|@refletkor, središte pažnje@
@spotty@|@nejednak, pegav, u tačkicama@
@spouse@|@suprug, supruga@
@spout@|@grlić, ispusni otvor, kljun, mlaz voode, odvod, oluk, pisak, zalagaonica, žljeb@
@sprain@|@isčašiti, uganuti@
@sprang@|@pp. od spring@
@sprat@|@mališan, sleđica@
@sprawl@|@izvaliti se, opružiti, pasti, protezati se, pružati, razvaliti se@
@spray@|@kiša, mlaz vode, poprskati, poprskati, prskalica, prskati, rasprskati, rasprštati, sprej@
@sprayer@|@rasprašivač@
@spread@|@gošćenje, objava, opseg, proš. od spread, protezanje, pružanje, raširiti se, razglasiti se, zamah@
@spree@|@pijanka, razdraganost, veselje@
@sprig@|@bagra, grančica, izrod@
@sprightly@|@bodar, razdragan, vesei, živahan@
@spring@|@gipkost, izvor, nagon, odskočiti, opruga, ponići, proleće, prolećni, skočiti@
@spring-balance@|@terazije@
@spring-board@|@odskočna daska@
@spring-time@|@proleće@
@sprinkle@|@posipati, poškropiti@
@sprint@|@trčanje, trke@
@sprinter@|@trkač@
@sprout@|@brzo se razvijati, izdanak, klicati, mladica, nicati, prokelj, prooklinjati@
@spruce@|@doteran, doterivati, kićen, kititi, omorika@
@sprung@|@proš. od spring@
@spry@|@hitar, lukav, žustar@
@spume@|@peniti se@
@spun@|@pp. od spin@
@spunk@|@energija, hrabrost, kuraž, trud, vatrenost@
@spur@|@mamuza, mamuzati, ogranak, ostruga, podsticaj, poobuda@
@spurge@|@mlečika@
@spurious@|@neistinit, patvoren, prividan@
@spurn@|@odgurnuti nogom, prezrivo odbiti@
@spurt@|@izbijanje, jaka struja, mlaz, nagli trzaj, provala@
@sputter@|@cvrčanje, nerazumljiv govor, prštanje, sitne kapi@
@spy@|@izvidnik, nadzor, špijun, špijunirati, tajni agent, uhoditi@
@spy-glass@|@dalekozor, dogled@
@squabble@|@prepirka, svađati se@
@squad@|@grupica, odeljenje, odred, patrola@
@squadron@|@divizija, eskadrila, eskadron, konjički eskadron@
@squalid@|@posrnuo, prljav, sirotinjski, zapušten@
@squall@|@cičati, larma, vihor, vrištati@
@squally@|@olujan, zlogoban@
@squalor@|@beda, prljavština, siromaštvo, zapuštenost@
@squander@|@proćerdati, rasipanje, traćenje@
@square@|@čestit, četvorokut, kvadrat, kvadratan, namiriti, plećat, podesiti, pravougli, skver, zgodan@
@square-built@|@plećat@
@squash@|@cediti, gomila, gomilati se, gužva, preseći, ućutkati, voćni sok, zbiti, zdrobiti, zgnječiti@
@squat@|@čučati, čučnuti, dežmekast, naseliti se, sklupčati se, zdepast@
@squating@|@čučeći@
@squaw@|@indijanka@
@squawk@|@jadati se, jadikovanje, kreštati, prodoran krik, stenjanje, stenjati@
@squeak@|@cičati, cika, izdati, pištati, pootkazivati, škripanje, srećan slučaj@
@squeal@|@cika, piska, potkazivač@
@squeamish@|@ceđenje, istiskivanje, osetljiv, otisak novca, razdražljiv, stezanje, stisak, težak položaj, ucena@
@squeeze@|@utisnuti, zgnječiti@
@squelch@|@blato, porazan, ućutkati, zvuk@
@squib@|@kratka satira, praskavica, žabica, zajedljiva primedba@
@squint@|@razroko gledati, škiljiti, zrikavost@
@squint-eyed@|@razrok, zločinački, zlokoban, zrikav@
@squire@|@gospodin, kavaljer, posednik, pratiti, vitezov pratilac, vlastelin@
@squirm@|@grčiti se, izvijati se, previjati se, previjati se, vrpoljiti se@
@squirrel@|@veverica@
@squirt@|@mlaz vode, ohola osoba, poprskati, pustiti mlaz, štrcaljka, štrcati, uprskati@
@st@|@street, sveti (skr.)@
@stab@|@rana, raniti, ubod, ubosti, zabiti, zaklati@
@stability@|@nepromenljivost, postojanost, stabilnost@
@stabilization@|@stabilizacija, učvršćenje, ustaljenje@
@stabilize@|@stabilizirati, uravnotežiti, ustaliti@
@stabilizer@|@stabilizator@
@stable@|@čvrst, konjušnica, postojan, stabilan, štala, trajan@
@stabling@|@smeštanje u štalu, štale@
@stack@|@dimnjak, gomilati, hrpa, kamara, knjižnica, masa, plast, stog, trpati@
@stack up@|@nagomilati@
@stadium@|@stadion, teren za sport@
@staff@|@kadar, motka, notne linije, osoblje, palica, potporanj, štab, štap@
@stag@|@isključivo za muškarce, jelen, mužjak, neženja, špekulirati@
@stag-beetle@|@jelenak@
@stage@|@bina, etapa, faza, period, pozorište, pozornica, predstaviti, prikazati, stadij, stepen, stupanj@
@stage-coach@|@diližansa, poštanska kočija@
@stager@|@poremetiti, posrtanje, rasklimati, smesti se, vrtoglavica@
@stagger@|@posrtati, teturanje, teturati se, zapanjiti@
@staging@|@režiranje, saobraćati, skele@
@stagnant@|@trom, ustajao@
@stagnate@|@biti ustajao, ne oticati@
@stagnation@|@mrtvilo, stagnacija, zastoj@
@stag-party@|@muško društvo, samo za muškarc@
@staid@|@razuman, smiren, staložen, trezven, uravnotežen@
@stain@|@boja, ljaga, obojenost, obojiti, osramotiti, zaprljati@
@stainless@|@besprekoran, koji ne rđa, neuprljan@
@stair@|@basamak, stepenice, stube@
@stair-case@|@stepenište, stubište@
@stake@|@kolac, lomača, obeležiti kolcem, objaviti svoje pravo na (fig.), podupreti kolcima, spaljivanje, staviti na kocku, udeo, ulog@
@stake   out@|@skinuti@
@stake out@|@otkačiti@
@stale@|@bajat, banalan, bez ukusa, izvetreo, mokraća, neaktivan, otrcan, suv, ustojan, zagušljiv@
@stalemate@|@bezizlazan položaj, ćorsokak, pat (u šahu)@
@stalk@|@drška, fabrički dimnjak, prikradati se, stabljika, šunjati se@
@stall@|@boks, kiosk, odugovlačenje, pregrada, pregrada u staji, štala, tezga, zaustaviti@
@stallion@|@pastuv, ždrebe@
@stalwart@|@jak, krepak, lojalist@
@stamen@|@prašnik@
@stamina@|@životna snaga@
@stammer@|@mucanje, mucati, zamuckivanje@
@stammerer@|@mucavac, zamuckivalo@
@stamp@|@gaziti, lupanje, lupati, marka, otisak, pečat, punza, tucati, udariti žig, ugaziti, utisnuti, žig na uvu@
@stamp-duty@|@taksa@
@stampede@|@bezglavo bežanj, divlje bežanje, panika, panika@
@stance@|@stav@
@stanch@|@odan@
@stanchion@|@potporanj, prečka, stub@
@stand@|@mirovati, podmetač, podupirač, postolje, raspored, stajalište, stajati, stalak, stanica, stanovništvo, tezga@
@standard@|@barjak, kurs, merilo, obrazac, pravilo, prosek, standard, zastava, zastava@
@standard-bearer@|@barjaktar, zastavnik@
@standardize@|@prilagoditi standardu@
@stand-by@|@potpora@
@stand-in@|@onaj koji zamenjuje nekog@
@standing@|@položaj, poziv, regularan, stalež, stanovište, stojeći, trajanje, uobičajen, uspravljen, ustaljen, zanimanje@
@standoff@|@nerešen rezultat@
@standpoint@|@gledište, način mišljenja@
@standstill@|@nerad, zaostanak, zatišje@
@stand-up@|@krut, stojeći@
@stank@|@pp. od stink@
@staple@|@glavna osobina, glavni proizvod, gvozdena spona, osnovna crta, skoba, spajalica, spojnica@
@star@|@sudbina, udes, usud, znamenitost, zvezda, zvezdica@
@starboard@|@desni bok broda@
@starch@|@skrob, štirak, ukrućenost, uštirkati, uštogljenost, životna snaga@
@starchy@|@uštirkan, uštogljen@
@stardom@|@položaj zvezde@
@stare@|@buljiti, gledati, iznenađen pogled, piljiti, uporan pogled@
@stark@|@potpun, potpuno, ukočen@
@starling@|@čvorak@
@starry@|@koji zrači, posut zvezdama, zračan, zvezdan@
@start@|@krenuti se, nadmoć, otvoriti, početak, početii, povesti, prevaga, start, stresanje, trgnuti se, trzaj, započeti@
@startle@|@preneraziti, prenuti se, prenuti se, uplašiti, uzdrhtati, uzdrhtati, uzdrhtati@
@startling@|@iznenađen@
@starvation@|@gladovanje@
@starve@|@gladovati, iznuriti, moriti glađu, umirati od gladi@
@starveling@|@izgladneo@
@stash@|@tajno skladište (slang)@
@stash away@|@sakriti@
@state@|@država, državni, izjaviti, izložiti, okolnosti, prilike, stanje, stav@
@stately@|@dostojanstven, impozantan, ponosan, veličanstven, veliki@
@statement@|@iskaz, izajava, izveštaj, saopštenje, tvrđenje@
@state-room@|@svečana prostorija@
@statesman@|@državnik, politički lider@
@static@|@statičan@
@station@|@boraviti, namestiti, radio stanica, smestiti, stanica, staviti, zborište, železnička stanica@
@stationary@|@čvrst, mesni, mestimični, nepomičan, rovovski@
@stationer@|@izdavač, trgovac pisaćim priborom, trgovac priborom@
@stationery@|@kancelarijski pribor, pisaći pribor@
@station-master@|@šef stanice@
@statism@|@etatizam@
@statist@|@statističar@
@statistical@|@statistički@
@statistics@|@statistika@
@statuary@|@vajarski, vajarstvo@
@statue@|@kip, propis, statut, zakon@
@statuesque@|@monumentalan@
@statuette@|@figurina, mali kip@
@stature@|@rast, stas, visina@
@status@|@društveni položaj, pravni položaj, stanje stvari, status@
@statute@|@pisani zakon, statut, ustav, zakonska odredba@
@statutory@|@ozakonjen, ustavan, zakonit@
@staunch@|@čvrst, postojan, pouzdan, veran@
@stave@|@duga, dužica, kitica, prečka, probiti, probušiti@
@stay@|@bavljenje, boravak, boraviti, boravljenje, čekati, mider, ostajati, prebivanje, steznik, zaustaviti@
@stays@|@mider@
@stead@|@pozicija@
@steadfast@|@jak, postojan, ravnomeran, uravnotežen@
@steady@|@neprekidan, postojan, ravnomeran, siguran, staložen, staložiti se, učvrstiti se@
@steak@|@komad mesa@
@steal@|@krasti, oteti, prikradati se, ukrasti@
@stealth@|@potajnost@
@stealthily@|@krišom, potajno@
@stealthy@|@nečujan, skriveni, tajni, tih@
@steam@|@energija, isparavanje, kretati se, kuvati, para, pariti se, pirjaniti se, snaga@
@steamboat@|@parobrod@
@steam-boiler@|@parni kotao@
@steam-engine@|@parni stroj@
@steamer@|@kotao za kuvanje, parobrod@
@steamship@|@parobrod@
@steed@|@konj@
@steel@|@čeličan, čelik, mač, očeličiti se@
@steel-clad@|@oklopljen čelik@
@steely@|@čeličan, nepokolebljiv, neumoljiv, tvrd kao čelik@
@steelyard@|@kantar@
@steep@|@neverovatan, potopiti, preteran, strm, strmina@
@steepen@|@postati strm@
@steeple@|@igla, toranj, zvonara, zvonik@
@steeplechase@|@trka s preponama@
@steer@|@držati pravac, junac, junac, kloniti se, krmaniti, mladi vo, rukovoditi, upravljati, usmeriti@
@steerage@|@kormilarenje, međupaluba, upravljanje@
@steersman@|@kormilar, rukovodilac@
@stellar@|@zvezdan@
@stem@|@cepak, deblo, držak, kalem, osnova (gram.), peteljka, poticati, pramac, protiviti se, stablo, zaustaviti se@
@stem-engine@|@parna mašina@
@stench@|@smrad@
@stencil@|@slikati@
@stenographer@|@stenograf, stenografkinja@
@stenographic@|@stenografski@
@stenography@|@stenografija@
@stentorian@|@prodoran, zvučan@
@step@|@čin, koračati, koraci, korak, papuča, postupak, prag, stepenik, zvanje@
@stepbrother@|@polubrat@
@step-brother@|@polubrat, zet@
@step-daughter@|@pastorka@
@stepfather@|@očuh@
@step-father@|@očuh@
@stepmother@|@maćeha@
@step-mother@|@maćeha@
@stepsister@|@polusestra@
@stepson@|@pastorak@
@step-son@|@pastorak@
@sterile@|@jalov, neplodan, sterilan@
@sterility@|@neplodnost, sterilnost@
@sterling@|@prvoklasan@
@stern@|@nepopustiv, neumoljiv, odlučan, surov@
@stevedore@|@obalski radnik@
@stew@|@kuvati, pirjaniti, pirjanjeno meso@
@steward@|@konobar, nadzornik, podvornik, poslužitelj, stjuart, upravitelj@
@stewardess@|@domaćica, konobarica, sobarica, stjuardesa, stjuardesa@
@stew-pan@|@tiganj@
@stick@|@drška, držak, gurnuti, oklevati, prianjati, priljubiti se, probosti, proburaziti, prut, štap, staviti, zabiti, zabosti, žezlo@
@stick at@|@istrajati@
@stick in one's craw@|@biti neprihvatljiv@
@stickily@|@lepljiv, prilepljiv@
@stickler@|@bodlja, lepak, neko, oglas, plakat, pristalica@
@sticky@|@nepokolebljiv, neprijatan, zagušljiv@
@stiff@|@krut, naporan, nesavitljiv, sputan, strm, težak, tvrd, ukočen, usiljen, vezan, visok@
@stiffen@|@otvrdnuti, pojačati se, ukrutiti se, zgusnuti se@
@stifle@|@gubiti dah, obuzdati, prigušiti, ugasiti, ugušiti, zataškati@
@stigma@|@ljaga, stigma@
@stigmatize@|@osramotiti, žigosati@
@stile@|@stepenica@
@still@|@čak, još, još uvek, mir, miran, tih, tišina@
@still-born@|@mrtvorođenče@
@stillness@|@mir@
@stilly@|@mirno, tiho@
@stilt@|@štula@
@stilted@|@izveštačen, neprirodan@
@stimulant@|@alkohol, nadražujuće, podstrek, stimulativan@
@stimulate@|@ličiti na nekog, nadražiti, podstaći, stimulirati@
@stimulation@|@bodrenje, hrabrenje, podsticaj, stimulisanje@
@stimulus@|@pobuda, podsticaj, stimulus@
@sting@|@opeći, ubod, ubosti, ujed, ujesti, žaoka@
