@English@|@Dutch@
@Afghanistan@|@Afghanistan@
@afraid@|@bang, laf, lafhartig@
@Africa@|@Afrika@
@African@|@Afrikaans@
@Afrikaans@|@Afrikaans, Zuidafrikaans@
@Afrikander@|@Afrikaner, Boer@
@Afrikaner@|@Afrikaner, Boer@
@Afro-Asian@|@Afroaziatisch@
@after@|@achter@
@afterbirth@|@nageboorte@
@afternoon@|@middag, namiddag@
@afterthought@|@nakomertje@
@after-treatment@|@nabehandeling@
@afterwards@|@achteraf, daarna, dan, naderhand@
@again@|@nogmaals, opnieuw, van voren af aan@
@against@|@jegens, met, tegen, tegenaan@
@Agamemnon@|@Agamemnon@
@agar@|@agar-agar@
@agar-agar@|@agar-agar@
@agave@|@agave@
@age@|@leeftijd, ouderdom@
@aged@|@oud@
@agency@|@agentschap@
@agenda@|@agenda, dagorde@
@agent@|@agent, dealer, vertegenwoordiger@
@agglomerate@|@agglomeraat@
@aggregate@|@aggregaat, aggregatie@
@aggresive@|@agressief@
@aggression@|@agressie@
@aggressive@|@agressief@
@aggressor@|@aanvaller@
@agitate@|@agiteren, ophitsen, opruien, opstoken@
@agitated@|@gejaagd, opgewonden@
@agony@|@agonie, doodsangst, doodsstrijd@
@agoraphobia@|@agorafobie, pleinvrees, ruimtevrees@
@agrarian@|@agrariër, landbouwer@
@agree@|@het eens zijn, overeenstemmen@
@agreeable@|@aangenaam, behaaglijk, genoeglijk@
@agreed@|@afgesproken, akkoord, in orde@
@agreement@|@overeenstemming, samenklank@
@agricultural@|@agrarisch@
@agriculture@|@akkerbouw@
@agriculturist@|@agronoom, landbouwkundige@
@ah@|@ach, ah, och, oh@
@aha@|@ach, ah, ha, och, oh@
@ahead@|@daarvoor, eerder, indertijd, vooraan@
@ahoy@|@heiho@
@ai@|@ai, drietenige luiaard@
@aid@|@assistent, famulus, helper, hulp@
@aide-de-camp@|@adjudant, ordonnansofficier@
@aids@|@aids@
@aim@|@aanleggen@
@air@|@lucht@
@air-balloon@|@ballon, luchtballon@
@air-conditioned@|@air-conditioned@
@air-conditioning@|@air-conditioning, airco@
@aircraft@|@vliegmachine, vliegtuig@
@air-cushion@|@luchtkussen@
@air-defence@|@luchtafweer, luchtverdediging@
@airfield@|@vlieghaven, vliegveld@
@air-filter@|@luchtfilter@
@air-fleet@|@luchtvloot@
@air-grid@|@luchtrooster@
@air-gun@|@luchtdrukgeweer@
@air-lift@|@luchtbrug@
@airline-pilot@|@lijnpiloot@
@air-mail@|@luchtpost@
@airplane@|@vliegmachine, vliegtuig@
@air-plane@|@vliegmachine, vliegtuig@
@air-pocket@|@luchtzak@
@air-pollution@|@luchtverontreiniging@
@airport@|@luchthaven@
@air-pressure@|@luchtdruk@
@air-resistance@|@luchtweerstand@
@air-ship@|@luchtschip@
@airsick@|@luchtziek@
@airsickness@|@luchtziekte@
@air-squadron@|@luchteskader, vliegeskader@
@air-valve@|@luchtklep, ventiel@
@airway@|@luchtweg@
@Aix-la-Chapelle@|@Aken@
@ajar@|@op een kier staand@
@Ajax@|@Ajax@
@alarm@|@aanslaan, alarm slaan, alarmeren@
@alas@|@helaas, o wee@
@Alaska@|@Alaska@
@Albania@|@Albanië@
@Albanian@|@Albaans, Albanees@
@Albion@|@Albion, Engeland@
@alcohol@|@alcohol, alcoholische drank, drank@
@alcoholic@|@alcoholist, drankzuchtige, zuiplap@
@alder@|@els, elzeboom@
@alderman@|@schepen, wethouder@
@ale@|@bier@
@Aleppo@|@Aleppo@
@alert@|@druk, kras, kwiek, levendig, rap@
@Alexander@|@Alexander@
@Alexandria@|@Alexandrië@
@alga@|@alge, wier, zeewier@
@algebra@|@algebra, stelkunde@
