@English@|@Dutch@
@stamped@|@gefrankeerd, portvrij, vrachtvrij@
@stanchion@|@deurpost, paal, post, stijl@
@stand@|@huisje, keet, kraam, loods, schuur@
@standard@|@norm, regel, standaardmaat@
@staple@|@haakje, klamp, kramp, nietje@
@star@|@ster@
@starboard@|@stuurboord@
@stare@|@aanstaren, staren, turen@
@starling@|@spreeuw@
@start@|@aanzetten, aanzetten tot, activeren@
@starter@|@aanzetschakelaar, starter@
@startled@|@geschrokken@
@startling@|@ontstellend@
@state@|@beweren, verzekeren@
@statement@|@aangifte, declaratie, uitspraak@
@station@|@station, stationsgebouw@
@station-master@|@stationschef@
@statistics@|@statistiek@
@statue@|@beeld, standbeeld@
@stature@|@figuur, gestalte, lichaamsbouw@
@statute@|@statuut@
@stay@|@logeren@
@steak@|@bief, biefstuk@
@steal@|@sluipen@
@stealthily@|@sluiks, steelsgewijs, tersluiks@
@steam@|@damp, stoom, wasem@
@steam-boiler@|@ketel, stoomketel@
@steamship@|@stoomboot@
@steel@|@staal@
@steep@|@steil@
@steer@|@besturen, dirigeren, mennen, richten@
@steering-wheel@|@stuur, stuurtoestel@
@stem@|@boomstam, stam@
@stench@|@stank@
@stencil@|@patroon, schablone, sjabloon@
@stenography@|@snelschrift, stenografie@
@stenotypist@|@stenotypiste@
@step@|@lopen, schrijden, stappen, treden@
@stepfather@|@stiefvader@
@step-father@|@stiefvader@
@stepmother@|@stiefmoeder@
@step-mother@|@stiefmoeder@
@steppe@|@steppe@
@stereotype@|@cliché, gemeenplaats@
@sterile@|@kiemvrij, onvruchtbaar, steriel@
@sterilize@|@steriliseren@
@stern@|@achtersteven, spiegel@
@stevedore@|@stouwer, stuwadoor@
@stew@|@goulash@
@steward@|@intendant, meier, opzichter@
@stewardess@|@stewardess@
@stewardship@|@rentmeesterschap@
@stick@|@aanhangen, kleven, vastkleven@
@sticker@|@sluitzegel, sticker@
@sticky@|@kleverig, plakkerig@
@stiff@|@afgemeten, ceremonieel, plechtig@
@still@|@nog@
@stimulate@|@aanstoken, irriteren, ophitsen@
@stimulus@|@aansporing@
@sting@|@pikken, priemen, prikken, steken@
@stingray@|@rog@
@stingy@|@gierig, hebzuchtig, inhalig, pinnig@
@stink@|@stinken, vies ruiken@
@stinking@|@stinkend@
@stipulate@|@als voorwaarde stellen, bedingen@
@stipulation@|@bepaling, conditie, voorwaarde@
@stir@|@aangrijpen, bewegen, ontroeren@
@stitch@|@steek@
@stock@|@opslaan@
@Stockholm@|@Stockholm@
@stocking@|@kous@
@stoic@|@stoïcijns, stoïsch@
@stoical@|@stoïcijns, stoïsch@
@stoke@|@stoken, verwarmen@
@stomach@|@maag@
@stone@|@aarden, klei-, van klei@
@stone-chippings@|@steenslag@
@stone-dead@|@morsdood@
@stool@|@kruk, taboeret@
@stoop@|@aflopen, buigen, hellen, overhellen@
@stop@|@logeren@
@stopper@|@plug, prop, stekker, stop, stopmiddel@
@store@|@winkel@
@store-cupboard@|@provisiekast@
@storey@|@etage, verdieping@
@stork@|@ooievaar@
@storm@|@storm@
@story@|@etage, verdieping@
@stout@|@corpulent, gezet, zwaarlijvig@
@stove@|@kachel, oven@
@stow@|@bergen, insluiten, opbergen@
@straight@|@direct, live, recht, rechtstreeks@
@straightedge@|@liniaal@
@straight-edge@|@liniaal@
@straightforward@|@aalwaardig, aalwarig, eenvoudig@
@strained@|@geforceerd, gespannen, strak@
@strainer@|@vergiet@
@strait@|@kanaal, nauw, straat, zeeëngte@
@strand@|@aan de grond lopen, stranden@
@strange@|@buitenlands, onwennig, vreemd@
@stranger@|@onbekende, vreemde, vreemdeling@
@strangle@|@choken, worgen, wurgen@
@strap@|@riem@
@Strasbourg@|@Straatsburg@
@Strassbourg@|@Straatsburg@
@Strassburg@|@Straatsburg@
@strategic@|@krijgskundig, strategisch@
@strategy@|@krijgskunde, strategie@
@straw@|@stro@
@strawberry@|@aardbei@
@streak@|@haal, schrap, schreef, streek, streep@
@stream@|@loop, stroming, stroom@
@streamlined@|@gestroomlijnd@
@strech@|@nauwer aanhalen, opwinden, spannen@
@street@|@straat@
@streetcar@|@tram@
@street-corner@|@straathoek@
@strength@|@sterkte@
@stress@|@accentueren, beklemtonen@
@stress-mark@|@klemtoonteken@
@stretcher@|@brancard, draagbaar@
@strict@|@bar, duchtig, hard, straf, streng@
@stride@|@schrijden@
@strike@|@houwen, klappen, kloppen, slaan@
@striking@|@geprononceerd, juist, raak, snedig@
@string@|@koorde, snaar, stemband@
@stringent@|@gestreng, streng, strikt, wettisch@
@strip@|@reep, strip, strook, windsel@
@stripe@|@gallon@
@stroke@|@aaien, aanhalen, liefkozen, strelen@
@stroll@|@tippel, wandelen, wandeling@
@stroller@|@wandelaar@
@strong@|@fiks, geducht, krachtig, sterk, straf@
@strong-box@|@brandkast, safe@
@strop@|@scheerriem@
@structure@|@bouw, constructie, samenstelling@
@struggle@|@spartelen, worstelen, zich aftobben@
@stub@|@peuk, peukje@
@stubborn@|@halsstarrig, hardnekkig, koppig@
@student@|@student@
@studio@|@studio@
@study@|@studie@
@stuff@|@dingen, spullen@
@stuffing@|@opvulsel, vulling, vulsel@
@stumble@|@struikelen@
@stupid@|@dom, flauw, onnozel, simpel@
@sturdy@|@ferm, fors, hecht, potig, robuust@
@stutter@|@hakkelen, stamelen, stotteren@
@sty@|@hok@
@style@|@stijl, trant@
@stylus@|@etsnaald, griffel, schrijfstift@
@Styria@|@Stiermarken@
@Styx@|@Styx@
@subdue@|@knechten, onderwerpen@
@subject@|@onderwerp, stof, subject@
@subjective@|@subjectief@
@subjugate@|@knechten, onderwerpen@
@subjunction@|@onderschikkend voegwoord@
@subjunctive@|@aanvoegende wijs, conjunctief@
@submit@|@knechten, onderwerpen@
@subordinate@|@achterstellen@
@subscribe@|@geabonneerd zijn op@
@subscriber@|@abonnee@
@subscription@|@abonnement@
@subsequent@|@nagekomen@
@subsequently@|@achteraf, daarna, dan, naderhand@
@subside@|@bedaren, bekoelen, luwen@
@subsidize@|@subsidiëren@
@subsidy@|@ondersteuning, stipendium, subsidie@
@substance@|@goedje, spul, stof, substantie@
@substantive@|@substantief, zelfstandig naamwoord@
@substitute@|@in de plaats stellen van, inboeten@
@substitution@|@aflossing, vervanging@
@subterfuge@|@foefje, kneep, kunstgreep, streek@
@subtle@|@fijn, spitsvondig, subtiel@
@subtract@|@aftrekken@
@subtraction@|@aftrekking@
@suburb@|@voorstad@
@subversive@|@ondermijnend, subversief@
@subvert@|@ondergraven, ondermijnen@
@subway@|@metro@
@succeed@|@doorkomen, klaarspelen, slagen@
@success@|@bloei, geluk, voorspoed, welstand@
@successfully@|@met goed gevolg@
@successor@|@afstammeling, nakomeling, nazaat@
@succumb@|@bezwijken@
@such@|@dergelijke, dusdanige, zo'n, zulk een@
@suck@|@lurken, opzuigen, zuigen@
@suckle@|@de borst geven, zogen@
@Sudan@|@Soedan@
@Sudanese@|@Soedanees@
@sudden@|@plotseling@
@suddenly@|@ineens, opeens, plotseling@
@sue@|@een proces aanspannen tegen@
@suet@|@kaarsvet, reuzel, smeer, talg, talk@
@suffer@|@dragen, naar buiten brengen@
@suffice@|@toereiken, toereikend zijn@
@sufficient@|@genoeg, voldoende@
@sufficiently@|@basta, genoeg, nogal, tamelijk, vrij@
@suffix@|@achtervoegsel, suffix@
@suffocate@|@neerslaan, onderdrukken, smoren@
@sugar@|@suiker@
@sugarbowl@|@suikerpot@
@sugar-bowl@|@suikerpot@
@sugar-cane@|@suikerriet@
@sugar-palm@|@suikerpalm@
@sugary@|@poeslief@
@suggest@|@aanduiden, aangeven, aanwijzen@
@suggestion@|@aanbieding, aanbod, bod, voorslag@
@suit@|@complet, set, stel, stelletje@
@suitability@|@geschiktheid@
@suitable@|@behoorlijk, betamelijk, fatsoenlijk@
@suitcase@|@handkoffer, koffer, valies@
@suite@|@gevolg@
@sulfur@|@zwavel@
@sulfuric@|@zwavel-, zwavelig@
@sullen@|@aalwaardig, aalwarig, gemelijk@
@sulphur@|@zwavel@
@sulphureous@|@zwavel-, zwavelig@
@sulphuric@|@zwavel-, zwavelig@
@sultan@|@sultan@
@sum@|@bedrag, som, somma, summa, totaal@
@Sumatra@|@Sumatra@
@summarize@|@resumeren, samenvatten@
@summary@|@excerpt, overzicht, resumé@
@summer@|@zomer@
@summerhouse@|@zomerhuis, zomerhuisje@
@summer-house@|@zomerhuis, zomerhuisje@
@summit@|@neus, piek, punt, spits, tip, top@
@summon@|@aanschrijven@
@summons@|@assignatie, dagvaarding, exploot@
@sun@|@zonneschijn@
@sunbeam@|@zonnestraal@
@sun-beam@|@zonnestraal@
@Sunday@|@zondag@
@sunflower@|@zonnebloem@
@sun-glasses@|@zonnebril@
@sunlight@|@zonlicht@
@sunrise@|@zonsopgang@
@sunset@|@zonsondergang@
@sunshine@|@zonneschijn@
@superb@|@grandioos, groots, overweldigend@
@superficial@|@ondiep, oppervlakkig@
@superfluous@|@overbodig, overtollig@
@superimpose@|@plaatsen bovenop@
@superintendant@|@intendant, meier, opzichter@
@superior@|@opperste, prevalent, superieur@
@superman@|@übermensch@
@supermarket@|@supermarkt@
@superscription@|@hoofd, opschrift@
@supersign@|@accent, accentteken, kapje@
@superstition@|@bijgeloof@
@superstitious@|@bijgelovig@
@supervise@|@aflezen, checken, controleren@
@supper@|@avondeten, avondmaal@
@supplementary@|@aanvullend@
@supply@|@aanvoer, bezorging@
@support@|@schragen, steunen, stutten@
@supporter@|@aanhanger, adept, beoefenaar@
@supporters@|@aanhang, leden@
@suppose@|@menen, stellen, vermoeden@
@supposition@|@hypothese, mening, onderstelling@
@suppress@|@onderdrukken, opkroppen, verdringen@
@sure@|@gewis, stellig, vast, zeker@
@surely@|@immers, toch, wel, zeker@
@surface@|@oppervlak, oppervlakte@
@surgeon@|@chirurg, heelmeester@
@surgery@|@chirurgie, heelkunde, wondheelkunde@
@surgical@|@chirurgisch@
@Surinam@|@Suriname@
@Surinamer@|@Surinamer@
@Surinamese@|@Surinaams@
@surly@|@bars, honds, nors, nurks, onaardig@
@surmise@|@gissen, vermoeden@
@surname@|@achternaam, familienaam, van@
@surpass@|@overtreffen, overtroeven@
@surplus@|@surplus@
@surprise@|@betrappen, snappen, verrassen@
@surprising@|@verrassend@
@surrender@|@capituleren, zich overgeven@
@surround@|@insluiten, omgeven, omringen@
@surroundings@|@omgeving, omstreken@
@survive@|@beleven, doorleven, doormaken@
@susceptibility@|@ontvankelijkheid@
@suspect@|@verdenken@
@suspenders@|@bretels@
@suspicion@|@achterdocht, argwaan, wantrouwen@
@suspicious@|@achterdochtig, argwanend, wantrouwig@
@sustain@|@schragen, steunen, stutten@
@sustained@|@bestendig, constant, gestaag@
@suture@|@dichtnaaien, hechten@
@Swabia@|@Zwaben@
@Swahili@|@Swahili-@
@swallow@|@doorslikken, inslikken, slikken@
@swamp@|@broek, drasland, moer, moeras@
@swan@|@zwaan@
@swap@|@inruilen, ruilen, wisselen@
@swarm@|@krielen, krioelen, wemelen, wriemelen@
@sway@|@slingeren, zwaaien, zwiepen, zwieren@
@Swazi@|@Swazi, Swazi-taal@
@Swaziland@|@Swaziland@
@swear@|@godlasteren, ketteren, vloeken@
@sweat@|@transpireren, zweten@
@Swede@|@Zweed@
@Sweden@|@Zweden@
@Swedish@|@Zweeds@
@sweep@|@oprijlaan, oprit@
@sweet@|@oppassend, zoet@
@sweet-and-sour@|@zoetzuur@
@sweetheart@|@lief, liefje, lieveling, schat@
@sweetness@|@beminnelijkheid, lieftalligheid@
@sweet-smelling@|@zoetgeurend@
@swell@|@aanzwellen@
@swelling@|@poef, pof@
@swift@|@gauw, gezwind, haastig, snel, spoedig@
@swiftly@|@gauw, hard, in allerijl, schielijk@
@swim@|@drijven, zwemmen@
@swimming-bath@|@zwembad, zweminrichting@
@swimming-pool@|@zwembad@
@swindle@|@frauderen, knoeien, zwendelen@
@swing@|@balanceren, doen schommelen@
@swirl@|@dwarrelen, kolken, warrelen, wervelen@
@swish@|@ritselen, ruisen@
@Swiss@|@Zwitsers@
@switch@|@gard, roede, spitsroede, stokje@
@Switzerland@|@Zwitserland@
@swoon@|@bewusteloos raken, bezwijmen@
@sword@|@slagzwaard@
@Sybrandabuorren@|@Sijbrandaburen@
@syllable@|@lettergreep, syllabe@
@symbol@|@symbool, zinnebeeld@
@symbolize@|@symboliseren@
@symmetric@|@regelmatig, symmetrisch@
@symmetry@|@symmetrie@
@sympathetic@|@innemend, sympathiek, zielsverwant@
@sympathize@|@meevoelen@
@sympathy@|@deelneming, medegevoel@
@symphonic@|@symfonisch@
@symphony@|@symfonie@
@symptom@|@symptoom, teken, verschijnsel@
@synagogue@|@jodenkerk, synagoge@
@synchronous@|@synchronisch@
@syndicate@|@syndicaat, vakbond, vakvereniging@
@syndrome@|@syndroom@
@syntax@|@syntaxis, zinsbouw, zinsleer@
@Syria@|@Syrië@
@Syrian@|@Syrisch@
@syringe@|@injectiespuit@
@syrup@|@siroop, stroop@
@system@|@bestel, stelsel, systeem@
@systematic@|@systematisch@
@tabernacle@|@tabernakel@
@table@|@lijst, tabel, tafel@
@table-cloth@|@dekservet, tafellaken@
@tablet@|@lijst, tabel, tafel@
@tabulation@|@tabel, tafel@
@tackle@|@aan komen lopen, aanpakken@
@tact@|@beleid, maat, ritme, tact@
@tactic@|@tactiek@
@tactics@|@tactiek@
@tadpole@|@kikkervisje@
@tad-pole@|@kikkervisje@
@Tadzhikistan@|@Tadzjikistan@
@Tagus@|@Taag@
@Tahiti@|@Tahiti@
@tail@|@schaduwen@
@tail-light@|@achterlicht@
@tailor@|@kleren maken@
@tails@|@rok@
@Taiwan@|@Taiwan@
@Taiwanese@|@Taiwanees@
@take@|@aannemen, aanvaarden, accepteren@
@tale@|@relaas, verhaal, vertelling, vertelsel@
@talent@|@aanleg, begaafdheid, gave, talent@
@talented@|@getalenteerd, talentvol@
@talk@|@praten, spreken@
@talkative@|@spraakzaam@
@tall@|@hoog, verheven@
@tallow@|@kaarsvet, reuzel, smeer, talg, talk@
@Talmud@|@Talmoed@
@talon@|@klauw@
@tambon@|@tambon@
@tame@|@africhten, dresseren, temmen@
@tampon@|@tampon@
@tan@|@leerlooien, looien, tanen@
@tangerine@|@mandarijn (vrucht)@
@Tangier@|@Tanger@
@tangle@|@verwikkeling, warboel, warnet@
@tango@|@stampen, tango@
@tank@|@reservoir, vergaarbak@
@Tantalus@|@Tantalus@
@Tanzania@|@Tanzania@
@Tanzanian@|@Tanzaniaans@
@tap@|@aanboren@
@tape@|@met een band omgeven@
@tape-recorder@|@bandrecorder, magnetofoon@
@tapestry@|@behang, wandtapijt@
@tar@|@teren@
@tard@|@bits, snibbig@
@tardy@|@laat, vergevorderd@
@tart@|@zuur@
@Tartar@|@Tataar@
@tartness@|@bitsheid@
@Tashkend@|@Tasjkent@
@Tashkent@|@Tasjkent@
@task@|@karwei, klus, opgave, taak@
@taskmaster@|@baljuw, drost, opziener, surveillant@
@Tasmania@|@Tasmanië@
@Tasmanian@|@Tasmaans@
@taste@|@smaken@
@tasteless@|@smaakloos, smakeloos@
@tasty@|@fijn, lekker, smakelijk@
@Tatar@|@Tataars@
@tattered@|@aan flarden gescheurd@
@tattoo@|@taptoe@
@tavern@|@herberg, uitspanning@
@tax@|@aanslaan, belasten@
@taxi@|@taxi@
@taxidriver@|@taxichauffeur@
@taxi-driver@|@taxichauffeur@
@tea@|@thee@
@teach@|@afleren, afwennen@
@teacher@|@lerares, onderwijzeres, schooljuffrouw@
@team@|@equipe, ploeg, team@
@teapot@|@theepot, trekpot@
@tea-pot@|@theebus@
@tear@|@doorscheuren, vaneenscheuren@
@tease@|@plagen@
@teaspoon@|@theelepeltje@
@teat@|@borst, mam, tiet@
@tea-towel@|@afdroogdoek, bordendoek@
@technical@|@technisch@
@technics@|@techniek@
@technique@|@techniek@
@technology@|@technologie@
@teeth@|@gebit@
@teetotalism@|@abstinentie, geheelonthouding@
@Teheran@|@Teheran@
@telegram@|@telegram@
@telegraph@|@overseinen, telegraferen@
@telemetry@|@telemetrie@
@telephone@|@opbellen, telefoneren@
@telescope@|@sterrenkijker, telescoop, verrekijker@
@television@|@televisie@
@tell@|@opgeven, zeggen@
@temper@|@harden, stalen, temperen@
@temperament@|@temperament@
@temperate@|@bezadigd, matig, nuchter, sober@
@temperature@|@temperatuur@
@tempest@|@storm@
@template@|@patroon, schablone, sjabloon@
@temple@|@slaap@
@templet@|@patroon, schablone, sjabloon@
@temporarily@|@tijdelijk@
@temporary@|@tijdelijk@
@tempt@|@bekoren, in verzoeking brengen@
@temptation@|@aanvechting, temptatie, verleiding@
@tempting@|@aanlokkelijk, lekker@
@ten@|@tien@
@tenant@|@huurder@
@tendencious@|@tendentieus@
@tendency@|@aanleg, gesteldheid, wilsbeschikking@
@tendentious@|@tendentieus@
@tender@|@aanbesteding, gunning@
@tenderness@|@delicaatheid, fijnheid, kiesheid@
@tennis@|@tennis@
@tenor@|@tenor, tenorstem@
@tension@|@spanning@
@tent@|@huif, kampeertent, tent@
@tenth@|@tiende@
@term@|@term, vakterm@
@terminal@|@terminal@
@terminate@|@afmaken, afsluiten, beëindigen@
@terminology@|@terminologie, vakwoordenboek@
@termite@|@termiet, thermiet, witte mier@
@terms@|@bepaling, conditie, voorwaarde@
@terrace@|@terras@
@terrain@|@terrein@
@terrestrial@|@aards@
@terrible@|@ijselijk, schrikaanjagend@
@terrify@|@doen schrikken, schrik aanjagen@
@territorial@|@territoriaal@
@territory@|@ban, gebied, grondgebied, territoir@
@terror@|@schrikbewind, terreur@
@terrorism@|@terrorisme@
@terrorist@|@terrorist@
@Tersoal@|@Terzool@
@Terzool@|@Terzool@
@test@|@examen, keuring, onderzoek@
@testament@|@testament, uiterste wil, verbond@
@testify@|@certificeren, getuigen@
@testimony@|@acte, attest, certificaat, getuigenis@
@Teuton@|@Germaan@
@Teutonic@|@Germaans@
@Texan@|@Texaan@
@Texas@|@Texas@
@text@|@tekst@
@textbook@|@leerboek, schoolboek@
@textile@|@weefsel@
@Thai@|@Thais@
@Thailand@|@Siam, Thailand@
@Thames@|@Theems@
@than@|@dan@
@thank@|@bedanken, dank betuigen, danken@
@thankful@|@dankbaar, erkentelijk@
@thanks@|@dank, dankzegging@
@that@|@dat@
@thaw@|@dooien, ontdooien, wegsmelten@
@the@|@aan de, aan het, de, het, naar de@
@theatre@|@schouwburg, theater, toneel@
@theatrical@|@schouwburg-, theater-, toneel-@
@theft@|@diefstal, ontvreemding@
@their@|@haar, hun@
@theirs@|@de hunne, het hunne@
@them@|@aan hun, aan ze, hun, ze@
@theme@|@apropos, onderwerp, stof, thema@
@then@|@dus, ergo, ook weer, toch@
@thence@|@daar ... vandaan, daarvan, vandaar@
@theologian@|@theoloog@
@theology@|@godgeleerdheid, theologie@
@theorem@|@stelling, theorema@
@theory@|@theorie@
@therapy@|@therapie@
@there@|@aldaar, daar, daarginds, er, ginds@
@thereafter@|@daarop, vervolgens@
@therefore@|@dus, ergo, ook weer, toch@
@thermometer@|@thermometer, warmtemeter@
@thermos@|@thermosfles@
@thermostat@|@thermostaat@
@these@|@dit, dit hier@
@thesis@|@dissertatie, proefschrift, stelling@
@they@|@hen, hun, ze, zij@
@thick@|@dicht, dik, gebonden@
@thicken@|@aandikken, verdikken@
@thickness@|@dikte, lijvigheid@
@thief@|@dief, steler@
@thigh@|@bovenbeen, dij@
@thimble@|@vingerhoed, vingerhoedje@
@thin@|@mager, schraal, sprietig@
@thing@|@ding, voorwerp@
@thingamajig@|@dinges@
@things@|@dingen, spullen@
@think@|@achten, geloven, van mening zijn@
@thinking@|@nadenkend@
@third@|@derde@
@thirst@|@dorst@
@thirsty@|@dorstig@
@thirteen@|@dertien@
@thirty@|@dertig@
@this@|@dit, dit hier@
@thither@|@daarheen@
@thorn@|@doorn@
@thoroughgoing@|@diepgaand, grondig@
@thoroughly@|@grondig, radicaal@
@those@|@dat, datgene, zulks@
@thou@|@je, jij, jou@
@though@|@al, alhoewel, hoewel, ofschoon, wel@
@thought@|@gedachte@
@thoughtful@|@nadenkend@
@thousand@|@duizend@
@Thrace@|@Thracië@
@Thracia@|@Thracië@
@thrash@|@afranselen@
@thread@|@draad, garen@
@threat@|@bedreiging, dreigement, dreiging@
@threaten@|@bedreigen, dreigen@
@three@|@drie@
@thresh@|@afranselen, afrossen, dorsen@
@threshold@|@dorpel, drempel@
@thrifty@|@spaarzaam@
@throat@|@keel, keelgat, strot@
@throb@|@kloppen, pulseren@
@throne@|@troon@
@through@|@door, met, per@
@throughout@|@dwars door@
@throw@|@gooien, keilen, uitspelen, werpen@
@thrust@|@douwen, dringen, duwen, stoten@
@thumb@|@duim@
@thunder@|@bulderen, daveren, donderen@
@Thursday@|@donderdag@
@thus@|@als volgt@
@Tiber@|@Tiber@
@Tiberius@|@Tiberius@
@Tibet@|@Tibet@
@Tibetan@|@Tibetaans@
@tic@|@tic, tijk, trekking@
@tick@|@teek@
@ticket@|@biljet, kaartje, plaatsbewijs@
@ticket-window@|@loket@
@tickle@|@kietelen, kriebelen@
@tidbit@|@lekkernij, snoep, snoepgoed@
@tide@|@getij, tij@
@tidy@|@ordelijk@
@tie@|@das, stropdas@
@tiger@|@tijger@
@tight@|@nauw, nauwsluitend, stipt, streng@
@tighten@|@aantrekken, strakker aantrekken@
@tightly@|@strak@
@Tigris@|@Tigris@
@tile@|@plavuis, tegel, tegelsteen, tichel@
@till@|@fonds, geldkist, kas@
@tilt@|@buigen, doen overhellen, neigen@
@timber@|@hout@
@time@|@keer, maal@
@time-table@|@dienstregeling, rooster@
@timid@|@bang, benepen, beschroomd@
@Timor@|@Timor@
@tin@|@blikken@
@tinder@|@tondel, tonder, tonderzwam, zwam@
@tinkle@|@kletteren, klingelen, rinkelen@
@tin-opener@|@blikopener, opener@
@tint@|@nuance, nuancering, schakering@
@tiny@|@klein, minuscuul, minuskuul, propperig@
@tip@|@stortplaats@
@tipsy@|@aangeschoten, roezig@
@tired@|@mat, moe, vermoeid@
@tiresome@|@melig, saai, taai, vermoeiend@
@Titan@|@Titan@
@titanic@|@geweldg, titanisch@
@title@|@betitelen, titelen, tituleren@
@titmouse@|@mees@
@Tjonger@|@Kuinder, Tjonger@
@to@|@aan, bij, naar, tegen, tot, voor@
@toad@|@pad@
@toast@|@braden, branden, roosteren@
@tobacco@|@tabak@
@tobacconist's@|@sigarenwinkel@
@today@|@heden, vandaag@
@to-day@|@heden, vandaag@
@toe@|@teen@
@together@|@bijeen, ineen, samen, tezamen@
@Togo@|@Togo@
@Togoland@|@Togo@
@toilet@|@privaat, secreet, toilet@
@toilet-paper@|@closetpapier, toiletpapier, WC-papier@
@token@|@adstructie, bewijs, teken@
@tolerate@|@aanzien, dulden, lijden, toelaten@
@tolling@|@geklep, gelui, klokgelui@
@tomato@|@tomaat@
@tomato-soup@|@tomatensoep@
@tomb@|@graf, groeve@
@tomorrow@|@morgen@
@ton@|@ton@
@tone@|@intonatie, toon@
@tongs@|@knijper, schaar@
@tongue@|@tong@
@tonight@|@vannacht@
@too@|@eveneens, evenzeer, mede, ook@
@tool@|@middel, werktuig@
@tooth@|@tand@
@toothache@|@kiespijn, tandpijn@
@tooth-brush@|@tandenborstel@
@tooth-paste@|@tandpasta@
@toothpick@|@tandenstoker@
@top@|@afknotten@
@topic@|@actualiteit, iets actueels@
@topical@|@actueel, tegenwoordig@
@topicality@|@actualiteit@
@torch@|@fakkel, flambouw, toorts@
@torment@|@koeioneren, kwellen, martelen@
@torn@|@gescheurd@
@torpedo@|@torpederen@
@torrent@|@bergstroom, stroom, vloed@
@tortoise@|@schildpad@
@torture@|@folteren, martelen, pijnigen@
@toss@|@gooien, opgooien@
@total@|@algeheel, totaal@
@totalitarianism@|@totalitarisme@
@totem@|@totem@
@touch@|@aanslag@
@touching@|@aangrijpend, emotioneel, roerend@
@tour@|@rondreis, tournee@
@tourism@|@toerisme@
@tourist@|@toerist@
@tournament@|@steekspel, toernooi@
@tousle@|@opzetten, rechtop zetten@
@tow@|@boegseren, slepen, trekken@
@toward@|@aan, bij, naar, tegen, tot, voor@
@towards@|@aan, bij, naar, tegen, tot, voor@
@towel@|@handdoek@
@tower@|@toren@
@towing-line@|@sleepkabel, sleeptouw, sleeptros@
@town@|@plaats, stad, stadje@
@townhall@|@gemeentehuis, raadhuis, stadhuis@
@town-hall@|@gemeentehuis, raadhuis@
@township@|@buurtschap, gehucht, vlek@
@toy@|@speelbal, speeltuig, stuk speelgoed@
@trace@|@afbakenen@
@track@|@afdruk, spoor, voetspoor@
@tractability@|@gedweeheid, meegaandheid, volgzaamheid@
@tractable@|@handelbaar, inschikkelijk@
@tractor@|@tractor, trekker@
@trade@|@handel drijven, handelen@
@trade-union@|@vakvereniging@
@trading@|@handel, handeldrijven@
@tradition@|@overlevering, traditie@
@traditional@|@traditioneel@
@traffic@|@circulatie, omloop, roulatie@
@tragedy@|@tragisch@
@tragic@|@tragisch@
@trail@|@karrespoor, spoor, wagenspoor@
@trailer@|@aanhangwagen@
@train@|@gevolg@
@trait@|@gelaatstrek, karaktertrek, trek@
@tram@|@tram@
@tramping@|@gestamp, getrappel@
@tranquil@|@bedaard, gerust, kalm, rustig@
@transaction@|@transactie@
@transfer@|@afboeken, opnemen@
@transform@|@vervormen@
@transgress@|@zondigen@
@transgression@|@zonde@
@transistor@|@tor, transistor@
@transitive@|@overgankelijk, transitief@
@Transkei@|@Transkei@
@translate@|@overzetten, translateren, vertalen@
@translation@|@overzetting, translaat, translatie@
@transliteration@|@transcriptie, transkriptie, transport@
@transmit@|@doen toekomen, opsturen, sturen@
@transparant@|@doorzichtig, transparant@
@transport@|@overbrengen, transporteren, voeren@
@Transvaal@|@Transvaal@
@transverse@|@dwars@
@transvestite@|@travestiet@
@Transylvania@|@Transsylvanië@
@trap@|@slag, val, valstrik@
@travel@|@gaan, karren, rijden, varen@
@traveler@|@reiziger@
@traveller@|@reiziger@
@travesty@|@travestie@
@tray@|@dienblad, presenteerblad@
@treacherous@|@dubbelhartig, trouweloos, verraderlijk@
@treachery@|@verraad@
@tread@|@lopen, schrijden, stappen, treden@
@treasure@|@schat@
@treat@|@behandelen, cureren@
@treatise@|@verhandeling@
@treatment@|@behandeling, kuur@
@treaty@|@traktaat, verdrag, verhandeling@
@tree@|@boom@
@tree-trunk@|@boomstam, stam@
@tremble@|@beven, bibberen, huiveren, rillen@
@trench@|@loopgraaf@
@tressle@|@bank, bok, ezel, rek, schraag@
@Treves@|@Trier@
@trial@|@probeersel, proefstuk@
@triangle@|@driehoek, triangel@
@tribal@|@stam-@
@tribe@|@geslacht, stam, volksstam@
@tribunal@|@balie, gerecht, gerechtsgebouw@
@tribute@|@cijns, schatting@
@trick@|@aanwensel, hebbelijkheid@
@trickery@|@foefje, kneep, kunstgreep, streek@
@tricycle@|@driewieler@
@Trieste@|@Triëst@
@trifle@|@bagatel, beuzelarij, futiliteit@
@trifling@|@beuzelachtig, luizig, onbeduidend@
@trigger@|@haan van een vuurwapen@
@trigonometry@|@driehoeksmeting, trigonometrie@
@trill@|@trillers maken@
@trillion@|@triljoen@
@trilogy@|@trilogie@
@trim@|@afzetten, beslaan, garneren@
@Trinity@|@Drieëenheid@
@trip@|@reis, tocht, toer, trip@
@triple@|@driedubbel, drievoudig@
@Tripoli@|@Tripoli@
@trishaw@|@fietstaxi@
@trite@|@afgezaagd, alledaags, banaal@
@Triton@|@Triton@
@triumph@|@triomferen, zegepralen, zegevieren@
@Trojan@|@Trojaan@
@trolley@|@beugel, trolley@
@trolleybus@|@trolleybus@
@trolley-bus@|@trolleybus@
@trombone@|@schuiftrompet, trombone@
@troop@|@bende, horde@
@tropical@|@tropisch@
@tropics@|@keerkring@
@trot@|@draven, dribbelen@
