@English@|@Kinyarwanda@
@rise to sthg@|@byara v. [ku-]@
@robber@|@bandi n. [i- ama-], jura n. [umu- aba-]@
@rock@|@buye n. [s. i- pl. ama-], sarabwayi n.[i- ama-]@
@rocket@|@misile n.@
@rolled (R)@|@karage n. [in-](rb Bz)@
@Roman@|@romani adj. [cy'aba-]@
@Roman Catholic Church@|@Kiliziya Gatolika@
@Roman numerals@|@bare n. [imi-] y'ikiromani@
@rongo n. [s. umu- pl. imi-]@|@line@
@room@|@umba n. [s. icy- pl. iby-], zu n. [s. in- pl. ama-], anya n. [um- imy-]@
@rosary@|@Rozari n., shapure n. [i- ama-]@
@rounding@|@burungushura n. [i-]@
@ruin@|@angiza v. [kw-]@
@rule@|@tegeko n. [i- ama-]@
@ruler@|@tegetsi n. [s. umu- pl. aba-], yobozi n. [s. umu- pl.aba-]@
@rumo(u)rmonger@|@nyamazimwe n. [umu- aba-]@
@run counter to@|@hinyura v. [gu-]@
@run-of-the-mill@|@sanzwe adj. [gi-], menyabose adj. [s. iki-]@
@rush@|@shyira v. ku murindi@
@rustic@|@nyacyaro n. [umu- aba-]@
@Rwandan@|@nyarwanda@
@Rwandan(s)@|@nyarwanda n.[s. umu- pl. aba-]@
@Rwandans' or Christian God@|@mana n. [s. I- pl. I-]@
@Rwandese@|@nyarwanda n.[s. umu- pl. aba-]@
@sa n. [ubu-]@|@zero@
@Sabbath@|@Sabato@
@sacred@|@tagatifu adj. [gi-]@
@saint@|@tagatifu n. [s. umu- pl. aba-], ziranenge n.[umu-]@
@salad oil@|@vuta n. [ama-] yo gutekesha@
@salt@|@unyu n. [um- imy-]@
@salvation@|@kiza n. [s. aga-], kiro n. [s. umu-]@
@sarani n. [umu- imi-]@|@WESE n. [Ø- ama-], water closet@
@saruro n. [umu-]@|@product@
@sassaby@|@nyemera n. [i-]@
@Satan@|@Shitani n., Satani n., Sekibi n.@
@Saturday@|@ku isabato, ku wa gatandatu@
@saucer@|@gasire n. (SPOR)[in-]@
@scene@|@buga n. [uru-]@
@school@|@shuri n. [s. i- pl. ama-]@
@science@|@menyi n [pl. ubu-]@
@score@|@nota n. [i- ama-]@
@screw@|@rongorana v. [ku-]@
@sculpture@|@hangamashusho n. [s. i-]@
@seance@|@nama n. [i- ama-]@
@search@|@shakashatsi n. [ubu-]@
@seat@|@caro n. [s. icyi- pl. ibyi-], anya n. [um- imy-], tebe n. [in-], icaro n. [icy- iby-], buno n. [iki- ibi-]@
@second Kinyarwanda noun class@|@ba@
@see red@|@bisha v. [ku-], hinduriza v. [gu-], gira v. urukara@
@seed@|@buto n. [im-], gemwe n. [uru- in-], sohoro n. [ama-]@
@semantics (sg)@|@iganyito n. [iy-]@
@semicolon@|@bago n. [aka-] n'akitso, bago n. n'akitso (rb Bz)@
@seminal fluid@|@sohoro n. [ama-]@
@send@|@ohereza v. [k-]@
@sense@|@umviro n. [icy- iby-]@
@sentence@|@teruro n. [s.&pl. in-]@
@separate@|@shyira v. ukubiri, tanya v. [gu-]@
@separation of property@|@vanguramutungo n. [i-]@
@September@|@Nzeri, ukwezi kwa cyenda@
@sepulchre@|@va n. [im-]@
@serflike@|@garagu n. [umu- aba-]@
@servant@|@garagu n. [s. umu- pl. aba-]@
@service@|@zi n. [aka-], gabuzi (REL.) n. [ubu-]@
@servile@|@garagu n. [umu- aba-]@
@session@|@nama n. [i- ama-]@
@set off@|@shyira v. nzira, genda v. [ku-]@
@set opposite each other@|@shyamiranya v. [gu-]@
@set out@|@genda v. [ku-]@
@seven@|@indwi, karindwi@
@seventeenth letter of Kinyarwanda alphabet@|@r@
@seventh letter of Kinyarwanda alphabet@|@g@
@sex@|@tsina n. [igi- ibi-]@
@sex act@|@huzabitsina n. [i-]@
@sexual congress@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@sexual intercourse@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@sexual relation@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@shadow@|@ijima n. [umw-]@
@shake (head)@|@zunguza v. [ku-]@
@shallow@|@shashe adj. [s. gi- pl. bi-]@
@sharp@|@songoye adj. [gi-], tyaye adj. [gi-]@
@sharpness@|@isharirize n. [ubw-]@
@shave@|@iyogoshesha v. [kw-]@
@she-bop@|@ikinisha v. [kw-]@
@sheet@|@shuka n. [i- ama-]@
@sheet of paper@|@papuro n. [uru- im-]@
@shelter@|@gando n. [s.&pl. in-], ugamisha v. [ku-], ugamo n. [pl.ubw-]@
@shimi n.@|@chemistry@
@shine@|@aka v. [kw-]@
@ship@|@ohereza v. [k-]@
@shobozi n. [pl. ubu-]@|@power@
@shoot down (plane)@|@hanura v. [gu-]@
@shopping@|@hashyi n. [ubu-], guzi n. [ubu-]@
@showman@|@ishingira n.[umw-ab-] (rb rtd)@
@shuka n. [i- ama-]@|@sheet, bed sheet, fog@
@sigara n. [igi-]@|@remainder@
@sigo n. [igi- ibi-]@|@poem@
@sin@|@aha n. [s. icy- pl. iby-]@
@since@|@ho adj. clause [a-], uhereye, kubera@
@sincerely@|@mu by'ukuri@
@sincerity@|@vugakuri n. [i-]@
@sing@|@ririmba v. [ku-]@
@singer@|@ririmbyi n. [s. umu- pl. aba-]@
@singular@|@bumwe n. [s. ubu-]@
@sinister@|@aku n. [s. umw- pl. imy-]@
@sinless@|@zirakarengane n. [in-]@
@sister@|@bikira n. [umu- aba-], shiki n. [mu- ba-]@
@sit@|@caro n. [s. icyi- pl. ibyi-]@
@sitting@|@nama n. [i- ama-]@
@sitting room@|@ganiriro n. [uru-] (rb rtd)@
@six@|@gatandatu@
@sixteenth letter of Kinyarwanda alphabet@|@p@
@sixth letter of Kinyarwanda alphabet@|@f@
@skill@|@hanga n. [ubu-], genge n. [ubu-]@
@skin@|@hu n. [s. uru- pl. im-]@
@slap (in the face)@|@shyi n. [s. uru- pl. in-]@
@slap sb in the face@|@kubita v. [gu-] (urushyi)@
@slap sb's face@|@kubita v. [gu-] (urushyi)@
@slatted base@|@saso n. y'imbaho@
@slaughter@|@baga v. [ku-]@
@slave@|@bata n. [s.&pl. im-]@
@slaver@|@konda n. [in-]@
@sleep@|@sinzira v. [gu-]@
@sleep with@|@rongorana v. [ku-]@
@slightly@|@buhoro adv.@
@slip@|@papuro n. [uru- im-]@
@slip (to have a slip)@|@vuga v. [ku-] uburimi@
@slipover@|@pira n. [s. umu- pl. imi-]@
@slipper@|@kamambiri n., kambambiri n.@
@slober@|@konda n. [in-]@
@slowly@|@buhoro adv., buhoro buhoro adv.@
@slumber@|@sinzira v. [gu-]@
@small@|@gato adj.@
@small covered clay pot@|@abya n. [s. urw- pl. inz-]@
@small rubber bag@|@shashi n. [i- ama-]@
@small talk@|@zimwe n. [ama-]@
@smoke@|@otsi n. [s. umw- pl. imy-]@
@smoothness@|@orohere n. [ubw-], nyerere n. [ubu-]@
@snake@|@zoka n. [s.&pl. in-]@
@snooze@|@hunikira v. [gu-]@
@so@|@tyo adv. [bi-]@
@so-and-so@|@timujisho n. [gi-]@
@soften@|@oroshya v. [k-]@
@software@|@porogaramu nkoreshabyuma n.@
@soil@|@taka n. [ubu-]@
@solemn affirmation (JUR)@|@yemeza n. [i-]@
@solution@|@subizo n. [igi- ibi-], anzuro n. [umw- imy-]@
@somersault@|@gatebegatoki n.@
@son@|@ana n. /umwâana/ umw- pl. aba-, hungu n. [s. umu- pl. aba-]@
@song@|@dirimbo n. [s.&pl. in-]@
@soothe@|@gabanya v. [ku], oroshya v. [k-]@
@so-so@|@buhoro buhoro adv.@
@source@|@vano n. [imv-], soko n. [i-]@
@sourness@|@sharire n. [ubu-]@
@sourse of illumination@|@tara n. [i- ama-]@
@South@|@jyepfo n. [pl. ama-]@
@southwest@|@jyepfo y'iburengerazuba@
@space@|@anya n. [um- imy-], bezi n. [iki- ibi-] (rb Bz)@
@speak@|@gamba v. [ku-], vuga v. [ku-]@
@special@|@hariye adj. [cyi-]@
@specially@|@ihariko adv. (by'umw-)@
@species@|@oko n. [ubw-]@
@speech@|@jambo n. [s. i- pl. ama-]@
@spelling@|@andikire n. [imy-] (rb Bz)@
@spelling system@|@andikire n. [imy-] (rb Bz)@
@spend a penny@|@nyara v. [ku-]@
@sperm@|@sohoro n. [pl. ama-]@
@sphere@|@bumbe n. [umu- imi-]@
@spleen@|@agashya n. [s. urw- pl. inz-]@
@split@|@tanya v. [gu-]@
@split up@|@tanya v. [gu-]@
@spoil@|@angiza v. [kw-]@
@sponsor@|@ishingira n.[umw-ab-] (rb rtd)@
@spoon@|@yiko [s.iki- pl. ibi-], yiko n. [iki- ibi-]@
@spouse@|@shyingiranywe n. [uwa-aba-] na@
@spring@|@rasoro n. [Ø- ama-]@
@springboard@|@bashuro n.(SPOR.)s.aka-pl.utu-@
@sprout@|@twetwe n. [s. umu- pl. imi-]@
@sprung bed base@|@saso n. ya rasoro@
@spurt@|@shunzi n. [s. uru-], nyara v. [ku-]@
@squander@|@sesagura v. [gu-], aya v. [kw-], tagaguza v. [gu-]@
@square root@|@ikubekabiri n. [umw-]@
@squash@|@hebya v. [gu-]@
@staff of sb's old age@|@koni n. [aga-] k'iminsi@
@stage@|@buga n. [uru-]@
@stagger@|@dandabirana v. [ku-]@
@stagger along@|@dandabirana v. [ku-]@
@staight@|@shashe adj. [s. gi- pl. bi-]@
@stand on your own two feet@|@igenga v. [kw-], haza v. [kw-]@
@star@|@rangirire n. [iki- ibi-]@
@start off@|@genda v. [ku-]@
@start singing@|@kuranura v. (MUS.) [gu-]@
@start up@|@genda v. [ku-]@
@state@|@leta n. [s. Ø- pl. ama-]@
@state of abandon (in a)@|@tereranywe adj. [cya-]@
@steam@|@otsi n. [s. umw- pl. imy-]@
@step mother@|@shyari n. [s. i- pl. ama-]@
@stepmother@|@gore n. wa kabiri, ka n.[mu- ba-] so, kaso n. [mu- ba-]@
@stepparent@|@ka n. [mu- ba-]@
@sting@|@bori n. [uru- im-]@
@stir up@|@shyushya v. [gu-]@
@stockpile@|@bitse n. [ibi-]@
@stolen@|@ibwe adj. [icy-], ibano n. [icy-]@
@stomach@|@da n. [s.&pl. in-], fu n. [igi- ibi-]@
@stone@|@buye n. [s. i- pl. ama-]@
@stool@|@byi n. [ama-]@
@stop@|@bago n. [aka- utu-] (rb Bz)@
@stopper@|@pfundikizo n. [igi- ibi-]@
@storm@|@hengeri n. [n. umu- pl. imi-]@
@strange@|@aduka n. [s. inz-]@
@strength@|@basha n. [pl. ubu-], shobozi n. [pl. ubu-], baraga n. [im-], tarumikwa n. [ubu-] (shy)@
@stress@|@bonezajwi n.[aka-utu-](rb Bz)@
@strike up@|@kiranura v. (MUS.) [gu-]@
@stroke@|@syushyanya v. [gu-]@
@strong@|@tarumikwa adj. [in-] (shy)@
@structure@|@terere n. [imi-]@
@study@|@shakashatsi n. [pl. ubu-]@
@stun@|@mena v. [ku-] (amatwi)@
@stupid@|@futi n. [s. i- pl. ama-]@
@style@|@susire n. [pl. imi-]@
@style [GRAM.]@|@andikire n. [pl. imy-]@
@subject@|@ruhamwa (rw'inshinga)@
@submission@|@yoboke n. [ubu-], yoboka n. [uku-] wese@
@subservient@|@nyamujyiyobijya n.@
@subsidiary@|@gereka n. [umu-](rb Bz)@
@substitution@|@goragoza n. [i-] (rb Bz)@
@suburb@|@kengero n. [in-]@
@succeed@|@sohora v. [gu-]@
@succession@|@zungura n. [i-]@
@successive@|@kurikiranye adj.[s.gi- pl.bi-]@
@successiveness@|@zungura n. [i-]@
@suffix@|@gereka n. [s.&pl. in-]@
@suflower oil@|@vuta n. [ama-] y'ubuto@
@suitcase@|@varisi n. [i- ama-]@
@sukika n. [igi- ibi-]@|@fluid@
@summarize@|@hina v. [gu-]@
@summary@|@camake n. [in-]@
@sun@|@zuba n. [s. i- pl. ama-]@
@Sunday@|@ku cyumweru@
@superordinate (term)@|@akira n. [iny-] (rb Bz)@
@supplement@|@uzuza v. [ku-]@
@supporter@|@kingi n. [in-] (rb Bz)@
@surprise)@|@a interj.@
@surroundings pl.@|@hana n. [s. umu- pl. imi-]@
@suspect@|@keka v. [gu-]@
@swear@|@rahira v. [ku-], rahirira v. [ku-]@
@swear in@|@rahiza v. [ku-]@
@sweater@|@pira n. [s. umu- pl. imi-]@
@sweeping@|@sesuye adj. [s. gi- pl. bi-]@
@swelling@|@byimba n. [s. iki- pl. ibi-]@
@symbol@|@ibukiro n. [irw- inz-](rb rtd)@
@symphonic music@|@sobenyamajwi n. [uru-in-](shy)@
@symphony@|@sobenyamajwi n. [uru-in-](shy)@
@synagogue@|@sengero n.[s.uru- pl.in-], Hekaru, sinagogi n.[i-]@
@synonym@|@sobanurwakimwe n. [s.&pl. in-]@
@syntactic analysis@|@sesenguranteruro n.[i-](rb Bz)@
@syringue@|@shinge n. [uru- in-]@
@system@|@unge n. [s. urw-]@
@tabire n. [ubu-]@|@chemistry@
@table@|@bonerahamwe n. [s.&pl. im-], eza n. [s.&pl. am-], eza n. [am-]@
@table of contents@|@shakiro n. [i- ama-]@
@tablespoon@|@yiko n. [iki- ibi-]@
@taenia@|@ryi n. [s. iki- pl. ibi-]@
@taganye adj. [gi-]@|@parallel@
@take@|@shyira v. [gu-]@
@take a leak@|@nyara v. [ku-]@
@take away from@|@aka v. [kw-]@
@take off (plane)@|@genda v. [ku-]@
@take sb aside@|@shyira v. umuntu ukwe, shyira v. umuntu ku ruhande@
@take to@|@ibanda v. [kw-]@
@taking away@|@igizayo n. [iy-], kuraho n. [i-]@
@taking over@|@zungura n. [i-]@
@talon@|@kohwa n. [igi- ibi-]@
@tambitse adj. [gi-]@|@horizontal@
@tapeworm@|@manika n. [s.&pl. i-], ryi n. [s. iki- pl. ibi-]@
@tarapezi n.@|@trapezoid@
@task@|@rimo n. [umu- imi-], ate n. [icy- iby-]@
@taunt@|@cyurira v. [gu-]@
@tea@|@ayi n. [i- iby-]@
@tea leaf@|@ayi n. [i- iby-]@
@teacher@|@alimu n. [s. umw- pl. aba-]@
@teaspoon@|@yiko n. [iki- ibi-]@
@technology@|@koranabuhanga n. [s. i-], koranabuhanga n. [ik-]@
@tee shirt@|@tisheti n. [i- am-]@
@teen@|@sore n. [ubu-], kumi n. [ubu-]@
@teenage@|@sore n. [ubu-], kumi n. [ubu-]@
@teenaged@|@sore n. [ubu-], kumi n. [ubu-]@
@teenager@|@sore n. [umu- aba-], kumi n. [in-], garagu n.[in-]@
@telephone@|@telefoni@
@telephone line@|@rongo n. wa telefoni@
@telephone set@|@telefoni@
@television@|@televiziyo n.@
@telly@|@televiziyo n.@
@temeri n. [s. umu- pl. imi-]@|@cone@
@temeri n. nyamigongo@|@pyramid@
@tempest@|@hengeri n. [n. umu- pl. imi-]@
@temple@|@sengero n., ngoro n. [s.&pl.i-]@
@Tempter (the)@|@shukanyi n. [umu- aba-]@
@ten@|@cumi n. [s. i- pl. ama-]@
@tense@|@he n. [s. igi- pl. ibi-]@
@tenth letter of Kinyarwanda alphabet@|@j@
@tepid@|@zuyazi adj. [s. aka-]@
@teranyo n. [igi-]@|@sum@
@testicle@|@bya n. [s. i- pl. ama-]@
@testis (specilized)@|@bya n. [s. i- pl. ama-]@
@text@|@andiko n. [s. umw- pl. imy-]@
@textile@|@tambaro n. [igi- ibi-]@
@the fifth letter in Kinyarwanda alphabet@|@e@
@the fourth letter in Kinyarwanda alphabet@|@d@
@the next day@|@bukeye@
@the second letter in Kinyarwanda alphabet@|@b@
@the third letter in Kinyarwanda alphabet@|@c@
@theoretical@|@boneshabwenge adj. [m-](rb Bz)@
@theory@|@hange n. [i-]@
@there@|@ho adj. dem. [a-]@
@there is/are@|@reba (biri kure)@
@There is/are@|@hari@
@thigh@|@bero n. [iki- ibi-]@
@third Kinyarwanda noun class for things@|@mu@
@thirteenth letter of Kinyarwanda alphabet@|@m@
@this@|@yu adj. DEM. [s. u-], ki adj. DEM. [s. i-]@
@this (one)@|@ki adj. (DEM.) [i-]@
@those we talked about@|@zo adj. dem. [i-]@
@those who work together@|@terahamwe n. [s.&pl. in-]@
@three@|@gatatu@
@three-D (3D)@|@nyamubyimba adj.@
@throw@|@naga n. [s. i-]@
@throwing@|@naga n. [s. i-]@
@thumb@|@kumwe n. [igi- ibi-]@
@thunder@|@kuba n. [in-]@
@Thursday@|@ku wa kane@
@tie@|@funga v. [gu-]@
@time@|@saha n. [s. i- pl. ama-], anya n. [um- imy-]@
@tittle-tattle@|@zimwe n. [ama-]@
@to@|@i prep., kugera@
@toast@|@izihiza v. [kw-]@
@toe@|@no n. [i- ama-]@
@toilet@|@sarani n. [umu- imi-], tuwaleti n. [Ø- ama-]@
@tomentum@|@satsi n. [s. umu- pl. imi-]@
@tone down@|@oroshya v. [k-], gabanya v. [ku-]@
@tooshie@|@buno n. [iki- ibi-]@
@tooth@|@inyo n. [s. iry- pl. ama-]@
@top@|@pfundikizo n. [igi- ibi-]@
@tope@|@nywa v. [ku-]@
@topi@|@nyemera n. [i-]@
@tornado@|@sata n. [i-]@
@tower@|@nara n. [s. umu- pl. imi-], kingi n. [ink-]@
@towner@|@nyamujyi n. [umu- aba-]@
@townsman@|@nyamujyi n. [umu- aba-]@
@traditional knowledge@|@bumenyi n. [pl. ubu-] gakondo@
@traditional Rwandan form of court@|@caca n. [Inkiko Ga-]@
@trait@|@karango n. [aka- utu-](rb Bz)@
@traitor@|@hemu n. [umu- aba-], tati n. [in-]@
@transfer@|@imur(rir)wa n. [iy-] ahandi, ohereza v. [k-]@
@transferred possession@|@zungura n. ritagira nyiraryo@
@transmit@|@ohereza v. [k-]@
@transparency@|@cyo n. [umu-] (nta bwiru)@
@transverse flute@|@irongi n. [umw- imy-]@
@trapezoid@|@tarapezi n.@
@travel warrant@|@andiko n. rw'inzira (rb rtd), bari n [iki- ibi-]@
@travelling bag@|@kapu n. [igi- ibi-], varisi n. [i- ama-]@
@treasonist@|@tati n. [in-]@
@tree@|@giti n. [s. igi- pl. ibi-], ti n. [s. igi- pl. ibi-]@
@triangle@|@mpandeshatu n.@
@trifle@|@ntakavuro n.@
@trilled (R)@|@karage n. [in-](rb Bz)@
@Trinity@|@Ubutatu Butagatifu@
@trinket@|@ntakavuro n.@
@trouble@|@ago n. [s. icy- pl. iby-]@
@trousers@|@pantalo n. [i- ama-]@
@truly@|@mu by'ukuri@
@truth@|@kuri n. [s. u-]@
@try to do@|@gerageza v. [ku-] gukora, ibanda v. [kw-]@
@t-shiert@|@tisheti n. [i- am-]@
@Tuesday@|@ku wa kabiri@
@tumble@|@gatebegatoki n.@
@tumbler@|@rahuri n. [iki- ibi-], kombe n. [igi- ibi-]@
@turf@|@atsi n. [s. aka]@
@tuwaleti n. [Ø- ama-]@|@WESE n. [Ø- ama-], water closet@
@tv.@|@televiziyo n.@
@twelve@|@cumi na kabiri, cumi na kabiri@
@twelveth letter of Kinyarwanda alphabet@|@l@
@twentieth letter in Kinyarwanda alphabet@|@u@
@twenty first letter in Kinyarwanda alphabet@|@v, v, v@
@twenty fourth letter in Kinyarwanda alphabet@|@z@
@twenty second letter in Kinyarwanda alphabet@|@w@
@twenty third letter in Kinyarwanda alphabet@|@y@
@twist@|@honyora v. [gu-]@
@twist the knife in the wound@|@zura v. akaboze, ba v. nyirabayazana@
@two@|@kabiri@
@two-timer@|@hemu n. [umu- aba-]@
@type@|@oko n. [s. ubw- pl. am-]@
@uka n. [umw-]@|@gas@
@uko bikorwa@|@formula@
@ukwezi kwa cumi na kabiri@|@Ukuboza@
@ukwezi kwa cumi na kumwe@|@Ugushyingo@
@ukwezi kwa gatatu@|@Werurwe@
@ultra@|@ndengakamere adj.@
@unbending@|@ukutava ku izima@
@uncompromising@|@ukutava ku izima, dakuka adj. [n-]@
@uncover@|@pfukura v. [gu-], twikurura v. [gu-]@
@under control@|@cunzwe adj. [gi-], rinzwe adj. [ki-]@
@underpants@|@kariso n. [i- ama-]@
@unenthusiastic@|@zuyazi adj. [s.aka- for pers.]@
@unguis@|@janja n. [i- ama-]@
@united@|@iyunze adj. [cy-]@
@United States of America@|@Amerika@
@university@|@Kaminuza n.@
@unknown@|@tazwi adj. [ki-]@
@unveiling@|@tangiriro n.[s.&pl.in-]@
@upon@|@bundikiye adv.@
@upper-case letter@|@nyugiti n. [s.&pl. i-] nkuru@
@uprightness@|@gororoke n. [ubu-], nyakuri n. [ama-]@
@upset s.o. a great deal@|@babaza v. mugenzi wawe, shavuza v. [gu-], tera v. intimba@
@urinate@|@nyara v. [ku-]@
@use@|@koresha v. [gu-]@
@user@|@koresha n. [s. u- pl. aba-]@
@utterance@|@bango n. [i- ama-] (rb Bz)@
@vaccination@|@kingirwa n. [i-], kingira n. [ugu-]@
@vaccine@|@kingo n. [uru- in-]@
@vagina@|@tuba n. [igi- ibi-]@
@valley@|@bande n. [s. aka- pl. utu-]@
@valuable@|@henda adj.[preceded by n. cl.]@
@value@|@ciro n. [s. aga-]@
@vanganzo n. [s.&pl. ubu-]@|@literature@
@vassal@|@garagu n. [umu- aba-]@
@vault of heaven@|@rere n. [iki-]@
@vegetable oil@|@vuta n. [ama-] yo gutekesha@
@vein@|@garura n. [umu- imi-]@
@velar consonant@|@carusenge n. [in-](rb Bz)@
@velar n.@|@carusenge n. [in-](rb Bz)@
@verb@|@shinga n. [s.&pl. in-]@
@verse line@|@sizi n. [ubu-]@
@vertical@|@hagalitse adj.[ gi-]@
@very far away@|@i kantarange@
@vibrant@|@tigita n. [in-] (rb Bz)@
@vicious@|@hubutsi n. [igi-] (shy)@
@victimized@|@ibasiwe adj. [cy-]@
@villager@|@nyacyaro n. [umu- aba-]@
@violent individual@|@hubutsi n. [igi-] (shy)@
@virgin@|@sugi n. [s. i- pl. ama-]@
@Virgin Mary@|@Bikira Mariya@
@virus@|@virusi@
@vis-a-vis@|@erekeye adj. [cy-]@
@visit@|@bushyitsi n. [ubu-]@
@visiting@|@sura n. [ugu-]@
@vitamin@|@vitamini n.@
@vocalic consonant@|@egeramajwi n. [icy-iby-](rbBz)@
@vocalist@|@ririmbyi n. [s. umu- pl. aba-]@
@void@|@busa n. [u-]@
@volcano@|@runga n. [iki- ibi-]@
@vowel@|@nyajwi n. [s.&pl. i-], nyajwi n. [i-]@
@vulva@|@tuba n. [igi- ibi-]@
@W.C.@|@sarani n. [umu- imi-], tuwaleti n. [Ø- ama-]@
@wake s.o. up@|@byutsa v. [ku-]@
@wake up@|@byuka v. [ku-]@
@walk on eggshells@|@vuga v. uziga@
@wall@|@kuta n.(SPOR.)[s.aga- pl.udu-], kuta n.(SPOR.)[s.aga- pl.udu-]@
@walnut oil@|@vuta n. [ama-] y'ubuto@
@wank@|@ikinisha v. [kw-]@
@warm@|@zuyazi adj. [s. aka-]@
@wash@|@karaba v. [gu-]@
@washbasin (BrE)@|@lavabo n., besani n. [i- ama-]@
@washbowl (AmE)@|@lavabo n., besani n. [i- ama-]@
@waste@|@tagaguza v. [gu-]@
@water@|@azi n. [s. ama-]@
@water closet@|@sarani n. [umu- imi-], tuwaleti n. [Ø- ama-], WESE@
@water v.@|@uhira v. [k-], dahirira v. [ku-], vomerera v.[ku-]@
@waterbuck@|@donyi n. [in-]@
@watt@|@wati@
@wave@|@hengeri n. [n. umu- pl. imi-]@
@we@|@bwe pron. (pers.) [twe-]@
@We@|@ebwe pron. (PERS.) [tw-]@
@wean@|@cutsa v. [gu-]@
@weapon@|@twaro n. [in-]@
@wear@|@ambara v. [kw-]@
@weather forcasting@|@teganyagihe n. [s. i-]@
@weather forecast@|@teganyagihe n. [s. i-]@
@weave along@|@dandabirana v. [ku-]@
@web@|@dandi n. [s. in-]@
@web address@|@aderesi n. ya Interineti@
@web page@|@paji n. ya Interineti@
@wed@|@rongor(w)a v. [ku-]@
@wedding@|@kwe n. [ubu-]@
@Wednesday@|@ku wa gatatu@
@weed@|@atsi n. [s. icy- pl. iby-]@
@weep@|@rira v. [ku-]@
@wee-wee@|@nyara v. [ku-]@
@welfare@|@zima n. [s. ubu-]@
@well@|@riba n. [s. i- pl. ama-]@
@well-being@|@bereho n. [pl. imi-], zima n. [s. ubu-]@
@well-known@|@amamare n. [icy- iby-]@
@wether@|@niba@
@what happened@|@abaye n. [s. icy- pl. iby-]@
@what's more@|@kandi adv.@
@where@|@ho adj. clause [a-], he adj. (interrog.)@
@white blood cell@|@soro n. twera@
@wickedness@|@ijima n. [umw-]@
@wide@|@sesuye adj. [s. gi- pl. bi-]@
@widow@|@pfakazi n. [s. umu- pl. aba-]@
@width@|@aguke n. [s. ubw-]@
@wife@|@gore n. [s. umu- pl. aba-]@
@window@|@dirishya n. [s. i- pl. ama-]@
@wineglass@|@rahuri n. [iki- ibi-]@
@wing@|@baba n. [i- ama-], nyongera n. [i-]@
@wipe out@|@senya v.[gu-], hanaguraho v.[gu-], rimbura v.[gu-]@
@wire mattress@|@saso n. y'ibyuma@
@with@|@na conj.@
@within@|@mu prep., mwo prep.@
@without form@|@hindugembe n. [s.igi- pl.ibi-], vangavange n. [iki- ibi-]@
@wizard@|@hanga [s. umu- pl. aba-]@
@woman@|@gore n. [s. umu- pl. aba-], tegarugori n.[umu-aba]@
@word@|@jambo n. [s. i- pl. ama-]@
@workman@|@makanika n.@
@world@|@si n. [s. i-]@
@worm@|@zoka n. [s.&pl. in-]@
@worship@|@singiza v. [gu-]@
@write@|@andika v. [kw-]@
@yardstick@|@pimo n. [s. igi- pl. ibi-], tangarugero n. [s. in-]@
@yellow@|@hondo n. [s. umu- pl. imi-]@
@yield@|@higama v. [gu-]@
@you@|@wowe adj. pronoun@
@young@|@to adj., byiruko n. [s. uru-]@
@young lady@|@kobwa n. [s. umu- pl. aba-]@
@young woman@|@kobwa n. [umu- aba-]@
@youth@|@sore n. [ubu-], kumi n. [ubu-]@
@zebra@|@harage n. [im(p)-]@
@zero@|@zeru n.@
@zeru n.@|@zero@
@ziga n. [s. uru- pl. in-]@|@circle@
@zone@|@rere n. [s. aka- pl. utu-]@
@zoology@|@menyi n. bw'ibisimba@

