@English@|@Kinyarwanda@
@claw@|@janja n. [i- ama-]@
@clean-handed@|@zirakarengane n. [in-]@
@clergyman@|@padiri n. [s. umu- pl. aba-]@
@clergyperson@|@hayimana n. [uwi- abi-]@
@cliff@|@curi n. [s. aga- pl. udu-]@
@climate@|@juru n. ry'ahantu@
@clink@|@roko n. [ubu-], kasho n., gereza n.@
@clit@|@rugongo n.@
@clitoris@|@rugongo n.@
@close@|@egeranye adj. [s. cy- pl. by-], funga v. [gu-]@
@closing@|@dunduro n. [s.&pl. in-], herezo n. [only in s. i-]@
@cloth@|@tambaro n. [igi- ibi-]@
@cloud@|@cu n. [s. igi- pl. ibi-]@
@coal@|@kara n. [i- ama-]@
@coast@|@kombe n. [s.&pl. in-]@
@coat@|@koti n. [s. i- pl. ama-], koti n. [i- ama-]@
@coin@|@cura v. [gu-]@
@coition@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@coitus@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@cold-blooded animal@|@hinduranyabushyuhe n. [im(p)-]@
@collapse@|@gatebegatoki n.@
@colon@|@bago n. [pl. utu-] tubiri@
@color (AmE)@|@bara n. [s. i- pl. ama-]@
@colour@|@rangi n. [i- ama-]@
@colour (BrE)@|@bara n. [s. i- pl. ama-]@
@column@|@kingi n. [in-] (rb Bz)@
@come@|@za v. [ku-]@
@come finally/eventually@|@shyira v. ukaza@
@come to life@|@zuka v. [ku-]@
@comet@|@kibonumwe n.@
@comma@|@itso n. [s. ak- pl. utw-]@
@commandement@|@tegeko n. [s. i- pl. ama-]@
@commerce@|@curuzi n. [ubu-]@
@commission@|@komisiyo n.@
@communal work@|@dehe n. [pl. ubu-]@
@communicable disease@|@rwara n yanduza@
@communication@|@hererekanyamakuru n. [i-], umvane n. [ubw-]@
@Communion@|@sangira n. [s. i-]@
@community of property@|@vangamutungo n. [i-]@
@commutation@|@goragoza n. [i-] (rb Bz)@
@compensate@|@kosora v. [gu-]@
@complete@|@dakuka adj. [n-]@
@completion@|@rangiza n. [s. i-]@
@complicate@|@komeza v. ibintu@
@computer@|@cyuma n. rukomatanyamirimo n., cyuma n. kabuhariwe@
@concerning@|@erekeye adj. [cy-]@
@conclusion@|@herezo n. [only in s. i-]@
@concord@|@sanisha n. [i-]@
@conduct@|@bereho n. [pl. imi-]@
@confession@|@irega n. [ukw-] ibyaha@
@confidence@|@izere n. [s. icy- pl. iby-]@
@confirmation@|@komezwa n. [s. ugu-]@
@confusion@|@dugararo n. [s. umu- pl. imi-]@
@congress@|@huzabitsina n. [i-], huzabitsina n. [i-], bonano n. mpuzabitsina@
@conjoin@|@rongor(w)a v. [ku-]@
@conscience@|@timanama n.[umu-], timanama n.[aga-], tima n.aga-]@
@conscientiously@|@n'ubupfura bw'umutima, n'umurava@
@consonant@|@gombajwi n. [s.&pl. in-]@
@consonat@|@gombajwi n. [in-]@
@consort@|@shyingiranywe n. [uwa-aba-] na@
@constantly remind s.o. of his faults@|@cyurira v. [gu-]@
@constitute@|@syiraho v. [gu-]@
@constitution@|@tegekonshinga n. [i-]@
@contents@|@rimo n. [pl. ibi-], shakiro n. [i- ama-]@
@continent@|@gabane n. w'isi@
@continually@|@dasiba n. [ubu-], datuza n. [ubu-]@
@continue@|@komeza v. [gu-]@
@continuously@|@dahagarara n.@
@contraction@|@komatanya n. [s. i-]@
@control@|@genzura n. [i- ama-]@
@conundrum@|@bazomenamutwe n. [iki- ibi-]@
