@jokes@|@pingoarpok@
@keeps one busy@|@erkreanaitok@
@keeps well guarded@|@papatsiyok@
@kicks backwards@|@tukerpok@
@kneels down@|@sirkromiarpok@
@last dog (has shortest line)@|@apadlerpak@
@laughs@|@iyorpok@
@lazy@|@sapperpok@
@leader (dog)@|@issorartuyok@
@leads a dog team@|@kremukserpok@
@leads by the hand@|@tassiorpok@
@leans forward@|@okkodluartok@
@learns easily@|@illituyok@
@licks@|@aluktorpok, iparpok@
@lies down (as a dog)@|@akropiyok@
@lifts oneself on tip toes@|@uyakterpok@
@lifts self on tip of toes@|@nikobjarpok@
@lifts up eyes and head@|@arlorpok@
@light@|@okrittok@
@like@|@adjigektok@
@limps@|@tussiattok@
@listens@|@nalektok nalaktok@
@listens well@|@annuarsorpok@
@little@|@mikiyok@
@lively@|@kakrayok@
@look!@|@taku@
@looking for trouble@|@piugarpok@
@looking glass@|@tarrartut@
@looks and sees@|@takuyok@
@looks at pictures@|@takuganartok@
@looks fixedly@|@iyeriyok@
@looks for@|@krenerpok, krenorarpok@
@looks for someone@|@ivarpok@
@looks for trouble@|@opagiarpok@
@lord@|@atanerk (Okk.), nalegak@
@loses sight of@|@sagverpok@
@loses when playing@|@sitakpok@
@love@|@naglingnerk@
@loves affectionately@|@ungayok@
@loves preferably@|@pinnariyok@
@makes a bad face@|@kinarluktok@
@makes a sound@|@perpaluktok@
@makes every one at ease@|@illeranaitok@
@makes little leaps@|@kiggertarpok, kregertarpok, okrigisertok@
@makes no noise@|@nippaitok@
@makes no resistance@|@maningmiyok@
@makes noise@|@iktumiyok, niplerpok@
@makes one cry@|@kreanartok@
@makes one happy@|@kuvianartok@
@makes one reflect@|@itkranartok@
@makes one shiver with emotion@|@kalertanartok@
@makes one shiver with fear@|@kaulertanerpok@
@makes one sleepy@|@uinganartok@
@makes pleasure@|@uinganartok@
@makes preparations@|@senneksorpok@
@marvelous@|@nanganartok, nanranartok@
@marvels@|@upipok@
@master@|@atanerk (Okk.), innua or inua, nalegak@
@meets@|@inuksiwok@
@miraculous@|@opinnartok@
@mirage@|@puipkartok@
@mirror@|@tarrartut@
@mocker@|@iyorosuktok@
@mocking@|@tipsiktok@
@mocks@|@iyorpok, mitarpok@
@model to imitate@|@ajoribviksak@
@more or less pleasing!@|@itkromik! (excl)@
@more than one at a time@|@tapiyok@
@moves with facility@|@audlatsiariktok@
@near by@|@sanniagut@
@nerve@|@nuki@
@nervous@|@atkrigiark@
@never answers@|@akkisuitok@
@never changes@|@sokosuitok@
@never discouraged@|@krepasuitok@
@never forgets@|@puigojuitok@
@never quiet@|@atkrigiark, aulalayok, nimnarpok@
@never smiles@|@konwasuitok@
@nice to look at@|@takuminartok@
@not to see@|@alarpok@
@obeys@|@annuarsorpok, kamasukpok, nalektok nalaktok@
@often goes out to see if someone is coming@|@iktsuarpok@
@once more@|@suli, tamattomani@
@one who induces into error@|@tammarsaiye@
@one who thinks much@|@issumatark@
@opens@|@erkpakpok@
@opens eyes@|@uitpok@
@opponents@|@akkerareit@
@orders@|@perkoyiyok@
@parents@|@angayokrak@
@partner@|@illa, pikattar, pikatti@
@passes beyond@|@ingiarsiwok@
@passes without stopping@|@salrosiyok@
@patient@|@ningatsuitok@
@pays attention@|@aulaiyiyok, udjertorpok@
@pays much attention@|@nautsertorpok@
@pearl@|@sappagnak (Okk.), sungauyak@
@peeping in and out (vg sun.)@|@adgertitartok@
@perseveres@|@kayusiyok@
@places things in order@|@ikpariksarpok@
