@English@|@Malay@
@an air pocket@|@lompang@
@an alcoholic@|@tahi arak@
@an alloy of five metals@|@pancalogam@
@an amulet@|@tangkal@
@an answer@|@jawapan, sahutan@
@an appeal@|@rayuan@
@an Arab musical instrument with six strings@|@gambus@
@an arithmetical table@|@sifir@
@an assault@|@penggempuran, serangan@
@an attack@|@penggempuran, serangan, serbuan@
@an attempt@|@cubaan@
@an ejection@|@pancutan@
@an element@|@anasir@
@an entry in a book@|@pembukuan@
@an escort@|@pengiring@
@an exclamation@|@seruan@
@an experiment@|@cubaan@
@an explosive sound@|@dentum@
@an honourable title@|@Tun@
@an idiom@|@simpulan bahasa@
@an incision@|@torehan@
@an increase@|@tambahan@
@an insurgent@|@pemberontak@
@an intellectual@|@cendekiawan@
@an interview@|@temu duga, temu ramah, wawancara@
@an iron@|@penggosok@
@an oar@|@pengayuh@
@an offer@|@tawaran@
@an old type of coin@|@kupang@
@an opening or aperture@|@bukaan@
@an order@|@suruhan@
@an ornament worn in the hair@|@sunting@
@an ornamental shrub@|@puding@
@analogy@|@kias, tamsil@
@analyse@|@kupas@
@analysis@|@kajian, kupasan@
@anathema@|@kutukan@
@ancestor@|@leluhur@
@anchor@|@sauh@
@anchorman (in sports)@|@tekong@
@ancient@|@bahari, kuno, purba@
@ancient times@|@purbakala@
@and@|@dan, lagi@
@anemometer@|@jangka angin@
@anesthesia@|@bius@
@anesthetisation@|@pembiusan@
@angel@|@malaikat@
@angle@|@bucu, di bucu, penjuru, segi, sudut@
@angler@|@pengail@
@angler's basket@|@kembu@
@angry@|@geram, gusar, marah, murka, radang@
@animal@|@binatang, haiwan@
@animalistic characteristics@|@kebinatangan@
@aniseed@|@jintan manis@
@annals@|@tawarikh@
@anniversary@|@ulang tahun@
@announce@|@hebah, isytihar@
@announcement@|@pemberitahuan, penghebahan, pengumuman@
@announcer@|@juruhebah, juruhebah, penghebah@
@announcer (radio@|@juruhebah@
@annoyed@|@berang, jengkel, sakit hati@
@annual@|@tahunan@
@answer@|@jawab, jawab@
@answer to a prayer@|@ijab@
@answered@|@berjawab@
@answered (of prayers)@|@makbul@
@ant@|@semut@
@antenna@|@sesungut, sungut, sungut-sungut@
@anther@|@cepudebunga@
@anthill@|@busut@
@antic@|@kelakar@
@antici@|@jangka@
@anticipation@|@dugaan, jangkaan@
@antidote@|@penawar@
@anus@|@dubur@
@anvil@|@andas@
@anxiety@|@kebimbangan, kegelisahan, lega@
@anxious@|@bimbang, gelisah, rawan@
@any@|@sebarang, sebarang, sembarangan@
@any amount@|@seberapa@
@anything@|@apa-apa@
@anywhere@|@mana-mana@
@apart@|@genggang, terbelah, urai@
@apartment@|@pangsapuri@
@apologise@|@maaf@
@apostate@|@murtad@
@appalling@|@ngeri@
@apparatus@|@perkakas, radas@
@apparatus for hoisting things@|@kerek@
@apparent@|@nyata@
@apparently@|@rupanya, tampaknya@
@apparition@|@jadi-jadian@
@appealing@|@syok@
@appearance@|@bentuk, rupa@
@appendix@|@lampiran@
@appetite@|@selera@
@applause@|@sorak-sorai, sorakan@
@apple@|@apel, epal@
@appliance@|@alat@
@application@|@lamaran@
@appointment@|@janji temu, jawatan, lantikan, temujanji@
@appreciation@|@penghargaan, penghayatan@
@appropriate@|@patut, sesuai, suai, wajar@
@approval@|@keakuran, kebenaran, perkenan@
@approve@|@akur@
@approximately@|@agak-agak, kira-kira, lebih kurang, lebih kurang@
@April@|@April@
@apt@|@cerdas@
@aptitude@|@bakat@
@Arabic characters@|@Jawi@
@arbitrary@|@sembarang@
@arc@|@lengkok, lengkung@
@arch@|@gapura@
@archaeology@|@kaji purba@
@archery@|@panahan@
@architect@|@arkitek, jurubina@
@architecture@|@seni bina@
@archives@|@arkib@
@ardent@|@kobar@
@are@|@adalah, ialah@
@area@|@kawasan@
@area of flat land@|@dataran@
@areca nut@|@gobek@
@areca-nut@|@pinang@
@arena@|@gelanggang@
@argument@|@hujah@
@arid@|@kering-kontang@
@arithmetic@|@ilmu hisab, kira-kira@
@arm@|@lengan, lengan@
@armadillo@|@tenggiling@
@armed forces@|@angkatan@
@armpit@|@ketiak@
@armrest@|@kelek-kelek@
@arms@|@senjata@
@army@|@tentera@
@aroma@|@bau@
@around@|@berkeliling, keliling, sekelilang@
@arouse@|@gelodak@
@arrange@|@atur, gubah@
@arrange in a row@|@membanjarkan@
@arranged@|@beratur, teratur@
@arrangement@|@aturan, pemberesan, susunan@
@arrears@|@tunggakan@
@arrival@|@kedatangan@
@arrive@|@sampai@
@arrogance@|@keangkuhan@
@arrogant@|@angkuh, bongkak, takabur@
@art@|@seni@
@art of painting or drawing@|@seni lukis@
@artery@|@salur nadi@
@article@|@rencana@
@artificial hair@|@cemara@
@artillery@|@senjata berat@
@artist@|@pelukis@
@as@|@sebagai, sebagaimana@
@as a result@|@akibatnya@
@as deep as@|@sedalam@
@as far as@|@sejauh@
@as far as can be remembered@|@seingat@
@as far as possible@|@sedapat-dapatnya@
@as good as@|@sebaik-baik@
@as if@|@akan-akan, bagai, bagaikan@
@as it should be@|@sebaiknya@
@as many as@|@sebanyak@
@as much as@|@sebanyak@
@as much or as many as@|@seberapa@
@as quickly as@|@secepat@
@as soon as@|@serta@
@as thoroughly as possible@|@sedalam-dalamnya@
@as though@|@seakan-akan@
@asam-asaman@|@pickle)@
@ascend@|@naik, naik@
@ascetic@|@jahid, zahid@
@ash@|@abu@
@ashamed@|@malu@
@ask (a question)@|@tanya@
@ask (for something)@|@minta@
@askew@|@genjang, genjot, sendeng, serong@
@asleep@|@lelap@
@aspect@|@segi, sudut@
@aspirant@|@bakal@
@ass@|@keldai@
@assault troops@|@penggempur@
@assemble@|@himpun, kumpul@
@assembly@|@jemaah, majlis, perhimpunan, perkumpulan@
@assent@|@kenan@
@assess@|@ukur@
@assessment@|@cukai pintu, sukatan, taksiran@
@assignment@|@tugasan@
@assist@|@bantu@
@assistance@|@bantuan, tolong@
@assistant@|@pembantu@
@assistant officer@|@adikung@
@associate@|@gaul, handai@
@association@|@kongsi, perkumpulan@
@association (with)@|@pergaulan@
@assorted@|@pelbagai@
@assume@|@anggap@
@assumption@|@andaian, anggapan@
@assured@|@yakin@
@asthma@|@lelah@
@astonished@|@hairan, takjub@
@astonishment@|@kehairanan@
@astounded@|@pinga@
@astounding@|@kagum@
@astride@|@kangkang@
@astrology@|@perbintangan@
@astronaut@|@angkasawan@
@astronomy@|@falak, kaji bintang, perbintangan@
@at@|@di, di, pada, pada@
@at fault@|@salah@
@at first@|@mula-mula@
@at least@|@sekurang-kurangnya@
@at random@|@rawak, sembarangan@
@at short intervals@|@sebentar-sebentar@
@at the corner@|@di penjuru, di sudut@
@at the end@|@akhir@
@at the most@|@sebanyak-banyaknya@
@at the same time@|@sekali@
@athletic (adj.)@|@olahraga@
@athletics (noun)@|@olahraga@
@atmosphere@|@hawa, suasana, udara@
@atom@|@zarah@
@attach@|@kepil@
@attached@|@sangkut@
@attachment@|@lampiran@
@attack in a blitz@|@gempur@
@attack without thinking@|@mengamuk@
@attain@|@capai@
@attainment@|@pencapaian@
@attempt@|@cuba, ikhtiar@
@attendance@|@kehadiran@
@attention@|@perhatian@
@attest@|@akusaksi@
@attic@|@loteng@
@attitude@|@olah, sikap, sikap@
@Attorney-General@|@Peguam Negara@
@attractive@|@molek, mongel, syok@
@auction@|@lelong@
