@English@|@Malay@
@to cause to freeze or solidify@|@membekukan@
@to cause to meet or face@|@menghadapkan@
@to cause to move@|@menggerakkan@
@to cause to palpitate@|@mendebarkan@
@to cause to protrude@|@menjulurkan@
@to cause to rebound@|@mengambulkan@
@to cause to stop@|@memberhentikan, menghentikan@
@to cause to vanish@|@mengghaibkan@
@to cause to vibrate@|@menggentarkan, menggetarkan@
@to cause worry@|@menggusarkan@
@to celebrate@|@rai@
@to celebrate or observe@|@sambut@
@to censor@|@tapis@
@to censure@|@tempelak@
@to certify@|@memperakui, memperakukan@
@to chair@|@mempengerusikan@
@to challenge@|@mencabar@
@to change@|@mengalih, tukar@
@to change clothes@|@salin@
@to change direction or course@|@pesong@
@to change the course or direction@|@membelokkan@
@to change the position of@|@menganjakkan@
@to characterise@|@mencirikan@
@to charge@|@mendakwa@
@to chase@|@mengejar@
@to chase one another@|@berkejar-kejaran@
@to chase or drive away@|@menghalau@
@to chat@|@bercakap-cakap@
@to chatter@|@berceloteh, berkata-kata@
@to cheat@|@mengabui, ponteng@
@to cheat or deceive@|@memperdayakan@
@to check@|@periksa, semak@
@to cheer someone up@|@menggembirakan@
@to cheer up@|@menghibur@
@to cheer up someone@|@menggirangkan@
@to cherish@|@membelai, membelai-belai@
@to chew@|@mamah, mengunyah@
@to chew (of betel leaf)@|@sepah@
@to chew up@|@mengganyang@
@to chirp@|@berdering, berkicau@
@to choke@|@sedak@
@to choose@|@pilih, pilih@
@to chop@|@tetak@
@to chop or mince@|@mencencang@
@to chortle@|@terkekek-kekek@
@to ciculate@|@mengedarkan@
@to circulate@|@beredar, mengedar@
@to circumcise@|@mengkhatankan@
@to cite@|@mengutip@
@to claim@|@menggugat, tuntut@
@to clap@|@tepuk@
@to clarify@|@menjelaskan@
@to clash@|@tarung, tempur@
@to classify@|@menggolongkan@
@to claw@|@mencakar@
@to clean@|@membersihkan@
@to clear a way@|@rintis@
@to clear away@|@berkemas@
@to clear the undergrowth@|@tebas@
@to clear throat especially to attract@|@berdaham@
@to climb@|@panjat@
@to climb or ascend@|@mendaki@
@to climb up@|@mendaki@
@to cling on@|@paut@
@to clip or cut@|@pangkas@
@to close@|@menguncupkan, tutup@
@to close or shut (of eyes)@|@pejam@
@to close the eyes@|@picing@
@to clutch@|@mencengkam@
@to clutch at@|@mencekau, menggapai@
@to coagulate or clot@|@membeku@
@to coalesce@|@bercantum@
@to coat@|@salut@
@to coax;to persuade@|@pujuk@
@to coil@|@menggelungkan@
@to coil or twine around@|@membelit@
@to collapse@|@rebah, roboh, runtuh@
@to collect@|@menghimpunkan, mengumpulkan, mengutip, pungut@
@to collect all sorts of material@|@ramu@
@to collide@|@langgar@
@to colonise@|@menjajah@
@to comb@|@sisir@
@to comb hair@|@sikat rambut@
@to combine@|@menggabungkan@
@to come@|@bercantum, mari@
@to come close to@|@mendekati@
@to come down@|@turun@
@to come forward@|@tampil@
@to come off@|@mengelupas@
@to come or appear suddenly@|@mendatang@
@to comfort@|@lipur@
@to commemorate@|@memperingati@
@to commercialise@|@memperdagangkan@
@to communicate@|@mendapatkan@
@to compare@|@membandingkan@
@to compel@|@menggagahi, mengharuskan, paksa@
@to compensate@|@mengganti@
@to compere or host a programme@|@mengacarakan@
@to compete@|@beradu, bersaing, tanding@
@to compete with@|@menyaingi@
@to complain@|@rungut@
@to compose@|@mengarang, menggubah, reka@
@to comprise@|@liput@
@to compute@|@mengira@
@to conceal@|@selindung, sembunyi, sorok@
@to concede defeat@|@mengalah@
@to concentrate@|@tumpu@
@to conclude the debate@|@menggulung perbahasan@
@to conclude the speech@|@menggulung ucapan@
@to concoct an excuse@|@mengada-ngadakan@
@to condemn@|@mengutuk@
@to conduct@|@mengendalikan@
@to confer@|@menganugerahkan@
@to confer an award@|@menganugerahi@
@to confess@|@mengaku@
@to confiscate@|@rampas@
@to confront@|@mengagah@
@to confuse@|@membingungkan, mengelirukan, mengusutkan@
@to connect@|@mengaitkan, menghubungkan@
@to connect wires in@|@mendawaikan@
@to conquer@|@menggagahi, tawan@
@to consent@|@mengakuri, mengizinkan@
@to consider@|@pandang, tengok, timbang@
@to consider as an infidel@|@mengkafirkan@
@to consist of@|@mengandungi, terdiri@
@to console@|@lipur@
@to conspire@|@pakat@
@to constantly wish for@|@terangan-angan@
@to constrict@|@menjerut@
@to construct@|@membina@
@to consume@|@menggunakan@
@to contact@|@menghubungi@
@to contain@|@berisi, mengandungi@
@to contaminate@|@mencemari@
@to contemplate@|@menung, timbang@
@to contend@|@berhujah, menghujahkan@
@to continue@|@sambung@
@to contract@|@menguncup@
@to contribute@|@sumbang@
@to control@|@mengawal, mengawali, pegang@
@to converse@|@berbual, tutur@
@to cook@|@masak@
@to cook rice@|@tanak@
@to cooperate@|@bekerjasama, bergotong-royong@
@to copy@|@tiru@
@to corporatize@|@memperbadankan@
@to correct@|@membetulkan, menjitukan, pinda@
@to correlate@|@mengaitkan@
@to cough uncontrollably@|@terbatuk-batuk@
@to count@|@berhitung, kira, membilang, menghitung, mengira, mengira@
@to counteract@|@papas@
@to cover@|@liput, mengambus, menghampari, tekap@
@to cover (mouth or ears) with the hand@|@pekap@
@to cover or catch something with the palm@|@mencekup@
@to crack@|@retak@
@to crack or split@|@cekah@
@to cram or stuff (as of food into the mouth)@|@mengenjal@
@to crave@|@mengidam@
@to crave for@|@mengidamkan, tagih@
@to crawl@|@menjalar, rangkak, rayap@
@to create@|@membentuk, mencipta, menjadikan, menjelmakan, reka@
@to create an uproar@|@menggembar-gemburkan@
@to create chaos@|@menghuru-harakan@
@to create trouble@|@rusuh@
@to creep@|@lata, menjalar, rayap@
@to criticise@|@membidas, mencela, mencelakan, menggugat@
@to criticise severely@|@mengecam@
@to criticize@|@membahaskan, tegur@
@to croak@|@menguak@
@to crochet@|@mengait@
@to cross@|@lintas@
@to crouch@|@ringkuk, tenggek@
@to crow@|@berkokok@
@to crow like a rooster@|@berketuk@
@to crowd around@|@mengerumuni@
@to crumple@|@renyuk@
@to crumple (of paper)@|@peronyok@
@to crush by falling on top of@|@menghempap@
@to cry aloud@|@seru@
@to cry in one's@|@menceracau@
@to crystallise@|@menghablur@
@to cuddle@|@lekap, rangkum@
@to curl@|@mengeritingkan@
@to curse@|@laknat, mengutuk@
@to cut@|@mengerat, potong@
@to cut a@|@pintas@
@to cut down@|@tebang@
@to cut in half@|@belah@
@to cut short@|@pintas@
@to cut something@|@mengguntingkan@
@to cut up and clean (meat or fish)@|@siang@
@to cut with an axe@|@mengapak@
@to cut with scissors or shears@|@menggunting@
@to dabble@|@berkecimpung@
@to dam@|@membendung@
@to damn@|@laknat@
@to dance@|@tari@
@to dance the joget@|@berjoget@
@to dandle@|@timang@
@to darn@|@jerumat@
@to dash@|@luru@
@to dawdle@|@lengah@
@to daydream@|@berkhayal, mengelamun@
@to day-dream@|@berangan-angan, lamun@
@to day-dream about@|@mengangan-angankan@
@to deafen tmporarily@|@membingitkan@
@to debate@|@berandai, berbahas, membahaskan@
@to deceive@|@membohongi, mencurangi, mengabui, mengakali@
@to decide@|@menghuraikan@
@to declare@|@mengisytiharkan@
@to decorate@|@membungai, menghias, menghiasi, menghiaskan@
@to decrease@|@surut, susut@
@to decrease in intensity@|@reda@
@to dedicate@|@membaktikan@
@to deface@|@mencacati@
@to defeat@|@mengalahkan@
@to defecate@|@terberak@
@to defend@|@membela@
@to deflate@|@mengempiskan@
@to deflect@|@membiaskan@
@to deform@|@mencacati@
@to defray@|@membiayai@
@to delay@|@mengemudiankan@
@to deliberate@|@berbincang@
@to deliberate over@|@membicarakan@
@to deliver a sermon@|@berkhutbah@
@to demolish@|@rombak@
@to denounce as a lie@|@membohongkan@
@to deny@|@membohongkan, mungkar, sangkal@
@to depart@|@berangkat, bertolak@
@to depend on@|@bergantung, sandar@
@to depend on one another@|@sandar-menyandar@
@to depict@|@menggambarkan@
@to deposit as@|@mencagarkan@
@to descend@|@turun@
@to describe in great detail@|@perinci@
@to design@|@mencorakkan, reka@
@to desire@|@mahu, menginginkan@
@to despise@|@luat, mengeji@
@to destroy@|@membinasakan, mengganyang, menjahanamkan, musnah, punah, tumpas@
@to deter@|@mencegah@
@to detour@|@lencong@
@to develop@|@membangun, membangunkan, memperkembangkan, mengembangkan, tumbuh@
@to deviate@|@lantur, lencong, seleweng@
@to devise@|@mengikhtiarkan@
@to devour@|@lapah, mengganyang@
@to die@|@mati, pulang kerahmatullah@
@to die (of royalty)@|@mangkat@
@to die (unrefined expression)@|@mampus@
@to die through suffocation in mud@|@lepur@
@to differ@|@berbeza@
@to differentiate@|@membeza-bezakan, membezakan@
@to diffuse into@|@resap@
@to dig@|@mencangkul, menggali, mengorek@
@to dig out@|@mencungkil@
@to digest@|@mencernakan, menghadamkan@
@to digress@|@lantur@
@to dilate@|@membeliakkan@
@to dilly-dall@|@tagak@
@to dilly-dally@|@lengah@
@to dilute@|@mencairkan@
@to dine@|@santap@
@to dip@|@mencelup, mencelupkan@
@to dip lightly@|@mencecah@
@to direct@|@mengarah@
@to direct or channel the flow@|@mengalirkan@
@to direct towards@|@mengarahkan@
@to direct weapon at target@|@acu@
@to dirty@|@mencemarkan, mengotorkan@
@to disagree@|@telagah@
@to disappear@|@lenyap, lesap, mansuh, menghilang@
@to disappoint@|@mengecewakan, menghampakan@
@to discard@|@membuangkan@
@to discolour or fade@|@luntur@
@to discourage@|@serik@
@to discover@|@mendapati, menjumpai@
@to discredit@|@mengeji@
@to discriminate@|@membeza-bezakan@
@to discuss@|@berandai, berbahas, berbicara, berbincang, berbincang-bincang, membahaskan, membicarakan, membincangkan, memperkatakan, runding@
@to disembark@|@turun@
@to disengage@|@lerai@
@to disgrace or defame@|@membusukkan@
@to dismiss@|@pecat@
@to disobey@|@mengingkari, mungkar@
@to disperse@|@membubarkan, surai@
@to displace@|@mengalih@
@to display@|@tayang@
@to display the feathers@|@mengigal@
@to dispute@|@tarung, telingkah@
@to disregard@|@membelakangi, membelakangkan, mengabaikan@
@to disrupt@|@ganggu, menggendalakan@
@to disseminate@|@sebar, tabur@
@to distribute@|@beredar, membahagi-bahagikan, membahagikan, mengagihkan, mengedar, mengedarkan, sebar@
@to distrust@|@mencurigai@
@to disturb@|@ganggu, mengacau, mengganggu, mengganggu-gugat@
@to dive@|@menjunam, selam, terjun, tunjam@
@to divert@|@lencong, seleweng@
@to divide@|@membahagi, membahagikan@
@to divorce@|@menceraikan@
@to do@|@membuat@
@to do farming@|@berkebun@
@to do gardening@|@berkebun@
@to do good work@|@beramal@
@to do injustice@|@menganiayai@
@to do physical exercise@|@senam@
@to do research@|@selidik@
@to do research into@|@mengkaji@
@to dodge@|@mengelak, mengelakkan@
@to domesticate@|@menjinakkan@
@to dominate@|@menguasai@
@to donate@|@menderma, sumbang@
@to donate something@|@mendermakan@
@to doodle@|@mencontengkan@
@to doodle on@|@menconteng@
@to double@|@menggandakan@
@to doubt@|@sangsi@
@to douse@|@menjirus@
@to draft (legislation)@|@menggubal@
@to drag@|@berkesot, mengesot, mengheret, runtun, seret@
@to drag or haul@|@menghela@
@to drain away@|@salir@
@to draw@|@lukis@
@to draw a line@|@menggaris, menggariskan@
@to draw blood from@|@membekam@
@to draw lots@|@mencabut undi@
@to dress up@|@pasang badan@
@to dribble (in football)@|@mengelecek@
@to drift@|@berhanyut-hanyut@
@to drill@|@menggerudi, tebuk@
@to drink@|@minum@
@to drive@|@pandu@
@to drop@|@luruh, menggugurkan@
@to drop off@|@tanggal@
@to dry in the sun@|@menjemur@
@to dry over a fire@|@salai@
@to dry something@|@mengeringkan@
@to eat@|@makan@
@to eat and drink (of royalty)@|@santap@
@to eat gluttonously@|@menggasak@
@to eat greedily@|@lahap@
@to eat in small amounts@|@menjamah@
@to eavesdrop@|@pasang telinga@
@to ebb@|@surut@
@to echo@|@bergaung@
@to economise@|@mencermatkan, menghematkan@
@to educate@|@mendidik, mengasuh@
@to eject@|@luah@
@to elapse (of time)@|@lalu@
@to elect@|@pilih@
@to embed@|@membenamkan@
@to embezzle@|@menggelapkan@
@to embrace@|@peluk, rangkul, rangkum@
@to embrace or hug@|@berdakap, mendakap@
@to embroider@|@sulam@
@to emerge@|@muncul, terbit, timbul@
@to emit@|@pancar@
@to emit an odour@|@berbau@
@to employ@|@menggaji@
@to empty@|@mengosongkan@
@to encircle@|@lingkung, mengelilingi@
@to enclose@|@lampir, rangkum@
@to enclose within a wall@|@mendindingi@
@to encounter@|@sua@
@to encourage@|@memberanikan, mempergiatkan, menggalakkan, menggiatkan@
@to end@|@mengakhiri@
@to endanger@|@membahayakan@
@to endeavour@|@berikhtiar@
@to endure@|@tahan, tampung@
@to enforce@|@menguatkuasakan@
@to engulf@|@mengambus@
@to enjoy@|@mengecap@
@to enjoy oneself@|@berfoya-foya@
@to enlarge@|@berkembang, membesarkan@
@to enlarge or expand@|@memperbesar@
@to enliven@|@memberangsangkan@
@to enquire@|@tanya@
@to enrich@|@memperkayakan@
@to enslave@|@memperhamba, mengabdikan@
@to entangle@|@mengusutkan@
@to enter@|@masuk@
@to enter forcefully@|@landa@
@to enter into a partnership@|@berkongsi@
@to enter secretly@|@susup@
@to entertain@|@layan, menghibur, menjamu, rai@
@to entice@|@pujuk@
@to entrust@|@mengamanahkan@
@to entwine@|@lilit, membelitkan@
@to envy@|@mendengki@
@to enwrap@|@salut@
@to equip@|@beralatkan@
@to eradicate@|@membanteras, membasmi, menghapuskan@
@to erase@|@sental@
@to erect@|@mendirikan@
@to erect a pointed pole in the ground@|@pacak@
@to erode@|@menghakis@
@to erupt@|@letus@
@to escort@|@mengapit, mengawali, menghantarkan, mengiringi@
@to establish@|@menjalin@
@to establish a relationship@|@menjalinkan@
@to estimate@|@mengagak, menganggarkan, menggamak, mengira-ngira@
@to evade@|@mengelak, mengelakkan, menghindari@
@to evaluate@|@mengadilkan, taksir@
@to evaporat@|@ruap@
@to evaporate@|@sejat@
@to evoke@|@membangkitkan@
@to exaggerate@|@membesar-besarkan@
@to examine@|@periksa, periksa, telaah@
@to exchange@|@tukar@
@to exchange abusive remarks@|@bercaci-cacian@
@to exchange kisses@|@bercium-ciuman@
@to exchange looks or glances@|@pandang-memandang@
@to exclaim@|@seru@
@to exclude@|@mengecualikan@
@to execute@|@laksana@
@to exempt@|@mengecualikan@
@to exercise@|@bersenam@
@to exhale@|@menghembus@
@to exhibit@|@pamer@
@to expand@|@berkembang, lanjur@
@to expect@|@mengharap, menjangka, menjangkakan, sangka@
@to expel@|@singkir@
@to experience@|@mengalami, menghayati@
@to explain@|@manggalurkan, menjelaskan@
@to explode@|@letup@
@to exploit@|@memperkuda@
@to explore@|@mencarigali, mengembara, menjelajah, menjelajahi@
@to expose@|@membukakan, mendedahkan, singkap@
@to expose a secret@|@membongkar rahsia@
@to expose oneself to the rain@|@berhujan@
@to extinguish@|@padam@
@to extort@|@peras@
@to extract@|@mencungkil, peras@
@to extract by pulling@|@mencabut@
@to face@|@berhadapan, menghadapi@
@to fail (another person)@|@menggagalkan@
@to faint@|@pengsan@
@to fall forward@|@terjerumus@
@to fall headlong@|@terjerembat@
@to fall in a prone position or on one's face@|@sembam@
@to familiarise@|@membiasakan@
@to familiarise with@|@berjinak-jinak@
@to fan@|@mengipas@
@to fan vigorously@|@mengibaskan@
@to fantasise@|@berkhayal, mengkhayalkan@
@to fasten@|@memberkaskan, mengancing, menguncikan@
@to fasten (@|@pasang@
@to fasten or join together@|@sambung@
@to fatten up@|@menggemukkan@
@to feast@|@berjamu, menjamu@
@to feed@|@suap@
@to feel disgusted@|@luat@
@to feel nauseated@|@luat@
@to feign@|@mendalihkan@
@to fell (a tree)@|@tebang@
@to fertilize@|@membaja@
@to fetch@|@mengambil, mengambil@
@to fight@|@berjuang@
@to fight (of cocks)@|@sabung@
@to fight against@|@membanteras@
@to fight for@|@memperjuangkan@
@to fill@|@mengisikan@
@to fill up@|@menghamburi, mengisi@
@to fill up (a hole)@|@timbus@
@to fill with vigour@|@memberangsangkan@
@to filter@|@saring, tapis, turas@
@to finance@|@mengongkosi@
@to find@|@menjumpai, temu@
@to find out in detail@|@memperhalusi, menghalusi@
@to finish@|@putus@
@to finish all at once@|@hentam keromo@
@to fish@|@pancing@
@to fish with a rod@|@mengail@
@to fish with cast net@|@menjala@
@to fit@|@muat@
@to flank@|@mengapit@
@to flap@|@mengibaskan@
@to flap (for wings)@|@berkepak-kepak@
@to flap (wings)@|@perap@
@to flap the arms to stay afloat@|@kapai@
@to flare up@|@bergejolak, berkobar, marak@
@to flash@|@berkilat@
@to flatten out@|@ranap@
@to flatter@|@sanjung@
@to flee@|@cabut@
@to flicker@|@menggerlip@
@to fling@|@lempar, membaling, mencampak, mencampakkan, menghumban@
@to flip over@|@membalik-balik@
@to flirt@|@bercumbuan@
@to float up@|@timbul@
@to flog@|@membelasah, talu@
@to flood@|@membanjiri@
@to flop down@|@terduduk@
@to flounder@|@menggelepar@
@to flow@|@bercucuran, mengalir, pancur@
@to flow (for tears or sweat)@|@linang@
@to flow off@|@salir@
@to flutter@|@mengelepur, menggelepar, menggelupur@
@to fly@|@terbang@
@to fly (a flag)@|@berkibar@
@to foam@|@berbusa@
@to focus@|@tumpu@
@to fold@|@lipat@
@to follow@|@ikut, membuntuti, mengikut, mengikuti, susul, turut@
@to follow a course@|@berhaluan@
@to follow and spy on@|@membayangi@
@to follow closely@|@mengekori@
@to follow or profess (a religion)@|@menganut@
@to fondle@|@raba@
@to forbid@|@larang, mengharamkan, tegah@
@to force@|@menggagahi, paksa, perkosa@
@to forecast@|@ramal, telah, tenung@
@to forge (metals)@|@tempa@
@to forget@|@lupa@
@to forgive@|@mengampunkan@
@to form@|@membentuk, rombong@
@to form an image@|@membayangi@
@to fortify@|@mengotakan@
@to free@|@lepas@
@to frighten@|@menggera@
@to froth@|@berbusa@
@to frown@|@berkerut, mengerutkan@
@to frustrate@|@mengecewakan, menghampakan@
@to fry@|@menggoreng, tumis@
@to fulfil@|@mengabulkan@
@to fulfil one's duty@|@berjasa@
@to fumigate@|@mengasapi@
@to furl@|@menguncupkan@
@to furnish@|@membekalkan@
@to gag@|@membungkam@
@to gain@|@menggondol@
@to gallivant@|@keliar, pelesir@
@to gamble@|@berjudi, memperjudikan@
@to gambol@|@lonjak@
@to gargle@|@berkumur@
@to garland@|@mengalungkan@
@to gather@|@berhimpun, berkumpul@
@to gaze@|@renung@
@to gaze fixedly@|@tenung, tilik@
@to generate@|@menjanakan@
@to get@|@mendapatkan@
@to get a lift from@|@membonceng@
@to get involved in@|@menceburi, menceburkan@
@to get up@|@bangun, berbangkit, membangun@
@to giggle@|@terkekek-kekek@
@to give@|@membagi, memberi, memberikan@
@to give a@|@menggera@
@to give a lift to@|@memboncengkan@
@to give an impression of@|@mencerminkan@
@to give and take@|@tolak ansur@
@to give away@|@membahagi-bahagikan@
@to give birth@|@beranak, salin@
@to give excuses@|@berdalih@
@to give in marriage@|@memperisterikan@
@to give out a strong bad odour@|@membusuk@
@to give thanks@|@bersyukur@
@to glance@|@menjengah@
@to glance sideways briefly@|@mengerling@
@to glide@|@luncur@
@to glimpse@|@mengimbas@
@to glitter@|@bergemerlapan, berkilau-kilau, menggerlap@
@to glue@|@tempel@
@to glue together@|@rekat@
@to go@|@pergi@
@to go along@|@turut@
@to go around;@|@mengelilingi@
@to go away@|@berhambus@
@to go back@|@pulang@
@to go downstream@|@menghilir@
@to go or pass through@|@tempuh@
@to go upstream@|@mudik@
@to gobble@|@lalah, membaham@
@to gossip@|@mengata@
@to grab@|@ragut, rebut@
@to grant@|@mengabulkan@
@to grasp@|@mencengkam@
@to grasp at@|@mencekau@
@to grasp firmly@|@menggenggam erat@
@to grasp in the fist@|@menggenggam@
@to grate@|@bergesek, mengisarkan, mengukur, sagat@
@to grate or scrape@|@parut@
@to greet@|@sapa, tegur@
@to grieve@|@berdukacita, ratap@
@to grill@|@bakar@
@to grin@|@sengih@
@to grind@|@mencanai, menggiling, mengisarkan@
@to grind or pound areca nut@|@mengobek@
@to grit@|@menggetap@
@to groan@|@mengaduh@
@to groan (in pain)@|@rintih@
@to groan or moan@|@mengerang@
@to grope@|@menggagau, raba@
@to group together@|@bergeromboi@
@to grow@|@tumbuh@
@to grow big@|@membesar@
@to growl@|@menderam, menggeram@
@to grumble@|@mengomel, rungut@
@to guarantee@|@menjamin@
@to guard@|@berjaga, mengawal, mengawali@
@to guess@|@agak-agak, menduga, mengagak, sangka, teka@
@to guide@|@membimbing, pandu, pimpin, tuntun@
@to gulp@|@lulur@
@to gurgle@|@membobok, mengagah@
@to gush@|@bercucuran@
@to gush out@|@lancur, pancar, pancut@
@to haggle@|@tawar-menawar@
@to handcuff@|@membelenggu@
@to hang@|@bergayut, menggantung, menggayutkan@
@to hang clothes out to dry@|@mengampaikan@
@to hang in large numbers@|@bergayutan@
@to hang out (clothes)@|@sidai@
@to hang up@|@menggantungkan@
@to happen@|@laku@
@to harass@|@mengacau@
@to harden@|@mengeraskan@
@to harm@|@mengapa-apakan@
@to harvest@|@pungut, tuai@
@to hasten@|@menggesa@
@to hatch@|@tetas@
@to hate@|@membenci@
@to haunt@|@menghantui@
@to have@|@punya@
@to have a desire@|@berhasrat@
@to have a fastener@|@berkancing@
@to have a grudge against@|@mendendami@
@to have a nightmare@|@mengigau@
@to have an audience with the king@|@menghadap@
@to have an idea@|@gagas@
@to have as a neighbour@|@berjiran@
@to have as a roof@|@beratapkan@
@to have breakfast@|@bersarapan, sarap@
@to have difficulty@|@terkial-kial@
@to have friends@|@berkawan@
@to have henna applied@|@berinai@
@to have the ability@|@berdaya@
@to have the age (of)@|@berumur@
@to have the heart to do something@|@sampai hati@
@to have the intention@|@berhajat@
@to hawk@|@berjaja, menjaja@
@to head@|@mengetuai@
@to heap up@|@membukit@
@to hear or listen@|@mendengar@
@to heat@|@membahang@
@to heed@|@acuh, mengacuhkan, mengendahkan@
@to help@|@bantu, membantu, tolong@
@to help one another@|@tolong-menolong@
@to herd@|@giring@
@to hesitate@|@berbolak-balik, tagak, teragak-agak@
@to hiccup@|@sedak@
@to hide@|@selindung, sembunyi, sorok@
@to hide or conceal (of feelings@|@pendam@
@to hijack@|@rampas@
@to hinder@|@membantutkan, mencegah, menghalang, sangkak@
@to hint@|@sindir@
@to hint at@|@mengias@
@to hire@|@sewa@
@to hit@|@landa, lempang, palu@
@to hoe@|@mencangkul@
@to hold@|@pegang@
@to hold (sweet) in mouth@|@gemam@
@to hold a post@|@menjawat@
@to hold between thumb and finger@|@mencekak@
@to hold office in an a@|@pangku@
@to hold on tightly@|@paut@
@to hold with the hand@|@mencekuh@
@to honour@|@mengagungkan@
@to hook@|@mencangkuk@
@to hop@|@loncat@
@to hope@|@berharap, mengharap@
@to hope for@|@berharapkan, mengharapkan@
@to hover in the air@|@mengambang@
@to hug@|@peluk@
@to hug or embrace tightly@|@menggomol@
@to hum@|@berdaham@
@to humble oneself@|@membongkok@
@to hunt@|@berburu, memburu@
@to hurl@|@lempar, lontar, mencampakkan, menghumban@
@to hurry@|@bergegas-gegas@
@to hurt@|@mencederakan@
@to identify@|@mengecam, mengenali@
@to idle@|@lengah@
@to idolize@|@sembah@
@to ignite@|@mencucuh@
@to ignore@|@membelakangi, membelakangkan, membiarkan@
@to ill-treat@|@tekan@
@to illustrate@|@menggambarkan@
@to imagine@|@menggambarkan@
@to imbibe or absorb@|@pedap@
@to imitate@|@tiru@
@to imitate mockingly@|@mengajuk@
@to immerse@|@membenamkan@
@to immerse temporarily@|@mencelup, mencelupkan@
@to impale@|@sula@
@to impede@|@sangkak@
@to impel@|@mendorong@
@to implement@|@menguatkuasakan@
@to implicate@|@membabitkan@
@to imply@|@membayangkan@
@to impose@|@mengenakan, menguatkuasakan@
@to imprint@|@mengecap@
@to inaugurate@|@tabal@
@to incarnate@|@menjelma@
@to incise@|@mengerat@
@to incite@|@kocok@
@to incline@|@mencondongkan@
@to incline the head@|@lentok@
@to include@|@rangkum@
@to increase@|@membanyakkan, tambah@
@to indict@|@mendakwa@
@to infect@|@menjangkiti@
@to infiltrate@|@selusup, susup@
@to inflame@|@menggelorakan@
@to inflate@|@membuncitkan@
@to inform@|@memberitahu, memberitakan, mengkhabarkan@
@to ingratiate@|@mengampu@
@to inhabit@|@menghuni@
@to inhale@|@sedut@
@to inject@|@mencucuk, suntik@
@to injure@|@mencederakan@
@to inoculate@|@suntik@
@to insert@|@selit, sisip@
@to insinuate@|@sindir@
@to inspect@|@selia@
@to inspire@|@mempergiatkan, menggiatkan, mengilhamkan@
@to install@|@pasang, tabal@
@to instigate@|@mengapikan, menghasut@
@to instil an idea into@|@mengilhamkan@
@to insult@|@mencerca, menghinakan, singgung@
@to intensify@|@memperhebatkan@
@to intercept or interrupt@|@pintas@
@to interfere@|@sampuk@
@to interrelate@|@menghubungkaitkan@
@to interrupt@|@mencelah, menggendalakan, sampuk@
@to intervene@|@sampuk@
@to intimidate@|@mengugut, tindas@
@to introduce@|@memperkenalkan, mendedahkan@
@to invade@|@mendatangi, serbu@
@to invent@|@mencipta, reka@
@to invert@|@membalikkan@
@to invest@|@labur@
@to investigate@|@periksa, selidik, siasat@
@to invite@|@mengajak, menjemput, pelawa@
@to involve@|@libat, membabitkan@
@to irritate@|@membengkengi, menjengkelkan@
@to isolate@|@pencil@
@to jeer@|@mencebik, mengejek@
@to jerk@|@sentak@
@to jest@|@berkelakar@
@to join@|@sua@
@to join together@|@bercantum@
@to joke@|@bergurau, berjenaka, berkelakar@
@to jot down@|@mencatat, mencatatkan@
@to judge@|@mengadili, mengadilkan, menghakimi, menghakimkan@
@to jump@|@lompat@
@to jump about@|@menggelinjang@
@to jump about playfully@|@lonjak@
@to jump down@|@terjun@
@to jut out@|@anjur, menganjur@
@to keep@|@simpan@
@to keep fruit till ripe@|@peram@
@to keep in good condi@|@selenggara@
@to keep nodding@|@terangguk-angguk@
@to keep silent@|@membatu@
@to kick@|@sepak, tendang@
@to kick and trample@|@terajang@
@to kick aside@|@menguiskan@
@to kidnap@|@menculik@
@to kill@|@membunuh@
@to kiss@|@bercium, mencium, mengucup@
@to knead@|@ramas@
@to kneel@|@telut@
@to knit@|@mengait@
@to knock@|@katuk, mengetuk, menghantukkan@
@to knock or collide accidentally@|@terhantuk@
@to know@|@maklum, mengenal, mengenali, tahu@
@to lambaste@|@membanting@
@to land@|@mendarat@
@to languish@|@merana@
@to lap@|@menjilat@
@to lash@|@menghempas@
@to last@|@tahan@
@to laugh it out@|@mengetawakan@
@to laugh loud and long@|@terbahak-bahak@
@to laugh loudly@|@mengilai@
@to lay@|@letak@
@to lay open@|@singkap@
@to lead@|@membimbing, mengetuai, pimpin@
@to lead by the hand@|@tuntun@
@to lead or channel into@|@salur@
@to leak through@|@tiris@
@to lean on@|@sandar@
@to leap@|@lompat, terpa@
@to learn@|@belajar@
@to learn in greater detail@|@mempelajari@
@to leave@|@berangkat, tinggal@
@to leave immediately@|@cabut lari@
@to lecture@|@berceramah, syarah@
@to let someone hear@|@memperdengarkan@
@to level to the ground@|@ranap@
@to libel@|@memfitnah, memfitnahkan@
@to liberate@|@membebaskan@
@to lick@|@menjilat@
@to lie@|@berbohong, berdusta@
@to lie down@|@berbaring@
@to lie prone@|@telungkup, tiarap@
@to lie to@|@membohongi, mendustai@
@to lift (skirt@|@singkap@
@to lift up (e.g. snake's head about to@|@mencaduk@
@to like@|@suka@
@to like very much@|@menggemari@
@to liken to@|@mengibaratkan@
@to limit@|@membatasi, mengehadkan@
@to line up@|@berbaris@
@to line with@|@beralaskan@
@to liquefy@|@mencairkan@
@to liquidate@|@membubarkan@
@to listen carefully@|@tanggap@
@to listen to@|@mendengarkan@
@to live@|@tinggal@
@to live miserably or in ill-health@|@merana@
@to live together@|@bersekedudukan@
