@gobi@|@cauliflower@
@tel@|@oil@
@phushur@|@meat@
@ghap@|@fat@
@kahak@|@chicken@
@gamesh@|@buffalo@
@surung@|@horns@
@rum@|@tail@
@pai@|@goat@
@reni@|@dog@
@ai@|@snake@
@mukul@|@monkey@
@kagunu@|@mosquito@
@shubinak@|@spider@
@nam@|@name@
@tsiq@|@child@
@chhui@|@night@
@chhuchhi@|@morning@
@granish@|@noon@
@dosh@|@yesterday@
@hafta@|@week@
@pengachui@|@tomorrow@
@sal@|@year@
@jam@|@good@
@zah@|@wet@
@chuchhu@|@dry@
@iskurdi@|@short@
@hoski@|@right@
@kholi@|@left@
@shoi@|@near@
@qai@|@heavy@
@lots@|@light@
@shpiru@|@white@
@krui@|@red@
@troi@|@three@
@chor@|@four@
@poch@|@five@
@chhoi@|@six@
@usht@|@eight@
@niu@|@nine@
@sushi@|@eleven@
@kiagh@|@what@
@kiawaht@|@when@
@kanduri@|@how many@
@kiwali@|@which@
@haya                         .@|@this@
@hes                  .@|@that@
@hamit@|@these@
@het@|@those@
@barabar@|@same@
@pura@|@whole@
@chhirdu@|@broken@
@kam                         .@|@few@
@zhibik@|@eat@
@oyoi@|@bite@
@chuyi@|@hungry@
@trush@|@thirsty@
@nishik@|@to sit@
@paleik@|@to burn@
@mareik@|@to kill@
@ulik@|@to fly@
@kosik@|@to walk@
@deik@|@to run@
@gik@|@to go@
@ludik@|@to speak@
@kara           .@|@heard@
@poshik@|@to see@
@spa@|@we@
@pisa@|@you (plural)@
@het@|@they@
@chapiq@|@flatbread@
@bo jam@|@very good@
@masu madat korei@|@do help me@
@sayuk   /   sayurk@|@eagle@
@adamzadas@|@nobles@
@budi dik@|@Chitrali cricket@
@an@|@mountain pass@
@gol@|@river, valler, stream@
@gri@|@col@

