@Malay@|@English@
@rembat@|@whip, trap@
@rembes@|@secrete, ooze@
@rembesan@|@secretion@
@remeh-temeh@|@unimportant, trivial, petty@
@rempah@|@spices@
@rempak@|@chipped, united@
@rempang-lempung@|@injured, tattered@
@rempuh@|@to storm at, to stampede@
@rempuhan@|@a stampede@
@remuk@|@to smash, to shatter@
@remuk hati@|@broken-hearted@
@remuk-redam@|@smashed, crushed@
@renang@|@to swim@
@rencah@|@seasoning, condiment, flavouring@
@rencana@|@article, feature, story@
@rencat@|@stunted, retarded@
@renda@|@lace@
@rendah@|@low@
@rendah@|@short@
@rendam@|@to soak@
@rendang@|@food fried in coconut oil@
@renek@|@small and short@
@renggang@|@far apart@
@rengus@|@grumpy, sullen@
@renjis@|@sprinkle, scatter@
@rentak@|@rhythm, beat@
@rentang@|@to stretch tight, to spread along@
@rentap@|@to pull violently, to snatch@
@rentas@|@to take a short cut@
@rentetan@|@sequence, series@
@renung@|@to stare, to gaze, to ponder@
@renungan@|@the act of staring or gazing, contemplation@
@renyai@|@drizzle@
@renyuk@|@to crumple@
@renyuk-renyik@|@crumpled@
@repek@|@to talk nonsense@
@reput@|@rotten, decayed@
@resah@|@fidgety, restless, uneasy@
@resam@|@custom, tradition@
@resap@|@to penetrate into, to seep into, to diffuse into@
@restoran@|@restaurant@
@restu@|@blessing@
@retak@|@to crack@
@retakan@|@a crack@
@retas@|@to rip open@
@returning@|@sebaliknya@
@rezeki@|@livelihood, luck@
@ria@|@jovial, joyful, cheerful@
@riadah@|@exercise, recreation@
@riak@|@ripple on the water, vain, proud@
@riang@|@happy, cheerful, merry@
@riba@|@hold on one's lap, interest on money lent@
@ribu@|@thousand@
@ribut@|@violent, storm@
@ridip@|@dorsal fin of a fish@
@rimas@|@uneasy (because of heat, etc.)@
@rimba@|@forest, jungle@
@rimbun@|@dense, thick (of hair, foliage, etc.)@
@rinci@|@specify in details@
@rindu@|@to long for, to yearn for@
@rindu@|@to miss (someone)@
@rindu dendam@|@passionate longing@
@ringan@|@light (in weight)@
@ringan mulut@|@friendly@
@ringan tangan@|@helpful person@
@ringan tulang@|@hardworking@
@Ringgit Malaysia@|@Malaysian currency@
@ringkas@|@brief, concise@
@ringkasan@|@summary@
@ringkasnya@|@briefly, in short@
@ringkuk@|@to bend or stoop, to crouch@
@rintang@|@to block with a barricade@
@rintangan@|@barricade, obstacle@
@rintih@|@to moan, to groan (in pain)@
@rintihan@|@a groan or moan@
@rintik@|@speckle, spot@
@rintik-rintik@|@drizzle@
@rintis@|@to clear a way, to open up, to pioneer@
@risalah@|@pamphlet@
@risau@|@worried@
@risik@|@to make discreet inquiries@
@riuh@|@noisy@
@riwayat@|@story, tale@
@riwayat hidup@|@biography@
@robek@|@to tear or rip@
@roboh@|@to collapse@
@roda@|@wheel@
@rodok@|@to stab@
@rogol@|@to rape@
@roh@|@spirit, soul@
@rohani@|@spirituality@
@rohaniah@|@spiritual@
@rojak@|@salad of mixed vegetables taken with sauce@
@rokok@|@cigarette@
@roma@|@fine body hair@
@roman@|@a person's looks or appearance@
@rombak@|@to demolish, to reshuffle@
@rombakan@|@a reshuffle@
@rombong@|@large basket made of palm leaves, to form@
@rombongan@|@a group (of travellers)@
@rompak@|@to rob@
@rompakan@|@robbery@
@rompong@|@damaged at the tip, mutilated@
@ronda@|@to patrol@
@rongak@|@gap (in teeth, fence)@
@rongga@|@cavity, hollow space@
@ronggeng@|@a dance (for couples)@
@rongkong@|@throat@
@ronta@|@to struggle, to resist@
@rosak@|@damaged, spoilt@
@rosot@|@decline, deteriorate, diminish@
@rotan@|@rattan, cane@
@roti@|@bread@
@roti canai@|@a flat Malaysian bread made from wheat@
@ruam@|@rash@
@ruam panas@|@prickly heat@
@ruam saraf@|@shingles@
@ruang@|@a space, a room@
@ruang@|@space@
@ruang makan@|@dining-room@
@ruang waktu@|@time frame@
@ruangan@|@column@
@ruap@|@to boil over, to bubble or foam over, to evaporat@
@ruas@|@the section between two joints, internode@
@rugi@|@to suffer a loss@
@ruji@|@staple food, basic, main@
@rujuk@|@to refer@
@rujukan@|@reference@
@rukun@|@pillar, basic principle@
@rumah@|@house@
@rumah sakit@|@hospital@
@rumah tangga@|@household@
@rumbia@|@sago-palm@
@Rumi@|@Roman@
@rumit@|@difficult@
@rumpai@|@weed@
@rumpair@|@a kind of sea plant, alga@
@rumpun@|@a clump, a cluster@
@rumput@|@grass@
@rumus@|@formula@
@runcing@|@tapered, pointed, sharp@
@runcit@|@retail@
@runding@|@to discuss, to negotiate@
@rundingan@|@discussion, negotiation@
@rungut@|@to grumble, to complain@
@rungutan@|@a complaint@
@runsing@|@worried@
@runtuh@|@to collapse@
@runtun@|@to drag, to pull violently@
@runtunan@|@series@
@rupa@|@appearance, form@
@rupa kata@|@adverb@
@rupa nama@|@adjective@
@rupanya@|@apparently@
@rupawan@|@beautiful@
@rusa@|@deer@
@rusa senggerik@|@unicorn@
@rusuh@|@to create trouble@
@rusuhan@|@a riot, a rebellion@
@rusuk@|@side, flank, edge, rib@
@saat@|@second (clock)@
@saat@|@second (time), moment@
@saban@|@every@
@sabar@|@patient, calm@
@sabda@|@saying, verbal expression@
@sabit@|@sickle@
@Sabtu@|@Saturday@
@sabun@|@soap@
@sabung@|@to fight (of cocks)@
@sabung-menyabung@|@flashing (of lighting)@
@sabungan@|@cock-fighting@
@sabut@|@husk@
@sadai@|@stranded, beached (of boat)@
@sadap@|@to tap a palm tree for its juice@
@saderi@|@celery@
@sadur@|@metallic plating or coating@
@saga@|@a type of red seed@
@sagat@|@to grate, to scrape@
@sagu@|@sago@
@sah@|@authentic, genuine, legal@
@sahabat@|@friend@
@sahaja@|@only, merely, just@
@sahaja (saja)@|@only@
@saham@|@a share@
@sahih@|@true, valid, sure, certain@
@sahsiah@|@personality@
@sahur@|@pre-dawn meal in the Muslim fasting month@
@sahut@|@to answer a call@
@sahutan@|@an answer, a response@
@saing@|@compete, companion@
@saingan@|@competition, rivalry@
@sains@|@science@
@saiz@|@size@
@sajak@|@poem@
@saji@|@to serve (food)@
@sajian@|@a dish@
@sakat@|@to make fun of, to tease@
@saki-baki@|@remainder, balance@
@sakit@|@sick@
@sakit@|@ill, pain, painful@
@sakit hati@|@annoyed@
@saksama@|@just, impartial, fair@
@saksi@|@witness@
@sakti@|@supernatural power@
@saku@|@pocket@
@salah@|@wrong@
@salah@|@wrong, guilty, at fault@
@salai@|@to roast, to dry over a fire@
@salak@|@to bark@
@salam@|@peace, greetings@
@salang@|@a method of execution@
@salangkan@|@even if@
@salasilah@|@genealogy, pedigree@
@salib@|@cross for crucifixion@
@salih@|@pious, virtuous@
@salin@|@to change clothes, to give birth@
@salinan@|@a copy@
@saling@|@mutual@
@salir@|@to flow off, to drain away@
@saliran@|@drainage@
@salji@|@snow@
@salur@|@to lead or channel into@
@salur darah@|@blood vessel@
@salur kencing@|@urethra@
@salur mani@|@vas deferens@
@salur nadi@|@artery@
@saluran@|@a channel@
@salut@|@to coat, to enwrap@
@salut bunga@|@calyx@
@sama@|@same@
@sama@|@same, together@
@sama dengan@|@equals@
@sama sama@|@welcome@
@samak@|@tannin@
@samar@|@dim, vague, obscure@
@sambal@|@spicy condiment@
@sambar@|@to swoop down and seize, to snatch@
@sambil@|@while, simultaneously@
@sambil lalu@|@incidentally, by the way@
@sambilan@|@part-time, subsidiary@
@sambung@|@to fasten or join together, to continue@
@sambungan@|@continuation, connection, extension@
@sambut@|@to welcome, to receive, to celebrate or observe@
@sambutan@|@reception, welcome, response, celebration@
@sami@|@Buddhist monk@
@sampah@|@rubbish, garbage, litter@
@sampah sarap@|@garbage of all sorts@
@sampai@|@arrive@
@sampai@|@to reach, to arrive, till, until@
@sampai hati@|@to have the heart to do something@
@sampan@|@small boat@
@samping@|@side, flank@
@sampingan@|@a by product@
@sampuk@|@to interfere, to interrupt, to intervene@
@sampul@|@envelope, wrapper, cover@
@samseng@|@gangster, hooligan@
@samudera@|@ocean, sea@
@samun@|@to rob@
@sana@|@there@
@sanak saudara@|@relatives@
@sandang@|@shoulder-strap@
@sandar@|@to lean on, to rely on, to depend on@
@sandar-menyandar@|@to depend on one another@
@sandaran@|@prop, support, maintenance@
@sanding@|@near, close, adjacent@
@sandiwara@|@stageplay, concert@
@sang@|@honorific epithet@
@sangat@|@very@
@sangat@|@very, extremely@
@sangga@|@to support@
@sanggah-menyanggah@|@to oppose, to protest against@
@sanggama@|@union, confederation@
@sanggul@|@coiffure, knot of hair@
@sanggup@|@willing, ready, able, capable@
@sangka@|@to presume, to expect, to guess@
@sangkaan@|@presumption, conjecture, guess, imagination@
@sangkak@|@to hinder, to obstruct, to impede@
@sangkal@|@to deny, handle (of hammer)@
@sangkalan@|@denial@
@sangkar@|@cage@
@sangkut@|@stuck, attached@
@sangkut-paut@|@involved, implicated@
@sangsi@|@to doubt, to be suspicious@
@sanjung@|@to praise, to flatter, to adulate@
@sanjungan@|@flattery, adulation@
@santai@|@relaxation@
@santan@|@coconut milk@
@santap@|@to eat and drink (of royalty), to dine@
@santapan@|@food, dishes, meal@
@santun@|@well-mannered@
@sanubari@|@heart, emotions@
@sapa@|@to greet, to speak to, to address@
@sapaan@|@greeting, salutation@
@sapi@|@cow or bull@
@sapu@|@to wipe, to sweep, to rub gently@
@sapu tangan@|@handkerchief@
@sara@|@pension, allowance@
@sara hidup@|@livelihood@
@saraf@|@nerve@
@saran@|@to suggest, to propose@
@saranan@|@suggestion, proposal, propaganda@
@sarang@|@nest, web@
@sarap@|@to have breakfast@
@sarapan@|@breakfast@
@sarat@|@heavily loaded@
@saribunga@|@corolla, petals@
@saring@|@to filter, to refine, to sift, to sieve, to purif@
@saringan@|@refinement, preliminary rounds of contest@
@sarjana@|@scholar@
@sarjana muda@|@bachelor's degree@
@sarung@|@sarong, sheath, cover, wrapper@
@sarung kaki@|@socks@
@sarung tangan@|@glove@
@sasa@|@strong, sturdy@
@sasar@|@eccentric, odd, confused, crazy@
@sasaran@|@target@
@sastera@|@literature@
@sasterawan@|@male scholar@
@sasterawati@|@female scholar@
@sasul@|@overshot, gone too far@
@satah@|@plane, flat, level@
@satu@|@one@
@satu-satu@|@one by one@
@satu-satunya@|@the only one@
@saudagar@|@merchant@
@saudagar@|@merchant, trader@
@saudara@|@you (male)@
@saudara@|@brother or sister, relative, comrade@
@saudara-mara@|@relatives in general@
@saudari@|@you (female)@
@saudari@|@female relative or friend@
@sauh@|@anchor@
@saujana@|@spacious, extensive@
@sauk@|@a scoop@
@sawah@|@rice-field@
@sawan@|@fits, epilepsy@
@sawang@|@cobweb@
@sawat@|@belt@
@saya@|@I, my, me@
@saya@|@I, my, mine@
@sayang@|@to love (family)@
@sayang@|@love, affection@
@sayap@|@wing@
@sayat@|@to slice@
@sayu@|@sad, melancholic@
@sayup@|@very faintly visible or audible@
@sayup-sayup@|@vague, indistinct@
@sayur@|@vegetable@
@sayur-mayur@|@variety of vegetables@
@sayur-sayuran@|@variety of vegetables@
@se@|@one, same, a, an@
@seakan-akan@|@like, similar, as though@
@sealam@|@having the same nature@
@seantero@|@the whole, totally@
@searah@|@in the same direction@
@sebab@|@reason, cause, because@
@sebab@|@because@
@sebab-musabab@|@reason@
@sebagai@|@as@
@sebagaimana@|@as, like@
@sebaik-baik@|@as good as, just@
@sebaiknya@|@better, as it should be@
@sebak@|@to shed tears, choked@
@sebal@|@resentful, disillusioned, dissatisfied@
@sebalah@|@next@
@sebanding@|@comparable@
@sebangsa@|@of the same race@
@sebanyak@|@as much as, as many as@
@sebanyak-banyaknya@|@at the most@
@sebapa@|@having the same father@
@sebar@|@to spread, to distribute, to disseminate@
@sebaran@|@seed@
@sebarang@|@any@
@sebarang@|@whatever, any@
@sebat@|@to whip, to cane, to steal@
@sebatan@|@whipping, caning@
@sebaya@|@same age group@
@sebaya@|@similar (of age, looks)@
@sebelah@|@beside@
@sebelah@|@half, beside, towards@
@sebelah-menyebelah@|@on both sides@
@sebelas@|@eleven@
@sebelum@|@before (doing something)@
@sebelum@|@before@
@sebenarnya@|@in fact@
@sebentar@|@a moment@
@sebentar@|@a while@
@sebentar-sebentar@|@at short intervals@
@sebentuk@|@numerical coefficient for curved objects@
@seberang@|@opposite side (of river, road), across@
@seberapa@|@any amount, as much or as many as@
@sebetulnya@|@in fact@
@sebilangan@|@a number of@
@sebintang@|@compatible@
@seboleh-bolehnya@|@to the best of one's ability@
@sebu@|@choked (of nose), full (of stomach)@
@sebulat@|@unanimous@
@sebunyi@|@of the same sound@
@sebut@|@to utter, to mention, to say, to pronounce@
@sebut@|@mention@
@sebutan@|@expression, utterance, pronunciation@
@secara@|@by way of, like, resembling@
@secekak@|@amount one can hold with thumb and finger@
@secepat@|@as quickly as@
@secocok@|@suitable, agreeable, compatible, identical@
@secolek@|@a bit@
@secubit@|@a pinch (very small amount)@
@sedak@|@to choke, to hiccup@
@sedalam@|@as deep as@
@sedalam-dalamnya@|@as thoroughly as possible@
@sedang@|@to be in the process of, while, medium@
@sedang@|@still ((auxiliary word for present cont. tense)@
@sedap@|@delicious@
@sedap@|@pleasant (of taste, smell), nice (of voice), taste@
@sedapat-dapatnya@|@if possible, as far as possible@
@sedar@|@conscious, aware@
@sedarah@|@of the same family line@
@sedarjat@|@of equal status@
@sedaya@|@to the extent possible@
@sedekah@|@alms@
@sederet@|@in a single row or line@
@sederhana@|@moderate, average, medium, simple@
@sedia@|@ready@
@sedia@|@ready, prepared, willing@
@sediakala@|@immemorial, old, of long past@
@sedih@|@sad, sorrowful@
@sedih@|@sad@
@sedikit@|@little@
@sedu@|@sobbing@
@sedu-sedan@|@sobbing@
@sedunia@|@the whole world@
@sedut@|@to inhale, to suck up@
@sedutan@|@inhalation, suction@
@seelok-eloknya@|@the best or most appropriate way@
@seerti@|@synonym@
@sefahaman@|@sharing the same view@
@sefikiran@|@having the same opinion@
@segak@|@smart-looking, chic, elegant, stylish@
@segala@|@all, entire, whole, every@
@segala-galanya@|@everything@
@segan@|@shy, bashful@
@segan-silu@|@bashful@
@segar@|@fresh@
@segar-bugar@|@fit, like new@
@segelintir@|@a small part, a small group@
@segenap@|@all@
@segenggam@|@a fistful, a handful@
@segera@|@without delay, urgent, quick@
@segi@|@aspect, angle, view, side, facet@
@segi empat@|@square@
@segi tiga@|@triangle@
@segi tiga sama kaki@|@isosceles triangle@
@segi tiga sama sisi@|@equilateral triangle@
@segugus@|@a bundle or bunch of@
@sehabis@|@immediately after@
@sehaluan@|@following the same course@
@sehari@|@one day@
@sehari-hari@|@every day@
@sehari-harian@|@all day long@
@seharusnya@|@necessarily, inevitably, actually@
@sehati sejiwa@|@one heart and soul (togetherness)@
@sehingga@|@until@
@seia sekata@|@agreeable@
@seimbang@|@equal, balanced@
@seingat@|@as far as can be remembered@
@seiring@|@side-by-side@
@sejabat@|@colleague@
@sejagat@|@worldwide, universal@
@sejahat-jahat@|@however bad@
@sejahtera@|@peaceful@
@sejajar@|@parallel, in line with, in alignment@
@sejak@|@since@
@sejarah@|@history@
@sejat@|@to evaporate@
@sejati@|@real, true (of friends)@
@sejauh@|@as far as@
@sejawat@|@colleague@
@sejemput@|@a pinch of@
@sejenak@|@a moment@
@sejenis@|@of one type, a type of@
@sejuk@|@cold@
@sejuk@|@cool, cold@
@sejumlah@|@a total of, a sum of@
@sejurus@|@a moment@
@sekadar@|@just, only@
@sekali@|@once, at the same time, superlative@
@sekali imbas@|@glance@
@sekali-sekala@|@once in a while@
@sekalian@|@all@
@sekaligus@|@simultaneously@
@sekaligus@|@all at once@
@sekalipun@|@although@
@sekam@|@grain husk, chaff@
@sekarang@|@now@
@sekat@|@to block, to obstruct@
@sekata@|@even@
@sekatan@|@obstruction@
@sekehendak hati@|@according to one's wish@
@sekejap@|@moment@
@sekejap@|@a moment@
@sekelamin@|@a pair, a couple@
@sekelilang@|@around@
@sekelip mata@|@in a wink@
@sekerap@|@scrap@
@seketika@|@a moment@
@seketul@|@a lump@
@sekian@|@that's all@
@sekitar@|@surrounding@
@sekoi@|@millet@
@sekolah@|@school@
@sekongkol@|@conspiracy@
@sekonyong-konyong@|@sudden, abrupt, curt@
@seksa@|@to torture@
@seksaan@|@suffering, torture@
@sekumpulan@|@a group@
@sekuntum@|@a flower@
@sekurang-kurangnya@|@at least@
@sekutu@|@partner, ally@
@sela@|@interval, gap, opening@
@seladang@|@wild ox@
@selak@|@a bolt, to pull out a garment@
@selalu@|@always@
@selam@|@to dive@
@selamat@|@safe@
@selamat berjaya@|@good luck@
@selamat datang@|@welcome@
@selamat jalan@|@goodbye, farewell@
@selamat jalan@|@goodbye (to someone leaving)@
@selamat malam@|@goodnight@
@selamat pagi@|@good morning@
@selamat tingah hari@|@good afternoon@
@selamat tinggal@|@goodbye (to host)@
@selamba@|@poker-faced, shameless@
@selang@|@interval, pause@
@selapas itu@|@after that@
@selaput@|@membrane@
@selaput mata@|@cataract@
@selar@|@branding iron@
@Selasa@|@Tuesday@
@selasih@|@a type of plant@
@selat@|@straits@
@selatan@|@south@
@selawat@|@prayer for peace and prosperity@
@selekeh@|@stain, smudge@
@selekoh@|@curve, bend, twist@
@selempang@|@sash@
@selendang@|@shawl@
@selenggara@|@to maintain, to look after, to keep in good condi@
@selepas@|@after@
@selera@|@appetite, zest@
@selerak@|@scattered@
@selesa@|@comfortable, leisure@
@selesai@|@settled@
@selesai@|@finished, settled, completed@
@selesema@|@cold (flu)@
@seleweng@|@to divert, to deviate@
@selia@|@to inspect@
@selidik@|@to investigate, to study, to do research@
@selimut@|@blanket@
@selinap@|@to sneak away@
@selindung@|@to hide, to conceal, to take cover@
@seling@|@alternate@
@selingan@|@interlude@
@selipar@|@slippers@
@selirat@|@confused@
@selisih@|@difference, dispute, disagreement@
@selit@|@to insert@
@seliuh@|@sprained@
@selok@|@intricacy@
@selok-belok@|@intricacy@
@selongkar@|@to ransack, to rummage@
@seloroh@|@comical, joking, humorous@
@selsema@|@a cold (medical)@
@seluar@|@trousers, pants@
@seluar@|@trousers@
@seluar dalam@|@underpants@
@selubung@|@cover, veil@
@seludup@|@to smuggle@
@seluk@|@to put the hand in the pocket@
@selumbar@|@wooden splinter@
@seluruh@|@entire, whole@
@selusup@|@to penetrate, to infiltrate@
@selut@|@mud@
@semadi@|@concentration, to bury@
@semai@|@to sow, to plant seedlings@
@semaian@|@nursery, seedlings@
@semak@|@bush, undergrowth, to check, to revise@
@semak-samun@|@undergrowth of all kinds@
@semalam@|@yesterday@
@semangat@|@spirit, zest, enthusiasm, soul, vigour@
@semangka@|@watermelon@
@semarak@|@splendour, excellence@
@semat@|@a pin@
@semayam@|@To reside, to sit, to rest (of rulers)@
@sembah@|@to worship, to idolize@
@sembah salam@|@good wishes@
@sembahyang@|@to worship, to pray@
@sembam@|@to fall in a prone position or on one's face@
@sembang@|@chatter@
@sembap@|@to swell@
@sembarang@|@arbitrary@
@sembarangan@|@at random@
@sembarangan@|@whatever, any@
@sembelih@|@to slaughter@
@sembelihan@|@slaughter, bloodshed@
@sembelit@|@constipation, constipated@
@sembilan@|@nine@
@semboyan@|@signal, alarm@
@sembuh@|@to recover from ill-health@
@sembul@|@to protrude@
@sembunyi@|@to hide, to conceal@
@sembur@|@to spout, to spray, to sprinkle@
@semenanjung@|@peninsula@
@semenjak@|@since@
@semenjak itu@|@ever since@
@sementara@|@temporary, while@
@sementara itu@|@meanwhile@
@semerbak@|@fragrant@
@semesta@|@all, entire, the whole@
@semesta alam@|@the whole universe@
@sempadan@|@boundary@
@sempang@|@hyphen@
@sempat@|@having the time, early@
@sempena@|@in conjunction with, in commemoration of@
@sempit@|@narrow@
@sempurna@|@complete, perfect@
@semua@|@all@
@semuanya@|@wholly, entirely@
@semula@|@again@
@semut@|@ant@
@sen@|@cent@
@senak@|@tight, feeling stuffed@
@senak perut@|@indigestion, feeling of fullness in abdomen@
@senam@|@to do physical exercise@
@senaman@|@physical exercise@
@senang@|@easy, comfortable, free (from care)@
@senang@|@easy@
@senapang@|@gun@
@senarai@|@list@
@senda@|@joke@
@sendat@|@tight, close-fitting@
@sendawa@|@to belch, to burp@
@sendeng@|@slanting, sloping, leaning, askew@
@sendi@|@joint@
@sendiri@|@self@
@sendiri@|@alone, on one's own@
@sendiri-sendiri@|@each, individually@
@senduk@|@ladle@
@sengaja@|@purposely, intentionally@
@sengaja@|@purposely@
@sengal@|@pain in the joints, rheumatism@
@sengat@|@a sting@
@sengau@|@nasal (of voice)@
@senget@|@slanting, inclining@
@senggugut@|@dysmenorrhoea@
@sengguk@|@to nod@
@sengih@|@to grin@
@sengihan@|@a grin@
@sengit@|@violent@
@sengkang@|@a dash@
@sengketa@|@a dispute@
@sengsara@|@suffering, agony@
@seni@|@art, skill, fine@
@seni bahasa@|@fine language@
@seni bina@|@architecture@
@seni lukis@|@art of painting or drawing@
@seni ukir@|@sculpture@
@seniman@|@male actor@
@seniwati@|@actress@
@senja@|@dusk, twilight@
@senjakala@|@evening@
@senjata@|@weapon, arms@
@senjata api@|@firearms@
@senjata berat@|@artillery@
@senonoh@|@proper, decent, well-behaved@
@sentak@|@to jerk, to pull suddenly@
@sental@|@to rub, to scrub, to erase@
@sentap@|@to tug, to pull sharply@
@senteng@|@short or scanty (of clothes)@
@sentiasa@|@always@
@sentosa@|@peaceful, tranquil@
@sentuh@|@to touch@
@sentuhan@|@contact@
@senyap@|@quiet, silent@
@senyap-senyap@|@quietly, without anybody's knowledge@
@senyum@|@to smile@
@senyuman@|@a smile@
@seorangan@|@alone@
@sepah@|@to chew (of betel leaf), scattered@
@sepak@|@to slap, to kick@
@sepanduk@|@banner, placard@
@separa@|@a section only@
@separuh@|@half, semi@
@sepasang@|@a pair@
@sepatu@|@shoe@
@sepatu@|@sandal@
@sepatu besi@|@horse-shoe@
@sepenggalah@|@a pole's length@
@seperjuangan@|@a common fight or struggle@
@seperti@|@like, such as@
@sepi@|@quiet, desolate, deserted@
@sepit@|@tweezers, pincers, chopsticks@
@sepoi-sepoi@|@gentle, mild@
@sepoi-sepoi bahasa@|@soft breeze@
@sepuh@|@gilt@
@sepuluh@|@ten@
@sepupu@|@cousin@
@serabut@|@fibre@
@serah@|@to surrender@
@serahan@|@something that is submitted@
@serai@|@lemon-grass@
@serak@|@hoarse (of voice)@
@seram@|@terrifying, frightful@
@serambi@|@verandah, porch@
@serampang@|@a harpoon@
@serang@|@boatswain@
@serangan@|@an attack, an assault@
@serangga@|@insect@
@Serani@|@Eurasian@
@serap@|@to absorb@
@serapah@|@a curse@
@serapan@|@absorption@
@seraya@|@while, simultaneously@
@serba@|@all@
@serba aneka@|@various, all sorts@
@serba-serbi@|@various sorts@
@serban@|@turban@
@serbu@|@to invade, to attack@
@serbuan@|@a raid, an attack@
@serbuk@|@powder@
@serempak@|@coming suddenly and unexpectedly@
@serentak@|@simultaneously@
@seret@|@to drag@
@sergah@|@startling@
@sergahan@|@a snarl, act of startling@
@sergam@|@conspicuous@
@seri@|@splendour, brightness, royal honorific@
@Seri Paduka@|@His Majesty@
@serigala@|@wolf, jackal@
@serik@|@to discourage@
@sering@|@often, frequently@
@seringai@|@a grin@
@seringkali@|@often, frequently@
@serkap@|@conical fish-trap@
@serkup@|@conical coop@
@serlah@|@gleaming white against dark background, exposed@
@serong@|@askew, crooked, unfaithful, insincere@
@seronok@|@enjoyable, pleasant@
@serpih@|@a chip, a fragment, a splinter@
@serpihan@|@a chip, a fragment, a splinter@
@serta@|@together with, along with, as soon as@
@serta-merta@|@immediately@
@seru@|@to cry aloud, to exclaim, to call@
@seruan@|@an exclamation@
@seruling@|@flute@
@sesah@|@beat with a cane@
@sesak@|@congested, tight, crowded, packed@
@sesal@|@regretful, repentant@
@sesalan@|@repentance@
@sesat@|@lost, gone astray@
@seseorang@|@somebody@
@sesuai@|@suitable@
@sesuai@|@suitable, appropriate@
@sesungut@|@feeler, antenna@
@setem@|@stamp@
@setengah@|@half@
@seterika@|@iron (for clothes)@
@seteru@|@enemy, foe@
@setia@|@loyal, faithful@
@setiap@|@every@
@setiausaha@|@secretary@
@setinggan@|@squatter@
@setuju@|@agree@
@sewa@|@to rent, to hire@
@sewa@|@rent, lease@
@sewa beli@|@hire purchase@
@sewaan@|@rental@
@sfera@|@sphere@
@sia-sia@|@useless, futile, in vain@
@siak@|@mosque caretaker@
@sial@|@unlucky, unfortunate@
@siamang@|@a gibbon@
@siang@|@daytime, to cut up and clean (meat or fish)@
@siang hari@|@daytime@
@siang-siang@|@early@
@siap@|@ready, prepared, finished, completed@
@siap sedia@|@ready, well-prepared@
@siapa@|@who, whose@
@siapa@|@who@
@siar@|@to stroll@
@siaran@|@a broadcast@
@siasat@|@to investigate@
@siasatan@|@investigative, investigation@
@siat@|@to tear into small pieces, to shred@
@sibuk@|@busy@
@sibur-sibur@|@dragon-fly@
@sidai@|@to hang out (clothes)@
@sidang@|@council, board, meeting@
@sifar@|@zero@
@sifat@|@characteristic, feature, quality@
@sifir@|@an arithmetical table@
@sihat@|@healthy@
@sihir@|@magic, sorcery@
@sijil@|@certificate@
@sikap@|@attitude@
@sikap@|@demeanour, attitude@
@sikat@|@a comb, a bunch (of bananas)@
@sikat rambut@|@to comb hair@
@sikit-sikit@|@a little@
@siku@|@elbow@
@siku-siku@|@a set-square@
@sila@|@please@
@sila@|@please, to sit cross-legged@
@silam@|@the past@
@silang@|@a cross@
@silap@|@error@
@silap@|@wrong, mistaken@
@silau@|@glitter, dazzle@
@silih@|@alternate@
@siling@|@ceiling@
@silu@|@shy, bashful, timid@
@simbah@|@soaked, wet@
@simpan@|@to keep, to store, to save (money)@
@simpan@|@keep@
@simpanan@|@savings@
@simpang@|@junction@
@simpang-siur@|@criss-crossing@
@simpangan@|@cross-roads@
@simpul@|@a knot@
@simpulan@|@a knot, a bond@
@simpulan bahasa@|@an idiom@
@sinar@|@a ray, a beam (of light)@
@sinaran@|@a ray, a glow, a gleam, a glitter, illumination@
@sindir@|@to hint, to insinuate, to tease, to mock@
@sindiran@|@insinuation@
@singa@|@lion@
@singgah@|@to stop by on the way@
@singgahsana@|@throne@
@singgung@|@to insult, to offend@
@singkap@|@to reveal, to expose, to lay open, to lift (skirt@
@singkat@|@short, brief@
@singkatan@|@abbreviation@
@singkir@|@to expel, dismiss@
@singsing@|@to roll up (sleeves, trousers)@
@sini@|@here@
@sinis@|@cynical@
@sipi@|@off target@
@sipu@|@shy, bashful@
@siput@|@snail@
@siram@|@to water@
@sirap@|@slightly raised@
@sirat@|@netting, mesh@
@sirih@|@betel leaf@
@sirip@|@fin@
@sisa@|@remainder, leftovers@
@sisi@|@side, edge@
@sisih@|@to stay apart@
@sisik@|@scale (of fish)@
@sisip@|@to insert@
@sisipan@|@insertion@
@sisir@|@to comb, a comb (of bananas)@
@sistem@|@system@
@siswa@|@undergraduate@
@sita@|@forfeited, confiscated@
@sitaan@|@confiscation, confiscated goods@
@situ@|@there@
@siul@|@to whistle@
@siulan@|@whistling@
@siuman@|@recovered consciousness, sane@
@soal@|@to question@
@soal selidik@|@questionaire@
@soalan@|@a question@
@soalan@|@question@
@sodok@|@to shovel@
@sogok@|@a bribe@
@sokong@|@support@
@sokong@|@to support, to back up@
@sokongan@|@support, backing@
@solek@|@make-up@
@sombong@|@proud, conceited, snobbish@
@sombong@|@proud@
@sompek@|@chipped@
@sondol@|@to butt with lowered head@
@songkok@|@Malay male head-dress@
@songsang@|@upside down, inverted@
@sopan@|@respectful, courteous, polite@
@sopan santun@|@courtesy, politeness@
@sorak-sorai@|@applause, cheering@
@sorakan@|@applause, cheers@
@sore@|@afternoon, early evening@
@sorok@|@to hide, to conceal@
@sorong@|@to push forward, to shove, to urge@
@sorot@|@ray, beam, to review@
@sorotan@|@glow, radiation, reflection, review@
@sotong@|@squid@
@sotong@|@cuttlefish@
