@Malay@|@English@
@basuhan@|@something that is washed@
@bata@|@brick@
@batal@|@cancel@
@batal@|@invalid, null, cancelled@
@batang@|@classifier (used to count rod-like objects;pens)@
@batang@|@bar, strip, long solid piece, numerical coefficie@
@batas@|@limits, confines, boundaries, vegetable be@
@batik@|@type of textile print@
@batin@|@of the inner feelings, mental@
@batiniah@|@spiritual@
@batu@|@stone@
@batu@|@stone, rock, mile@
@batu api@|@instigator@
@batu arang@|@coal@
@batu asah@|@whetstone@
@batu canai@|@whet-stone, grinding wheel@
@batu karang@|@coral@
@batuan@|@rock@
@batuk@|@cough@
@bau@|@smell, aroma, odour@
@bau-bauan@|@scent, fragrance, perfume@
@bauk@|@sideburns, whiskers@
@baur@|@mix@
@bauran@|@mixture, hotchpotch@
@bawa@|@bring@
@bawa@|@bring, carry@
@bawah@|@below, under@
@bawah (di bawah)@|@under@
@bawahan@|@subordinate, of lower rank or position@
@bawal@|@ponfret@
@bawang@|@onion@
@bawang merah@|@shallot@
@bawang putih@|@garlic@
@baya@|@age@
@bayam@|@spinach@
@bayang@|@shadow, reflection@
@bayang-bayang@|@shadow, reflection, imagination@
@bayangan@|@shadow, image@
@bayar@|@pay@
@bayaran@|@payment@
@bayi@|@baby@
@bayu@|@breeze@
@bazir@|@waste@
@bebal@|@imbecile, idiotic, silly, foolish, stupid@
@beban@|@burden, responsibility@
@bebanan@|@burden, responsibility@
@bebas@|@free, independent@
@bebas@|@free (liberty)@
@bebat@|@bandage, dressing@
@bebawang@|@bulb (of plant)@
@bebel@|@incomprehensible utterings@
@beberapa@|@several@
@bebibir@|@flange, projecting rim@
@beca@|@trishaw, rickshaw@
@becak@|@muddy@
@becok@|@fond of chatting, talkative@
@bedah@|@operate, dissect@
@bedak@|@powder@
@bedak sejuk@|@powder made from rice@
@bedal@|@whip, beat@
@bedek@|@aim at@
@bedil@|@gunpowder, gun@
@bedilan@|@shooting, firing@
@beduk@|@big drum used in the mosque@
@beg@|@bag@
@begar@|@headstrong, hard, firm@
@begini@|@like this@
@begitu@|@so@
@begitu@|@like that, so@
@beguk@|@mumps@
@bejana@|@canister@
@bekal@|@cater, supply food@
@bekalan@|@provisions, stock, supply, ration@
@bekam@|@seize, grip@
@bekas@|@former, ex-, container, traces@
@bekas darah@|@blood stain@
@bekas luka@|@scar@
@bekat@|@full@
@bekerja@|@to work, working@
@bekerja@|@to work@
@bekerjasama@|@to cooperate@
@beku@|@frozen, hardened, solidified@
@bekuan@|@hot@
@bela@|@advocate, defend, avenge, rear or breed@
@belaan@|@that which is taken care of@
@belacan@|@shrimp paste@
@belacu@|@calico@
@belah@|@to split, to bisect, to cut in half@
@belahan@|@cleft, cleavage@
@belai@|@cherish, coaxing, caress@
@belaian@|@coaxing, caress@
@belajar@|@learn@
@belajar@|@to learn@
@belak@|@mottled@
@belaka@|@altogether, entirely, quite@
@belakang@|@behind@
@belakang@|@back, rear, behind@
@belakangan@|@recently@
@belalai@|@elephant's trunk, proboscis@
@belalang@|@grasshopper@
@Belanda@|@Dutch@
@belang@|@stripe@
@belanga@|@clay cooking pot@
@belangkas@|@king-crab@
@belanja@|@spend@
@belanja@|@expenses, expenditure@
@belanjawan@|@budget@
@belantan@|@club, bludgeon, truncheon@
@belantara@|@forest@
@belas@|@compassion, pity, mercy@
@belasah@|@flog, whip@
@belat@|@fish-trap@
@belati@|@European@
@belau@|@shimmering@
@belauan@|@diffraction of light@
@belebas@|@ledge, lath@
@belek@|@scrutinise@
@belengas@|@sticky@
@belenggu@|@manacle, handcuff, shackle@
@belerang@|@sulphur@
@beli@|@to buy@
@beli@|@buy@
@belia@|@youth@
@beliak@|@dilated, wide open (of eyes)@
@belian@|@the purchase@
@beliau@|@he or she@
@beliau@|@he, she (elderly / respectable person)@
@belikat@|@shoulder-blade@
@belimbing@|@starfruit@
@belit@|@circumlocutary, twisting, twining@
@belitan@|@a coil@
@beliung@|@hatchet, small axe, adze@
@belok@|@turn (in direction)@
@belok@|@to turn@
@belokan@|@a bend or curve, a change of direction@
@belot@|@betray@
@belukar@|@bush, shrub, secondary forest@
@belulang@|@hide, untanned leather, patch of hardened skin@
@belum@|@not yet@
@belut@|@eel@
@bembam@|@roast in hot embers@
@benak@|@silly, stupid@
@benam@|@embed, immerse in water@
@benang@|@thread@
@benar@|@true@
@benar@|@genuine, true, real, correct@
@benar-benar@|@really, truly, very@
@bencana@|@harmful, very unpleasant, disaster@
@benci@|@hate, detest@
@benda@|@thing@
@bendahara@|@chief minister of a Malay State@
@bendahari@|@treasurer, bursar@
