@end of time@|@ngalu@
@endless space@|@vanu@
@England@|@'Ingilani@
@entrance@|@teu hu i fe@
@epilepsy@|@mahakimoa@
@epoc@|@'epoki@
@equator@|@'ekueta@
@equipment@|@naunau@
@essay@|@'esei@
@Estonia@|@Esitonia@
@Ethiopia@|@'Itiopea@
@Europe@|@'Iulope@
@event@|@ouau@
@evil@|@kovi@
@Excuse me@|@Tulou@
@exit@|@hu'anga ki tua@
@expensive@|@mamafa@
@eye@|@mata@
@face or eyes@|@mata@
@faith@|@tui@
@fallen tree@|@holo@
@falling of quantities@|@ngangana@
@family@|@famili@
@family surname@|@fakaiku@
@fan@|@i, ii@
@far@|@mama'o@
@farm@|@faama@
@farmer@|@faama@
@fast@|@oma@
@fasten@|@mono'o@
@fat@|@ngako, sino@
@fate@|@nunu'a@
@father@|@tama, tamai, tami@
@fathom@|@ofa@
@fatty@|@ngako@
@favourite@|@pele@
@feather@|@fulufulu@
@February@|@Fepueli@
@feet@|@va'e@
@female@|@fenine@
@fence@|@'aa@
@fever@|@mofi@
@fibre@|@salusalu@
@fifteen@|@taha nima (hongofulu ma nima), tahanima@
@fifty@|@nima noa, nimanoa@
@fighting@|@tau@
@Fiji@|@Fisi@
@fill@|@kumi@
@fill to the brim@|@ngutungutu@
@fine@|@lelei, sai@
@fine-thank you@|@malo, sai pe@
@finger@|@louhi'inima@
@finish@|@'osi@
@Finland@|@Finilani@
@fire@|@afi@
@fire crackers@|@'one@
@fish@|@'ava, alamea, ika@
@fish scales@|@'uno@
@fishing@|@ama@
@fishing line@|@afo@
@fishing trip@|@siu@
@five@|@mima, nima@
@flag@|@fuka@
@flashing@|@tapa@
@flat@|@lafalafa@
@flattened@|@lailai@
@flesh@|@kano, kanokano@
@flies@|@langoa@
@flocked together@|@mumu@
@floor@|@faliki@
@flower@|@kakala@
@fluid@|@huhu'a@
@fluidy substance (soft runny cooked food)@|@sepo@
@fly@|@lango@
@fog@|@kakapu@
@fold@|@pelupelu@
@Follow me@|@Mui mui mai 'ia au@
@food@|@meakai@
@food stall@|@kai tepile@
@foolish@|@sesele@
@foot@|@va'e@
@football@|@'akapulu@
@force someone to run@|@fakalele@
@forearm@|@kaunima lalo@
@forefinger@|@tuhu@
@forehead@|@la'e@
@foreigner@|@sola, vulangi@
@foreigner (white)@|@palani@
@forest@|@vao@
@fork@|@huhu kai@
@forty@|@fanoa@
@found@|@'ilo@
@four@|@fa@
@fourteen@|@taha fa (hongofulu ma fa), tahafa@
@fourty@|@fa noa@
@fragrance@|@ngangatu@
@France@|@Falanise@
@Francis@|@Falakiko, Falanisi@
@Friday@|@Falaite@
@fried@|@fakapaku@
@frightened@|@ilifia@
@frills@|@felefele@
@frowning@|@mofisi@
@fruit@|@fo'ai akau, fua@
@full@|@fonu@
@funeral@|@putu@
@funny@|@oli@
@fur@|@fulufulu@
@gall@|@'ahu@
@garden@|@ngoue'anga@
@garland of flowers@|@sisi@
@Geneva@|@Siniva@
@geologist@|@sioloki@
@geology@|@sioloki@
@George@|@Siaosi@
@Germany@|@Siamane@
@Gertrude@|@Seletute@
@get hurt@|@lavea@
@get ready@|@teuteu@
@Ghana@|@Sana@
@ginger@|@sinisa@
@girl@|@ta'ahine@
@given names@|@ngaahi hingoa papi@
@giving birth@|@fa'ele@
@glass@|@sio'ata@
@glow@|@ulo@
@glutton@|@taha kai totu'a@
@go between@|@sele@
@go on holiday@|@'eve'eva@
@goat@|@kosi@
@going underwater@|@ngoto@
@gold@|@koula@
@good@|@lelei, sai@
@Good Afternoon@|@Malo tau ma'u e ho'ata ni@
@Good bye@|@Nofo a or 'Alu a@
@Good day@|@Malo e lelei@
@Good day (to a chief)@|@Malo e laumalie@
@Good day (to a Monarch)@|@Malo e lakoifua@
@Good Evening@|@Malo tau ma'u e efiafi ni.@
@good fine@|@sai@
@Good Morning@|@Malo tau ma'u e pongipongi@
@Good Night@|@Po'uli a or Mohe a@
@gossip@|@lau@
@gossip)@|@sasala@
@grammar@|@kalama@
@grandchildren@|@mokopuna@
@Grandfather@|@Kui tangata@
@Grandmother@|@Kui fefine@
@grapefruit@|@moli Tonga@
@grass@|@mohuku@
@grease@|@ngako@
@greased (clothes)@|@mingimingi@
@Greece@|@Kalisi@
@green@|@lanu mata, lanumata@
