@Hippomenes@|@Hippomène@
@Hittites@|@Hittites@
@Hohenstaufen House@|@Maison des Hohenstauffen@
@Holland@|@Hollande@
@Holophernes@|@Holopherne@
@Holy Land@|@Terre Sainte@
@Holy Roman Empire@|@Saint Empire Romain(le)@
@Holy War@|@Guerre Sainte@
@Homburg@|@Hombourg@
@Homer@|@Homère@
@homo erectus@|@homo erectus@
@homo sapiens@|@homo sapiens@
@homo sapiens sapiens@|@homo sapiens sapiens@
@homo-habilus@|@homo habilis@
@Horace@|@Horace@
@House Of  Jagelioneans@|@La Masion des Jagelons@
@House of Valois@|@Maison des Valois@
@Huguenot@|@Huguenot@
@Humanism@|@Humanisme@
@Hun@|@Hun@
@Hundred Days@|@Cent Jours(les)@
@Hungarian(ling.)@|@Hongrois(lang.)@
@Hungary@|@Hongrie@
@Huningen@|@Huningue@
@Huns@|@Huns@
@Hyacinthus@|@Hyacinthe@
@Hygeia@|@Hygie@
@Hyksos@|@Hyksos@
@Hymen@|@Hymen@
@Hymettus(mount)@|@Hymette@
@Hyperides@|@ypéride@
@Hyrcania@|@Hyrcanie@
@Hyrcanus@|@Hyrcan@
@Iamblichus@|@Jamblique@
@Iberia@|@Ibérie@
@Icaria@|@Icaria@
@Icarus@|@Icare@
@Icelandic(ling.)@|@Islandais@
@Iconoclast@|@Iconoclaste@
@Idomeneus@|@Idoménée@
@Idumea@|@Édom, Idumée@
@Ignatius@|@Ignace@
@Iliad@|@Iliade@
@Ilion@|@Ilion@
@Ilium@|@Ilion@
@Illyria@|@Illyrie@
@Imperial Rome@|@Rome Impériale@
@Inca Empire@|@Empire Inca(L')@
@Indian(ling.)@|@Indien(lang.)@
@Indo-European@|@Indo-Européen@
@Indonesian@|@Indonésien(lang.)@
@Inquisition@|@Inquisition@
@Interregnum@|@Inter Règne@
@Ionia@|@Ionie@
@Ionian@|@Ionien@
@Ionian Isles@|@Îles Ionienne@
@Iphicrates@|@Iphicrate@
@Iphigenia@|@Iphigénie@
@Iranian(ling.)@|@Iranien@
@Irish(ling.)@|@Irlandais(lang.)@
@Irrawaddy@|@Iraouaddy@
@irrigation@|@irrigation@
@Isauria@|@Isaurie@
@Isaurian@|@Isaurien@
@Iscariot@|@Iscariote@
@Ishmael@|@Ismaël@
@Isis@|@Isis@
@Islamized@|@Islamisé@
@Istria@|@Istrie@
@Italian Somaliland@|@Somalie Italienne@
@Italian(ling.)@|@Italien(lang.)@
@Ithaca@|@Ithaque@
@Iulus@|@Iule@
@Ivan I@|@Ivan Ier@
