@stitch@|@jö-, sirë-, siri-@
@stop up@|@bugële-, bugule-, pude-@
@storehouse@|@komorgo, komurgo@
@strand (rope)@|@mušgi- musgë-@
@strength@|@kuzi@
@strict@|@lemben@
@strike@|@gubu-, gubu-, gui-, guwu-@
@string@|@aroG@
@strong@|@ciraG@
@summer@|@žun@
@sun@|@nara@
@surplus@|@fule-, fulü, šilü, xilü, xoliu@
@surprise attack@|@xüli-@
@swallow@|@xaranchiGe@
@sway@|@dewäl-@
@swell up@|@kö-, körsë, körzë@
@swelling@|@xaidë-, xawudi-, xëdi-@
@table@|@sire@
@tail hair@|@cirGäzë@
@tail strap@|@GudarGa@
@take responsibility@|@dä-@
@tangled hair@|@däkir@
@tarbagan@|@tarbuGa, törGa@
@taste@|@amata-, amsa-, amta, amuta@
@tear off@|@xaGali-, xaGarä-@
@tear out@|@sde-@
@temple@|@šënä@
@ten@|@xar(w)an, xarwan@
@testicle(s)@|@böro@
@that@|@te@
@thick@|@bidun, budin, žužän, žužwän@
@thigh@|@süzi@
@thill@|@räl@
@thin@|@narëng, narin, nemgen, nenggen@
@thing@|@jama@
@thirst@|@ndasë-@
@thirty@|@xozin, xužin@
@this@|@ne@
@thou@|@ci, cini (gen.)@
@thought@|@sgël@
@thousand@|@mingxën@
@thread@|@šdäsë, sdäzë@
@three@|@Gurän@
@threshold@|@bosGo, pusGo@
@time@|@chaG@
@tinder@|@fula@
@to add@|@nëme-, nimë-@
@to advance@|@debši-@
@to ask@|@saGa-@
@to bark@|@xuza-, xuža-@
@to be@|@(w)ï-, bi-@
@to be able@|@chida-, sda-, šda-@
@to be able to cut@|@dä-@
@to be afraid@|@aji-@
@to be ashamed@|@siže-, sze-@
@to be born@|@turo-@
@to be empty@|@kenggï, kong@
@to be full@|@diurë, düri-@
@to be happy@|@besë-@
@to be hooked up@|@düzële@
@to be hungry@|@losë-@
@to be ill@|@(w)idi-, udi-@
@to be old@|@imel, imer@
@to beat in@|@šiGä-@
@to become@|@boli-, öli-, ulë@
@to become dry@|@(a)rze-, ržï-@
@to become hard@|@xadä-, xadarä-@
@to become white@|@cai-, ce-, cï-@
@to bend@|@bukï-, noGlä-, nugurä-, pugï-@
@to bind@|@koli-@
@to bite@|@Gaza-, žau-, zü-@
@to bless@|@surö-@
@to blow@|@pïle-, püle-@
@to boast@|@bärda-, bardong, pardang@
@to burn@|@tule-@
@to catch fire@|@šda, sdä-@
@to change@|@aräzi-, jöla-, jü, rälži-@
@to chew@|@ke-, keji-, žažilë-, zazili-@
@to chop@|@sdoli-@
@to close eyes@|@(x)ana-, xanasGa, xanë-, xani-, zimu-@
@to clothe@|@mosë-@
@to collect@|@chumoG, comboG@
@to come@|@ire-, re-@
@to come back@|@xari@
@to cover@|@burë-, nëmba-, nembe-, nemberge, xozi-, xuži-@
@to cover (1)@|@buri-@
@to creep up@|@mara@
@to crumble@|@nesëlë-@
@to crush@|@szarGë@
@to curse@|@xarä-@
@to cut@|@dige-, Gadër, qadura-, xadiri-, žuru-@
@to die@|@fugu-@
@to dig@|@manta-, mënta-@
@to divide@|@xuGua-, xuGwä-@
@to drink@|@öchi-, öci-, u-, ü-@
@to eat@|@ide-@
@to embrace@|@ter, terë-, töri-, tweri-@
@to enjoy@|@žirGa-@
@to enter@|@uro-@
@to fall@|@unä-@
@to flow@|@urosë-@
@to follow@|@daGä-@
