@celebrate@|@SWINTÎNTWEÎ, swintintwey@
@celestial@|@Dengenennis, DÊNGININÎS@
@celestial (heavenly)@|@Dengenneniskans, DÊNGININISKANS, DÊNGINISKAS, Dengniskas@
@chaff@|@PÊLWÂ, Pelwo, PÊRWÊJÂS, Perwios@
@chain@|@Ratinsis, RATÎNZÎS@
@chain link@|@Grandis, GRÂNDIS@
@change@|@KITAWÎDÎNTUN@
@chapter@|@PALAZÎNSNAN, polasînsnan@
@chargeably@|@EBWINÛTÂI, ebwinûtei, Ebwinûts, niebwinûtei@
@cheek@|@LEÎKNAN@
@cheese@|@Suris@
@cherries@|@WÎSNÂITÂS, Wisnaytos@
@chicken@|@GERTISTJAN@
@child@|@malnijks, MÂLNÎKS@
@chimney@|@Kamenis, KAMINAS, KAMÎNS@
@chin@|@Scalus, SKALAS, SKÂLS@
@chisel@|@Dalptan, DALPTAN@
@chopper@|@KALÂPÊILÎS, Kalopeilis@
@Christ@|@Chricstus, Christus, KRIKSTUS, KRISTS, KRISTUS@
@Christian@|@Cristiâniskas, KRIKSTJÂNISKAS@
@Christianity@|@Crixtiâniskun, KRIKSTJÂNISKAN@
@Christians@|@Crixtianai, Crixtiânimans, KRIKSTJÂNÂI, KRIKSTJÂNIMANS@
@chub@|@DUBELAS, Dubelis, DUBÊLS@
@church@|@KÎRKÂ, KÎRKÊS, kîrkis, kirko@
@climbs@|@LÊZJÂ@
@clothes dress@|@Rûkai@
@cloud@|@UPJAN, Wupyan@
@clover@|@ÂBÎLS@
@coal@|@ANGLIS@
@cock@|@GERTÎS@
@codfish@|@Sweikis, ZUWÊIKÎS@
@co-heir@|@draugiwaldûnen, DRÂUGIWELDÛNAN@
@coheirs@|@sendraugiwêldnikai, SÊNDRÂUGIWÊLDNÎKÂI@
@coin@|@KALTÊ@
@cold@|@Salta, SALTAN@
@cold in the head@|@Welgen, WILGAN@
@collar@|@Paddis, PADÎS@
@colt@|@Maldian, MÂLDJAN@
@comb@|@Coysnis, Coysnis, KÂISNIS, KÂISTWEÎ@
@come@|@PARÊISEÎ, Pareysey, perêit, PÊRÊIT@
@comfort@|@glandint, GLANDÎNT@
@commanded@|@ÊNLÂIPÎNTS@
@commandment@|@PALÂIPS, pallaips@
@commission@|@PALÂIPINÂ, polaipinna@
@common@|@draugiwaldûnen, DRÂUGS, PERÔNEN, PERÔNEN, perônin, perônin, PERÔNISKÂ, perônisku@
@community@|@PÊRAN, PERÔNÊ, perôni, PERÔNISKAN, perôniskan, pijrin@
@comprehensibly@|@issprettîngi, IZPRETÎNGI@
@condemnation@|@PÊRKLÂNTÊSNAN, perklantîsnan@
@condemned@|@PÊRKLÂNTÊT, perklantît, PRÔKLÂNTÊTS, proklantitz@
@confess@|@GRÊKAÛT, Grikaut@
@confession@|@GRÊKAÛSNÂ, Grikausna@
@confessor@|@KLÂUSÊWENÎKI, KLÂUSÊWÎNGIS, Klausîweniki, Klausîwings@
@confidence@|@PADRUWÊSNAN, podruwîsnan@
@confirm@|@PADRÛKTINÂ, Podrûktinai@
@conjugal@|@Sallûbiskan, SALÛBISKAN@
@conjugally@|@Salûbiskai, SALÛBISKÂI@
@conjure@|@WAÎDILÊIMAÎ, waidleimai@
@conscience@|@PAWAÎSENJAS, Powaisennis@
@consecratable@|@LÂNKINAN@
@consolably@|@GLANDAWÎNGJÂI@
@consolation@|@GLANDS@
@consolidated@|@ÊMPÊRÎNT@
@conversion@|@PAWÂRTÎSNAN, powartîsnan@
@cook@|@ÂUBÎRGÂ, Aubirgo, ÂUBÎRGTWEI, KUKÂRÎS, Kukore@
@cooking woman@|@KUKÂRÊ, Kukore@
@coot@|@GJÂURÎS@
@copper@|@Warene, Wargien, WARJAN@
@copper basin@|@Medinice, MEDINÎTÊ@
@cord knitted bag@|@KÂRBS@
@cordially@|@SÊRISKÂI, sîrisku@
@corn@|@Syrne, ZIRNÊ@
@corn sheaf@|@Curcho, KURKÂ@
@corn-cockle@|@KÛNKALÎS@
@corner@|@LUNKIS@
@corpse@|@NÂWIS, Novis@
@correct@|@tickars, TIKÂRS, TIKRAS, tikrômiskan@
@cough@|@KÂSÊTWEÎ@
@could@|@MAZÊLAÎ, musîlai@
@country@|@TÂUTÂ, Tauto@
@court of justice@|@LÎGAN@
@cover (pall)@|@Drimbis, DRÎMBÎS@
@cow@|@KLENTÊ@
@crackle@|@PRESKÊTWEÎ, Prestors@
@crane@|@GÊRWÊ@
@crayfish@|@RÂKS, Rokis@
@create@|@teickut, TEÎKÂT@
@created@|@patickots, PATIKÂTS@
@creation@|@TEÎKÂSNAN, Teikûsnâ@
@creature@|@TEÎKÂSNAN, teikûsnan@
@creatures@|@PÊRGIMANS, pêrgimmans@
@credulous@|@Lângiseilingins@
@creek@|@Allenstein, TEÎNÊ@
@crib@|@ABARÂS@
@crib for fodder@|@RÎNDÂ, Rindo@
@crops@|@ARJAN, arrien@
@cross@|@Scrijsien, SKRÎZJAN@
@cross-beam over the axle@|@KALPUS@
@crow@|@Warne@
@crucified@|@Skrîsits, SKRÎZÎTS@
@cruise@|@ARTUWÊS, Artwes@
@crumble@|@TRUSTWEÎ@
@crupper@|@Pastagis@
@cry@|@Wackis, WAKS, WEKTWEÎ@
@cubit@|@ÂLTIS@
@cuckoo@|@GEGUZÊ@
@cupping-horn@|@RAGÛSTÂ, Ragusto@
@curdled milk@|@SULÂ, Sulo@
@curse@|@KEKTWEÎ@
@cursing@|@KLÂNTÊSNAN, klantîsnan@
@curved@|@Claywio, KLÊIWS@
@dagger@|@Stakamecczer', STAKAMESERÎS@
@daily@|@DÊININISKAS, dineniskas@
@dairyman of the king's@|@DWARENÎKS, dwarniken@
@dam@|@Takes, TAKISS@
@dam up@|@Tuwangste, TWÊNKTWEÎ@
@damage@|@PAGADÎNT, pogadint@
@damned@|@PÊRKLÂNTÊTS, perklantîts@
@damp@|@Welgen, WILGS@
@dark@|@TIMÂRS@
@darkness@|@TIMRAN, tymmer@
@daughter@|@Duckti, DUKTÊ@
@daughter-in-law@|@Mârtin, MÂRTJAN@
