@basis@|@밑바탕, 밑천, 바탕@
@basket@|@바구니@
@basketball@|@농구@
@bat@|@박쥐, 방망이@
@bath@|@목욕@
@bath towel@|@수건@
@bath tub@|@욕조@
@bathroom@|@목욕탕@
@battery@|@배터리, 전지@
@battery [car]@|@배터리@
@battery [radio]@|@건전지@
@battle@|@전투@
@bay top shell@|@골뱅이@
@BBQ@|@바비큐@
@bcc [mail]@|@숨은 참조@
@be [equivalent]@|@이다@
@be [honorific]@|@계시다@
@be [stay]@|@있다@
@be [v]@|@이다, 있다@
@be beyond one's strength@|@힘겹다@
@be big@|@크다@
@be bored [v]@|@심심하다@
@be born [v]@|@태어나다@
@be broke@|@한푼없다@
@be careful@|@조심하다@
@be careless@|@허술하다@
@be consistent@|@한결같다@
@be constant@|@한결같다@
@be crowded@|@벅잡하다@
@be different@|@다르다@
@be difficult@|@힘들다@
@be found fault with@|@흉잡히다@
@be futile@|@헛되다@
@be important@|@중요하다 (중요해요)@
@be loose@|@허술하다@
@be past one's prime@|@한물가다@
@be penniless@|@한푼없다@
@be pregnant@|@홀몸이 아니다@
@be sun-tanned@|@햇볕에 타다@
@be tough@|@힘들다@
@be vain@|@헛되다@
@be white@|@희다@
@beach@|@바자가, 해변@
@bean [adzuki bean]@|@팥@
@bean [n]@|@콩@
@bean [soy]@|@콩@
@bean blossom@|@콩노굿@
@bean curd@|@두부@
@bean sprouts@|@콩나물@
@bear@|@곰@
@bear [n]@|@곰@
@beat [cooking]@|@젓다@
@beater@|@치는 사람@
@beautiful@|@아름다운, 아름답다@
@beautiful man@|@미남@
@beautiful music@|@아름다운 음악@
@beautiful view@|@미관@
@beautiful woman@|@미인@
@beauty parlour@|@미용실 [美容室]@
@because of@|@때문에@
@become@|@뒤다@
@bed@|@침대@
@bed and breakfast@|@민박@
@bed cover@|@이불@
@bedding@|@침구@
@bedroom@|@안방, 침실@
@bee@|@벌@
@beef@|@소고기@
@beer@|@맥주@
@beer [bottled]@|@병 맥주@
@beer [draught]@|@생맥주@
@before@|@앞, 전@
@before anything else@|@먼저@
@begin@|@시작해요@
@beginning@|@시작, 처음@
@beginning of school@|@개학@
@behaviour@|@행동@
@behind@|@뒤@
@Beijing@|@베이징, 북경@
@being@|@생병체, 존재@
@being [a]@|@있는@
@Beirut@|@베이루트@
@belch@|@트림@
@belch [v]@|@트림 하다@
@Belgium@|@벨기에@
@believer@|@스님@
@bellboy@|@사환@
@bellows@|@풀무@
@bellybutton@|@배꼽@
@beloved@|@님@
@below zero [temperature]@|@영하@
@belt@|@벨트, 혁대@
@belt [n]@|@띠@
@bending ready [stance]@|@구부려 준비@
@beneath@|@아래@
@Bengali@|@벵골어@
@benzene@|@벤진@
@Berlin@|@베를린@
@Bermuda@|@버뮤다@
@beryllium@|@베럴륨@
@beside@|@옆에@
@better@|@더 좋은, 좋은@
@between@|@사이@
@beverage@|@음료@
@bezel@|@날의 사람@
@Bhutan@|@부탄@
@bicycle@|@자전거@
@big@|@성인, 크다, 큰@
@big eater [n]@|@대식가 [?食家]@
@big fire [n]@|@큰불@
@big heart [generous]@|@큰마음@
@big worry@|@한걱정@
@bigger@|@더 큰@
@bike@|@자전거@
@bikini@|@비키니@
@bill@|@계산서@
@billiards@|@당구@
@billionaire@|@억만장자@
@bin [n]@|@휴지통@
@binoculars@|@망원경@
@biochemistry@|@생화학@
@biology@|@생물학@
@bird@|@마리, 새@
@bird cage@|@새장@
@bird flu@|@조류 독감@
@birth@|@출생@
@birthday@|@생일@
@birthday [happy birthday]@|@생일 축하해요@
@birthday [honorific]@|@생신@
@birthday card@|@생일 카드@
@birthday present@|@생일 선물@
@birthday song@|@생일 축하 노래@
@birthmark@|@모반@
@biscuit@|@과자@
@biscuits@|@과자@
@bit@|@조금@
@bit later@|@조금 후에@
@bitch [dog]@|@암캐@
@bitch fox@|@암여우@
@bite@|@깨물어요, 물다, 물린데, 쏘다@
@bitter [taste]@|@써요@
@bitterling@|@납줄개@
@black@|@검은, 검정@
@Black and Red Belt@|@품띠@
@Black Belt@|@검정 띠@
@black coffee@|@블랙커피@
@black grouse@|@멧닭@
@black pepper@|@후추@
@Black Sea@|@흑해@
@black tea@|@홍차@
@black vulture@|@독수리@
@blackboard@|@칠판@
@blackboard [n]@|@칠판@
@bladder@|@방관, 부레, 오줌통@
@blade of foot@|@발날@
@blame [be blamed]@|@빌리다 (빌려요)@
@blanch [v]@|@익히다@
@blanket@|@이불@
@bleach [cleaning]@|@표백제@
@bleed@|@피나요@
@blend [v]@|@섞다@
@blind [a]@|@장님@
@blind [window blind]@|@블라인드@
@blindness@|@장님@
@blister@|@물집@
@block [Taekwondo]@|@막기@
@blocked@|@막힌@
@blog@|@블로그@
@blond hair@|@금발@
@blood@|@피@
@blood group@|@혈액형@
@blood pressure@|@혈압@
@bloom [n]@|@피@
@bloom [v]@|@피다@
@blossom [n]@|@피@
@blouse@|@블라우스@
@blow@|@그만두다, 날리다, 불다, 뿜다, 터지다@
@blow one's nose@|@코를 풀다@
@blue@|@파란, 파랑@
@blue [sky blue]@|@하늘색@
@Blue Belt@|@파란띠@
@blueprint@|@청사진@
@boar@|@멧돼지, 수돼지@
@board [a plane]@|@탑승해요@
@board [a train]@|@승차해요@
@boarding@|@하숙@
@boarding pass@|@탑승권@
@boast@|@뻥을 까다@
@boast of one's strength@|@힘자랑@
@body@|@몸, 몸통, 송장, 시체, 시체, 육체, 주검@
@body [dead]@|@시체@
@body [honorific]@|@옥체@
@body punch@|@몸통 지르기@
@bohrium@|@보륨@
@boil [in water]@|@삶다@
@boil [v]@|@익히다@
@boil [water]@|@끓이다@
@boiler@|@보일러@
@Bolivia@|@볼리비아@
@bomb@|@푹탄@
@bone@|@뼈@
@book [a place]@|@예약해요@
@book [for reading]@|@책@
@book [n]@|@책@
@booking@|@예약, 치부@
@booking office@|@예약실@
@bookshop@|@서점 [書店]@
@bookshop [n]@|@책방 [冊房]@
@bookstore@|@서점 [書店]@
@bookstore [n]@|@책방 [冊房]@
@boot [car boot]@|@트러크@
@boots@|@부츠@
@bored@|@도려낸@
@bored [be bored]@|@심심하다@
@boredom@|@갑갑증@
@boring@|@무료한, 재미없다@
@born [be born]@|@태어나다 (태어나요)@
@boron@|@붕소@
@borrow@|@빌려요@
@Bosnia@|@보스니아@
@Bosnia and Herzegovina@|@보스니아 헤르체고비나@
@boss@|@사장님@
@botanical garden@|@식물원@
@both@|@도@
@bottle@|@병@
@bottle opener@|@병따개@
@bottled beer@|@병 맥주@
@bough [n]@|@큰가지@
@bound for [place]@|@행@
@bout [n]@|@한바탕@
@bowel@|@베알, 알맹이, 창자@
@bowl@|@그릇@
@bowl [rice bowl]@|@밥공기, 밥그릇@
@bowl [soup bowl]@|@대접@
@box@|@상자@
@boxing@|@권투@
@boy@|@남자아이, 남자애, 소년@
@boyfriend@|@남자친구@
@boy's older sister@|@누나@
@bra@|@브라자@
@bracelet@|@팔찌@
@brag [v]@|@뻥을 까다@
@brag about something@|@코에 걸다@
@brake fluid@|@브레이크 액@
@brake pads@|@브레이크 패드@
@brakes@|@브레이크@
@bran@|@겨, 기울@
@branch@|@가지@
@branch [bank]@|@지점@
@branch [company]@|@지사@
@branch [tree]@|@나뭇가지@
@brandy@|@코냑@
@brassiere@|@브래지어@
@Bratislava@|@브라티슬라바@
@bravery@|@용감성@
@bread@|@빵@
@bread [toast bread]@|@식빵@
@bread [white]@|@흰빵@
@break@|@까발리다, 깎다, 깨다, 꺾다, 부수다, 부쉬요, 쉬다@
@break up engagement@|@파혼@
@breakage@|@파손@
@breakfast@|@아침, 아침식사, 조반, 조식@
@breakfast cereal@|@시리얼@
@breaking news@|@속보@
@breakwater@|@방팡제@
@breast@|@유방@
@breast [chicken]@|@가슴살@
@breast cancer@|@유방암@
@breath@|@숨, 호흡@
@breathe@|@숨쉬다, 숨을 쉬어요@
@breathe [from the nose]@|@콧김@
@breathe easy@|@한숨돌리다@
@breed@|@거두다, 기르다, 낳다, 치다@
@breed [plants]@|@가꾸다@
@bride@|@신부@
@bridegroom@|@신랑@
@bridge [game]@|@브리지@
@bridge [n]@|@교, 다리@
@bridge [river]@|@다리@
@brief@|@짧다@
@briefcase@|@서류 가방@
@bright@|@명랑한@
@brim@|@테, 테두리@
@bring [honorific]@|@드리다@
@bring [person]@|@데리고 와요@
