@friday@|@pumháarilaw@
@from@|@-ngay /nouns/, -ngay /nouns/, -ongay /pronouns/@
@from the big house@|@yóongay kíingay@
@from the house@|@kíingay@
@from where?@|@micháy $u@
@full -be /v/@|@múuya-@
@full up with eating  - to be@|@púya-@
@fur@|@-pe'@
@gamble /v/@|@mux-@
@gather edible greens - to@|@máaxa-, máxi-@
@gather from the ground - to@|@chí'i-@
@gather seeds -to@|@tó'wi-@
@gather up - to@|@mávi-@
@get - to@|@aay-@
@get angry /v/@|@wultú'a@
@get fat - to@|@nóova-@
@get married to a husband /v/@|@kúunglu@
@get married to a wife /v/@|@péewlu@
@get out of the way - to@|@ina-@
@get sick /v/@|@takwáya /sing/, tápa /pl/@
@get thin - to@|@hivésa-@
@get up /v/@|@kwóta /sing/, waráava /pl/@
@get up -to@|@wuráva-@
@get wet /v/@|@yú'a-@
@ghost@|@tóowish@
@gifted@|@'ayálkawut@
@Gilia staminea@|@chachwomal@
@girl@|@nawíitmal@
@girls@|@náanatmalum@
@give /v/@|@'óovi@
@give birth to -to@|@tóvli-@
@give medicine /v/@|@téngal@
@gnaw /v/@|@ngóoli-@
@go - to@|@hatí'a-, mon-@
@go /v/@|@munáa@
@go away /v/@|@ngee-@
@go back /v/@|@némay@
@go in a circle  - to@|@púni-@
@go into /v/@|@chulúpa@
@go out /v/@|@pulúcha@
@go to Mass - to@|@míisi-@
@go visiting /v/@|@néechu-@
@go wandering /v/@|@néechu-@
@go!@|@hatí'ax@
@gold@|@sínavul@
@Golden cup oak@|@wiat@
@good@|@polóov@
@good -be /v/@|@lóovi@
@good -was@|@lóoviqu$@
@goodbye!@|@wám' nóo 'angée@
@gourd@|@néexish@
@graceful@|@yawáywish@
@granary basket@|@músqunus /curtis/@
@grandfather@|@-ka@
@gray  - to be@|@piwa-, piwíi-@
@greasewood@|@u'úut@
@green@|@kunóknush, malúmlis /curtis/@
@green or blue - to be@|@malómlu-@
@grey@|@pixepxish, xwayaxwyash@
@grind@|@ngávi-@
@grind /v/ (acorns or grain)@|@máama-@
@grind on a metate /v/@|@ngóoxi-@
@ground@|@'éxla@
@ground own@|@kukúl@
@ground squirrel@|@kengish /curtis/@
@grow - to@|@wóla-@
@growl /v/@|@xáari@
@gullet@|@móolilash@
@gun@|@pátkilash@
@hair@|@yúla, yúula@
@hair - my@|@noyú@
@half-smiling@|@ximúxmush@
@hand@|@échvash, mát@
@hang /v/@|@hángi@
@happy - to be@|@lóovi-@
@happy -be /v/@|@lóovi@
@happy person@|@lóovikat@
@hard /difficult/@|@hiká'ka$@
@hard /stuck/@|@póminik@
@hard /to the touch/@|@purápurish@
@hate /v/@|@$álla, hé'ax@
@have - to@|@aay-@
@have /v/@|@yáw@
@have a cold - to@|@ixíi-@
@have its roof blown off - to (of a house)@|@cháala-@
@hawk -red tailed@|@kwá'la /curtis/@
@he@|@poo', wunáal@
@he/she/it - subj@|@wunáal@
@head@|@yúula@
@headband@|@háw'lash@
@headdress@|@chéeyat@
@hear /v/@|@náqma-@
@hearer@|@náqmikat@
@heart@|@-$úun, $únla@
@heaven@|@túupash@
@heavy -be /v/@|@wima-@
@helianthus anuus@|@paukla@
@hell@|@tólmul@
@hello@|@míiyu@
@hello /to more than 1 person/@|@méeyuyam@
@help /v/@|@'ayuthár (spanish loanword), -, máamayu@
@helper@|@'ayuthárkat@
@Hen-and-chickens /plant/@|@topnal@
@her@|@poy@
@her (possesive pron)@|@po@
@her father@|@poná@
@here@|@ivá'@
@herself@|@póha@
@Heteromeles arbutifolia@|@achawut@
@heterotheca grandiflora@|@humut@
@hide - to@|@héli-@
@high@|@'éechi@
@hill@|@kawíicha@
@him/her/it  (object pron)@|@póy@
@him/her/it - from@|@póongay@
@him/her/it - in/with@|@póoto@
@him/her/it -to/for@|@poyk@
@his@|@pupáaw@
@his/her/its house@|@pokíi@
@hiself@|@póha@
@hit with a long object /v/@|@wóti, wuvá'na@
@hit with the hand /v/@|@xéchi-, xéhi-@
@hoarse -be /v/@|@$áaqwa-@
@hole - to be a@|@láwa-@
@hollow - to be@|@hakúhkush@
@holly@|@áachawut@
@home of all the Indians@|@chó'onum 'atáaxum pomkí@
@hoot /v/@|@húuhi-@
@horse@|@áshla, áshla, páa$ukut@
@house@|@kíicha@
@house - a big@|@yóoti kish@
@house - for or to the@|@kiyk@
@house - from the@|@kíingay@
@house - from the big@|@yóongay kíingay@
@house - his/her/its@|@pokíi@
@house - in/on/at@|@kíinga@
@house - my@|@nokíi@
@house - obj@|@kish@
@house - our@|@chamkíi@
@house - subj@|@kícha@
@house - the inside of the@|@kíicha po$úun@
@house - their@|@pomkíi@
@house - with/by means of the/a@|@kíichal@
@house - your@|@'oki@
@house - your /pl@|@'omkíi@
@house (acc pl)@|@kíichmi@
@house (nom pl)@|@kíichum, kíichum@
@house -in a little@|@kínga kihúutmaynga@
@houses - the@|@kíicham@
@Houttuynia Californica@|@chevnash@
@How are you?@|@micha $u 'íiq@
@how many?@|@hík $u@
@how much@|@hik@
@how?@|@michaxáninuk@
@huge /pl/@|@mómkatum@
@huge /sing/@|@yót@
@humming-bird@|@tíshmal@
@hungry - to be@|@hákwla-@
@hungry /adj/@|@hákmawish@
@hunt wild game - to@|@áamu-@
@hunter@|@´áamokat@
@hunter - he was a good@|@wunáal 'áamokat polóov@
@hunting - I went@|@noonil 'áamoqu$@
@hunting - Juanita's father went@|@Xwaníta poná 'áamoqu$@
@hunting - was@|@'áamoqu$@
@husband@|@-kúung@
@I@|@nóo@
@I /obj@|@noy@
@I am@|@miyu@
@I am drinking@|@noo páa'iq@
@I am making him want to walk@|@noo poy wukalavichuniq@
@I am walking@|@noo wukalaq@
@I hate@|@nóoup no$állax@
@I think@|@no$úungay@
@I want to drink@|@noo páa'ivichuq@
@I went hunting@|@noonil 'áamoqu$@
@I will drink@|@noo páa'in@
@ice@|@tóyit /curtis/@
@I'm fine@|@lóoviqan@
@I'm sad@|@no$úun nginángaq@
@in@|@-nga (nouns), -nga /nouns/, -oto /pronouns/@
@in that direction@|@wuníik@
@in the house@|@kíinga@
@in this direction@|@ivíik@
@Indian@|@'atáax@
@indian -an@|@atáax@
@Indian doctor@|@púula@
@Indian hemp@|@wicha@
@Indian lemonade@|@shoval@
@Indian lettuce@|@towish popa'kwa@
@ingenious@|@'ayálkawut@
@inland indian@|@pipíim'ara@
@inquire /v/@|@tuvyungi-@
@inside - be /v/@|@nivé'-@
@inside -be /v/@|@ngo'-@
@inside of the house@|@kíicha po$úun@
@insufficient -be /v/@|@yáata-@
@into (nouns + pronouns)@|@-yk@
@is that your wife?@|@wunáal $u 'opéew@
@Islaya@|@chamish@
@it@|@poo'@
@it (obj)@|@póy@
@it (subj)@|@wunáal@
@it doesn't matter@|@mimchapan@
@it is cold@|@'íitaq@
@it is finished@|@po'éekup@
@it is said@|@koná@
@it is warm@|@$áqiq@
@it/itself@|@'a$úun@
@its (possesive)@|@po-@
@it's a nice day@|@polóov temét@
@it's raining@|@xíllaq@
@jackrabbit@|@$u'ísh@
@jack-rabbit@|@suís /curtis/@
@jealous - be /v/@|@náawin-@
@Jimson weed@|@naktomush@
@join together /v/@|@yúni@
@Juañeno people@|@axáshmayam@
@Juañeno person@|@axáshmayngaxwish@
@Juanita's father went hunting@|@Xwaníta poná 'áamoqu$@
@jump /v/@|@wáapa, wíila@
@Juncus@|@shoila@
@Juncus Mertensianus@|@pivut@
@just@|@íiqal@
@katydid@|@$úlkal@
@Kellogg's oak@|@kwila@
@kick  - to@|@péla-@
@kick - to@|@ári-@
@kick /v/@|@ári-@
@kíinga po$úunga@|@house - in it's heart in, inside the house@
@kill /v/@|@móqna (sing), qe'ée (pl)@
@killer@|@móqnikat@
@kiss /v/@|@chúngi@
@knead dough - to@|@núuki-@
@knee@|@-káxmay@
@knife@|@wókilash@
@know@|@ayáli-@
@know /v/@|@ayáli-@
@laborious@|@hiká'ka$@
@lake@|@pálaqóyakat /curtis/@
@Lamb's quarter /plant/@|@ket@
@language@|@téelat@
