@English@|@Ainu@
@> asikipet (n)@|@asikepet (n)@
@> asin (adj)@|@asir (adj)@
@> asip (vi)(s)@|@asippa (vi)(p)@
@> asippa (vi)(p)@|@asip (vi)(s)@
@> asir (adj)@|@asit (n)@
@> asir (adj)@|@asin (adj)@
@> asir (adj)@|@asir an (adj)@
@> asir an (adj)@|@asir (adj)@
@> asirkara (vt)@|@asirki (vt)@
@> asirki (vt)@|@asirkara (vt)@
@> asit (n)@|@asir (adj)@
@> at (n)¹@|@atu (n)(g)(x)¹@
@> at (n)¹@|@atuhu (n)(g)(x)¹@
@> at (n)²@|@atuhu (n)(g)(x)²@
@> at (n)²@|@atu (n)(g)(x)²@
@> atu (n)(g)(x)¹@|@atuhu (n)(g)(x)¹@
@> atu (n)(g)(x)¹@|@at (n)¹@
@> atu (n)(g)(x)²@|@at (n)²@
@> atu (n)(g)(x)²@|@atuhu (n)(g)(x)²@
@> atuhu (n)(g)(x)¹@|@at (n)¹@
@> atuhu (n)(g)(x)¹@|@atu (n)(g)(x)¹@
@> atuhu (n)(g)(x)²@|@at (n)²@
@> atuhu (n)(g)(x)²@|@atu (n)(g)(x)²@
@> atuy-so (n)@|@atuy (n)@
@> atuy-so (n)@|@rep (n)¹@
@> atuy-so (n)@|@acuy (n)@
@> atuy (n)@|@atuy-so (n)@
@> atuy (n)@|@acuy (n)@
@> atuy (n)@|@rep (n)¹@
@> ay (n)¹@|@ayehe (n)(g)(x)@
@> ay (n)¹@|@aye (n)(g)(x)@
@> aye (n)(g)(x)@|@ay (n)¹@
@> aye (n)(g)(x)@|@ayehe (n)(g)(x)@
@> ayehe (n)(g)(x)@|@ay (n)¹@
@> ayehe (n)(g)(x)@|@aye (n)(g)(x)@
@> c@|@ch@
@> c@|@j@
@> c + i@|@t + i@
@> c + t@|@s + t@
@> ca (n)¹@|@sa (n)¹@
@> ca (n)²@|@paro (n)(g)(x)@
@> ca (n)²@|@par (n)@
@> ca (n)²@|@car (n)@
@> ca (n)²@|@pan (n)²@
@> ca (n)²@|@caro (n)(g)(x)@
@> ca (n)²@|@paroho (n)(g)(x)@
@> ca (n)³@|@cas (n)@
@> ca (n)ª@|@caha (n)(g)(x)@
@> caha (n)(g)(x)@|@ca (n)ª@
@> car (n)@|@pan (n)²@
@> car (n)@|@paroho (n)(g)(x)@
@> car (n)@|@paro (n)(g)(x)@
@> car (n)@|@ca (n)²@
@> car (n)@|@par (n)@
@> car (n)@|@caro (n)(g)(x)@
@> caro (n)(g)(x)@|@par (n)@
@> caro (n)(g)(x)@|@paro (n)(g)(x)@
@> caro (n)(g)(x)@|@ca (n)²@
@> caro (n)(g)(x)@|@pan (n)²@
@> caro (n)(g)(x)@|@paroho (n)(g)(x)@
@> caro (n)(g)(x)@|@car (n)@
@> carumpe (n)@|@parumpe (n)@
@> cas (n)@|@ca (n)³@
@> cep (n)@|@ciep (n)@
@> ceta (n)@|@reep (n)@
@> ceta (n)@|@seta (n)@
@> ceta (n)@|@sita (n)@
@> ceta (n)@|@sta (n)@
@> ci (n)@|@ciyehe (n)(g)(x)@
@> ci (n)@|@ciye (n)(g)(x)@
@> ci (n)@|@cikap (n)²@
@> ciep (n)@|@cep (n)@
@> cikap-kamuy (n)@|@kotankor-kamuy (n)@
@> cikap (n)¹@|@cir (n)¹@
@> cikap (n)²@|@ci (n)@
@> cikir (n)¹@|@kema (n)@
@> cimip (n)@|@cimipi (n)(g)(x)@
@> cimipi (n)(g)(x)@|@cimip (n)@
@> cinene (n)@|@tukunne (n)@
@> cir (n)¹@|@cikap (n)¹@
@> cir (n)²@|@pecir (n)@
@> cise (n)@|@cisehe (n)(g)(x)@
@> cise (n)@|@cisey (n)@
@> cisehe (n)(g)(x)@|@cise (n)@
@> cisehe (n)(g)(x)@|@cisey (n)@
@> cisey (n)@|@cise (n)@
@> cisey (n)@|@cisehe (n)(g)(x)@
@> ciye (n)(g)(x)@|@ci (n)@
@> ciye (n)(g)(x)@|@ciyehe (n)(g)(x)@
@> ciyehe (n)(g)(x)@|@ci (n)@
@> ciyehe (n)(g)(x)@|@ciye (n)(g)(x)@
@> cuk-an (n)@|@cuk-pa (n)@
@> cuk-an (n)@|@cuk-unpa (n)@
@> cuk-an (n)@|@cuk (n)@
@> cuk-an (n)@|@cuk-umpa (n)@
@> cuk-pa (n)@|@cuk-an (n)@
@> cuk-pa (n)@|@cuk (n)@
@> cuk-umpa (n)@|@cuk-pa (n)@
@> cuk-umpa (n)@|@cuk-an (n)@
@> cuk-umpa (n)@|@cuk (n)@
@> cuk (n)@|@cuk-pa (n)@
@> cuk (n)@|@cuk-unpa (n)@
@> cuk (n)@|@cuk-umpa (n)@
@> cuk (n)@|@cuk-an (n)@
@> cukpa (n)@|@cuk-umpa (n)@
@> cukpa (n)@|@cuk-unpa (n)@
@> cup-ewen (n)@|@cuppe (n)@
@> cup-ewen (n)@|@cup-wen (n)@
@> cup-wen (n)@|@cuppe (n)@
@> cup-wen (n)@|@cup-ewen (n)@
@> cuppe (n)@|@cup-wen (n)@
@> cuppe (n)@|@cup-ewen (n)@
@> e (vt)@|@ipe (vt)@
@> ecu (n)@|@etu (n)@
@> ekaci (n)@|@heykaci (n)@
@> ekaci (n)@|@hekaci (n)@
@> ekari@|@okari (pop)@
@> ekari (pop)@|@kari (pop)@
@> ekaye (n)@|@kutkayekay (n)@
@> ekaye (n)@|@sinotcarewe (n)@
@> ekaye (n)@|@kaye (n)@
@> emus (n)@|@emusi (n)(g)(x)@
@> emusi (n)(g)(x)@|@emus (n)@
@> erampetek (vi)@|@erampewtek (vi)@
@> erampewtek (vi)@|@erampetek (vi)@
@> erkus (n)@|@herkus (n)@
@> etu (n)@|@ecu (n)@
@> etu (n)@|@etuhu (n)(g)(x)@
@> etuhu (n)(g)(x)@|@etu (n)@
@> ewkopitte-kar (vt)@|@ewpitte-kar (vt)@
@> ewkopitte-kar (vt)@|@ewkopitte-ki (vt)@
@> ewkopitte-ki (vt)@|@ewpitte-ki (vt)@
@> ewkopitte-ki (vt)@|@ewkopitte-kar (vt)@
@> ewkopitte (n)@|@ewpitte (n)@
@> ewnkasi-no (adv)@|@yokkata (adv)@
@> ewpitte-kar (vt)@|@ewpitte-ki (vt)@
@> ewpitte-kar (vt)@|@ewkopitte-kar (vt)@
@> ewpitte-ki (vt)@|@ewpitte-kar (vt)@
@> ewpitte-ki (vt)@|@ewkopitte-ki (vt)@
@> ewpitte (n)@|@ewkopitte (n)@
@> h@|@f@
@> ham (n)@|@hamuhu (n)(g)(x)@
@> ham (n)@|@hamu (n)(g)(x)@
@> hamu (n)(g)(x)@|@ham (n)@
@> hamu (n)(g)(x)@|@hamuhu (n)(g)(x)@
@> hamuhu (n)(g)(x)@|@ham (n)@
@> hamuhu (n)(g)(x)@|@hamu (n)(g)(x)@
@> hani (pc)@|@ani (pc)¹@
@> hapo (n)@|@unu (n)@
@> hapo (n)@|@totto (n)@
@> haw (n)@|@hawehe (n)(g)(x)@
@> haw (n)@|@hawe (n)(g)(x)@
@> hawas (vt)@|@hawasi (vt)@
@> hawas (vt)@|@hawe-as (vt)@
@> hawasi (vt)@|@hawas (vt)@
@> hawasi (vt)@|@hawe-as (vt)@
@> hawe-as (vt)@|@hawasi (vt)@
@> hawe-as (vt)@|@hawas (vt)@
@> hawe (n)(g)(x)@|@haw (n)@
@> hawe (n)(g)(x)@|@hawehe (n)(g)(x)@
@> hawehe (n)(g)(x)@|@haw (n)@
@> hawehe (n)(g)(x)@|@hawe (n)(g)(x)@
@> hekaci (n)@|@ekaci (n)@
@> hekaci (n)@|@heykaci (n)@
@> hemoy (n)@|@kenew (n)@
@> hepasi (adv)@|@hepsi (adv)@
@> hepera (adv)@|@heperay (adv)@
@> heperay (adv)@|@hepera (adv)@
@> hepoktekka (vi)@|@hepokitekka (vi)@
@> hepsi (adv)@|@hepasi (adv)@
@> herasnu (vi)@|@heri-at (vi)@
@> herasnure (vt)@|@heri-atte (vt)@
@> heri-at (vi)@|@herasnu (vi)@
@> heri-atte (vt)@|@herasnure (vt)@
@> heroki (n)@|@heruki (n)@
@> heruki (n)@|@heroki (n)@
@> heykaci (n)@|@ekaci (n)@
@> heykaci (n)@|@hekaci (n)@
@> hoku (n)@|@hokuhu (n)(g)(x)@
@> hokuhu (n)(g)(x)@|@hoku (n)@
@> hon (n)@|@honi (n)(g)(x)@
@> hon (n)@|@honihi (n)(g)(x)@
@> honi (n)(g)(x)@|@hon (n)@
@> honi (n)(g)(x)@|@honihi (n)(g)(x)@
@> honihi (n)(g)(x)@|@hon (n)@
@> honihi (n)(g)(x)@|@honi (n)(g)(x)@
@> honkor (vi)@|@yayrat (vt)@
@> honkor (vi)@|@yarat (vt)@
@> hos (n)@|@hosihi (n)(g)(x)@
@> hos (n)@|@hosi (n)(g)(x)@
@> hosi (n)(g)(x)@|@hos (n)@
@> hosi (n)(g)(x)@|@hosihi (n)(g)(x)@
@> hosihi (n)(g)(x)@|@hos (n)@
@> hosihi (n)(g)(x)@|@hosi (n)(g)(x)@
@> huci (n)¹@|@unci (n)@
@> huci (n)¹@|@ape (n)²@
@> humi (n)@|@hum (n)@
@> huyetok (n)@|@huyetop (n)@
@> huyetop (n)@|@huyetok (n)@
@> huype (n)@|@ra (n)²@
@> i + y + a@|@i + a@
@> i + y + e@|@i + e@
@> i + y + o@|@i + o@
@> i + y + u@|@i + u@
@> ikasiw (vt)@|@kasiw (vt)¹@
@> ikesu@|@yusa (vi)@
@> ipe (vt)@|@e (vt)@
@> iresu-huci (n)@|@ape-huci-kamuy (n)@
@> iresu-huci (n)@|@onne-huci (n)@
@> iresu-huci (n)@|@kamuy-huci (n)@
@> iresu-huci (n)@|@ape-kamuy (n)@
@> iresu-huci (n)@|@unci-kamuy (n)@
@> iresu-huci (n)@|@iresu-kamuy (n)@
@> iresu-huci (n)@|@ape-huci (n)@
@> iresu-kamuy (n)@|@ape-huci-kamuy (n)@
@> iresu-kamuy (n)@|@ape-huci (n)@
@> iresu-kamuy (n)@|@iresu-huci (n)@
@> iresu-kamuy (n)@|@unci-kamuy (n)@
@> iresu-kamuy (n)@|@onne-huci (n)@
@> iresu-kamuy (n)@|@ape-kamuy (n)@
@> iresu-kamuy (n)@|@kamuy-huci (n)@
@> itak (n)@|@itakihi (n)(g)(x)@
@> itak (n)@|@itaki (n)(g)(x)@
@> itaki (n)(g)(x)@|@itakihi (n)(g)(x)@
@> itaki (n)(g)(x)@|@itak (n)@
@> itakihi (n)(g)(x)@|@itak (n)@
@> itakihi (n)(g)(x)@|@itaki (n)(g)(x)@
@> iwan-ikinne (adj)@|@iwan-otutanu (adj)@
@> iwan-otutanu (adj)@|@iwan-ikinne (adj)@
