@English@|@Ainu@
@dirt@|@komun (n)@
@dirt@|@turihi (n)(g)(x)@
@dirty@|@yayasis (adj)@
@dirty@|@acika (adj)@
@dish@|@itanki (n)@
@disinclined@|@katupase (adj)@
@disk@|@akam (n)²@
@dislike to do@|@katupase (adj)@
@distant@|@kattuyma (adv)@
@distant@|@tuyma (adv)@
@distress@|@rorumpe (n)@
@ditch@|@cinna (n)¹@
@ditch@|@pecir (n)@
@ditch@|@na ray (n)@
@ditch@|@cir (n)²@
@divination@|@tusu (vi)@
@division@|@wak (n)@
@dizzy@|@yot (vi)@
@do@|@ki (vt)@
@do@|@kar (vt)@
@do@|@kire (vt)@
@do earnestly@|@yupu (vt)@
@do over again@|@asirki (vt)@
@do over again@|@asirkara (vt)@
@do poorly@|@ewen (vt)@
@do with difficulty@|@ewen (vt)@
@do with might@|@yupu (vt)@
@do: unable to ~ properly@|@ewen (vt)@
@doctrine@|@epakasi (n)@
@doe@|@momampe (n)@
@dog@|@sita (n)@
@dog@|@ceta (n)@
@dog@|@reep (n)@
@dog@|@sta (n)@
@dog@|@seta (n)@
@dog@|@setaha (n)(g)(x)@
@dolphin@|@tannu (n)@
@dolphin@|@rokom (n)¹@
@dolphin@|@okom (n)@
@dolphin type@|@tuwayuk (n)@
@domestic@|@ya-un-kur (n)@
@don't know@|@erampewtek (vi)@
@don't know@|@erampetek (vi)@
@don't understand@|@erampewtek (vi)@
@don't understand@|@erampetek (vi)@
@don't…@|@iteki (adv)@
@door@|@apa-sta (n)@
@door@|@apa-usta (n)@
@door@|@apa (n)@
@door threshhold@|@apa-cip (n)@
@door: close the ~@|@apa-si (vi)@
@door: shut the ~@|@apa-si (vi)@
@doorsill@|@apa-cip (n)@
@doorway@|@apa (n)@
@double@|@ewsama (adj)@
@double@|@ewsamampa (adj)@
@double@|@ewsamanu (adj)@
@down [feather]@|@konkon (n)@
@down [feather]@|@konkoni (n)@
@down: bring ~@|@rampe (vt)@
@down: go ~@|@esor (vi)@
@down: go ~@|@ran (vi)(s)@
@down: go ~@|@san (vi)@
@down: go ~@|@rap (vi)(s)@
@down: go ~@|@ray (vi)¹@
@down: next one ~@|@rake (adv)@
@downstream@|@hepsi (adv)@
@downstream@|@hepasi (adv)@
@downward@|@herasi (adv)@
@downward@|@epoki (adv)@
@dragonet@|@ape-kesuy (n)@
@drain@|@tuyka (vt)@
@draw [pull]@|@tur (vt)@
@draw [pull]@|@turi (vt)@
@draw [pull]@|@nini (vt)@
@draw off@|@tuyka (vt)@
@draw out@|@etaye (vt)@
@dress@|@mire (vt)@
@dress one's self@|@yay-mire (vi)@
@dried@|@sat (adv)@
@dried fish@|@sat-cep (n)@
@drift@|@amomka (vi)@
@drifting@|@amomka (adj)@
@drink [liquids]@|@ku (vt)@
@drink hot water@|@ni (vt)²@
@drink medicine@|@ni (vt)²@
@drink soup@|@ni (vt)²@
@drink tea@|@ni (vt)²@
@drive away@|@kewe (vt)@
@drive in@|@aciw (vt)@
@drive out@|@kewe (vt)@
@drop@|@turse (vt)@
@drop down@|@turse (vi)@
@drown@|@esumpa (vi)(p)@
@drown@|@esum (vi)(s)@
@drown: be ~d@|@esum (vi)(s)@
@drown: be ~d@|@esumpa (vi)(p)@
@drum@|@tuntum (n)@
@dry@|@satsatke (vi)@
@dry@|@sat (adv)@
@dry@|@satke (vi)@
@dry@|@ma (adj)@
@dry@|@sat-kepa (vt)@
@dry@|@satsatke (adj)@
@duck cry@|@wak (adv)@
@dull@|@katu-toranne (adv)@
@during@|@tuykata (adv)@
@during@|@turasi (adv)@
@dust@|@mana (n)@
@dust@|@pana (n)@
@dust@|@komun (n)@
@dust: fine pumice ~@|@e (n)@
@dwarf@|@nin-kur (n)@
@dwelling place@|@kotan (n)@
@each@|@kes (adj)@
@eagle's wing@|@sirap (n)@
@ear@|@kisaraha (n)(g)(x)@
@ear@|@kisar (n)@
@ear@|@kisara (n)(g)(x)@
@eared osier@|@yayay-susu (n)@
@earnestly@|@ewnkasi-no (adv)@
@earnestly@|@yupke-no (adv)@
@earnestly@|@yokkata (adv)@
@earring@|@ninkari (n)@
@earrings@|@ninkarihi (n)(g)(x)@
@earth@|@toy (n)¹@
@earth@|@toytoy (n)@
@earth [land]@|@siri (n)(g)(x)²@
@earth [land]@|@sir (n)²@
@earthenware@|@sey (n)¹@
@earthquake: severe ~@|@yupke-sisuye (n)@
@earthworm@|@toymok (n)@
@earthworm@|@tonin (n)@
@east@|@cup-ka (n)@
@east outer wall@|@rorketa (n)@
@east wind@|@menas (n)@
@east window@|@rorun-puyar (n)@
@east window wall@|@roruy (n)@
@east window wall@|@rorun (n)@
@eat@|@ipe (vt)@
@eat@|@e (vt)@
@edge@|@cinki (n)@
@egg: bird's ~@|@cikap-not (n)@
@eight@|@tupe-sampe (adj)@
@eight@|@tupe-si (adj)@
@eight@|@tupe-san (n)@
@either@|@katap (adv)@
@elder brother@|@yupi (n)(g)(x)@
@elder sister@|@sa (n)²@
@elder sister@|@sapo (n)@
@elder sister@|@saha (n)(g)(x)¹@
@elder(ly)@|@onne (adj)@
@eloquent@|@caro-an (adj)@
@eloquent speaker@|@caca (n)@
@employ@|@ytek (vi)@
@enclose@|@ekarire (vt)@
@enclosure@|@casi (n)@
@end@|@kes (n)²@
@engrave@|@sinnuye (vt)@
@enjoin@|@katurenka (vt)@
@enter@|@ahup (vi)(p)@
@enter@|@ahun (vi)(s)@
@entirely@|@ari (adv)@
@entirely@|@emukne-no (adv)@
@entrail@|@tuy (n)²@
@entrance@|@apa (n)@
@entrance porch@|@apa-sem (n)@
@envy@|@yaytunnap (vt)@
@equal@|@une (vi)@
@equally@|@uwe-no (adv)@
@ermine@|@yuk-ermu (n)@
@escape@|@orawki (vi)@
@escape@|@kira (vi)@
@escape@|@orawke (vi)@
@eschew@|@esisi (vt)@
@essence@|@omaw (n)³@
@essence@|@rama (n)(g)(x)@
@essence@|@maw (n)³@
@essence@|@ramat (n)@
@essence@|@ram (n)@
@essence@|@rama (n)@
@essence@|@mawe (n)(g)(x)²@
@even@|@katap (adv)@
@even if@|@yak (pop)@
@even if@|@yakkay (pop)@
@even if@|@akka (pop)@
@even if@|@yakka (pop)@
@even if@|@yakun (+)@
@evening@|@sironuman (adv)@
@evening@|@tokes (adv)@
@evening@|@sir-onuman (adv)@
@evening@|@onuman (adv)@
@evening meal@|@numan-ipe (n)@
@evening: last ~@|@ukran (adv)@
@evening: last ~@|@numan-onuman (adv)@
@every@|@kes (adj)@
@evil@|@wenpe (n)@
@evil@|@wey (adj)@
@evil@|@wen (adj)@
@evil diety@|@wen-kamuy (n)@
@evil person@|@wempe-kur (n)@
@evil person@|@wenpe-kur (n)@
@evil spirit@|@tumunci-kamuy (n)@
@evil spirit@|@tumunci (n)@
@evil thing@|@wen-ampe (n)@
@evilness@|@wen-ampe (n)@
@examine@|@wante (vi)@
@excessively@|@kaspa (adv)@
@exhausted@|@yottek (adj)@
@exit@|@asin (vi)@
@exit@|@apa (n)@
@expel@|@kewe (vt)@
@expensive@|@ruy (adj)@
@explain@|@atte (vt)¹@
@exposed@|@sa (vi)@
@exterior@|@soy-un (adv)@
@extinct: become ~@|@orake (vi)@
@extract@|@etaye (vt)@
@exult@|@yayoparsecuy (vi)@
@eye@|@sik (n)@
@eye@|@sikihi (n)(g)(x)@
@eye@|@siki (n)(g)(x)@
@eyebrow@|@raruma (n)@
@eyebrow: move the ~s@|@rattopotopo (vi)@
@fabric: inner bark fiber ~@|@attus (n)@
@face@|@katu (n)(g)(x)@
@face@|@nan (n)@
@face@|@nanu (n)(g)(x)@
@face@|@ca (n)²@
@face@|@kat (n)@
@face@|@nanuhu (n)(g)(x)@
@face@|@katuhu (n)(g)(x)@
@face on another@|@ewpeka (vi)@
@face: lower part of ~@|@sanca (n)@
@facing@|@he (adv)¹@
@facing@|@peka (adv)²@
@fairway@|@tun-nay (n)@
@falcon: gyr~@|@aciw-cikap (n)@
@fall@|@teyke (vi)@
@fall@|@turse (vt)@
@fall@|@ray (vi)¹@
@fall@|@rap (vi)(s)@
@fall@|@ran (vi)(s)@
@fall: rain ~s@|@as (vi)²@
@fall: snow ~s@|@as (vi)²@
@fallen leaves@|@komam (n)@
@family@|@tuyo (n)@
@fancy needlework line@|@tu (n)@
@far@|@kattuyma (adv)@
@far@|@tuyma (adv)@
@fast@|@tunasi (adj)@
@fast@|@tunasi-no (adv)@
@fast@|@tunas (adj)@
@fast@|@tunas (adj)(ain-N)@
@fast@|@tus (adj)@
@fat@|@haro (adj)@
@fat@|@ki (n)¹@
@fat@|@ye (n)²@
@fat: whale ~@|@humpe-ki (n)@
@fat: white fish ~@|@raha (n)@
@fat: white fish ~@|@ra (n)²@
@father@|@aca (n)@
@father@|@aynu (n)@
@father@|@acipo (n)@
@father@|@hampe (n)@
@father: one's deceased ~@|@yoppe (n)@
@fathom@|@tem (n)²@
@favour@|@renka (n)@
@fear@|@kipip (vi)@
@feather@|@konkoni (n)@
@feather@|@konkon (n)@
@feather@|@rap (n)@
@feather: bird's ~@|@cikap-konkoni (n)@
@feel@|@humi (n)@
@feel@|@hum (n)@
@feeling@|@ramu (vi)@
@feeling: one's ~s@|@tumu (n)¹@
@feelings@|@katuhu (n)(g)(x)@
@feelings@|@kat (n)@
@feelings@|@katu (n)(g)(x)@
@feelings@|@rama (n)(g)(x)@
@feelings@|@ram (n)@
@feelings@|@kewtum (n)@
@fence@|@ca (n)³@
@fence@|@casi (n)@
@fence@|@cas (n)@
@fence: post and rail ~@|@ras-casi (n)@
@fever@|@sesek-maw (n)²@
@few@|@cimoyomoyo (adj)@
@fibre: elm ~@|@atuhu (n)(g)(x)¹@
@fibre: elm ~@|@atu (n)(g)(x)¹@
@fibre: elm ~@|@at (n)¹@
@fierce@|@kamuy (adj)(pf)@
@fight@|@ukoyki-ampe (n)@
@fight@|@tumi (n)@
@fight@|@ukoyki (vi)@
@fight@|@rorumpe (n)@
@fight@|@koyki (vt)@
@fight together@|@ewkoyki (vt)@
@figure@|@kat (n)@
@figure@|@katu (n)(g)(x)@
@figure@|@katuhu (n)(g)(x)@
@filipendula kamtschatica@|@yuk-kuttasa (n)@
@fill up@|@ewpakte (vt)@
@filth@|@turi (n)(g)(x)@
@filth@|@turihi (n)(g)(x)@
@filth@|@tur (n)@
@filthy@|@acika (adj)@
@fin: anal ~s@|@pon mokrap (n)@
@find@|@pa (vt)@
@fine [fee]@|@asimpe (n)@
@finger@|@asikipet (n)@
@finger@|@asikepet (n)@
@finish@|@kes (n)²@
@fire@|@huci (n)¹@
@fire@|@ampe (n)²@
@fire@|@ape (n)²@
@fire@|@unci (n)@
@fire brand@|@ape-kes (n)@
@fire brand@|@ape-kis (n)@
@fire diety's dwelling@|@ape-sotki (n)@
@fire heat@|@ape-seseki (n)@
@fire heat@|@ape-seseku (n)@
@fire tong@|@ape-pasuy (n)@
@fire tongue@|@ape-nuy (n)@
@fire: catch ~@|@nuyuk (vi)@
@fire: catch ~@|@nuy kotereke (vi)@
@fire: female diety of ~@|@ape-uci (n)@
@fire: female diety of ~@|@ape-huci (n)@
@fire: female diety of ~@|@onne-huci (n)@
@fire: female diety of ~@|@ape-huci-kamuy (n)@
@fire: female diety of ~@|@kamuy-huci (n)@
@fire: female diety of ~@|@unci-kamuy (n)@
@fire: female diety of ~@|@iresu-huci (n)@
@fire: female diety of ~@|@ape-kamuy (n)@
@fire: female diety of ~@|@iresu-kamuy (n)@
@firebed centre@|@ape-sotki (n)@
@firelight@|@ape-nipek (n)@
@firelight@|@ape-nupek (n)@
@fireplace@|@hoka (n)@
@fireplace@|@ape-sokot (n)@
@fireplace@|@ape-oy (n)@
@fireplace@|@unci-omap (n)@
@fireplace@|@inumpe (n)@
@fireplace edge by east window@|@rorun-inumpe (n)@
@fireplace frame@|@inumpe (n)@
@fireplace: head of ~@|@ape-etok (n)@
@fireside@|@ape-samu (n)@
@fireside@|@ape-sam (n)@
@fireside@|@ape-sami (n)@
@firewood@|@ape-cikuni (n)@
@firewood@|@ape-ni (n)²@
@firewood@|@nina (n)¹@
@first@|@sine-otutanu (adj)@
@fish@|@ciep (n)@
@fish@|@emoni (vt)@
@fish@|@cep (n)@
@fish's backbone@|@cep-motot (n)@
@fish-skin@|@cepkap (n)@
@fish-skin leggings@|@cepkap-hos (n)@
@fish (esp. salmon, trout, or stipe (n)@|@ipe (n)@
@fish guts@|@tuyokotpe (n)@
@fish hook@|@tukap (n)²@
@fish kidney@|@teyhur (n)@
@fish spear head@|@ap (n)³@
@fish: dried ~@|@cinana (n)@
@fish: dried ~@|@sat-cep (n)@
@fish: dried ~ slices@|@hatat (n)@
@fish: entrails of ~@|@tuyokotpe (n)@
@fish: flat ~@|@samampe (n)@
@fish: little ~@|@ceppo (n)@
@fish: offeratory ~@|@hepere-sat-cep (n)@
@fish: young ~@|@ceppo (n)@
@fishhook@|@ap (n)³@
@five@|@asikne (adj)@
@five@|@asiknep (n)@
@flame@|@nuy (n)@
@flame@|@ape-nuy (n)@
@flare@|@hepeku (vi)@
@flash about (as light)@|@cupu (vt)¹@
@flash about (as light)@|@cupu (vi)@
@flashing@|@tom tom (vi)@
@flat on the back@|@tuykantar (vi)@
@flatterer@|@sumari (n)@
@flavorless@|@pan (adj)¹@
@flavorless salt@|@pan-sippo (n)@
@flavour@|@omaw (n)³@
@flavour@|@mawe (n)(g)(x)²@
@flavour@|@maw (n)³@
@flavour@|@maw (n)²@
@flavour@|@kera (n)@
@flavour@|@omaw (n)²@
@flea: sand ~@|@tamu (n)@
@flee@|@kira (vi)@
@flee in haste@|@oray (vt)@
@flesh@|@kam (n)@
@flesh@|@kami (n)(g)(x)@
@flesh@|@kamihi (n)(g)(x)@
@flint: black ~@|@anci (n)²@
@float@|@amomka (vi)@
@float (down a stream)@|@mom (vi)@
@float for fishing net@|@ampa (n)@
@float: be ~ing@|@amomka (vi)@
@floating@|@amomka (adj)@
@floor (of a house)@|@so (n)³@
@flounder@|@nina-cep (n)@
@flour@|@amamkoho (n)@
@flow [as a river]@|@mom (vi)@
@flow along (as a river)@|@san (vi)@
@flower@|@tom (n)²@
@flower@|@epuyke (n)@
@flower@|@asippa (vi)(p)@
@flower@|@asip (vi)(s)@
@flute@|@huyetop (n)@
@flute@|@top (n)²@
@flute@|@huyetok (n)@
@fly: gad~@|@siraw (n)@
@fold@|@cupu (vt)²@
@fold over@|@ekomo (vt)@
@folded thing@|@komkep (n)@
@follow@|@ikesampa (vt)@
@following@|@yokane (adv)@
@following day@|@simke (adv)@
@fond@|@katayrotke (vt)@
@food@|@haru (n)@
@food@|@ipe-ampe (n)@
@food@|@ep (n)@
@foot@|@kemaha (n)(g)(x)@
@foot@|@cikir (n)¹@
@foot@|@kema (n)@
@foot@|@kiri (n)¹@
@for@|@ari (pop)@
@force@|@maw (n)²@
@force@|@omaw (n)²@
@foreign language@|@anun-itak (n)@
@foreigner@|@sisam (n)@
@forest@|@nitay (n)@
@forest@|@hastay (n)@
@form@|@kat (n)@
@form@|@hum (n)@
@form@|@katu (n)(g)(x)@
@form@|@katuhu (n)(g)(x)@
@form@|@humi (n)@
@formerly@|@etoko (adv)@
@fortress@|@casi (n)@
@forty@|@tu-otne (adj)@
@foster mother@|@iresu-huci (n)@
@four@|@ine (adj)@
@four people@|@inen (n)@
@fox@|@kimoppe (n)@
@fox@|@sumari (n)@
@freeze@|@sinrupus (vt)@
@fresh@|@nam (n)@
@fresh@|@pan (adj)¹@
@fresh water@|@pan-wakka (n)@
@friend@|@katayrotke-kur (n)@
@from@|@wa (adv)@
@from@|@oyakne (adv)@
@from@|@we (pop)@
@from@|@wa-no (adv)@
@from now (on)@|@tane wano (adv)@
@from one to the other@|@etaspa (adv)(p)@
@from one to the other@|@etasa (adv)(s)@
@front: in ~@|@he (adv)¹@
@front: in ~ of@|@etoko (adv)@
@frost@|@sinnam (n)@
@frost: white ~@|@kuruppe (n)@
@fruit@|@rataskep (n)¹@
@fuel@|@nina (n)¹@
@fulfill@|@epa (vi)@
@fulfilling@|@epa (adv)@
@full@|@pa (adj)@
@full@|@sik (adj)@
@full@|@ramne (adj)@
@full moon@|@sikari-cup (n)@
@full thing@|@ramnep (n)@
@funeral ceremony@|@wempe-puri (n)@
@fur@|@kap (n)@
@fur@|@kapuhu (n)(g)(x)@
@fur@|@kapu (n)(g)(x)@
@fur seal@|@unew (n)@
@furnace@|@ape-sokot (n)@
@furnace@|@ape-oy (n)@
@furnace ash@|@ape-kamuy-turihi (n)@
@gall@|@ninke (n)@
@gape@|@hasa (vi)@
@gape@|@hasa (vt)@
@garden@|@toy (n)¹@
@gateway@|@apa (n)@
@genital: male ~@|@ciyehe (n)(g)(x)@
@genital: male ~@|@ci (n)@
@genital: male ~@|@ciye (n)(g)(x)@
@genital: male ~ [slang]@|@cikap (n)²@
@gentle@|@noram (adj)@
@gentle@|@oray (adj)¹@
@gentle@|@roram (adj)@
@gentle@|@hawke (adj)@
@gentle@|@hawke (vi)@
@gentle@|@ratci (adj)@
@gentleman@|@nispa (n)@
@ghost@|@tukap (n)¹@
@gird up loins@|@tumam-kosaye (vi)@
@gird up loins@|@tumama-kosaye (vi)@
@give in return for ST recieved@|@yayattasa (vt)@
@give to superior@|@yanke (vt)(s)@
@give to superior@|@yapte (vt)(p)@
@glitter@|@tom tom (vi)@
@glowing@|@tom tom (vi)@
@glutton@|@yayepkar-kur (n)@
@go@|@arupa (vi)(s)@
@go@|@arpa (vi)(s)@
@go@|@pake (vi)@
@go away@|@simakoraypa (vi)(p)@
@go away@|@asureka (vi)@
@go away@|@simakoray (vi)(s)@
@go away in anger@|@yusa (vi)@
@go by@|@kari (vt)@
@go in quest@|@yonkoror (vt)@
@go in quest@|@yonkor (vt)@
@go off in a huff@|@yusa (vi)@
@go to@|@ews (vi)@
@go to@|@ewsi (vi)@
@go up@|@yap (vi)(p)@
@go up@|@yan (vi)(s)@
@god@|@kamuy (n)(sf)@
@god@|@kamuy (n)@
@good@|@oray (adj)¹@
@good@|@kamuy (adj)(pf)@
@good@|@pirka (adj)@
@good: be ~@|@pirka (vi)@
@government@|@tono (n)@
@grandfather@|@ekasi (n)@
@grandmother@|@huci (n)²@
@grape@|@hat (n)@
@grass@|@kina (n)@
@grass: blade of ~@|@ra (n)¹@
@grave@|@toy (n)²@
@grave@|@tusir (n)@
@gravy@|@ruru (n)¹@
@gray@|@katuwa (n)@
@great@|@kamuy (adj)(pf)@
@great@|@ca (adj)@
@great@|@ruy (adj)@
@great@|@poro (adj)@
@green@|@hu (adj)@
@grey hair@|@retarpe (n)@
@grindstone@|@ruy (n)²@
@groan@|@yawyawse (vi)@
@groom@|@nuykar (vt)@
@ground@|@toytoy (n)@
@growl@|@yawyawse (vi)@
@growl@|@humse (vi)@
@grown: fully ~@|@rupne (adj)@
@grub worm@|@namsun (n)@
@grub worm@|@namsu (n)@
@gruff@|@humse (vi)@
@grunt@|@humse (vi)@
@guardian angel@|@ituren-kamuy (n)@
@guardian angel@|@kamuy: ituren-~ (n)@
@guide@|@tura-kur (n)@
@gulf@|@usor (n)@
@gull: sea ~@|@yatuy (n)@
@gull: sea ~@|@yatu (n)@
@gun@|@teppo (n)@
@gut@|@oske (n)@
@guts@|@tuy (n)²@
@gyrfalcon@|@aciw-cikap (n)@
@habit@|@puri (n)@
@hack@|@tata (vt)@
@hail@|@konru (n)@
@hair@|@numa (n)@
@hair@|@numaha (n)(g)(x)@
@hair bleaching@|@retarpe (n)@
@hair: grey ~@|@retarpe (n)@
@hair: white ~@|@retarpe (n)@
@half@|@ru (adj)@
@half@|@emko (adj)@
@half of a pair@|@arke (adj)@
@halibut@|@hepew (n)@
@hamlet: single-house ~@|@memka (n)@
@hammer@|@tuci (n)@
@hammer@|@itata (vt)@
@hand@|@teke (n)(g)(x)@
@hand@|@tekehe (n)(g)(x)@
@handle@|@atu (n)(g)(x)²@
@handle@|@etuhu (n)(g)(x)@
@handle@|@etu (n)@
@handle@|@ecu (n)@
@handle@|@atuhu (n)(g)(x)²@
@handle@|@at (n)²@
@handle: pan ~@|@su-at (n)@
@handle: pot ~@|@su-at (n)@
@hang@|@herasi-ratki (vi)@
@hang@|@ratki (vi)@
@hang down@|@herasi-ratkire (vt)@
@hang one's self@|@yay-aterayke (vi)@
@hang over@|@asi (vt)@
@hang up@|@atte (vt)²@
@happy@|@nucak (adj)@
@happy@|@nucat (adj)@
@hard@|@rasne (adj)@
@hare@|@epetke (n)@
@hare-lipped@|@epetke (adj)@
@harsh word@|@yupke-itak (n)@
@harsh words@|@yupke-itak (n)@
@harvestmen@|@ami-tanne (n)@
@harvestmen@|@ami-tanne-ya-oskep (n)@
@hasten@|@caste (vt)@
@hat@|@kasa (n)@
@hat string@|@kasa-rantupep (n)@
@hat string@|@kasa-rantup (n)@
@haul up@|@yanke (vt)(s)@
@haul up@|@yapte (vt)(p)@
@have@|@kor (vt)@
@hawk@|@taka (n)@
@hawthorn: black-fruited ~ type@|@ape-ni (n)¹@
@hazel-hen@|@humiruy (n)@
@he@|@ani (pr3)(s)@
@he@|@toan (pn)@
@he who…@|@sekor (pn)@
@head@|@yop (adj)@
@head@|@ca (n)²@
@head@|@etok (n)@
@head@|@kew (n)@
@head@|@kewe (n)¹@
@head (of body)@|@pake (n)@
@head (of body)@|@pa (n)²@
@head (of body)@|@sapa (n)@
@head of a fireplace@|@ror-un (adv)@
@headfish@|@kinanpo (n)@
@headfish@|@kinapo (n)@
@heap@|@cikir (n)²@
@hear: be ~d@|@anu (vi)@
@hearb@|@haru (n)@
@heard: be ~@|@as (vi)²@
@heart@|@katu (n)(g)(x)@
@heart@|@kat (n)@
@heart@|@kewtum (n)@
@heart@|@katuhu (n)(g)(x)@
@heart [mind]@|@ram (n)@
@heart [mind]@|@rama (n)(g)(x)@
@hearth@|@ape-sam (n)@
@hearth@|@ape-samu (n)@
@hearth@|@ape-sami (n)@
@heat@|@sesek-ka (vt)@
@heat: fire ~@|@ape-seseku (n)@
@heat: fire ~@|@seseki (n)@
@heat: fire ~@|@ape-seseki (n)@
@heat: fire ~@|@seseku (n)@
@heaven@|@nis (n)@
@hedge@|@ca (n)³@
@hedge@|@cas (n)@
@help@|@katunaska (vt)@
@help@|@kasiw (vt)¹@
@hem@|@cinki (n)@
@hempleaf ragwort@|@yuk-kutu (n)@
@henceforth@|@te-oro (adv)@
@henceforth@|@tane wano (adv)@
@her@|@kora (pr)(g)@
@her@|@kor (pr)(g)@
@her@|@kon (pr)(g)@
@herb@|@rataskep (n)¹@
@herb@|@kina (n)@
@here@|@teta (adv)@
@here@|@tapan-ta (adv)@
@here@|@eteun (adv)@
@here@|@etampa (adv)@
@herring@|@hemoy (n)@
@herring: pacific ~@|@heruki (n)@
@herring: pacific ~@|@heroki (n)@
@hey!@|@yay (!)@
@hide@|@esina (vt)@
@hide away@|@nuyna (vt)@
@hide OS away@|@nuynak (vt)@
@hill: single ~ with round top@|@tap (n)@
@hillock@|@kom (n)¹@
@hilt: sword ~@|@emus-nip (n)@
@him@|@toan (pn)@
@hip@|@cin (n)@
@hip@|@cinna (n)²@
@his@|@kon (pr)(g)@
@his@|@kor (pr)(g)@
@his@|@kora (pr)(g)@
@hit@|@koyki (vt)@
@hit@|@kik (vt)@
@hit@|@epeka (vt)@
@hit@|@kikkik (vt)@
@ho!@|@yay (!)@
@hold@|@kor (vt)@
@hold (in hands)@|@ani (vt)@
@hold: lay ~ on@|@ani (vt)@
@hole@|@puy (n)²@
@hole@|@suy (n)@
@home@|@unihi (n)(g)(x)@
@home@|@cisehe (n)(g)(x)@
@home@|@cise (n)@
@home@|@uni (n)@
@home@|@cisey (n)@
@home village@|@hepenki-kotan (n)@
@honour: seat of ~@|@ror (n)@
@honourable@|@kamuy (adj)(pf)@
@hook: fish ~@|@tukap (n)²@
@hoop@|@karip (n)@
@hops@|@kosa (n)¹@
@horn@|@kiraw (n)@
@horn@|@kimpuy (adv)@
@horn@|@kirawehe (n)(g)(x)@
@horn@|@kirawe (n)¹@
@horn@|@kirawe (n)(g)(x)@
@hornet@|@sisoya (n)@
@horse@|@umma (n)@
@horsehair crab@|@ampayaya (n)@
@hot@|@seysek (adj)@
@hot@|@sesek (adj)@
@hot air@|@sesek-maw (n)¹@
@hot breath@|@sesek-maw (n)¹@
@hot wind@|@sesek-maw (n)¹@
@house@|@cisey (n)@
@how great@|@sir-an (!)@
@how many@|@sir-an (!)@
@how many?@|@hempak (adv)@
@how!@|@humi (!)@
@howl@|@wo (n)¹@
@howl@|@cis (vi)@
@howl@|@wose (vi)@
@howl@|@yawyawse (vi)@
@hum@|@yawyawse (vi)@
@human@|@aynu (n)@
@humble@|@oray (adj)¹@
@humor@|@e (n)@
@humour@|@ye (n)²@
@hunt@|@emoni (vt)@
@hunt@|@ramante (vt)@
@hunt@|@eramanre (vt)@
@hurrily@|@ki (adv)@
@hurt@|@araka (vi)@
@hurt@|@arka (vi)@
@hurt foot with one's boot@|@keyr-siru (vi)@
@husband@|@aynu (n)@
@husband@|@hoku (n)@
@husband@|@oku (n)@
@husband@|@okuhu (n)(g)(x)@
@husband@|@kuru (n)²@
@husband@|@kur (n)@
@husband@|@hokuhu (n)(g)(x)@
@hut@|@cise (n)@
@hut@|@cisey (n)@
@hut@|@cisehe (n)(g)(x)@
@hydrangea scandens@|@yuk-punkar (n)@
@hymn@|@sinotca (n)@
@hypoglosus hypoglosus@|@hepew (n)@
@I@|@ku (pf)(pr1)(s)@
@ice@|@ru (n)¹@
@ice@|@konru (n)@
@ice: sea ~@|@apu (n)@
@idea@|@yaysannyo (adj)@
@idle@|@katupase (adj)@
@idle@|@katu-toranne (adv)@
@idleness@|@tunne (n)@
@if@|@yakun (+)@
@if@|@korkay (pop)@
@if@|@korka (pop)@
@if@|@yakkay (pop)@
@if@|@akka (pop)@
@if@|@yakka (pop)@
@if@|@yak (pop)@
@if: even ~@|@yakun (+)@
@if: even ~@|@yak (pop)@
@ill: be ~@|@tasumki (vi)@
@illness@|@tasum (n)@
@imitate@|@yaykar (vt)@
@imitation@|@cinorep (n)@
@immediately@|@ki (adv)@
@immediately after@|@kasu (adv)@
@important@|@kamuy (adj)(pf)@
@in@|@tuykata (adv)@
@in front of@|@sa (adv)@
@in place of@|@sir (adv)¹@
@in: be ~@|@or (vi)@
@in: be situated ~@|@or (vi)@
@in: go ~@|@ahup (vi)(p)@
@in: go ~@|@ahun (vi)(s)@
@increase@|@atte (vt)¹@
@indeed@|@oya-ciki (adv)@
@indeed@|@ampe (adv)@
@independent@|@yay-an (adj)@
@industrious@|@yuptek (adj)@
@industriously@|@yuptek-no (adv)@
@ineffective@|@kasi (vi)@
@ineffective@|@kasi (adj)@
@ineffectual@|@kasi (adj)@
@ineffectual@|@kasi (vi)@
@inefficient@|@kasi (vi)@
@inefficient@|@kasi (adj)@
@inkfish@|@passanna (n)@
@inland@|@ya-un (adv)@
@innerd@|@oske (n)@
@inquire@|@anu (vt)¹@
@insect@|@kikir (n)@
@insert@|@aciw (vt)@
@insert@|@omare (vt)@
@inside@|@tuy (n)¹@
@inside: be ~@|@or (vi)@
@insipid@|@pan (adj)¹@
@inspire@|@ituren (vi)@
@inspired@|@turen (vi)@
@instead of@|@sir (adv)¹@
@instruct@|@epakanu (vt)@
@instruction@|@epakasi (n)@
@intellect@|@ram (n)@
@intellect@|@rama (n)(g)(x)@
@interfere@|@yukoykire (vt)@
@interior@|@ya-un (adv)@
@interior: to the ~@|@hepera (adv)@
@interior: to the ~@|@heperay (adv)@
@intermeddle@|@yukoykire (vt)@
@intestine@|@tuy (n)²@
@intestine: large ~@|@yospe (n)@
@irony@|@oya-itak (n)@
@irritate@|@mayaya (vt)@
@irritated@|@mayamaya (vi)@
@irritated@|@mayemaye (vi)@
