@English@|@Jingpho@
@paternal aunt's daughter@|@khri@
@path@|@lám@
@pattern of carving@|@känu@
@pay an indemnity@|@gälo@
@peaceful@|@šingdi@
@peaked@|@chom@
@peel off@|@go@
@penis@|@mäne@
@penis shaft@|@ne po_t@
@perform@|@gälo@
@person having reached the age@|@äram@
@perspiration@|@sälat@
@pheasant@|@u'-ri'@
@phlegm@|@pänen, pu1-nen@
@pig@|@wa'@
@pillow@|@dungkhum@
@pimples@|@ching-zhon@
@pinch@|@lächok, tep@
@pinch with the nails@|@mäthi'@
@pinnacle@|@mätho@
@pinned down@|@mjet@
@place@|@da, šära@
@place in a long@|@dingren@
@place upon@|@mära'@
@plant@|@ban@
@play a musical instrument@|@dum@
@plentious@|@song@
@pluck@|@di', gäre'@
@poison@|@ntuk@
@poisoned and barbed arrow@|@singkji@
@porcupin@|@dumsi@
@possess@|@lu@
@pot@|@di'@
@pour into@|@zho@
@precipice@|@kham-wam@
@precipitous@|@ngam@
@prepare as a corpse for burial@|@zhang@
@prepare glutinous rice@|@khja@
@present a petition@|@khjok@
@preside over@|@up@
@price@|@zhäphu@
@probably@|@bjong@
@pumpkin@|@käkhum, khum@
@punishment@|@äri@
@pure@|@äcai@
@push forward@|@non@
@put on and wear@|@phun@
@put together@|@toi@
@rafter@|@läpa'@
@rain@|@märang@
@rainy season@|@jänam, länam@
@raven@|@u-kha@
@ravine@|@khäro', lägjong@
@rectilinear@|@ding@
@red@|@khje@
@red ants@|@chäkhrau@
@red pepper@|@mäzhap@
@religious offering@|@älu@
@remainder@|@gäle@
@resin@|@no@
@respect@|@ku@
@rest@|@tha@
@retire@|@jú@
@return@|@wa@
@rice@|@maicen@
@riches@|@gan@
@right side@|@khra@
@rigid@|@ran@
@rock@|@lungbra@
@rope@|@sumri@
@rosemallow@|@zhang-nang@
@rotten@|@zam@
@rough@|@dinggren, läthat@
@rough person@|@wa'-zep@
@rub@|@gänun@
@rub with the fingers@|@mänun@
@run@|@gägat, kat@
@run away@|@phrong@
@salt@|@zhum@
@salver@|@ban@
@sand@|@zai-bru@
@saturated@|@cham@
@scent@|@sängau@
@scoop up@|@läkhot@
@scrape@|@khut@
@scraper for cleaning@|@lägun@
@scream@|@mägroi@
@season@|@khra@
@seed@|@li, nli@
@semen@|@äju, ju, zu@
@separate@|@zhäkha'@
@servant@|@ali, äli äma, li@
@sesame@|@chingnam, nam@
@set and show teeth@|@zhi@
@set the teeth on edge@|@mäkrim@
@seven@|@sänit@
@shadow@|@šingnip@
@shallow@|@n-got@
@shape@|@läkhot@
@shark@|@man@
@sharp@|@ncam@
@shear@|@jen@
@shellfish@|@khoi@
@shining@|@ätu@
@shop@|@seng@
@short period of time@|@tong@
@shoulder@|@gäpha'@
@side of a Kachin house@|@kun@
@sinew@|@läsa@
@sister@|@käzhan@
@sister-in-law@|@känam, nam@
@six@|@kru'@
@skills@|@mäka@
@sky@|@lämu@
@slope@|@phjin@
@small@|@kji, šoi@
@small parrot@|@ukhring@
@smell@|@sing, sung, using@
@smelly@|@chäphu@
@smoke@|@wan-khut@
@smooth@|@mänen@
@snake@|@läpu@
@sneeze@|@khji@
@so little@|@nte'@
@soak through@|@khon@
@soaked@|@ši'@
@socket@|@mächo@
@socket of a ploughshare@|@sumro@
@son-in-law@|@däma'@
@sorrow@|@ncang, ningcang@
@sort@|@mju@
@sour@|@khri@
@sp. of fig tree@|@lagum, lakum@
@sp. of horse-leech@|@ip@
@sp. of pheasant@|@u'-khri'@
@speech@|@ga@
@spirit@|@mäla, nat@
@splendid@|@réng@
@spoon@|@cho@
@spread out and hang up@|@zhen@
@spread out and thus flat@|@phjen@
@spread the wings@|@phjan@
@spy out@|@sok, zhok@
@squeeze@|@šup@
@star@|@šägan@
@stare at@|@ze@
@steam@|@käbo@
@steeped@|@cing@
@stir in order to mix@|@käbun@
@stone@|@nlung@
@stopped up@|@chip@
@straight@|@preng@
@strength@|@lägong@
@strengthen@|@šädo@
@strings@|@äcam@
@strip and twist@|@nut@
@strip off@|@mäla@
@strong affection@|@che-zhu@
@sugarcane@|@kumšu@
@sulphur@|@kan@
@summit@|@ndung@
@sun@|@zhan@
@sweet@|@dui@
@swell@|@bum@
@swell as a river@|@tung@
@swollen belly@|@chäbung@
@tadpole@|@no'@
@tail@|@mai@
@take revenge@|@dop, tai@
@take up@|@tha'@
@tall@|@jan@
@tangled@|@mjam@
@taste good@|@mu@
@taste of spices@|@käphram, phram@
@taxes@|@khan@
@tea-leaf@|@pha'-lap@
@ten@|@ši@
@tender@|@noi@
@tense@|@kang@
@terrified@|@kjom@
@testicle@|@di@
@that@|@dai, ja, wö@
@the age of puberty@|@ram@
@the back of the ankle@|@läkhre@
@the bamboo rat@|@šäru@
@the body@|@dinggam@
@the buttocks@|@dang, mai-dang@
@the corpus and metacorpus@|@läseng@
@the dry season@|@ginthong@
@the ear@|@na@
@the early morning@|@mänap@
@the edge of a blade@|@ningšan, nša, nšan@
@the elephant bamboo@|@u-ra, u-ra@
@the evening twilight@|@nrim@
@the face@|@man@
@the fates@|@märo@
@the first and best brew@|@mächan@
@the fork of a tree@|@šälung@
@the groin@|@läphrang@
@the hair@|@läga@
@the hair on the head@|@kära@
@the hamstring@|@läkhap@
@the head@|@bo@
@the head-louse@|@ci'@
@the heart@|@sälum@
@the inside@|@nkhu'@
@the inside of the chest@|@kro@
@the jaw@|@šäkap@
@the larger part@|@mälo@
@the liver@|@mäsin@
@the mucus of the nose@|@nep@
@the mustard plant@|@khrang@
@the palm of the hand@|@läpha, läphan@
@the physical body@|@gong@
@the pine@|@märau, märau-phun@
@the root of the tail@|@chängum@
@the rump of a bird@|@chängo, u-chingngo@
@the shin@|@šinglang@
@the side of the chest@|@gärep@
@the skull@|@pung-kum@
@the spine@|@märung@
@the spleen@|@khum-pai@
@the Supreme God@|@gärai-gäsang, gärai-wa1@
@the thigh@|@mägji@
@the throa@|@zhäkhro@
@the tip@|@nchun@
@the tongue@|@lai', šinglau, šinglet@
