@to laugh@|@jäc-, jic-, jicin-@
@to laugh and blab@|@gizhg-@
@to lay down@|@pin-, pin-, rch-@
@to lay eggs@|@sku-@
@to lean on@|@bizhg-@
@to leave@|@šk-, škv-@
@to lick@|@lok-, lontk-, lotk-, sirk-, tirk-@
@to lie@|@j-, jä-, ju-@
@to loan@|@rsx-, sx-@
@to look@|@jin-, jir-@
@to lop off branches@|@sxip-@
@to lose@|@dän-, din-@
@to love@|@'or-@
@to make a nest@|@bondg-@
@to make a sound@|@burch-in-, gar-, ngar-, purch-in-@
@to make an error@|@chil-, chir-@
@to make fire@|@rz-@
@to make war@|@li-m-@
@to make warm@|@gvigv-@
@to make way in the snow@|@xar-@
@to marry@|@tx-, txw-@
@to masticate@|@chix-@
@to measure@|@rcq-, zäm-, zim-@
@to meet@|@xv-al-, xvamil-@
@to melt@|@gvant-, ndgul- dgul-@
@to milk@|@chval-@
@to mill@|@gorgol-@
@to moan@|@kut-@
@to move in@|@xor-ua-@
@to move in rows@|@svar-@
@to move swiftly@|@sxap-@
@to mow@|@gun-@
@to need@|@kor-@
@to nibble@|@ckäckon-, ckickon-@
@to ooze@|@cär-, cir-@
@to pack tightly@|@chqilat-, chqilit-, cqip-@
@to paint@|@gap-@
@to pass over with the hand@|@s-, sum-, sv-@
@to peck@|@kik-on-@
@to peel@|@rc-, rcw-@
@to perk up the ears@|@ckv-ir-@
@to pick@|@chxirk-@
@to pile up@|@xut-@
@to pinch@|@bick-on-, bisk-on-@
@to pinch softly@|@ckäckon-, ckickon-@
@to plait@|@gob-, tux-@
@to plait a fence@|@chxvak-@
@to plane@|@xvat-@
@to plough@|@xon-@
@to pluck@|@cil, jgijg-on-, puton-@
@to pluck a bird@|@burtq-@
@to pour@|@b-@
@to pour down@|@zgval-, zgvar-zgval-, zgwal@
@to press@|@chinax-, cqacq-, rsxip-, sirot-@
@to push@|@bijg-@
@to quiver@|@partk-, partx-, prtx-, tirt-ol-@
@to rain@|@chvem-, chven-, chvim-, chvin-@
@to rake@|@bucx-@
@to rave@|@bordiš-@
@to redden@|@chit-@
@to refuse@|@xintk-@
@to remain@|@skäd-, skid-@
@to remember@|@šä-, šu-@
@to remind@|@šin-@
@to resemble@|@g-, gu-, gur-@
@to ripen@|@chiš@
@to rob@|@rch-, rchu-, rchv-@
@to rock@|@'ar-@
@to rot@|@putur-ua@
@to rub with the hand@|@puch-on-@
@to run@|@nt-@
@to run away quickly@|@tik-on-, tirk-on-@
@to run nimbly@|@chvirt@
@to rush@|@chorop@
@to save@|@chxo-, chxo-n, r-@
@to saw@|@xorx-@
@to scale@|@purchon-, purckon@
@to scatter@|@gv-, rgv-@
@to scrape@|@xak-, xoc-@
@to scratch@|@bircx-, chxot-, pucxol-, pucxon-@
@to see@|@orcq-@
@to seem@|@con@
@to send@|@chk-, chkw-@
@to sew with a big needle@|@njgilua, zhgvil-@
@to shake@|@nc-, partx-@
@to shake out@|@bartq-@
@to shave@|@xok-@
@to shear@|@xotor-, xuchor-, xutor-@
@to shoot@|@i-sänd-@
@to shout@|@rchx-, rki-@
@to sift@|@cir-@
@to sing@|@bir-@
