@English@|@Ket@
@to climb down@|@atej, atij@
@to close@|@-dup@
@to close door@|@qanij, qánij, qe:ngij, qe:nij, qengej, tqébbit@
@to count@|@kýbet@
@to cover@|@dogebit, l:tbet@
@to cry@|@düg, dügä@
@to cut@|@hagej@
@to damn@|@ajang, ajeng@
@to deceive@|@albet, klmbet, klngbet, kyngbet@
@to die@|@qodeng, qoreng@
@to dig@|@qy:dä, qy:ri, qyr, ugdij@
@to dig into@|@kyltij@
@to divide@|@döghat, dóghot@
@to do@|@be:dä, be:ri, ber@
@to dress off@|@olangej@
@to drink@|@dabop@
@to eat@|@-doq, dïbä, dïvä, dübä, düvä, ileng@
@to extinguish@|@duksij, dunij, uksij, unsij@
@to exuviate@|@hlqtieng, hóqtij@
@to fall@|@daq, dbkng, dlkng, dlqng@
@to find@|@bl:gä, blg@
@to flay@|@-igaq@
@to flay birch bark@|@qongej@
@to forget@|@ensak@
@to gather@|@dajugavet, iget@
@to give@|@qldäm, qlrem@
@to go@|@-den, -te, -ten, ejeng, ëjeng@
@to go ground@|@-ga, datáj-ga, datolga@
@to go home@|@qapqot@
@to go out@|@aq@
@to grind@|@hien-ligit, hien-sigit, hín-git@
@to grow thickly@|@imda, imsa@
@to hack@|@itdo, itto@
@to heal@|@qo:l@
@to hear@|@eqsaq, eqtij@
@to hide@|@daghating, di, diebit, dieboghoat@
@to hold@|@duosegaghoat, duosegologhat, uosegabat, utaq@
@to hold (1)@|@usqot@
@to hunt animals@|@assano@
@to hurry@|@qägde, qlksn@
@to jump@|@ajgong, enggä@
@to jump up@|@-te:ng, -teng@
@to kill@|@e:je, e:ji, ej, eje@
@to kiss@|@kujeng, kujubet@
@to knead@|@da:ng, da:ngä, dang@
@to know@|@ietpade, ítej, itparen, itpedam@
@to laugh@|@da:ghe, dagh@
@to leave@|@-aq, agyn, aq, t:aq@
@to let@|@fortjagen, kangeset@
@to let in@|@e:te@
@to lick@|@qo:@
@to lie@|@deltan, dïtögät, tallüt@
@to live@|@dl'q@
@to load off@|@agh...da, daghabda@
@to lose@|@qonbet, qonesbet@
@to make longer@|@-dod, ábaghoj, avqqij@
@to make sour@|@aqqat@
@to marry@|@qim-mas@
@to moor@|@bs, bsi@
@to nomadize@|@itang@
@to overtake@|@-bil, -vel@
@to plaster@|@lákaj@
@to play@|@ánengs, áning@
@to plug@|@-dop@
@to poke@|@estj@
@to pour@|@ataq, atij@
@to pray@|@balbet, balvet@
@to press@|@háta, hátap, ugej, ugij@
@to prick@|@l:ndo@
@to pull@|@bagdeng, dibblk@
@to pull out@|@tdaq@
@to push@|@-duk@
@to put@|@dabi, dabíj, dahbde, dalon, davíj, esa@
@to put on@|@-del, dïl, qïl@
@to put on light@|@-du:t, -dur@
@to rasp@|@lntij@
@to read@|@de:dä, de:n, dedä, der@
@to remember@|@de:nbato, entij, entïng@
@to rest@|@u, úbet@
@to rip off@|@usnij@
@to roast@|@daqng, daqqot, daqqot@
@to roll@|@kïte@
@to rot@|@ághas, ághas', áqas@
@to row@|@y:si, ys, ysä@
@to rub@|@oqtet@
@to run@|@toqtät@
@to salt@|@tlget@
@to scoop@|@ti:j, tïj@
@to scrape@|@kï, kïj, tkavi@
@to scratch@|@dengápti@
@to search@|@-git, dïbegat, dibilegat, ilegat@
@to search and gather@|@a:tä, a:te, at@
@to see@|@dbanglogho, dbangsogho, do@
@to send@|@e:da, e:de, e:ra, e:re, er, era@
@to sew@|@hllsej@
@to shamanize@|@qüt@
@to share@|@do@
@to shine@|@in@
@to shoot@|@estij, hdaq, kdaq, sestb@
@to shout@|@de:sij, desij@
@to sing@|@i'l@
@to sit@|@didegháf, dïdegháf, dkadiän, ingháf@
@to ski@|@kulgej@
@to slap@|@lánaj@
@to sleep@|@dittoghoat, tallat, töloghoat, usen@
@to smear@|@kït, kïtet, oqtij@
@to smell@|@dït@
@to sow@|@sus@
@to speak@|@asanäj, la:lä, la:li, lal@
@to spin@|@kigä@
@to spool@|@-gel, -gil, -kil@
@to sprinkle@|@et-tij@
@to stand@|@dikkän, dïkken, ïn, kibdoqng@
@to stay@|@agen@
@to steal@|@uddeing, uddi:ng@
@to steer@|@kïeteng@
@to stick into@|@antet, ántet, donábtat, döntet, duntet@
@to stick into pegs@|@hi:j, hi:je, hij@
@to stroke@|@qo:ntij@
@to suck@|@mamät, nüt, nütä@
@to suck breast@|@mamät@
@to swear@|@dis, disä@
@to sweat@|@abataghan, ábataghan@
@to take@|@ka:si, kas-, ko:sä, kos, kosä@
@to tear off@|@uston@
@to tell@|@ki:j, ki:jä, ki:ji, kij@
@to think@|@anbet, aningbet@
@to throw@|@eskij@
@to tickle@|@qllasej, qoltängäj, qoltängyn@
@to touch@|@dl:jä, dl:ji, dlj, dljä, nlj@
@to twirl@|@ditápyl, ditöbenfyl, itanfyl@
@to warm up@|@anggät@
@to wash@|@ulgung@
@to weep@|@-den@
@to whet@|@i@
@to wind rope@|@hl:@
@to write@|@idingbet, iringbet@
@to yawn@|@esqonting@
@tomorrow@|@-oks, anoks@
@tongs@|@ata:n, atäp, atapäng, atat, ataväng@
@tongue@|@e:jä, e:ji, ej, ëj, ejä@
@tooth@|@i:tä, i:ti, it, itä, ïteng, ittes@
@top of boot@|@ku:dä, küdäng, kur, küt, kütn@
@top of boots@|@ki:ne, kin, kïneng@
@top of head@|@ha't, hattat, hattatäng@
@top of tree@|@qo:, qo:n, qöp@
@tough@|@láng@
@towards here@|@kiningä, kïningä@
@towards outside@|@lga, lla@
@towards there@|@kaningä, kanïngä@
@towards where@|@bilas, biles@
@toy@|@-in@
@trade@|@qÿ@
@trap@|@kï, ki'ng@
@tree@|@öks@
@tree root@|@atintäng, atis@
@tree trunk@|@da'n, di'@
@trees@|@a'q@
@trousers@|@alegin, alen, aleng@
@tube@|@er, ëreng@
@tumor@|@hy'ng@
@Tungus@|@hlmba, hlmba:n, hlmban, hlmga, hlmga:n@
@tussock@|@kltpes, kltpesn@
