@English@|@Kott@
@orphan@|@paš-üp-še@
@other@|@pei, pëi@
@otter@|@thé'är, thégär@
@outside@|@hili@
@owl@|@hikei-še, hikei-ši, kéngafuj@
@paint@|@suk@
@palm of hand@|@fatap, fatapang, phatap@
@penis@|@puš@
@people@|@cheang, cheäng, cheängan@
@perch@|@tua, túga, tugan@
@pike@|@guja, húja, hüja, hüjä, hükng@
@pine@|@ei, ej, en@
@plait@|@šugai, šukai@
@pole of the tent@|@hagïnangan, hagine, hagïni@
@price@|@këjang, ki@
@prince@|@hii, hïjan, hïje, hïji, hïkng, hu, huj@
@prohibitive particle@|@bö@
@pulling@|@šipu@
@pus@|@takng@
@putting to bed@|@ucha, utcha@
@quickly@|@harä@
@rain@|@ur, ür, ürang, uraš, urax, urthekng@
@rainy@|@üra@
@reading@|@kachei@
@red@|@šur, šurama@
@releasing@|@anšët, onšëtang, šichët@
@resin@|@chïk, chïkan@
@returning@|@kai@
@rib@|@ulái, ulajang@
@ride on horse@|@anu, uijang, ujáha@
@right@|@pagai@
@river@|@kang, kem, šati, šati, sating, šet, šët, šët, šétagai, xángen-by@
@road@|@hek, hik@
@rock@|@chingjan@
@roe@|@ánang, änu, danan@
@root@|@ichichan, thempul, thémpul, thépulang, tybúl@
@root (1)@|@kempala, tujbúl@
@rotten@|@age, ake, bar-ak, thalaga@
@rotten wood@|@thalagan, thalak, thalakng, thalax@
@rough cloth@|@tarei, tarëi@
@round@|@ëper@
@rowing@|@šigiš@
@rubbing@|@thaläkït, thalakïtang, thalkït@
@running@|@chag-anthak@
@rust@|@šurakng@
@sable@|@ija, íja, yja@
@sack@|@falanch-ag, falanch-ak, falanchagan, falanchkng@
@saddle@|@ägatal, ägatálang, atakal@
@saliva@|@tuk@
@salt@|@-chëtang, ci-nžet, ši-nchët, šincet, tinžet@
@sand@|@thagan, thakan@
@scraping@|@šicher@
@searching@|@sigit@
@secret@|@ütö@
@seeing@|@thang@
@sending@|@thax@
@separate@|@palakng@
@servant@|@harangat, haranget, xáranget@
@sewing@|@falanche@
@shaking@|@šitar@
@shaman@|@šënang@
@shaman's drum@|@fëchang, feš, pheš@
