@English@|@Faroese@
@major@|@aðal-, høvuðs-, týðandi@
@make@|@fáa at@
@make a noise@|@duna, halda gang@
@make a project of@|@ráðleggja@
@make a stroke@|@strika@
@make clean@|@gera reint, reinsa@
@make fun of@|@háða@
@make up@|@smyrja@
@make use of@|@nýta@
@male cat@|@frensur@
@mam@|@mamma@
@mammy@|@mamma@
@man@|@fólk, maður, mannfólk, menniskja@
@manage@|@ráða, stjórna@
@manager@|@stjóri@
@manger@|@krubba, trog@
@mankind@|@mannaætt, mannaættin@
@manner@|@háttur@
@mantle@|@hjáputur, kápa, møttul@
@manufacture@|@framleiða@
@manure@|@tøð@
@manuscript@|@handrit@
@many@|@mangir, nógvir@
@map@|@kort, kort, landkort@
@marble@|@marmari, marmor@
@March@|@mars@
@margin@|@breddi@
@marigold@|@morgunfrúa@
@market@|@marknaður, marknaður@
@married people@|@hjún@
@marsh@|@mýra, mýri@
@marter@|@márur@
@martyr@|@pínslarváttur@
@marvel@|@undrast@
@marvel at@|@undrast@
@mask@|@gekkaskortur@
@Mason@|@frímúrari@
@mast@|@mastur@
@master@|@húsbóndi, meistari, vertur@
@mat@|@gólvmotta, motta@
@match@|@biðla, dystur, fríggja, svávulpinnur@
@match-make@|@biðla, fríggja@
@material@|@klædnatilfar@
@mathematician@|@støddfrøðingur@
@mathematics@|@støddfrøði@
@matter@|@evni, fall, rættarmál, søk, tilburður@
@mattress@|@madrassa@
@mature@|@búgvin, staðin@
@matzo@|@drýlur@
@May@|@mai@
@maybe@|@kanska, møguliga@
@mayhap@|@kanska, møguliga@
@mayor@|@borgmeistari@
@meadow@|@beiti, bøur, ong@
@meager@|@neyðar, neyðars, rak@
@meal@|@grýn, mjøl@
@mealies@|@mais@
@mean@|@hava í hyggju, merkja, miðja, týða@
@meaning@|@meining, merking, týdningur, týdningur@
@means@|@amboð, amboð, miðal@
@measles@|@meslingar@
@measure@|@mála, máta@
@measurement@|@stødd, vav, vídd@
@meat@|@kjøt@
@meddlesome@|@bersøgin, opin@
@mediation@|@millumgonga@
@medicine@|@læknafrøði@
@meditate@|@hugleiða@
@meet@|@hitta, hittast, koma saman, møta@
@melt@|@bræða, stoypa, tiðna, toya@
@member@|@flokslimur, limur, limur, luttakari@
@memory@|@minni@
@menace@|@hótta@
@mend@|@bjarva, bøta, pjøssa@
@mention@|@rokna upp@
@menu@|@kort@
@merchandise@|@vøra@
@mercury@|@kyksilvur@
@mercy@|@miskunnsemi@
@mere@|@berur@
@merit@|@hava uppiborið@
@mesh@|@eyga, meskur@
@mess@|@greytur@
@message@|@boð, sendiboð@
@Messiah@|@Messias@
@metal@|@málmur, metal@
@method@|@háttalag, háttur, lag@
@metre@|@metur@
@metropolis@|@høvuðsstaður@
@mica@|@glitur@
@midday@|@middagur@
@middle@|@miðja@
@middleclass citizen@|@borgari@
@midget@|@dvørgkendur, dvørgvaksin@
@midwife@|@ljósmóðir@
@migrate@|@fjakka@
@mild@|@lagaligur@
@mile@|@míl@
@milk@|@mjólk, mjólka@
@millimetre@|@millimetur@
@million@|@millión@
@millionaire@|@millióningur@
@mind@|@andi, sál, sinni@
@mine@|@mina, náma, spreingidupl@
@mingle@|@blanda@
@minister@|@ráðharri@
@minus@|@minus@
@minute@|@minuttur@
@miracle@|@undur@
@mirage@|@sjónhvørving@
@mirror@|@spegil@
@miscarry@|@miseydnast@
@miserable@|@neyðar, neyðars, ringur, syrgiligur, syrgin@
@miserly@|@gírigur@
@misery@|@eymd, neyð, vesaldómur@
@mission@|@sending@
@mist@|@mjørki, toka@
@mistake@|@mistak@
@mistress@|@fyristøðukvinna, matmóðir, vertskona@
@misunderstand@|@misfata@
@mitten@|@handski, vøttur@
@mix@|@blanda@
@mizzle@|@sirma@
@moan@|@stuna, suffa, vena seg@
@mock@|@háða@
@mockery@|@háð@
@mode@|@háttur, háttur@
@model@|@mynda, mynstur@
@moderate@|@hóvligur@
@modern@|@hóvligur@
@modest@|@lítillátin@
@modesty@|@blygd, smædni@
@modify@|@laga@
@Mohammed@|@Muhamed@
@moist@|@slagin@
@mold@|@hýggj, mynda, stoypa@
@mole@|@moldvørpa@
@mom@|@mamma@
@moment@|@bil, lítil løta@
@momentary@|@løtubundin@
@mommy@|@mamma@
@Monday@|@mánadagur@
@money@|@peningur@
@money box@|@peningakassi@
@money-box@|@peningakassi@
@monk@|@munkur@
@monkey@|@apa@
@monopolize@|@leggja undir seg@
@monster@|@skrímsl@
@month@|@mánaður@
@mood@|@hýrur, hýrur, lag@
@moon@|@máni@
@moorage@|@akkerspláss@
@moorhen@|@sevhøna@
@mooring@|@akkerspláss@
@moose@|@elgur@
@morality@|@dygd@
@more@|@longur, meir, meira@
@mores@|@siður@
@morning@|@morgun@
@morose@|@í ringum skørum, múlatrútin@
@moss@|@mosi@
@moth@|@húsvætti@
@mother@|@móðir@
@mother-in-law@|@vermóðir@
@motion@|@avgerð@
@motive@|@grund@
@motor car@|@bilur@
@motto@|@gjaldoyraávísing, leiðarorð, loysnarorð, loysunarorð@
@mould@|@hýggj, mynda, stoypa@
@mouldy@|@hýggiskotin, moðin@
@mount@|@búgva til@
@mountain@|@fjall@
@mountain ridge@|@egg, kambur, reykur@
@mountain-ash berry@|@royniber@
@mourn@|@syrgja@
@mournful@|@tyngjandi@
@mouse@|@mús@
@mouth@|@kjaftur, muður, munnur@
@move@|@flyta, flyta, røra@
@movement@|@flyting, rørsla, rørsla@
@movie theatre@|@kykmyndahøll@
@moving@|@hugtakandi@
@mow@|@skera, sláa@
@Mr.@|@harra, harri@
@Mrs.@|@frúa, frúgv@
@much@|@mangur, nógvur@
@mucus@|@slím@
@mud@|@móra, runa, skittur@
@Muhammad@|@Muhamed@
@mule@|@inniskógvur@
@multicoloured@|@flekkutur@
@munition@|@lóður@
@murder@|@myrða@
@murderer@|@drápsmaður@
@murk@|@myrkur@
@murmur@|@duna, illkennast, murra@
@muscle@|@vøddi@
@muse@|@dís@
@mush@|@greytur@
@mushroom@|@hundaland, soppur@
@music@|@tónleikur@
@musical@|@ljómhagur@
@musical time@|@siður, stev, takt@
@mussel@|@kræklingur@
@must@|@noyðast, skula@
@mustard@|@sinoppur@
@musty@|@hýggiskotin, moðin@
@mute@|@dumbur, tigandi@
@mutiny@|@uppreistur@
@mutter@|@duna, illkennast, murra@
@mutually@|@sínámillum@
@my@|@mín, mítt@
@mysterious@|@dularfullur, gátuførur@
@myth@|@frumsøgn, gudasøga@
@naïf@|@góðvarin@
@nail@|@negl, seymur@
@naïve@|@góðvarin@
@naked@|@nakin@
@name@|@navn@
@namely@|@nevniliga, tað er@
@nap@|@durva@
@nape@|@nakki@
@narrate@|@greiða frá, siga frá@
@narrative@|@frásøgn, søga@
@nasty@|@ljótur, ljótur, ringur@
@nation@|@fólk, tjóð@
@national@|@tjóðar-@
@native@|@innføddur@
@naturally@|@sjálvandi@
@nature@|@náttúra@
@naught@|@null@
@nausea@|@vaml@
@nave@|@hjarta@
@navel@|@nalvi@
@near@|@fyri hond, nær, náminda, øðrumegin við, undir liðini á@
@near to@|@øðrumegin við, undir liðini á@
@nearby@|@fyri hond, nær, náminda, øðrumegin við, undir liðini á@
@nearly@|@næstan, umleið@
@necessary@|@neyðugur@
@neck@|@hálsur@
@necktie@|@slips@
@need@|@hava fyri neyðini, nýtast, tørva@
@needle@|@nál, nál@
@negative@|@prentmót, prentmynd, rangmynd@
@neglect@|@misrøkja, vansketta@
@Negro@|@blámaður@
@neighbour@|@granni@
@neighbourhood@|@býarpartur, býlingur@
@neither@|@eingin, heldur ikke@
@neither ... nor@|@hvørki ... ella@
@neologism@|@nýggjyrði@
@nephew@|@bróðursonur, systursonur@
@nerve@|@nerv@
@nervous@|@fjálturstungin, fjálturstungin, nervaveikur, nervaveikur@
@nest@|@reiður@
@net@|@net, nót@
@nettle@|@nota@
@network@|@net, nót@
@neutral@|@uttanveltaður@
@never@|@ongantíð@
@nevertheless@|@kortini@
@new@|@nýggjur@
@New Year@|@nýggjár@
@news@|@tíðindi@
@newspaper@|@tíðindablað@
@next@|@komandi, næstur, seinni, síðan@
@next to@|@øðrumegin við, undir liðini á@
@nice@|@fittligur, góður, smakkgóður@
@night@|@nátt@
@nightingale@|@náttargali@
@nightmare@|@marra, marra@
@nine@|@níggju@
@nipple@|@boppa, vørta@
@nitrogen@|@køvievni, køvievni@
@no doubt@|@ivaleyst@
@noble@|@gøvugur@
@nobleman@|@aðalsmaður@
@nobody@|@eingin@
@nod@|@nikka játtandi@
@node@|@knútur, kvistur@
@none@|@eingin@
@non-military@|@borgaraligur@
@noon@|@middagur@
@no-one@|@eingin@
@no-one's@|@hjá ongum@
@nor@|@heldur ikke@
@norm@|@fyrimynd, regla@
@normal@|@rættvorðin, regluligur@
@north@|@norður, norður@
@North@|@norður@
@northward@|@norður@
@northwards@|@norður@
@Norway@|@Noreg@
@Norwegian@|@norskur@
@nose@|@nøs@
@nostalgia@|@heimlongsil@
@not an ace@|@als einki@
@not at all@|@als ikki@
@not well@|@illa til passar@
@notch@|@skarð, tonn@
@note@|@nóti, seðil, uppskrift@
@notebook@|@hefti, skrivihefti@
@notice@|@geva gættur eftir, uppslag, viðmerking@
@notify@|@geva boð@
@notion@|@hugtak@
@nought@|@null@
@noun@|@navnorð@
@nourishment@|@føði@
@novel@|@nýggjur, skaldsøga@
@novelty@|@tíðindi@
@November@|@november@
@now@|@íðan, ná, nú, nú@
@nowhere@|@ongastaðni@
@nucleus@|@kjarni@
@nude@|@nakin@
@null@|@null@
@number@|@nummar, tal@
@numeral@|@nummar, tal@
@nurse@|@røkja@
@nut@|@holskrúva, møtrikur, nøt, skrúvurógv@
@nuts@|@frá sær sjálvum, tvætl, vitleysur@
@nymph@|@dís@
@oak@|@eik@
@oasis@|@gróðrarblettur@
@oats@|@havri@
@obedient@|@lýðin@
@obey@|@akta, vera lýðin@
@oblique@|@lagghallur, skeivur@
@obscene@|@ónæriligur, óráðuligur@
@obscure@|@dimmur, døkkur@
@observation@|@eygleiðing, viðmerking@
@observe@|@fullføra@
@obsess@|@finnast at, gera seg inn á, nerva@
@obstacle@|@forðan@
@obstinate@|@treiskur@
@obstruct@|@forða, steingja@
@obtuse@|@ógreiður, ótýðiligur@
@obvious@|@eyðsæddur@
@occasion@|@ferð, reis@
@occupation@|@handverk@
@occur@|@henda seg, verða hildin@
@occurence@|@hending, høvi@
@ocean@|@hav@
@o'clock@|@tími@
@October@|@oktober@
@octopus@|@høgguslokkur@
@oculist@|@eygnalækni@
@odd@|@egin, serur@
@of@|@av, frá, hjá, úr@
@of course@|@sjálvandi, til at skilja@
@of which@|@hvørs@
@offend@|@gera firtnan, misbjóða@
@offer@|@bera fram, offra, skjóta upp@
@offer a toast@|@drekka skál@
@offer up@|@offra@
@office@|@skrivstova, skrivstova@
@officer@|@herovasti, starvsmaður@
@official@|@almennur, starvsmaður@
@offset@|@frástøða@
@offspring@|@eftirmaður@
@often@|@ofta@
@oh@|@áh@
@ohm@|@ohm@
@oil@|@olja@
@ointment@|@salva, sálva@
@okay@|@góður, júst, rætt, væl@
@old@|@gamal, gamal, gamal@
@omen@|@fyriboðan, spádómur, varningur@
@on@|@á, frá, fram, frameftir, hjá, longur, meira, úr, viðvíkjandi@
@on that account@|@tessvegna, tí@
@on the contrary@|@tvørturímóti@
@on the other side of@|@handan fyri, hinumegin, yvir um@
@on the whole@|@tilsamans, yvirhøvur@
@on top@|@uppi@
@once more@|@eina ferð enn@
@one@|@ein, ein, tey, tú, vit@
@one another@|@hvør annan@
@one at a time@|@ein í senn@
@one hundred@|@hundrað@
@one thousand@|@túsund@
@onerous@|@tungur@
@onion@|@leykur@
@only@|@bert, einsamallur, einsliga@
@only just@|@neyvan, valla@
@open@|@lata upp, opin@
@open up@|@lata upp@
@opening@|@hol, munni, op@
@operate@|@starva@
@operation@|@skurðviðgerð, tiltak@
@ophtalmologist@|@eygnalækni@
@opinion@|@meining@
@opium@|@opium@
@opportune@|@fýsiligur, makligur, tespiligur@
@opportunity@|@hending, høvi@
@oppress@|@kroysta, spenna, trýsta@
@optimism@|@bjartskygni@
@or@|@ella@
@orange@|@appilsin@
@order@|@bíllegja, boð, heiðursmerki, skil@
@ordinary@|@gerandis, vanligur@
@ore@|@málmur@
@organ@|@málgagn, pípuurga@
@organization@|@samskipan@
@origin@|@uppruni@
@original@|@uppruna, upprunaligur@
@originate@|@koma av, vera ættaður frá@
@orphan@|@foreldraloysingur@
@orthography@|@stavseting@
@ostrich@|@strutsur@
@ouch@|@ai, oy@
@ought to@|@noyðast, skula@
@out of@|@av, úr@
@outer@|@uttanum, ytri@
@outfit@|@búni@
@outing@|@útferð@
@outline@|@fjallagrein, skuggamynd, strikumynd, umhvarv, umhvarv, upprit@
@outside@|@uttan fyri, uttanum, ytri@
@outside of@|@uttan fyri@
@oven@|@komfýrur, ovnur@
@over@|@yvir@
@overcoat@|@frakki@
@overhaul@|@ganga á odda, ganga fremstur@
@overhead@|@uppi@
@overlay@|@klæða@
@overpower@|@ræna til sín@
@overtake@|@fara framvið, ganga á odda, ganga fremstur@
@overthrow@|@kollvelta, lata falla@
@ow@|@ai, oy@
@owe@|@skylda@
@owl@|@ugla@
@own@|@egin, eiga@
@oyster@|@ostra@
@pace@|@fet, ganga fet fyri fet@
@Pacific@|@Kyrra Havið@
@Pacific Ocean@|@Kyrra Havið@
@pacifist@|@friðarvinur@
@pack@|@balla, bjálva, pakka, pakki@
@pad@|@bólstra, stappa@
@pagan@|@heidningur@
@page@|@blaðsíða, drongur@
@pail@|@spann@
@pain@|@pína@
@paint@|@liting, litur, mála@
@paintbrush@|@pensil@
@pair@|@par@
@pair of pincers@|@tong@
@pal@|@lagsbróðir@
@palace@|@borg@
@pale@|@bleikur@
@palm@|@lógvi, pálmi@
@palmtree@|@pálmi@
@pamphlet@|@bóklingur, flogblað@
@panties@|@undirbuksur@
@pants@|@brøkur, buksur@
@paper@|@pappír@
@paperback@|@bóklingur, flogblað@
@parachute@|@fallskíggi@
@paradise@|@paradís@
@paradox@|@ósamsvar, tvørsøgn@
@paradoxical@|@órímil i gur, ósamsvarandi@
@paraffin-oil@|@olja, steinolja@
@paragraph@|@málsgrein, reglubrot@
@parapet@|@rimagarður@
@pardon@|@fyrigeva, umbera@
@parents@|@foreldur@
@Paris@|@París@
@parish@|@kirkjusókn, sókn@
@parlour@|@salur@
@parrot@|@pappageykur@
@parsley@|@persilla@
@part@|@leiklutur, partur@
@participate@|@taka lut, vera við@
@participle@|@lýsingarháttur@
@particle@|@smálutur@
@particular@|@serligur@
@party@|@hátíð, veitsla@
@pass@|@fara, fjallakarð, ganga á odda, ganga fremstur@
@pass away@|@doyggja@
@pass by@|@fara, fara framvið@
@pass the night@|@liggja nátt@
@passage@|@gong@
@passenger@|@ferðafólk@
@passion@|@gessur, gløðandi hiti, ovurhugi@
@passport@|@leiðarbræv, pass@
@past@|@framvið@
@paste@|@deiggj@
@pastor@|@prestur, prestur@
@patch@|@bjarva, bøta, pjøssa@
@patch up@|@bjarva, bøta, pjøssa@
@pate@|@høvd, høvur@
@path@|@gøta, gøta@
@patience@|@tol@
@patient@|@sjúklingur, sjúklingur@
@patron@|@verji@
@patronage@|@vernd@
@pause@|@hvíld, íhald, steðgur@
@pavement@|@gongubreyt, gøtulegging@
@paw@|@bein, fótur, labbi, langleggur@
@pawn@|@finna, hermaður, talvfinna@
@pawning@|@ábyrgdarlán, lán, lombardur@
@pay@|@gjalda, rinda@
@payment@|@gjald@
@pea@|@ertur@
@peace@|@friður@
@peach@|@ferska@
@peacock@|@páfuglur@
@peak@|@oddur, tindur@
@peal@|@gella, glinta, ringja@
@peanut@|@jarðnøt@
@pear@|@pera@
@pearl@|@perla@
@pear-tree@|@perutræ@
@peat@|@torv@
@peculiar@|@egin, serur@
@peddle@|@bjóða til sølu við dyrnar@
@pedigree@|@ættatal@
@peel@|@børkur, flus, skal@
@peep@|@láta@
@peevish@|@í ringum skørum, múlatrútin@
@pelvis@|@kerald, koka@
@pen@|@fløður, pennur@
@pencil@|@blýantur@
@penetrate@|@spríkja@
@Pentecost@|@hvítusunna@
@people@|@fólk@
@pepper@|@pipar@
@perceive@|@fáa eyga á@
@percent@|@prosent@
@percentage@|@prosent@
@perchance@|@kanska, møguliga@
@perfect@|@fullkomin@
@perform@|@bera fram, fara inn, fullføra, gera@
@perhaps@|@kanska, møguliga@
@periodical@|@tíðarrit, tíðindablað@
@perish@|@glatast, umkomast@
@permanent@|@støðugur@
@permission@|@loyvi, samlyndi@
@perplexed@|@hamskiftur@
@perplexity@|@trupulleiki@
@persecute@|@jagstra@
@persevere@|@halda fram@
@Persia@|@Persia, Persia@
@persist@|@halda fram@
@person@|@persónur@
@personal@|@egin@
@persuade@|@sannføra@
@perverse@|@órættvorðin@
@pessimism@|@svartskygni@
@petal@|@krúnublað@
@petroleum@|@olja, steinolja@
@phantom@|@andi, dreygur, hamur, spøkilsi@
@phenomenon@|@fyribrigdi@
@phlegm@|@slím@
@phoenix@|@føniks@
@photograph@|@taka mynd, taka mynd, taka myndir, taka myndir@
@physical@|@alisligur, likamligur@
@physician@|@lækni@
@pick@|@henta, prika, royta, skræða leysan@
@pick out@|@kjósa, velja@
@pick up@|@savna@
@pick-axe@|@hakkari@
@pickle@|@salta@
@picture@|@mynd@
@pie@|@lagkaka@
@piece@|@brot, moli, partur, petti, stubbi@
@piece of furniture@|@húsbúnaður, húsbúni, innbúgv@
@pier@|@brimgarður@
@pig@|@svín@
@pigeon@|@dúgva@
@pike@|@gedda@
@pile@|@stakkur@
@pill@|@pillari@
@pillar@|@stakkur, steyri, súla, teigur@
@pilot@|@leiðvísari, leiðvísi, loðsur@
@pin@|@keyla, nál, strýta@
@pincers@|@tong@
@pinch@|@klípa@
@pine@|@fura@
@pine-tree@|@fura@
@pink@|@nelikur@
@pioneer@|@slóðbrótari@
@pious@|@gudsóttandi@
@pip@|@byggkorn, korn@
@pipe@|@pípa, rør, slanga@
@pit@|@kjarni@
@pitch@|@bik@
@pitcher@|@krukka@
@pity@|@miskunn, samkensla, skaði@
@placard@|@uppslag@
@place@|@koyra, leggja, seta, stað@
@plaice@|@reyðsprøka@
@plain@|@týðuligur@
@plaintain@|@gøtubrá@
@plait@|@flætta, snúðra@
@plan@|@ætlan, ráðleggja, uppskot@
@plane@|@ætlan, hølva, uppskot@
@planet@|@gongustjørna@
@plank@|@fjøl, talva@
@plant@|@planta@
@plash@|@klappa, skvatla, smella@
@plaster@|@plástur@
@plate@|@borðiskur, fat@
@platform@|@atløgubryggja, hjalli, jarnbreytarpallur, pallur@
@platinum@|@platin@
@platter@|@fat@
@plausible@|@eftirfarandi, rímiligur, trúligur, trúligur@
@play@|@sjónleikur, spæla@
@plaza@|@torg@
@plea@|@próvgrund, verjurøða@
@pleasant@|@fittligur@
@please@|@dáma, ger so væl, veit mær tann beina@
@pleased@|@nøgdur, væl hýrdur@
@pleasure@|@stuttleiki@
@plentiful@|@ríviligur@
@plough@|@pløga@
@pluck@|@henta, royta, skræða leysan@
@plug@|@tøppur@
@plum@|@blomma@
@plume@|@fløður, pennur@
@plunder@|@ræna@
@plus@|@pluss@
@pocket@|@fikka, lummi@
@poem@|@yrking@
@poetic@|@skaldsligur@
@point@|@oddur, tindur@
@point out@|@sýna@
@poise@|@duffa, verða ruggaður@
@poison@|@eitra, eitur@
@Poland@|@Pólland, Pólland@
@pole@|@pólur, steyri, stólpi, stólpi, stong@
@Pole@|@póllendingur@
@police@|@skjal, tryggingarskjal@
@policeman@|@løgreglumaður@
@polish@|@evna til, pussa, skósverta, skyggja@
@Polish@|@pólskur@
@polite@|@fólkaligur@
@pond@|@tjørn@
@pooh@|@tvætl@
@pool@|@hylur, sameinast@
@poop@|@bakskutur, bakskutur, skutur, skutur@
@poopdeck@|@bakskutur, bakskutur, skutur, skutur@
@poor@|@neyðars, neyðarsligur, ringur@
@pope@|@pávi@
@poppy@|@dreymsólja@
@porcupine@|@igulkøttur, tindasvín@
@porpoise@|@nísa@
@port@|@havn@
@port side@|@bakborð@
@portal@|@grind@
@portent@|@fyriboðan, spádómur, varningur@
@porthole@|@kúgveyga, ljóari@
@portrait@|@andlitsmynd@
@pose@|@gera seg upp, gera seg upp, skapa sær, vera uppgjørdur@
@possess@|@eiga@
@possession@|@ogn@
@possibility@|@kor, møguleiki@
@possible@|@møguligur@
@possibly@|@kanska, møguliga@
@post@|@postur, steyri, stólpi, varðhald@
@postage stamp@|@frímerki@
@postcard@|@postkort@
@poster@|@uppslag@
@postpone@|@bíða við, drála@
@pot@|@grýta, krukka, pottur@
@pound@|@mjølva, pund@
@pour@|@díkja undir, oysregna, skeinkja, stroya@
@pour off@|@síla frá@
@pour out@|@díkja undir, stroya@
@powder@|@pulvur, putur@
@power@|@máttur, veldi@
@practical@|@gegniligur, hentur, í verki, lagaligur, veruligur@
@practice@|@nýta, venjing, verk@
@practice of medicine@|@læknafrøði@
@practise@|@íðka@
@praise@|@heiðra, rós, rósa@
@prawn@|@rækja@
@pray@|@biðja@
@preach@|@prædika@
@precious@|@rárur, sjáldsamur@
@precipice@|@avgrund, berg, hamar@
@precise@|@nágreiniligur, neyvur@
@prefer@|@velja, vilja heldur@
@pregnant@|@við barn@
@prehistory@|@fornaldarsøga, fornsøga@
@premier@|@forsætisráðharri@
@premium@|@vinningur, virðisløn@
@prepare@|@fyrireika, gera til@
@prepay@|@frímerkja@
@preposition@|@fyriseting@
@presage@|@fyriboðan, spádómur, varningur@
@present@|@bera fram, gáva, núverandi@
@preserve@|@sjóða niður, súlta, varðveita@
@president@|@forseti@
@press@|@bløð, kroysta, skunda, spenna, trýsta@
@presume@|@reypa@
@pretend@|@látast, látast@
@pretty@|@fittur@
@previously@|@frammanfyri, frammanundan, fyrst@
@prey@|@fongur, herfongur, rán@
@price@|@prísur@
@priceless@|@ómetaligur@
@prick@|@kynslimur mans, skapningur@
@priest@|@prestur, prestur@
@primary@|@upphavligur, upprunaligur@
@prime minister@|@forsætisráðharri@
@primeval forest@|@frumskógur@
@primrose@|@fransagras@
@princess@|@prinsessa@
@principal@|@aðal-, høvuðs-, týðandi@
@principle@|@grundregla@
@print@|@prenta@
@prisoner@|@fangi@
@private@|@einstaklings-, einstakur@
@prize@|@vinningur, virðisløn@
@probable@|@líkur, sambæriligur, sannlíkur@
@probably@|@ætlandi, helst@
@problem@|@mál, spurningur, vandamál@
@proboscis@|@sevil@
@proceed@|@fara til verka@
@procession@|@skrúðgonga@
@product@|@framleiðsla@
@profane@|@vanhalga@
@profess@|@ganga við@
@profession@|@arbeiði@
@professor@|@professari@
@profuse@|@ríviligur@
@progress@|@framgongd, framstig, gera framstig, hava framgongd@
@promise@|@lova@
@prompter@|@teskari@
@proof@|@prógv@
@propeller@|@skrúva@
@property@|@bóndagarður, kyn, ogn@
@propose@|@skjóta upp@
@prose@|@óbundið mál@
@prosecute@|@jagstra@
@prosper@|@eydnast, trívast@
@protect@|@líva, taka sær av, verja@
@protection@|@vernd@
@protest@|@mótmæli@
@proud@|@errin, tilgjørdur@
@proverb@|@orðatak@
@provide@|@búgva út, gera út@
@provided that@|@um so er at@
@province@|@hjáland, landslutur@
@prow@|@framskutur@
@prudent@|@hyggin, rættsiktaður, skilagóður@
@prudish@|@kvettutur, smásárur, spanskur@
@psalm@|@sálmur@
@pseudonym@|@dulnevni@
@psyche@|@sál@
@pub@|@drekkistað, drykkjustova, leskingarstað@
@public@|@almenningur, almennur@
@public square@|@torg@
@publicize@|@geva upplýsing, mæla fyri@
@publish@|@gera almannakunnugt, geva út, kunngera@
@publisher@|@forlag, útgevari@
@publishing house@|@forlag@
@pudding@|@budingur@
@pull@|@draga, hála@
@pulverize@|@knúsa, mala@
@pump@|@pumpa@
@punish@|@revsa@
@puppet@|@dukka, reivvera@
@purchase@|@keypa@
@purgatory@|@reinsanareldur, skírnareldur@
@purge@|@gera reint, reinsa@
@purity@|@reinleiki@
@purpose@|@stevnumið@
@purse@|@pengapungur, pungur@
@pursue@|@jagstra@
@pus@|@vágur@
@push@|@fíra, trýsta@
@push along@|@skúgva@
@put@|@koyra, leggja, seta@
@put down@|@koyra, leggja, seta@
@put in order@|@stíla fyri@
@put off@|@leggja frá sær@
@put on airs@|@gera seg upp@
@put on stamps@|@frímerkja@
@put out@|@sløkkja@
@put to sleep@|@fáa at sovna@
@put up with@|@tola, torga@
@putrefy@|@rotna@
@putty@|@kitt@
@puzzle@|@gáta, ørkymla@
@puzzle over@|@brýggja høvur@
@quack@|@svikari, svíkjari@
@quaint@|@sjáldsamur@
@qualify@|@gera føran, gera skikkaðan@
@quality@|@kyn@
@quarrel@|@deilast, keglast, kjak, orðadráttur@
@quarter@|@býarpartur, býlingur@
@quash@|@beina fyri, leggja í oyði@
@quay@|@atløgubryggja, jarnbreytarpallur, pallur@
@quell@|@køva@
@question@|@mótmæla@
@quick@|@kvikur, skjótur@
@quickly@|@skjótt@
@quicksilver@|@kyksilvur@
@quiet@|@róligur, stillur@
@quilt@|@seyma afturíaftur@
@quinsy@|@hálstak@
@quit@|@fara frá@
@quite@|@avbera, heilt, í so, meir og minni, nóg, nóg so, nógv, sera, stak@
@quiver@|@darra, skelva@
@quote@|@flyta fram, reksa upp, taka upp eftir ein@
@rabbi@|@rabbinari@
@rabbit@|@kanin@
@rabies@|@hundaøði@
@race@|@ættarbólkur, ættarslag, slag, storleypa@
@rack one's brains@|@brýggja høvur@
@radio@|@útvarp@
@radish@|@radisa@
@radius@|@sperruleggur@
@raffle@|@happadráttur@
@raft@|@flaki@
@rag@|@kloddi@
@rail@|@breyt@
@railing@|@rimagarður@
@railway carriage@|@jarnbreytarvognur@
@railway platform@|@hjalli@
@rain@|@regna@
@rain cats and dogs@|@oysregna@
@raindrop@|@regndropi@
@raise@|@ala, ala upp, hevja, læra, lyfta, reisa@
@rake@|@raka saman@
@rampart@|@garður, múrur, virkisgarður, vøllgarður@
@ranch@|@bóndagarður@
@rancid@|@herskin, heskin, tráur@
@rancour@|@hevnd@
@rand@|@trom@
@rank@|@raðfylgi, tign, tignarstig@
@rapid@|@kvikur, skjótur@
@rapier@|@korða@
@rare@|@rárur, sjaldsamur, sjáldsamur@
@raspberry@|@hindber@
@rat@|@rotta@
@rate@|@meta, tign, tignarstig@
@rate of exchange@|@virði@
@rather@|@eitt sindur, í so, lítið sindur, nóg, nóg so, sera lítið, til tað, upp á seg@
@rational@|@skilbundin, skynsamur@
@rattle@|@skrambla, smella@
@rattlesnake@|@glintormur@
@raven@|@ravnur@
@ravine@|@fjallaskarð, gjógv, gjóta, kluft@
@raw@|@ráur@
@ray@|@ál, geisli, rípa, strála@
@re-@|@endur-@
@reach@|@náa@
@read@|@lesa@
@reading matter@|@lesnaður@
@ready@|@liðugur, til reiðar@
@real@|@veruligur, veruligur@
@reality@|@sannleiki@
@realize@|@fata, skilja, vera greiður um@
@realm@|@ríki@
@rear@|@ala@
@reason@|@grund@
@reasonable@|@hóvligur, hyggin, rættsiktaður, skilagóður@
@rebellion@|@uppreistur@
@receipt@|@kvittan@
@receive@|@taka ímóti, taka við@
@recent@|@feskur, nýggjur@
@recess@|@hvíld, íhald, steðgur@
@reciprocally@|@sínámillum@
@recline@|@liggja@
@recognize@|@kenna aftur@
@recollection@|@minni@
@recommendation@|@viðmæli@
@record@|@frágreiðing, listi@
@recruit@|@vega@
@red@|@reyður@
@reduce@|@gera einfaldan, minka@
@reef@|@riv, sker@
@reek@|@anga, rúka@
@reference@|@ávísing, upplýsing, viðmæli@
@refine@|@reinsa, reinska@
@Reformation@|@trúbót@
@refuge@|@skjól, skýli@
@refuse@|@havna, sýta@
@refute@|@mótprógva@
@regard@|@hyggja at, líta at, virða@
@régime@|@sjórn, stjórnarlag@
