@to nurse@|@k:-a, k:-c@
@to paint@|@ri=x-@
@to plough@|@u=z-@
@to pluck@|@ud-u=d-@
@to polish@|@u=ç-@
@to pour into@|@u=z-@
@to press@|@çu=qI-@
@to pull@|@z-i=g-@
@to put@|@jiw-@
@to rain@|@u-r-r-uz@
@to reach@|@ru=q-@
@to read@|@u=x-@
@to reap@|@u=g-@
@to return@|@qt-a=k-@
@to rip up@|@kt-a=š-@
@to ripen@|@q-u=q-@
@to roar@|@k:a-ra=rI-@
@to roll@|@i-d-irr-uz@
@to roll dough@|@a-k-uz@
@to rub@|@a=xI-@
@to saw@|@q-a=xI-@
@to say@|@k-@
@to scrape@|@çu=rI-@
@to scratch@|@ca=x-@
@to search@|@a=g-@
@to see@|@raqI:-@
@to sell@|@masu t:uwus@
@to set (caus.)@|@ut-uq-@
@to sew@|@=irx-@
@to shake@|@l-akak-@
@to sleep@|@ax-@
@to smear@|@a=s-, k-a=k-, k-at-, k-çaxI-@
@to spin@|@d-i=k-@
@to spit@|@tu ap-@
@to stand up@|@r-uz-@
@to stay@|@imi-di xuz@
@to steal@|@hit-i-k-@
@to suck@|@u=q-@
@to swallow@|@t-u=qI-@
@to sweep@|@l-çi=k-@
@to swell@|@a=rI-@
@to take@|@rad-a=r-@
@to tear@|@ut-@
@to tear off@|@ç-a=rI-@
@to throw@|@a=s-@
@to thunder@|@rax-@
@to tremble@|@d-i=q:-@
@to turn round@|@il-i=c-@
@to understand@|@rawri š-@
@to urinate@|@u=x-@
@to vomit@|@ed-e=ç-@
@to waddle@|@lak xuz@
@to wake up@|@q-i=g-@
@to walk@|@ra-f-nu@
@to want@|@k:un xuz@
@to wash@|@u=ç:-, ži=k-@
@to wave@|@t-u=ç:-@
@to weave@|@u=x-@
@to weed@|@=u-ç-@
@to weep@|@iš-@
@to win@|@x-@
@to winnow@|@it-@
@to work@|@li=x-@
@to write@|@=ik-@
@tobacco@|@tembeku@
@today@|@Gi@
@toe@|@murkil@
@tomorrow@|@zaku-r@
@tongue@|@cal, melz@
@tooth@|@silib, slib@
@tortoise@|@qIawarqIul@
