@English@|@Hindi@
@barefoot@|@nangé paaon@
@barefooted@|@nangé paaon sé@
@barely@|@kathinaai sé, mushkil sé@
@bargain@|@achchha saudaa, lén-dén@
@barge@|@bajjraa, sair karné ki naav@
@bark@|@chhoti naav, vriksh ki chhaal@
@barley@|@jau@
@barn@|@khalihaan@
@barometer@|@barometer, vaayu-daab-maapak@
@baron@|@tallukdaar@
@barrack@|@barrack, sainikon ké liye bané ghar@
@barrel@|@peepaa@
@barren@|@baanjh, banjar, usar@
@barricade@|@moarchaa, roak@
@barrier@|@aad, bachaav, naaka, roak, seema@
@barrister@|@barrister, pradhaan vakeel@
@barrow@|@thhélagaadi@
@barter@|@adala-badala, vinimay@
@base@|@chhotaa, kameenaa, neech@
@base(of something)@|@aadhaar, neev@
@baseless@|@niraadhaar@
@bashful@|@lajjasheel, nammra, vineet@
@basic@|@aadhaar bhoot, buniyaadi, mool, mooltattva@
@basil@|@tulsi@
@basin(of lake/river)@|@jalaashay, taalaab@
@basis@|@aadhaar, jadd, mool@
@basket@|@daliyaa, tokree@
@bastard@|@doaglaa, haraamkhor, jaaraj@
@bastion@|@burj, gad@
@bat (animal)@|@chamgaadad@
@bat(cricket)@|@ballaa@
@batch@|@gut, jaththhaa@
@bath@|@snaan@
@bathroom@|@gusalkhaana, snaan ghar@
@baton@|@chhadee@
@battalion@|@paltan, sénaa@
@batten@|@takhtaa@
@battle@|@ladaai, yudhh@
@battle / fight@|@ladayee@
@battlefield@|@yudhh bhoomi@
@battleship@|@yudhh-poat@
@bauble@|@khilaunaa, tuchh vastoo@
@bay@|@khaadi@
@bayonet@|@kirrch, sangeen@
@bazaar@|@bajaar, haat@
@beach@|@samudratat, teer@
@beacon@|@aakaashdeep@
@bead@|@maalaa ka daana@
@beak@|@chaunch@
@beam@|@kadee@
@beam(of light)@|@kiran samuha@
@bean@|@lobiyaa, sém@
@bear@|@bhaaloo@
@beard@|@Daadhi@
@bearer@|@vaahak@
@beast@|@darindaa, jaanwar@
@beautiful@|@haseen, khoobsoorat, sundar@
@beauty@|@khoobsuratee@
@because@|@kyonki@
@bed@|@bistar@
@bee@|@madhoo makhhi@
@bee hive@|@chatta@
@beggar@|@bikhaaree@
@beginning@|@aarambh, shuruaat@
@behavior@|@bartaav@
@belief@|@mannyataa, prathaa@
@bell@|@ghantaa@
@belt@|@patta, patta (t as in top), peti@
@bench@|@ghumaav, moad@
@bench(of justices)@|@nyaayaadheesh samudai@
@benediction@|@aashirwaad, kalyaan@
@benefactor@|@hitkaari, punyaatmaa, upakaari@
@benefice@|@dharmavrittee@
@beneficial@|@laabhdaayak@
@benefit@|@anugrah, laabh@
@benevolence@|@bhalaee, dayaa, kripa@
