@English@|@Hindi@
@to abolish@|@band karnaa, naash karnaa, samaapt karnaa@
@to abridge@|@chhaantnaa, sankshép karnaa@
@to abrogate@|@bandh karnaa, radd karnaa@
@to abscond@|@faraar honaa@
@to absolve@|@bari karnaa, kshamaa karnaa, mukt karnaa@
@to absorb@|@soakhnaa@
@to abstain@|@aalipt rehnaa, parhéj rakhnaa, varjya karnaa@
@to abuse@|@bura bartaav karnaa, gaali denaa@
@to abut@|@aamné saamné honaa, milnaa@
@to accede@|@kabool karnaa, sweekar karnaa@
@to accelerate@|@gatee badhaanaa, sheeghrataa karnaa@
@to accentuate@|@joar denaa@
@to accept@|@maanya karnaa, sehmat honaa, sweekar karnaa@
@to acclaim@|@jaighosh karnaa, stutee karnaa, wah wah karnaa@
@to accomodate@|@jagah dilaanaa, samaanaa, suvidhaa karnaa@
@to accompany@|@saath denaa@
@to accomplish@|@sampoorna karnaa, sidhh karnaa@
@to accord@|@manaanaa, milaanaa, pradaan karnaa, sur milaanaa@
@to accost@|@sambhashan karnaa@
@to account@|@gananaa karnaa, maan karnaa@
@to accredit@|@adhikaar denaa, vishwaas karnaa@
@to accrue@|@laabh honaa, utpann honaa@
@to accumulate@|@batornaa, ikaththhaa karnaa@
@to accuse@|@aparaadhi théhraanaa, doash lagaanaa@
@to accustom@|@aadat daalnaa, abhyast karnaa, parichit karnaa@
@to ache@|@darrd karnaa@
@to achieve@|@jeetnaa, paanaa, poora karnaa@
@to acknowledge@|@raseed denaa, sweekaar karnaa@
@to acquaint@|@parichit karnaa, samaachar denaa@
@to acquire@|@hastgat karnaa, kamaanaa, paanaa, prapt karnaa@
@to acquit@|@aparaadh sé mukt karnaa, nirrdoshi thhehraanaa@
@to act(VI)@|@abhinay karnaa, karm karnaa, kriyaa karnaa@
@to act(VT)@|@anukaran karnaa, karnaa, nibaahnaa@
@to adapt@|@ék samaan karnaa, upayogi yaa yogya banaanaa@
@to add@|@badhhaanaa, joadnaa, milaanaa@
@to addict@|@aadat daalna, lat lagaana@
@to address@|@bolnaa, nivédan karnaa, pataa likhnaa@
@to adhere@|@nishthaavant rehnaa, pakkaa rehnaa@
@to adjoin@|@joadnaa, milaanaa, sanyukt karnaa@
@to adjourn@|@roak rakhnaa, tahkoob karnaa@
@to adjudge@|@nirnaay daenaa@
@to adjust@|@sudhaarnaa, theek karnaa@
@to administer@|@dénaa, lagaanaa, prabandh karnaa, shaasan karnaa@
@to admit@|@maan lénaa, pravésh karnaa, sweekarnaa@
@to admonish@|@kaan kholnaa, sanjhaanaa, shiksha dénaa@
@to adopt@|@angikaar karnaa, goad lénaa, paalan karnaa@
@to adore@|@attyant aadar karnaa, poojya samajhnaa@
@to adorn@|@sajaanaa, sanwaarnaa, sushobhit karnaa@
@to adulterate@|@milaawat karnaa@
@to advance@|@aagé badhnaa, unnatee karnaa@
@to adventure@|@jaan jokhim méin dalnaa, saahas karnaa@
@to advert@|@ullekh karnaa@
@to advertise@|@failaanaa, prasidhh karnaa@
@to advise@|@salaah dénaa, upadesh karnaa@
@to advocate@|@samarthan karnaa, vakaalat karnaa@
@to affect@|@asar karnaa, prabhaav daalnaa@
@to affiliate@|@goad lénaa, sabhaasad banaanaa@
@to affirm@|@pratigya karnaa, vachan dénaa@
@to affix@|@joadnaa@
@to afflict@|@peedaa denaa@
@to afford@|@khareed saknaa@
@to affront@|@apamaan karnaa, tiraskaar karnaa@
@to aggravate@|@badhnaa, jyaadaa sangeen karnaa@
@to aggregate@|@ékatrit karnaa, sanchit karnaa, sanhraga karnaa@
@to aggrieve@|@khéd karnaa, shoak karnaa@
@to agitate@|@bhadkaanaa, hilaa dénaa, kshubhdhha karnaa@
@to agonize@|@dukhh dénaa, klesh dénaa@
@to agree@|@ék mat honaa, maannaa, sweekriti dénaa@
@to annoy@|@hairaan karnaa@
@to apologize@|@maafee maangnaa@
@to appear@|@pragat honaa@
@to apply@|@lagaanaa@
@to arrest@|@giraftaar karnaa@
@to ask@|@poochnaa@
@to assume@|@dhaarana karnaa@
@to attach@|@joadnaa@
@to attenuate@|@kum karnaa@
@to attract@|@aakarrshit karnaa@
@to auction@|@neelaam karnaa@
@to award@|@puraskrit karnaa@
@to bargain@|@béchnaa, lén-dén méin jhagadnaa, molbhaav karnaa@
@to bark@|@bhaunknaa@
@to barrel@|@peepé méin bharnaa@
@to barricade@|@moarchaa baandhnaa, roaknaa@
@to barter@|@adala-badali karnaa, vinimay karnaa@
@to base@|@aadhaarit karnaa@
@to bask@|@dhoop khaanaa, dhoop sainknaa@
@to bate@|@ghataanaa, sastaa karnaa@
@to bath@|@nahlaanaa@
@to bathe@|@nahaanaa@
@to batten@|@mauj manaanaa, takhtaa lagaanaa@
@to batter@|@kootnaa@
@to battle@|@ladnaa, saamnaa karnaa@
@to bay@|@ghérnaa, khaadi méin laanaa@
@to bayonet@|@kirrch maarnaa, sangeen banaanaa@
@to be@|@honaa, réhnaa@
@to beacon@|@diyaa dikhaanaa, prakaash karnaa@
@to beam@|@chamkaanaa, prakaash daalnaa@
@to bear@|@kashth uthaanaa, séhnaa@
@to beat@|@maarnaa, peetnaa@
@to bemoan@|@pachhtaanaa, ronaa, vilaap karnaa@
@to bend@|@moadnaa@
@to benefit@|@bhalaa karnaa, laabh pahunchaanaa@
@to bequeath@|@waseeyat karnaa@
@to berate@|@daantnaa, dhamkaanaa@
@to bereave@|@chheen lenaa, vanchit karnaa@
@to beset@|@sataanaa@
@to bestow@|@arrpan karnaa@
@to bet@|@shartt lagaanaa@
@to betray@|@dhokhaa denaa, vishwaasghaat karnaa@
@to bewilder@|@ghabraanaa, hairaan karnaa@
@to bewitch@|@jaadoo karnaa, mohit karnaa@
@to bicker@|@jhagadnaa@
@to bid@|@bolee lagaanaa@
@to bite@|@kaatnaa@
@to boil@|@ubaalnaa@
@to bounce@|@fudaknaa@
@to breathe@|@saans lenaa@
@to bribe@|@rishwat denaa@
@to bring@|@laanaa@
@to bury@|@dafan karnaa@
@to bury(derog)@|@gaadnaa@
@to buy@|@khareednaa@
@to call(names)@|@dindoraa peetnaa, naam rakhhnaa@
@to call(someone)@|@bulaanaa, pukaarnaa@
@to calm@|@shaant karnaa@
@to camp@|@déraa daalnaa, padaav daalnaa@
@to can(food)@|@can méin bharnaa@
@to cancel@|@radd karnaa@
@to cane@|@bént maarnaa@
@to canker@|@nasht ho jaanaa, sadd jaanaa@
@to cant@|@banaakar bolnaa@
@to canton@|@pargano méin vibhaajit karnaa@
@to canvass@|@chandaa maangnaa@
@to caper@|@fudaknaa, koodnaa, naachnaa@
@to capitalize@|@poonji banaanaa@
@to capitulate@|@hathiyaar daal denaa@
@to capsize@|@ulat-pulat jaanaa, ulatnaa@
@to captain@|@nétaa honaa@
@to captivate@|@bandee banaanaa@
@to capture@|@kabzaa karnaa, kaid karnaa@
@to care(for someone)@|@khayaal karnaa@
@to chase one away@|@khadednaa@
@to cherish@|@jatan karnaa@
@to chew@|@chabaanaa@
@to circulate@|@abhisaran karnaa, prasaar karnaa@
@to clutch@|@jakadnaa, muththhi mein pakadnaa@
@to clutter@|@bheedh lagaanaa, kolaahal machanaa@
@to coach@|@gaaid mein jaanaa, padhaanaa@
@to coast@|@kinaare lagaanaa@
@to coat@|@khol chadhaanaa, rangnaa@
@to coax@|@behlaanaa, fuslaanaa, manaanaa@
@to cock@|@ghodaa chadhaanaa, khadaa karnaa@
@to cocker@|@laad karnaa, pyaar karnaa@
@to cog@|@dhokhaa denaa@
@to coil@|@lapetnaa@
@to coincide@|@ek mat karnaa, milaanaa@
@to collect@|@batornaa, sangrahit karnaa@
@to come@|@aanaa@
@to command@|@hukm denaa@
@to consume@|@grahan karnaa@
@to contact@|@sampark karnaa@
@to contract@|@sikudnaa@
@to cook@|@pakaanaa@
@to cow@|@daraanaa@
@to cry@|@roanaa@
@to cry / to weep@|@roanaa@
@to curse@|@shaap denaa@
@to cut@|@kaatnaa@
@to dance@|@naachnaa@
@to decorate@|@sajaanaa@
@to defame@|@badnaam karnaa@
@to demand@|@maangnaa@
@to describe@|@varrnan karnaa@
@to detest@|@ghrinaa karnaa@
@to dethrone@|@padbrashth karnaa@
@to die@|@marnaa@
@to dig@|@khoadnaa, khoadnaa, khudaee karnaa@
@to distract@|@behkaanaa@
@to distribute / allot@|@baantnaa, baantwaara karnaa@
@to do@|@karnaa@
@to do wrong@|@galatee karna@
@to drag@|@ghaseetnaa@
@to draw(a wire etc)@|@kheenchnaa@
@to dread@|@darnaa@
@to dream@|@khwaab dekhnaa@
@to drench@|@geelaa karnaa@
@to drift@|@bahnaa@
@to drink@|@peenaa@
@to drive a vehicle@|@gaadi chalaanaa@
@to drop@|@giraanaa@
@to drug@|@davaa denaa@
@to dry@|@sukhaanaa@
@to duck@|@jhuknaa@
@to dump@|@saste daam par bechnaa@
@to dupe@|@thhagnaa@
@to duplicate@|@nakal banaanaa, pratilipee banaanaa@
@to dust@|@dhool jhaadnaa@
@to dwell@|@rehnaa@
@to dwindle@|@ghatnaa, kam honaa@
@to dye@|@rangnaa@
@to earn@|@kamaanaa@
@to ease@|@halkaa karnaa, shaant karnaa@
@to eat@|@khaanaa@
@to electrocute@|@bijlee ka jhatkaa denaa@
@to emanate@|@baahar nikalnaa@
@to embrace@|@alingan denaa@
@to empty@|@khaalee karnaa@
@to encourage@|@uttejan denaa@
@to entertain@|@manoranjan karnaa@
@to escape@|@palaayan karnaa@
@to fall@|@girnaa, girnaa@
@to fall ill@|@beemaar padnaa@
@to feel@|@mehsoos karnaa@
@to fly@|@udnaa@
@to follow@|@peechhaa karnaa@
@to forget@|@bhoolnaa@
@to gamble@|@juaa khelnaa@
@to garner@|@batornaa@
@to gather@|@ikaththha karnaa@
@to get awarded@|@puraskrit honaa@
@to get insulted@|@apamaanit hoanaa@
@to get ready@|@taiyyar honaa@
@to get/to obtain@|@paanaa@
@to give@|@denaa@
@to go@|@jaanaa@
@to go wrong@|@chookna@
@to grant stability@|@sthirtaa pradaan karnaa@
@to happen@|@honaa@
@to have sex with@|@sambhog karna@
@to hear@|@soon naa@
@to hide@|@chhipnaa@
@to hunt@|@shikaar@
@to identify@|@pehchaannaa@
@to include@|@samaavesh karnaa@
@to increase@|@badhaanaa@
@to inflate@|@fulaanaa@
@to inform@|@soochit karnaa@
@to insist@|@aagraha karnaa@
@to instruct@|@suchanaa denaa@
@to insult@|@apamaan karnaa@
@to intimidate@|@daraanaa@
@to jump@|@koodnaa, uchhalnaa@
@to keep@|@rakhnaa@
@to kick@|@laath maarnaa@
@to kill@|@maarnaa@
@to laugh@|@hassnaa@
@to leak@|@galnaa@
@to learn@|@seekhnaa@
@to lessen@|@kamm karnaa@
@to lick@|@chaantnaa@
@to lie@|@jhooth bolnaa@
@to live@|@rehnaa@
@to lose@|@khonaa@
@to lose(a competition)@|@haarnaa@
@to love@|@ishq karnaa, prem karnaa, pyaar karnaa@
@to lower@|@neecha karnaa, utaarnaa@
@to lubricate@|@chiknaa karnaa@
@to lug@|@ghaseetnaa, kheenchnaa@
@to lull@|@shaant karnaa@
@to lumber@|@lakdee kaatnaa@
@to lump@|@dher lagaanaa@
@to lunge@|@dhakkaa denaa@
@to lure@|@lubhaanaa@
@to lurk@|@chhip kar baithnaa, ghaat mein rehnaa@
@to lynch@|@maarpeet karnaa@
@to make@|@banaanaa@
@to make someone cry@|@rulaanaa@
@to make someone laugh@|@hassaanaa@
@to manage@|@sambhaalnaa@
@to meet@|@milnaa@
@to moot@|@behas karnaa, vaad-vivaad karnaa@
@to mop@|@jhadoo lagaanaa@
@to moralize@|@neeti upadesh denaa@
@to mortgage@|@girvi rakhnaa@
@to motivate@|@protsaahit karnaa@
@to mould@|@saanchaa banaanaa@
@to mount@|@chadhnaa@
@to mourn@|@shok karnaa, vilaap karnaa@
@to move@|@hilnaa@
@to obstruct@|@baadhaa daalnaa@
@to obtain@|@praapt karnaa@
@to occlude@|@pratibandh karnaa@
@to occupy@|@adhikaar rakhnaa, sthaan lenaa@
@to occur@|@prakat honaa@
@to offend@|@ullanghan karnaa@
@to offer(a gift)@|@upahaar denaa@
@to ogle@|@tirrchhi najar se dekhnaa@
@to oil@|@tel lagaanaa@
@to overlook@|@upekshaa karnaa@
@to pant(like a dog)@|@haanfnaa@
@to pardon@|@chhoad dénaa, kshamaa karnaa@
@to pare@|@chheelnaa, katarnaa@
@to park@|@khadaa karnaa, park karnaa, rakhnaa@
@to parley@|@baatcheet karnaa@
@to parry@|@door karnaa@
@to part@|@alag honaa, bhaag karnaa, judaa karnaa@
@to participate@|@hissaa lénaa, saajhi honaa, shareek honaa@
@to pass@|@bitaanaa, gujarnaa, jaanaa@
@to paste@|@chipkaanaa, léee lagaanaa@
@to pat@|@thapkee dénaa@
@to pay@|@chukaanaa@
@to penetrate@|@andar ghusnaa@
@to persuade@|@samjhaanaa@
@to perturb@|@kshubhdhaa karnaa@
@to pester@|@hairaan karnaa@
@to petrify@|@patthar mein badal jaanaa@
@to pick@|@uthaana@
@to place / establish@|@sthaapanaa karnaa@
@to play@|@khelnaa, khelnaa@
@to play(an instrument)@|@bajaanaa@
@to present@|@pesh karnaa@
@to print@|@chhapnaa@
@to pull@|@kheenchnaa@
@to push@|@dhakelnaa@
@to read@|@padhnaa@
@to realize@|@ehsaas honaa@
@to reitre@|@nivritt honaa@
@to reject@|@asweekaar karnaa@
@to reply@|@jawaab denaa, uttar denaa@
@to report@|@bayaan karnaa, varrnan karnaa@
@to repose@|@aaraam karnaa@
@to represent@|@pratinidhitva karnaa@
@to repress@|@dabaanaa, kuchalnaa@
@to reprimand@|@daantnaa, dhikkaar karnaa@
@to reprint@|@doosra sanskaran nikaalnaa@
@to reproach@|@badnaam karnaa@
@to reproduce@|@paidaa karnaa@
@to repudiate@|@inkaar karnaa, tyaag karnaa@
@to repulse@|@paraajit karnaa@
@to repurchase@|@phir kharidnaa@
@to request@|@maangnaa, praarthanaa karnaa@
@to rescind@|@nishprabhaav karnaa@
@to rescue@|@bachaanaa, mukt karnaa@
@to research@|@khoj karnaa@
@to resemble@|@samaan honaa@
@to resent@|@naraaj honaa@
@to reserve@|@bachaa rakhnaa@
@to reshape@|@phir se aakaar denaa@
@to resign@|@isteefaa denaa@
@to resist@|@virodh karnaa@
@to resolve@|@sankalp karnaa@
@to resort@|@aashray lenaa@
@to respect@|@aadar karnaa@
@to respite@|@muhlat lenaa@
@to respond@|@jawaab denaa, uttar denaa@
@to rest@|@aaraam karnaa, vishraam karnaa@
@to restore@|@poorvaavasthaa pradaan karnaa@
@to restrain@|@seemit karnaa@
@to return(something)@|@waapas karnaa@
@to return(somewhere)@|@waapas jaana@
@to ruin@|@nasht karnaa@
@to run@|@bhaagnaa@
@to sacrifice@|@balee chadhaanaa@
@to sanction@|@maanyataa denaa@
@to save@|@bachaanaa@
@to say@|@kehnaa@
@to search@|@dhoondhnaa@
@to season(food)@|@swaadishth banaanaa@
@to see@|@dekhnaa@
@to see / to look@|@dekhnaa@
@to seep@|@paseejnaa@
@to seethe@|@khaulnaa, ubalnaa@
@to segregate@|@alag rakhnaa@
@to seize@|@chheen lenaa@
@to select@|@chun lenaa@
@to sell@|@béchnaa@
@to send@|@bhéjnaa@
@to send by post@|@daak dwaraa bhejnaa@
@to sensitize@|@sachetan karnaa@
@to sepulchre@|@dafan karnaa, gaadnaa@
@to sequester@|@alag honaa, judaa karnaa@
@to shake@|@hilaanaa@
@to shine@|@chamakaanaa@
@to shirk@|@jee churaanaa, khisaknaa@
@to shiver@|@thartharaanaa@
@to shoal@|@bheed lagaanaa, samooha karnaa@
@to shock@|@sadma pahunchaanaa@
@to shoot(a gun)@|@goli maarnaa@
@to shop@|@kahridaari karnaa@
@to shorten@|@chotaa karnaa, kamm karnaa@
@to shout@|@chillanaa@
@to shove@|@dhakélnaa@
@to show@|@dikhaanaa@
@to shower@|@barasnaa, bauchhaar karnaa@
@to shred@|@tukde-tukde karnaa@
@to shriek@|@chillaanaa@
@to shrink@|@sikudnaa@
@to shudder@|@kaanpnaa@
@to shuffle@|@ulat-pulat karnaa@
@to shun@|@asweekaar karnaa, nakaarnaa@
@to sing@|@gaanaa@
@to sit@|@baithnaa@
@to slander@|@badnaami karnaa@
@to slap@|@chaantaa maarnaa@
@to sleep@|@soana@
@to smoke@|@dhumrapaan karnaa@
@to speak@|@bolnaa@
@to spin@|@ghoomaanaa, ghoomnaa@
@to spit@|@thoonknaa@
@to steal@|@churaanaa@
@to stop(someone)@|@roaknaa@
@to stop(voluntarily)@|@ruknaa@
@to study@|@padhayee karnaa@
@to suck@|@choosnaa@
@to surprise@|@chakit karnaa@
@to swallow@|@nigalnaa@
@to swim@|@tairnaa@
@to take@|@lénaa@
@to take care@|@khayaal rakhnaa@
@to take refuge@|@panah lenaa@
@to teach@|@padhaanaa, sikhaanaa@
@to tear@|@phaadnaa@
@to tease@|@chidhaanaa@
@to tell@|@bataanaa@
@to throw@|@uchhaalnaa@
@to tie@|@baandhnaa@
@to tighten@|@kassnaa@
@to touch@|@sparsh karnaa@
@to translate@|@anuvaad karnaa@
@to travel@|@yaatra karnaa@
@to trouble(someone)@|@sataanaa@
@to trust@|@vishwaas karnaa@
@to try@|@prayaas karnaa@
@to turn@|@mudnaa@
@to understand@|@samajhnaa@
@to use@|@istemaal karnaa@
@to vary / to change@|@badalnaa@
@to venerate@|@aadar karnaa@
@to vomit@|@ultee karnaa@
@to wait@|@intezaar karnaa, pratikshaa karnaa, théharnaa@
@to wake@|@uthnaa@
@to warn@|@chetavanee denaa, saavdhaan karnaa@
@to wash@|@dhonaa@
@to wash(onself)@|@dhonaa@
@to waste@|@vyarth karnaa@
@to watch@|@dekhnaa@
@to wave@|@lehraanaa@
@to wear@|@pehan-naa@
@to weave@|@bunaee karnaa@
@to whine@|@karaahnaa@
@to whisper@|@phusphusaanaa@
@to win@|@jeetnaa@
@to withhold@|@roaknaa, thopnaa@
@to woo@|@mohit karnaa@
@to worry@|@chintaa, chintaa karnaa@
@to wound(someone)@|@ghaayal karnaa@
@to wrap@|@dhaknaa@
@to write@|@likhnaa@
@to yell@|@chillaanaa@
@tobacco@|@tambakoo@
@today@|@aaj@
@together@|@ek saath@
@toilet / sanitary annexe@|@prasaadhan griha@
@tomato@|@Tamatar@
@tomorrow@|@kall@
@tongue@|@zabaan@
@Tooth@|@daat@
@tortilla@|@rotee@
@tortoise@|@kachhuaa@
@touch(n)@|@sparsh@
@tough@|@mushkil@
@tourist@|@sailanee@
@toy@|@khilonaa@
@traction@|@karrshan@
@train@|@Rail gaadi, railway@
@trainer@|@prashikshak@
@training@|@prashikshan@
@transaction@|@saudaa@
@transformer(electrical)@|@rohitra@
@translation@|@anoovaad@
@transmission@|@prakshaepan@
@transparent@|@paardarrshee@
@trap@|@shikanjaa, vyuvha@
@travel@|@Safar, yaatra@
@traveller@|@yatri@
@treasure@|@khazaanaa@
@treaty@|@samjhautaa@
@tree@|@darakth, ped, vriksha@
@triangle@|@trikoan@
@tribal@|@adivasee@
@tribe@|@jaati@
@tricolor@|@tirangaa@
@tropic of cancer@|@karkvritta@
@tropic of capricorn@|@makarvritta@
@tropical@|@ooshna-katee-bandheeya@
@true@|@khara@
@trust@|@vishwaas@
@truth@|@satya@
@tubectomy@|@nasbandee@
@Tuesday@|@Mangalwaar@
@tunnel@|@surang@
@turban@|@pagadee@
@turmeric@|@haldi@
@turn on the lights!@|@battiyan jalao!@
@turn(n)@|@moad@
@twelve@|@Baraah@
@twenty@|@Bees, Bees@
@two@|@Do ( as in do sveedanya)@
@typical indian bed@|@chaarpayee@
@ugly@|@kuroop@
@ultimate@|@aakhree, antim@
@umbilical cord@|@naabhi@
@umbrella@|@chhata@
@unable@|@asamarth@
@unaccustomed@|@apareechit@
@unaffected@|@aprabhaavit@
@unanimity@|@ékatmataa@
@unanimous@|@ekmat, sarvasammat@
@unarmed@|@nihatta, nishastra@
@unaware@|@achet, asaavadhan@
@unbearable@|@asahyaa@
@uncle(maternal)@|@maamaa@
@uncle(paternal)@|@chaachaa@
@undecided@|@aanirrneet@
@undefeated@|@aparaajit@
@under(something)@|@ke neeche@
@undergarments@|@antarvastra@
@undetermined@|@anirrdhaarit;anirrnit@
@uneasiness@|@bechainee@
@uneducated@|@anpadh, ashikshit, gawaar, jaahil@
@unemployed person@|@bekaar manushya@
@unemployment@|@berojgaree;bekari@
@unending@|@anant, aseem@
@unequivocal@|@spasht@
@unerring@|@achook@
@unfair@|@ayogya;anuchit;anyaypoorna@
@unfaithful@|@vishwaasghaati;kapati@
@unfathomable@|@agaadh@
@unfavorable@|@pratikool@
@unfriendly@|@asnehi@
@unholy@|@apavitra@
@uniform(of a personnel)@|@vardi@
@uniformity@|@ekrooptaa, samaanataa, samarooptaa@
@unique@|@advitiya@
@unity@|@ektaa@
@universe@|@brahmand@
@university@|@vishwavidyalaya@
@unmarried boy@|@kuaaraa@
@unmarried girl@|@kuaaree@
@unnatural@|@anaisargik@
@unstable@|@astheer@
@untouchable@|@achhoot@
@up@|@oopar@
@urban@|@shaharee@
@urgent@|@turant@
@urine@|@peshaab@
@ursine@|@bhaaloo jaisaa@
@use@|@istemaal, istémaal, upayoag@
@useful@|@laabhdaayak, upayogi@
@usless@|@nikamma, vyartha@
@utensil@|@barrtan@
@uterine@|@garbhaashay sambandhi@
@uterus@|@garbhaashay@
@vacuum@|@nirvaat@
@vapour@|@bhaanp@
@vasectomy/tubectomy@|@nasbandee@
@vegetable market@|@sabji mandee@
@vegetables@|@sabjee, Shaak@
@vegetarian@|@shaakaahaaree@
@Vehicle (general)@|@Gaadi@
@veil@|@parrdaa@
@velocoity@|@raftaar@
@verb@|@Kriyaa@
@verbal abuse@|@gaali@
@vermicelli@|@siwaiyaan@
@vertebral column@|@reedh ki haddee@
@via@|@dwaara@
@vibration@|@kampan@
@victory@|@jeet@
@victory / win@|@jeet@
@videshi@|@foreigner@
@village@|@gaon@
@violence@|@hinsaa@
@virtual@|@kalpanik@
@voice@|@awaaj, swar@
@vulgar@|@ashleel@
@vulture@|@gidhh@
@wage@|@majdoori, vetan@
@waist@|@Kamar@
@wall@|@deewaar@
@wallet@|@butwaa@
@war@|@jung@
@warehouse@|@godaam@
@warm@|@garrm@
@warmth@|@garrmee@
@warning@|@chetaavanee, saavdhan@
@warrant@|@adhikaar pattra@
@warrior@|@yodhhaa@
@warship@|@ranpoat@
@wart@|@massaa@
@wasp@|@tataiyya@
@waste(garbage)@|@koodaa@
@watchman@|@rakhwaalaa@
@water@|@jal, panee@
@waterfall@|@jharrnaa@
@waterproof@|@jalrodhak@
@wave@|@lahar@
@wave(n)@|@tarang@
@wavy@|@lehraata hua@
@wax@|@moam@
@we@|@hum@
@we forgot the road.@|@hum raastaa bhool gaye.@
@weak@|@durbal, kamzor, shaktiheen@
@weakness@|@kamzoree, nirbalataa@
@wealth@|@dhan, sampatti@
@wealth tax@|@sampatti kar@
@wealthiness@|@ameeri@
@wealthy@|@ameer@
@weapon@|@asttra, shastraa@
@weariness@|@susti@
@weary@|@sust@
@weaver@|@bunaee karné waalaa@
@wedlock@|@viwaaha bandhan@
@Wednesday@|@Budhwaar@
@week@|@haftaa, saptah@
@weekly@|@saptaahik@
@weight@|@bhaar, vajan@
@weighty@|@bhaaree@
@weird@|@adbhut@
@welcome@|@su-swagatam@
@welfare@|@kalyan@
@well@|@kooan@
@well informed@|@jaankaar@
@west@|@paschim@
@wet@|@geelaa@
@what are you thinking?@|@aap kya soch rahé hai?@
@what happened?@|@kya huaa?@
@what(?!)@|@kya(?!)@
@wheat@|@gaenhoo@
@wheel@|@pahiyaa@
@wheel chair@|@pahiyewaaali kursi@
@when@|@jab bhi, Kab@
@Where@|@kahaan, Kidhar@
@where are you from?@|@aap kahaan ke hai?@
@where do you live?@|@aap kahaan rehate hain?@
@where do you want to go?@|@aap kidhar jaana chahte hai?@
@where is the hotel?@|@hotal kahaan hai?@
@where is the railway station?@|@railway station kahaan hai?@
@which@|@kounsaa@
@which way did they go?@|@woh kaunsi disha méin gayé?@
@whichever@|@koi bhi@
@whimsical@|@manmaujee, sanaki@
@whip(n)@|@chabook, chhadee@
@whirlpool@|@bhanwar@
@whirlwind@|@chakravaat@
@whisper@|@phusphusaahat@
@white@|@safed@
@who did this?@|@yeh kisné kiyaa?@
@who turned off the lights?@|@battiyaan kisne bujhayee?@
@whoever@|@jo koi@
@whole@|@akhand, samast@
@whole hearted person@|@dariyaadil insaan@
@whole heartedness@|@dariyaadilee@
@whore@|@vaishya@
@why@|@kis liye, kyon@
@wide@|@vistirrna@
@widow(n)@|@vidhwaa@
@widower@|@vidhur@
@wife@|@beebi, patnee@
@wild@|@janglee@
@windmill@|@pavanchakki@
@window@|@jharokhaa, khidkee@
@wings@|@pankh, parr@
@winter@|@jaada, sardee@
@wire(n)@|@taar@
@wisdom@|@pandittya, vivek@
@wise@|@gyaanee@
@wish@|@arzoo, ichchhaa, laalsaa, manishaa@
@wishful@|@abhilashi@
@witch@|@daayan@
@with him/her(fam)@|@uske saath@
@with him/her(pol)@|@unke saath@
@with them@|@unke saath@
@with us@|@hamaare saath@
@with you(fam)@|@tere saath@
@with you(pol)@|@aapke saath@
@witty@|@chatur@
@wolf@|@bhediyaa@
@woman@|@Aurat, stree@
@womanhood@|@streettva@
@womb@|@garrbhaashay@
@wood@|@lakdee@
@wooden(of wood)@|@lakadee kaa@
@woollen@|@oonee@
@word@|@shabda@
@work@|@kaam@
@worker@|@karmacharee@
@workman@|@kareegar@
@workmanship@|@kareegaree@
@workshop@|@kaaryashaala@
@world@|@duniyaa, jug@
@worldly@|@sansaari@
@worldwide@|@vishwa-vyaapak, vishwa-vyaapee@
@worm@|@keedaa@
@worries@|@chintaaein@
@worry@|@chintaa@
@wound@|@ghaav@
@wrist@|@Kalaaee@
@wrist watch@|@kalayee ghadi@
@writer@|@lekhak(m), lekhikaa(f)@
@wrong@|@galat@
@yeah@|@haan (n is nasal)@
@year@|@Saal, varsh@
@yearly@|@waarshik@
@yeast@|@khameer@
@yellow@|@peela@
@yes@|@haan@
@yesterday@|@kall@
@You (fam)@|@Too (spell T as in tequila)@
@You (pol)@|@Aap@
@young@|@jawaan@
@your@|@tumhaaraa@
@your(fam.)@|@terra, tumhaaraa@
@your(pol.)@|@aapkaa@
@youth@|@jawanee, youvan, youvan@
@zany@|@maskhara@
@zeal@|@josh, uttsaah@
@zenith@|@shirobindu@
@zephyr@|@paschhimee vayoo@
@zero@|@Shunya@
@Zero 0@|@Shunya@
@zodiac@|@raashichakkra@
@zoo@|@chidiyaghar@

